date,ip 属地,评分,comments
2016-10-04,未知,3,不值得专门去，如果是去了富川或者恭城，可以顺路去一趟，路有点远。一个状元像也有人烧香，醉得不要不要的╭(°A°`)╮风雨桥水很脏，总之车程超过一小时的亲们，如果你不是来写生或者考古，还是算了吧。
2016-08-05,未知,5,秀水状元村是个非常值得去的原生态的村庄，有水牛、鸭子在戏水的很明媚、悠闲的小村庄。在这里，看到村民很质朴的表演，也遇到了电视台来采访。
2019-05-04,未知,5,去的路不是很好，建议SUV，整个村子的明清古建筑很多，保留都不错，还有继续修缮的空间，这里算是毛姓族人的龙兴之地，毛姓状元和进士身份建立起毛氏宗祠，依山傍水的风水格局很不错
2021-05-31,未知,4,湘桂交界处有两个被忽略的历史名村，一个是贺州的秀水状元村，一个是永州的上甘棠村。连日降雨导致河水泛黄，天公也不是很作美，不过这样安逸且快被遗忘的村落还是很值得走走
2018-02-21,未知,4,不错，这是一个休闲放松的地方。这里山青水秀、村民热情，以前还是一个出状元的村庄，人杰地灵，“秀水村”名符其实！值得一游。推荐！
2016-04-23,未知,5,古朴典雅，厚德载物，潇贺古道边一颗璀璨的明珠，有宋以来产生二十八位进士，一位状元，居民主要是毛氏，与韶山毛同源。走进村落，一点不会失望，脚步丈量出每一步静谧，脑海馈赠你对纯朴生活所有的想象。
2018-09-26,未知,3,秀水状元村在本地很有名，因为这个地方底蕴比较丰富，而且历史非常悠久，这里出了状元和很多进士，因此文化的氛围很好。村里人的大姓是毛姓。只是这个地方比较偏远，交通不是太好。
2015-11-24,未知,5,本地特色，全国也是少有的江南景色。民族特色！
2017-04-24,未知,5,再坐车到另外一个两省交汇处，转坐小三轮跨省回到广西的朝东镇，中途偶然发现一处古村，便随即下车游览，原来是一个不为人知的古村——秀水状元村（因古代多出状元。免费），村内保存了完整的明清建筑格局，道路全为年代久远的鹅卵石，并没有进行商业开发。
2021-01-30,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2019-06-15,未知,3,状元庙前的一颗奇树，人称过江龙，或“心心相印”，仔细看看找好角度就可以看到两颗心喔。 秀水这个小村庄在古代除了出过一名状元，还有26名进士。 这里较之黄姚更为淳朴。原来貌似收过一段时间的门票，但随后便取消了。风景很好，有山有水，还有历史。据说这曾出过状元哦，因而在村里还有一个状元庙，要高考的孩子们可以去拜拜。
2018-10-20,未知,3,秀水村人杰地灵，这里出产出了一个状元很多的文人。秀水村的布局非常合理，村前小溪流敞。村内古建筑不少，保存的也还比较完整。
2021-02-01,未知,5,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-02-01,未知,5,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-02-01,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-02-01,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-02-01,未知,5,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,总体超赞，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,景色不错，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-30,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,性价比高，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
2021-01-28,未知,5,有趣好玩，去年我去过，旅行有时候也只是一种心情的释放，好比沉在水底的鱼儿，在雷雨到来之前感觉烦闷，迫切的想要到水面透一口气。远离一个城市，奔赴另外一个城市，无论这个城市给你好与坏的感觉，但有点不变的是，对于未知的风景，我们总抱着憧憬和好奇。
