date,ip 属地,评分,comments
2024-10-12,广东,4,【景色】这里景色优美，可以体验到不同的民族文化和生活习俗，晚上可以去鼓楼看看当地风情民族的舞台 【趣味】尽情品尝当地的美食和小特色的小吃，还可以租当地的民族服装到处拍美照也是不错的选择哦！
2020-07-21,未知,5,风雨桥上走一走，长寿活到九十九。吃百家宴，纳百家福，成百样事...... 吊脚楼、老巷子、石板路、木栈道、古寨门、老戏台......小河边“咯吱“转悠的水车，正向游人讲述侗族古老的故事。有幸约上侗族小伙，微chengyang97086一路细心陪伴和讲解。一次开心的侗寨之旅！
2018-12-10,未知,5,第二次来了，这次两家8口人，碰上广西假日，高铁票订不到，只能开车去，4个大人4个小孩，要回程了小孩还舍不得去，有机会还会再来！民风纯朴，住的民宿老板很热情，主动给我们做导游，刚好碰上这边的冬节，老板还特意带去他亲戚朋友家过节。苏溪微舍客栈，已第二次入住。
2017-04-25,未知,5,时隔十天，第二次到三江玩！感受到了这里清新的空气，民俗风情，世外的小村庄！都给我美的享受！这一次的旅行是我从广州带台湾的一个朋友来，她同样很高兴！从广州坐五点十分的动车，到三江南站已经是八点三十分！这一次是奔着一个当地朋友来！两天的行程在上车时已经让当地一个帅气男孩安排好了！这一次的行程没有上一次堵车，等车的郁闷了！接下来的两天游程阳八寨景区，吃百家宴！到高友村！游布央仙人山！而且吃到当地地道的禾花鱼，油茶！感谢这个好朋友！两次的接触，挺实在的小伙子成了好朋友！推荐大家认识！微信号sjfq545500
2017-02-01,未知,5,那里的景色和空气确实值得一去。我们这次是鸡年假期去的，来柳州20多年了，总是想去，一直没找到机会，这次终于来了一次说走就走的旅行，因为开通了高速，路好走多了。只是美中不足的是景区里面和外面停车比较混乱，造成了大拥堵。
2016-11-26,未知,5,看侗族文化的好地方。程阳桥和合龙桥都是百年以上历史的古迹，值得一看。 到处是木建筑，很有特色。 民俗表演不错，由本地人组成的表演队，感觉很朴实。 交通方便，从县城有公交车到，包车也不贵。 有时间，可以考虑寨子里住一晚，慢慢体验一下。 现在这里到处大兴土木，有点担心会越来越商业化。
2016-07-20,未知,5,我在里面定的民宿。发现如果天色较晚，坐小面包车跟老乡一起进去根本不用买门票。晚上灯光很少，要是天气晴朗估计能看见满天星斗，可惜我没福气，大阴天，云层厚的要命。早上6点起来十二，整个寨子都是静悄悄的，特棒！大概8点人就多起来。风雨桥上全是卖东西的老婆婆了。如果要拍照片，要早起。
2016-04-13,未知,5,最值得看的就是侗族的村落了，每个寨子都有鼓楼，寨寨相连，看着一片片的木屋，看着穿着民族服装的村民，久不久偶遇来画画的大学生，悠闲的走在村里的石板路上，随处坐下喝碗油茶，吃个艾粑粑，心情那个舒畅。绝对是放松休闲的好地方！
2017-02-07,未知,5,程阳八寨位于三江侗族自治县，距三江县城19公里。程阳八寨有八个自然村屯，俗称“程阳八寨”，分管于三个行政村委会，居住着近10000侗族人民，这里节日盛多，有“百节之乡”的美誉，每当春节到来时，这时村村沸腾、寨寨欢歌，处处一片喜气洋洋。
2016-08-20,未知,5,程阳八寨是一个很美丽的景区，值得我们老广去休闲度假，交通方便，景区宁静而美丽！它是雨桥之乡，鼓楼之最，侗族人非常好客，我们住的程阳桥招待所老板娘杨姐还能做一手好饭菜。
2019-06-03,未知,4,程阳八寨景区距离三江县城约20公里左右，开车大约半小时。网购门票有优惠，广东籍的朋友凭身份证可以打5折哦。 一个侗族风情村寨，适合悠闲小住，相信清晨，漫步在田园边的感觉会非常棒。景区由8个寨子组成，其独特的建筑物有：风雨桥、鼓楼、吊脚楼等等，桥上两侧走廊常常会见到不少老人在此处纳凉，自己亲身体验了一把，确实有吹空调的感觉。 当天去的时候正好赶上景区停电，也非周末或节假日。景区内游人不算多，但是没电歺厅吃饭就要有耐心等候了。
2019-04-25,未知,4,程阳本是荒芜之地，直至两位叫程和阳的男子一个自北，一个从南携家眷至此，架屋定居，开荒种田，生息繁衍；再后来，杨、吴、陈、李、石等姓氏人家又先后迁至此处，与程、阳两姓共同建设这片古老的家园。大伙儿都公认程、阳二氏是这块土地的祖先，于是称之程阳。清朝以来，程阳逐渐形成马安、岩寨、平寨、大寨、董寨、吉昌、平坦、平甫八个自然村落，俗称程阳八寨。其中前五个寨子是相连的，距离很近，走路可以直接到达 【景色】
2018-07-23,未知,4,程阳八寨要来趁早！今日幸运凭身份证获得半票优惠！！而且今日游人不多！！！ 景区位于广西三江侗族自治县，由八个寨组成，每寨都有寨门但没有严格的地域界线，独特的建筑物是鼓楼、风雨桥、吊脚楼，以层叠的结构达到通风通光，人在里面只觉得风不知道从哪里吹来的，风雨桥和鼓楼吸引不少老人家休闲歇息玩乐。午后一阵雨，彩虹不期而至，幸运！程阳八寨正在开发扩展中，到处是房屋翻新加建，商业大多数以饮食住宿为主，兼营当地特产，茶叶、梅菜、腊味、罗汉果。在未有小资调调的侵入，程阳八寨不失自然、纯朴、真诚。
2016-11-14,未知,5,周末动车过来，在以前游过三江的同事的推荐下，一位程阳八寨小伙子当的地接，我们是13:50到的三江，两家人刚好一部商务车。小伙子先安排我们随意吃点东西解决中午，然后启程在县城安顿好住宿，下午第一站：侗族博物馆。博物馆虽不怎么大，在小伙子的讲解下让大家特别是小朋友对侗族文化有了一定的认识。晚上侗乡鸟巢实景演出坐妹超级棒，是我们看过各地类似演出效果最好的，故事情节很清晰。回宾馆后大家还兴奋的回味很久。第二天早上十点出发布央观光茶园，蒙蒙雾气，青青茶园，人间仙境！很想长住此地，茶园美景，清新空气……下午程阳风雨桥，不愧是世界历史名桥，气势宏伟，比宣传片更有气势，还有寨上老房子，鼓楼……无不彰显侗族人的智慧。百家宴氛围就是爽！欢！晚上住寨子里，宁静。天亮吃吃早茶，开心之旅满载而归。真心感谢这位小杨兄弟，他帮忙定好优惠门票，处处为游客所想，费用很实在，后面我爱人还感谢他悄悄的塞个100块封包进他外套口袋。对了，他的电话微信号：chengyang97086。找他带你游三江大侗寨没错！
2016-10-23,未知,5,伴随着绵绵细雨参观了山寨，寨子里的古建筑都是纯木头打造，不用一颗钢钉，很多艺术学院的孩子都在那里写生，但是很遗憾没有参加百家宴，欣赏了侗族人文景观，有个啊婆真的好热心，看见我们没有坐的地方，主动拿来了凳子，很感动！
2016-06-09,未知,5,正好是杨梅熟的季节，吃烧烤，玩竹排，逛古巷，晚上还可以去音乐吧听听歌手唱歌，唱到嗨的时候自己也唱了几首歌，木房子来越少了。但是民风还是很淳朴的。百家宴很热闹酒量不好差点被灌醉了。民族表演都没有年轻人的呢！有点遗憾。
2016-05-30,未知,4,侗族居住区主要在贵州、湖南、广西的交界处，在三省接壤的三江县境内，有八个连成一片的侗族山寨，完好地保存着侗族的木楼建筑、服装饰品、歌舞文化以及生活习俗等古老传统。 程阳八寨沿着河流分布在两岸，分别为马鞍寨、平寨、岩寨、董寨、大寨、平坦寨、平埔寨、吉昌寨。每个山寨都有鼓楼，连接河两岸的是风雨桥。平寨艺术中心每天有三场免费民族风情表演，时间分别为10:30、15:00、16:20，有侗笛、侗萧、芦笙等侗族传统乐器的表演。大寨是重大节日时期村内摆百家宴的地方。 目前来说，程阳八寨还算是较为原生态，民风非常淳朴，由水车、风雨桥、鼓楼、吊脚楼以及田园风光组成的景色让人有种回归自然的感觉。说实话，这里的村民真的非常淳朴，在景区内一瓶矿泉水才卖两块钱，可乐三块钱，吃一顿晚饭，有鱼有肉有菜也只要100块钱左右。但是这种原生态很快就要被破坏了，所以旅行真的要趁早，看着村里的人不断地盖房子开客栈，各处都是全民共创5A景区的标语，感到有些悲伤，但是人家也要发展，也要发家致富，所以也是利弊共存。听司机说，程阳八寨已经申请了5A级，政府也批了，接下来政府就会在村外建民居供山寨内的原居民居住，山寨内就发展旅游业，听起来是不是和江南那些古镇很像，都是一样的发展模式。
2016-07-30,未知,4,侗乡寨子挺有特色的，木寨木桥，传统服饰，百家宴，糯米酒，还有热情好客的侗族朋友；凡进寨者都要喝过米酒才行，百家宴的时候也是一轮载歌载舞的米酒攻势，认真喝了不少呢！
2021-12-23,未知,5,去了柳州市三江县程阳八寨大致说一下攻略跟感受： 坐车：深圳被直接到三江北的高铁，价格290左右 到三江高铁站下车，我是直接打的士过去了全程预计40分钟，车费不到70。 游玩：1.进去门票我是一个人去的本来门票是60快，因为现在人数比较少优惠了一半只要30快，但里面是有套餐门票+观光车+舞蹈表演是75快。 2.本主本着看自然风光的原则就徒步进去，然后走到一半后悔了，真正到寨主时间预计都要半个小时[捂脸][捂脸][捂脸]。 3.寨子里的风景还是很不错的，只是因为来的时间以及疫情的原因人数太少了，我陆陆续续的走过看到来旅游的人应该不到50个人，风景优美但是没有人气导致本主本打算在这里小住一晚得念头消失了，在里面转悠了3个小时，没有拦路酒，没有百家宴，没有舞蹈表演，行程有点失望！ 回程：本来想做公交的，刚好有个顺风车到三江县城，车费10快，这太便宜了哈哈哈。 各位如果要去的话建议人多去，不然去了太冷清了，犹如回去自己农村老家一样！
2018-08-03,未知,5,从三江县医院坐公交车可以到程阳桥下车，一人3元，打车要20+元，我下车后刚好看见一家人在路边等车，他们刚游玩出来准备回，告诉我门票60一位，他三个人让当地村民带进去3位100，走的小路，其实有小路可以进村子的，刚好一位刚采茶回村的阿姨向她询问，一路跟她到村里没买票，好几座桥建筑相仿，游玩一小时即可，回来时问私家车到县城要60元，直接扭头就走到下公交车的地方等公交，一人3元。虽是八个不同寨子，但感觉连一起没看出不同，
2016-03-08,未知,4,程阳确实不错，但是距离程阳几十公里外的 布央茶场 景色更美，空气质量一流，有点类似道士修炼的地方，本人文采有限。善意提示，当地有个开车的梁师傅，专车服务挺好的，人很实在，又是退伍军人。还可以要求他免费客串导游。他的号码是18775190902
2016-02-10,未知,3,"今天去了程阳八寨，景应该能更好,看到了传说中的送新娘和百家宴，也惊叹于侗族工匠，让这些木质建筑百年不到，但原则说略感失望，和大多数游客感觉一样，杂乱无章，导视也差，之于商业也都是当地的，游客总要吃饭，而且很多客栈都是本地人开的，吃的是自家养的或种的感觉特别好。另外那么好的寨子，那些新建的楼房真的要好好约束下，完全颠覆了古寨的味道，如果继续下去，古寨还会有吗？"
2016-10-06,未知,5,"程阳八寨拥有八个自然村落,居住着近万侗族人,每个寨子都有鼓楼及风雨桥,在此不仅可以游览鼓楼、寨门、花桥等侗族特色建筑；程阳八寨是侗寨群体的缩影，这里的民居全是木头搭建的吊脚楼，或背山而建或临水而居。程阳风景区内有八寨，马鞍寨是离风雨桥最近的一个寨子，后面的平寨，岩寨，程阳大寨相距都不太远，慢慢逛要一个多小时，如果要将八寨都逛完大概要一天的时间。 这里民族节日盛多，天气好时有时有表演，可以欣赏侗族姑娘小伙子吹芦笙唱大歌。住在此地，与大自然最亲近，诗境家园也不过如此了，倒还真有《桃花源记》里描述的那种美丽。 在这里还能吃到正宗的糯米饭，酸鱼，酸鸭，酸肉，坨坨饭，打油茶。"
2016-04-04,未知,5,真是个好地方！趁着现在还没被开发，能看看原滋原味的景色，晚点就不知道会怎么样了。
2017-04-30,未知,5,景区门票可以找本地人，或者是找酒店老板可以半价。早上正门有人拦着敬酒，要回礼。节假日的话八个寨子会有百家宴，可以吃一下，价格挺便宜的。
2017-02-26,未知,5,来的是淡季温度也低，游人少，但空气更好寨子更显得宁静与古朴。当地人很有礼貌热情好客，有家的感觉……不足是大折大建，过于商业化，失去了大家向往的原生态，，，
2016-11-02,未知,4,程阳八寨风光无限美丽，侗族人热情待客，在没有太多的商业气氛，显得民风淳朴，程阳八寨的雨桥和鼓楼都非常有特色，侗族的百家宴更是让人回味。
2016-01-04,未知,5,景点大约一个小时左右走完，看看这些古建筑也是不错的。如果来三江游玩，建议和龙脊梯田起游玩。
2020-12-11,未知,4,广西三江程阳八寨，侗族老寨、老桥、老人、老街、老鼓楼。这里有著名的程阳风雨桥，建于民国，全国重点文物。还有单柱侗族鼓楼别具匠心。只是寨内外地车不让进，非要停在新建停车场，坐景交车15元，停车费10元，25元本可以不交，其实寨子和普通侗寨没啥区别，出名了，就围起来收费，国内乡村旅游通病，本人深恶痛绝。不过现在至明年一月底免门票的。
2017-04-14,未知,4,典型的侗族风情，景区的程阳八寨风雨桥是侗乡的标致性建筑，整座桥都是木头搭建但却没用一颗钉子，寨子里还有侗族青年男女的吹芦笙、唱侗歌等民族表演，还有和观众互动游戏，体验一下侗族风情，真的不错挺开的。
2023-06-15,广西,5,程阳八寨依山水而建，所以这里的画面总是富有层次性，风雨桥下河水冉冉流过，稻田郁郁葱葱，荷花肆意绽放，放眼远处是一层高过一层的吊脚楼。 来到程阳八寨做一回侗族姑娘，穿一身民族服装，走在风雨桥上，在古寨里，在鼓楼边，把美好留下来。
2023-06-13,广西,5,"推家推荐！ 广西区内动车直达，三江县城到景区也就半小时车程，动车站、三江县城、程阳八寨景区都有共享电车,下载（WarmCar）APP即可使用，很方便！ 景色很美，侗寨民族风俗浓郁，手机像素太差，图片是在寨子里偶遇的摄影师小雷帅哥提供，超级好看。推荐打卡。"
2020-04-10,未知,5,提前订酒店很重要，打电话咨询酒店，毕竟是本地人，比较熟悉，住了新开的一家风景好客栈，设施都很新，卫生状况很好，老板娘超级热情，给我们一家当了一次免费导游，下一次还来，到程阳桥一定要一定要吃百家宴，绝配顶配，景色很美，春季来有很长的花海，打卡打卡，听说夏季向日葵很多，下次来看向日葵，水车真的都很复古，一条路都有水车，听说桥头还有郭沫若爷爷的题词，特意留意一下，真的有呢，特意离开城市，让自己的脚步慢下来，很喜欢乡野的宁静
2018-10-03,未知,5,60块一张门票值不值就看你喜不喜欢农家田园的生活了。个人觉得门票价格还算合理吧。里面景色还不错很多寨子要走完8个寨肯定要在里面过夜里面有住宿吃饭。一些村民个人觉得还是被商业化了不过不强迫，消费这个还是不错的。70块一个人在寨子里参加百家宴挺好玩的菜都是村民自己家里拿过来的糯米饭还是很好吃。菜味道一般般吧图的就是个新鲜。我10。1去的百家宴不是每天都有的。遇到有百家宴一定要参加别舍不得70块钱这个还是挺好玩的
2016-06-18,未知,5,三江值得一去，风雨桥和鼓楼很漂亮，程阳八寨那里住了龙凤酒店，很不错。还有一家特产店侗乡古韵性价比很好，老板人也不错。后面去摘了杨梅，很新鲜。第三天去了县城看鸟巢，吃爱民螺蛳粉，路上车坏了，永腾汽修挺专业的，推荐。有图有真相。
2017-03-18,未知,4,三江侗寨的精华，相对于那些出名的少数民族寨落，程阳八寨还算是相对保持淳朴的民俗，一座座风雨桥见证历史，特别是程阳风雨桥，走在上面，即使炎热的夏天里面凉风阵阵。
2017-04-04,未知,5,推荐去住侗乡国宾馆哦，能看见风雨桥，而且还有露天浴缸，和老公一起真是充满情趣坐妹表演也值得一看，程阳八寨已经很商业化了，老公说都天下名族景点走丽江路线了
2023-06-14,广西,5,历史四大名桥———程永济桥，有郭沫若老先生提的七律诗——艳说林溪风雨桥，桥长廿丈四寻高。重瓴联阁怡神巧，列砥横流入望遥。竹木一生坚胜铁，茶林万载茁新苗。何时得上三江道，学把犁锄事体劳。收获满满的一次旅行，喜获而归。因为他们的文化和他们的侗装都非常的漂亮，所以我也当了一天的侗妹。
2020-12-27,未知,5,程阳八寨位于三江程阳寨，有八个自然村屯，连成一片的侗族山寨。不仅完好地保存着侗族的木楼建筑，服装饰品，歌舞文化，生活习俗等古老传统。周围青山绿树，环境优美，游人来此可以漫步传统村庄观赏。最经典的行程便是从程阳桥入口，经马鞍寨，往平寨，岩寨，可观赏到景区绝大部分风情。
2020-09-24,未知,5,"，是全国重点文物保护单位。到广西不能不看民族风情，看民族风情不能不到柳州，苗族的节日、壮族的对歌、瑶族的舞蹈和侗族的建筑被誉为柳州民族风情""四绝""。程阳风雨桥就是典型的侗族建筑，这座横跨林溪河的木石结构大桥"
2020-08-18,未知,3,#程阳八寨#本来想去贵州的千户苗寨，桂林的同学说没必要跑那么远，去三江的程阳八寨就好了，在回程路上。60/人门票，去了这个景点花了一百多门票，只有一种呼吸都痛的感觉，网上看到一句评价广西的话“坑无底线”，这个话形容这个景点真的太恰当不过了。这样一个没有怎么开发的村子居然有底气门票，害得我们没了心情去龙脊梯田，直接去了阳朔。没有开发，景色很一般，停车乱收费。
2018-07-28,未知,5,村寨内的吊脚木楼、鼓楼、风雨桥与周边大山、小河、田野构成了别致而独特的美景。自清朝以来，逐渐形成马安、岩寨、平寨、大寨、董寨、吉昌、平坦、平甫八个自然村落，所以俗称“程阳八寨”。踏着夕阳闯进寨子，也不看路标，也不问方向，也不算时间，就这样漫步在一个又一个寨子中。三五一景，十步一桥，一座座风风雨雨中的风雨桥，一栋栋奇巧别致的吊脚楼，为我们展现了一幅侗族风情图。完美呈现！
2020-08-05,未知,5,柳州的三江县是一个旅游的好去处，这里游客不多，却有着纯天然的好风景，绿水环绕，令人流连忘返、心旷神怡。来到这里仿佛置入世外桃源。
2016-02-06,未知,5,原生态的景点，小栖一下不错！有机会还会再来！
2016-02-14,未知,3,感觉侗寨跟苗寨的建筑都差不多，只是侗寨多了鼓楼，看多了这些寨子，所以感觉实在一般，主要感觉规模不够大，那个程阳风雨桥蛮好看
2021-05-04,未知,4,自驾去的，车不能开进去，要换巴士，侗族聚聚地，吃的还可以，天气挺热，有点累，人太多，走不动，走了好远有个演出，要重新买票，每次都要重新出示第一次的门票，有点麻烦，加上没有提前订好合适的民宿，以至于好的都订不到了，最后我们开车走了，好的干净的民宿需加强
