date,ip 属地,评分,comments
2017-01-02,未知,5,计划很久的侗寨之旅。带上家人5人一起坐上动车出发。这次是在朋友的介绍下由程阳当地侗族小伙子小杨做的地接（小杨微信号：chengyang97086。在他的带领讲解下，一家子玩得很开心，关键是省钱省心❤。美丽风雨桥，雄伟的侗寨鼓楼，恬静原始的侗寨，朴实的侗民……这次两天时间游览了：三江风雨桥、三江鼓楼、侗乡鸟巢、侗族博物馆、高友侗寨、高友茶园等。跟团或者自助游你绝对找不到这些地方的美，一家人玩得特开心。坐妹演出超级棒，对了看坐妹演出你得先做做功课，了解侗族行歌坐夜的民俗背景哦。……小杨的服务很超值，去三江玩找他就对了。）
2015-10-28,未知,5,路途较远，刚开发，还有一段要单道行驶，不过等待的时间不长。 民风质朴得让人难以置信，住在马鞍寨的鼓楼旁，这个寨也是离程阳桥最近的，门前就是这个寨子的活动中心。房东大姐心很好，由于不会上网，家里的客栈基本靠等人。我们住的双人间，才几十块钱，有独立卫生间，很干净。唯一不足是木房子隔音差，被隔壁一大早就大声聊天的妇女吵醒了。 晚上的百家宴就在门外，游客有进房东家找开水的，有找厕所的，房东一点都没烦，我随手把卫生间的灯关了，大姐说“不用关，要不有人进来看不见”。这让我有点小感动，寨子里还保持着淳朴的民风，非常难得。 程阳风雨桥和寨子值得一看，里面消费不高，应该是还没有完全商业化，田里的鸡鸭自由活动，一派田园风光，让人内心安静。 另：里面没有银行，多数小店不能刷卡，要备好现金。如果参加百家宴可以让房东带一下，会便宜10块钱。门票查得不严，大家钱不紧张就多买点小贩的东西吧，感觉他们还比较穷，钱被旅游公司赚了，他们一人一月才补贴10块钱。 受房东大姐的嘱托，再给不会上网的大姐扩散一下，她家的叫立康客栈，大姐电话是15177275585，有需要可以联系她。
2016-08-11,未知,5,“侗族文化深度体验区”这名号还不错，景区还是对得上的。村里的侗民很淳朴，在那住了一晚，侗寨的夜晚超宁静，很适合我们这种城里喧嚣的夜生活来体验一下乡村的安逸。清晨的风雨桥超漂亮，比照片上的更亲切更迷人。傍晚在景区外面长廊那家叫什么“福缘侗乡”跟大姐喝喝茶，听她讲讲侗寨的古老故事受益多多，还跟她要了点茶叶，她家有个茶叶基地，茶叶品质很好价格比景区里面便宜多了，呵呵厂家直销。就是觉得门票价80大洋有点小贵，好在来之前朋友介绍一个他朋友全程陪，呵呵节约好多大洋了。这位朋友超实在，也许对你有帮助，他有车子接送的哦。他是程阳本地侗家小伙，微信号：chengyang97086.希望对您有所帮助。
2018-04-20,未知,5,快进入寨子时的路只有一车道，对头有车很麻烦，没有空位让的话只能慢慢的倒出去让对头车过了再进去，我们17号自驾去的，那天不算很多人，碰上寨子的大节日（18号才是三月三）有百家晏吃，70元一位，吃完还有篝火晚会，18号走时好多自驾游客进寨，塞了快一小时才出得了寨，风景也就只有程阳桥和一个塔有点看头，其它没什么特别的了
2016-08-20,未知,4,古朴的风景，碧水蓝天，热情的侗家人，是此次程阳游的最大收获。可是寨子的规划不行，有钱的都在起着现代化的新房，许多落寞的老房子逐渐被现代化的建筑淘汰，我们住的程阳招待所还是木楼结构，保留了一点侗家人的古风。
2016-03-14,未知,3,程阳八寨景色确实不错，由于当地旅游业不发达，所以当地人很淳朴，很热情，民风比较原生态，根本没有坑游客的意识，让你感觉似乎不是在景区，不用担心被宰，游玩心情较为舒畅，我们全程都是包了一台当地的7座的商务车，司机大哥人也很实诚，人很耐烦，收费合理，还可以帮搞便宜的门票。所以打心里想帮他找点生意，他不像其他的司机油嘴滑舌的喊客人，因为他前年刚从部队复员回来，在高铁站门口等客显得比较木，我们是看他穿着褪色的军装，才主动找他的。希望我大家来旅游，能照顾一下这位木木的兵哥。他的号码是18775190902 梁
2017-04-29,未知,5,程阳八寨，马鞍、平坦、平寨、岩寨、董寨、大寨、平埔、吉昌八个侗寨。有8个鼓楼，5座风雨桥。欣赏原汁原味的侗族习俗风情。在程阳风雨桥前的迎宾美女，高唱山歌值得点赞！
2017-02-06,未知,5,程阳风雨桥，又叫永济桥、盘龙桥，位于三江县北面20公里处的林溪镇，是广西壮族地区众多具有侗族韵味的风雨桥中最出名的一个，是全国重点文物保护单位。程阳风雨桥是典型的侗族建筑，这座横跨林溪河的木石结构大桥，建于1912年，河中有五个石砌大墩，桥面架杉木，铺木板。桥长64.4米，宽3.4米，高10.6米。
2016-08-20,未知,5,程阳八寨我们住了几天，把所有的寨都全部游览玩了，各个寨都很有特色，各自的风雨桥都很美丽，鼓楼木质结构都不同。进去就知道木匠手工了得
2017-05-02,未知,5,五一节去的，住程阳山庄，非常有侗族特色，风雨桥值得一看，喜欢侗族姑娘小伙的歌舞，八个寨子走了四个，发现景区内有家乐家粉店的油茶和禾花鱼很好吃
