date,ip 属地,评分,comments
2017-06-25,未知,5,别有洞天，回归自然。多一分宁静，少一分繁喧，少了七彩缤纷的霓虹灯，多了清澈见底的小河缓缓流淌。或许让自己在宁静中沉淀，尽情享受自然给予我们的美丽景色。一切都那么美，只要暖一点，别这么冷就好
2023-08-20,山东,5,20230312下午： 1、“穿山岩”位于4A景区“穿山景区”内。穿山景区是位于漓江东岸、漓江支流小东江两岸的山水田园和溶洞景观，是桂林名山，留有“游圣”徐霞客的足迹，被誉为“桂林山水的眼睛”，坐拥两项吉尼斯世界纪录，即“在最小面积（61.1平方米）石山顶上的古塔”和“单束钟乳石连体石盾之最”。入园免费。 ①地址：桂林市七星区穿山小街55号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：3小时。 2、溶洞“穿山岩”是景区精华部分，1979年发现，该溶洞是世界罕见的水晶溶洞，“鹅管石、石枝、水晶石和石头开花长毛”是洞内四大特色，并拥有吉尼斯世界纪录“单束钟乳石连体石盾之最”，可惜已封闭禁入。期待二刷再进去欣赏。
2020-07-22,未知,4,"在桂林开放的旅游岩洞中，它便以独树一帜的岩溶景观，为世人瞩目。持在摄氏22℃左右，冬暧夏凉。洞内精美的石钟乳、石笋、石幔、石盾琳琅满目，美不胜收，特别是那晶莹透亮的鹅管、卷曲的石枝、雪白透明的水晶石、石头开花长毛，形成了穿山岩独有的四大特色，具有很高的观赏和科研价值。因此，穿山岩被人们誉为""世界罕见神奇的水晶宝洞""。"
2017-07-07,未知,3,值得一去，无奈最后的推销环节真的很扣分。
2016-11-15,未知,4,穿山有大小30多个岩洞，其中最美的要数穿山岩 。它是桂林市继七星岩 ，芦笛岩 之后的又一大型风景溶洞。岩洞总长517米，游程248米，常温保持在摄氏22度左右，冬暧夏凉。洞内有数不尽的千姿万态的钟乳石，稀奇的石中珍品，精美的石钟乳、石笋、石幔、石盾琳琅满目，美不胜收，特别是那晶莹透亮的鹅管、卷曲的石枝、雪白透明的水晶石、石头开花长毛，形成了穿山岩 独有的四大特色，具有很高的观赏和科研价值。被誉为“世界罕见神奇的水晶宝洞”。 跟随着导游进洞，循着人工开凿的甬道，大概走50多米，忽然亮了彩色灯光，大家一下子都停下脚步，看得目瞪口呆。听着导游介绍，举首仰望，那斜挂在洞壁的石幔，皱折层叠，有10来米宽，从10多米的高处，沿着石坡重重坠下，闪烁着璀璨的光芒，似高山飞瀑而下，飞花溅玉，宛如银河落九天。
2017-11-16,未知,5,从七星岩景区南向穿山路(或上海路)，可前往充满趣味和新意的穿山景区游览。车程大约只需20分钟。途中便可看见穿山形状很奇特，五峰连为一体。北峰和西峰紧依小东江，中峰突起，与东峰和南峰紧紧相连，相对高度94米。山腰上远看有一个中空大洞，通透澄明，宛若明月。这些山峰里有许多奇妙的溶洞，分层散布，穿透全山，故称“穿山”。因五峰耸立，形如笔架，又有别名“笔架山”。最吸引人的是在万里晴空的时候，高悬的月岩，别有一种幽旷的境界。古人曾这样描绘说：“浮云一扫净，明月忽飞来。盘石坐清啸，花荫印绿台……”
2017-05-05,未知,5,神奇的石头，神奇的地方，很喜欢。
2017-11-30,未知,4,在途中看见的穿山形状很奇特，五峰连为一体。北峰和西峰紧依小东江，中峰突起，与东峰和南峰紧紧相连，相对高度不到百米。山腰上远看有一个中空大洞，通透澄明，宛若明月。
2017-05-03,未知,5,很漂亮很神奇的地方，看夜景，尝美食
2017-10-27,未知,5,香格里拉是多少人梦想能去的地方，尤其是对于在大城市工作压力太大的人。这里真的很美很美！
2016-10-10,未知,4,有些特点，爬爬山还是不错的，可以高处看看小东江，远眺桂林，景色还是不错的，桂林的景区门票都很便宜，性价比那是非常高的呢！
2018-02-12,未知,3,景色不错，导游讲解也很好，我们是2月6日下午5点左右去的，就是那个照相的态度极其恶劣，让人很不舒服
2017-04-09,未知,5,据说是桂林少数不收费的景点之一，晚上在附近的一家岩洞饭店吃了顿很有特色的晚餐。
2016-12-30,未知,4,爬到山顶，可以俯瞰整个桂林，还可以俯瞰漓江穿行市区，对面塔山也值得一去。景区其实景色一般，但是能饱览整个桂林的全景，那就值得了！！
2016-10-11,未知,5,桂林特色景点之一，可以走走看看
2017-07-24,未知,5,景色很美值得去，相对桂林周边的岩洞景点性价比高
2017-09-04,未知,5,景色宜人……趣味十足，性价比高的一次旅行……一如既往的五星好评！
2017-09-16,未知,3,周边有条穿山路，就是感觉有点偏，虽然离开市中心也近，但是饮食吃饭不方便。景区周边就是七星公园，訾州公园，听说早上7点前公园不要门票的
2016-08-13,未知,3,穿桥岩一个普通的岩洞，没有银子岩的美丽，没有冠岩的大气，没有芦笛岩的优美，一般般，外面的环境还不错，看看风景，看看看穿山
2017-08-25,未知,5,路过没进去，看介绍很不错！！！
2017-11-17,未知,5,散步休闲的一个好去处，没事可以来逛逛。
2017-06-21,未知,5,很想去，景区应该不错的，而且票价不贵。
2017-04-05,未知,5,穿山岩在穿山公园，岩洞不大，景色还行。
2017-06-10,未知,5,与桂林所有的一切风景一样，很好。
2017-11-21,未知,4,奇异怪状，岩石上的天然形态，很奇特。
2017-03-07,未知,4,桂林的景区有很多的名儿，然后他们都以石头命名。
2017-07-02,未知,4,挺有特色的景点，环境也不错额，很好
2019-03-21,未知,4,岩洞里面的景色很特别，灯光也好看
2021-04-30,未知,4,桂林岩洞很多，这个相对比较简单
2017-09-24,未知,3,景色还行，不过缺乏互动性，而且门票太贵
2017-08-26,未知,3,非常一般，离市区较远，性价比不高
