date,ip 属地,评分,comments
2024-10-18,湖南,5,穿山公园是位于桂林市七星区的一处风景优美的公园，占地面积约2平方公里，以穿山为主体，是桂林山水的代表之一。公园内的主要景点包括穿山、塔山、月岩和穿岩。 穿山因其山体中有多个岩洞而得名，其中最著名的是月岩和穿岩。月岩位于山腰，是一个南北通透的岩洞，因其形状像一轮明月而得名，洞高9米，长31米，宽13.3米，底部高出小东江39米，洞中还有宋明时期的石刻。穿岩则位于山底，长500余米，洞内有石钟乳以及罕见的透明结晶体——石枝、鹅管等，是岩溶地貌的奇景。 塔山位于小东江西畔，与穿山隔江相望，山上有明代的寿佛塔，塔高13.3米，是“塔山清影”景观的一部分，也是桂林著名老八景之一。 穿山公园的门票价格为成人票65元，开放时间为夏季7:30-18:00，平时8:00-17:30。游客可以乘坐公交6路、16路、23路、85路、98路、100路、204路、K2路至穿山桥站下车步行5分钟即到景区。 公园内还有梁漱溟之墓、翰苑碑林等文化遗迹，以及湖心岛、大榕树等自然景观。穿山公园不仅是一个自然风光秀丽的公园，也是一个融合了历史文化和自然美景的旅游胜地。
2015-11-24,未知,5,穿山前有塔山， 山顶有明代寿佛塔。小东江在两山之间蜿蜒流过， 山倒影江中， 景色还不错。 穿岩是桂林近年开放的第三个大型溶洞。石头开花、石头长毛是不同于其他溶洞的特色。如果时间特别赶，可以不来这里。 时有老翁在小东江边垂钓，江边是一些地道的农家菜馆～
2023-03-30,山东,5,20230312下午： 1、“穿山景区”是位于漓江东岸、漓江支流小东江两岸的山水田园和溶洞景观，是桂林名山，留有“游圣”徐霞客的足迹，被誉为“桂林山水的眼睛”，坐拥两项吉尼斯世界纪录，即“在最小面积（61.1平方米）石山顶上的古塔”和“单束钟乳石连体石盾之最”。入园免费。 ①地址：桂林市七星区穿山小街55号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：3小时。 2、景区目前是开放式景区，从景区北面进入，西侧的江畔部分正在施工，“岁寒三友”（国歌《义勇军进行曲》作词者田汉、著名爱国戏剧家欧阳予倩、著名画家徐悲鸿的雕像，他们三人在抗日战争时期奋斗在文化战场最前线）、“湖心岛”（岛很小，由两座石桥连接两岸，但很有意境）、大榕树等位于江边的景观都看不了。溶洞“穿山岩”是景区精华部分，1979年发现，该溶洞是世界罕见的水晶溶洞，“鹅管石、石枝、水晶石和石头开花长毛”是洞内四大特色，并拥有吉尼斯世界纪录“单束钟乳石连体石盾之最”，可惜已封闭禁入。 3、穿山岩南侧是景区标志性景观“月岩”的登山口，山不高，先爬到“翰苑碑林”，碑林位于石窟内，作品是现代向公众征集的，并不是古人石刻。石窟大门锁着进不去，只能透过门缝窥伺门内的别有洞天。继续向上到月岩，月岩也称“穿岩”，穿山由此得名，是一个位于山体中间、南北穿透的大洞，清风徐徐穿过洞口，像一台天然空调，让人不禁感慨大自然的鬼斧神工，传说是东汉开国元勋、伏波将军马援在伏波山上“一箭穿三山”的第一山。站在洞口，既能欣赏到洞壁上密集的宋代、明代石刻，又能遥望对面“塔山”上古塔的孤独傲立，让人心旷神怡。月岩的南北面的上山路均被封闭了，应该是通向顶峰“明月峰”的。月岩山脚下被修竹包裹的“梁漱溟墓”，是中国著名思想家梁漱溟的长眠之地，他被誉为“中国最后一位大儒”，其骨灰一部分埋在祖籍桂林，一部分埋在山东省邹平市，后者是他开展乡村建设运动、居住过8年的第二故乡。 4、在去往塔山的路上，发现东北侧一个因施工牌显得很不起眼的登山小路，纠结了好久，强忍着酸酸的双腿决定登山，天道酬勤，此处山林为“穿山公园”，通向穿山的北峰，最高的观景台“穿北亭”建于20世纪80年代，能鸟瞰夕阳下西麓的桂林山水田园，和东麓钢筋城市中的车水马龙。偶遇施工队赶着毛驴驮着施工材料上山，毛驴边走边吃很可爱。 5、通过景区南侧的… 字数超限，在最后一张图片里继续。
2020-10-03,未知,5,"This is a small view point in the city, and it's beautiful. I suggest everyone to visit, and you can see the whole Guilin city."
2020-07-28,未知,5,"穿山一江之隔最美的莫如塔山夕照。桂林塔山，位于漓江东岸、小东江西畔， 与穿山隔江相望。塔山与穿山100万年前为同一山体， 其后地壳上升， 地下水水面下降， 山体被割切分离成各自独立的孤峰。 塔山山上的明建古塔; 8角, 7层, 实心, 砖结构, 高13.3米, 北面嵌佛像, 称寿佛塔。远看如屏风, 亦若舰只行驶江上, 又称“军舰山”; 山下多枫树, 秋日有“塔山红叶”醉人景色。值此盛夏亦是哥红霞四溢的绝境。 寿佛塔是桂林景点中四大名塔之一。徐霞客《粤西日记》谓""若岐若合，亭亭夹立，盖以脆薄飞扬见奇""。"
2020-11-17,未知,5,穿山景区就在市里，有山有水，山腰上远看有一个中空大洞，通透澄明，宛若明月。可以登高远眺！现在广西正在冬游免减门票，还是可以一游的。
2016-01-26,未知,4,穿山公园。因公园里代表性的那座山中间贯穿了一个洞而得名。是桂林古老八景之一的代表性景点。中间自然行成的山洞与象山的水月洞以及阳朔的月亮山的圆洞相呼应！真切反应了桂林奇山秀水的特性！亮点就是其美丽的倒影和公园内溶洞岩石长毛的神奇景观！还是值得一看的！
2016-04-11,未知,4,桂林山水甲天下的石碑就在这里，但是那个洞就觉得不值，主要是导游太不给力了，不要门票看外面的风景还强些。
2017-01-11,未知,4,穿山公园 位于桂林城南郊，以穿山为轴心，占地面积约2平方公里，是桂林市山水旖旎的公园之一，山顶有明代寿佛塔。小东江在两山之间蜿蜒流过，山倒影江中，景色尤佳。穿山有月岩、穿岩。 早早起床，可以去公园走走，还是很惬意的，离酒店 酒店 只有三分钟的路程。
2022-09-06,湖南,5,桂林市区看日落日出攻略 在桂林看日出日落我还是比较推荐去穿山景点，相对而言爬山要轻松很多，方便停车5块钱一辆，山下是个湖面，山上可以俯看桂林全程，其中桂林的塔山夕照就在山下观赏。
