date,ip 属地,评分,comments
2017-01-07,未知,5,立天都进脚，可见“天梯”旁有一石人亭亭玉立，头戴风帽，衣巾飘曳，酷似古装仕女。她的对面又有一石，酷似跪地下拜的童子。两块巧石，构成一幅神话图景——童子拜观音。今人有诗云：“善村童子惯虚心，五十三参道已深。为了洞明微妙法，黄山又拜古观音。”
2016-08-18,未知,5,童子拜观音是几座山，一直以为是佛像。这山，远看，它双手合掌，静坐蒲团，挺象救苦救难的观音大菩萨，当地人把这山叫作观音山。观音山前，又有一奇山，细细一看，如同一个俯首叩拜的少年童子。真的很形象。拍拍照还是不错的。
2017-05-20,未知,5,在安徽黄山，有一个高高的石头立在那里，就是观音石，在观音石的底下有几块石头像虔诚的童子跪拜在那里，观音亭亭玉立于山崖，接受童子门的朝拜，故称童子拜观音，有云海时又称观音飘海。 两块巧石，构成一幅神话图景——童子拜观音。关于这两块巧石，民间还流传着一个神话故事：很早以前... 关于这两块巧石，民间还流传着一个神话故事：很早以前，南海观音赴罢王母娘娘的蟋桃会回南海，途经黄山时，忽然听到一阵“哇哇”的哭声。观音一找，只见山坡桐树边有一个不满两岁的小孩，躺在破袄片中，哭声凄惨，揪人心肠。原来，这小孩父亲不久前得病死了，今早母亲带他上山采药，母亲又失脚落涧身死。观音心想，留下来既能抚养小孩，又能观看黄山美景，岂不一举两得。于是，观音一摇身，变成一个六十多岁、两鬓霜染的老婆婆，手挽竹篮，抱起小孩，在山坡上搭枝为棚，结茅为屋，一祖孙两人过活。那孩子以树得名，叫“桐仔”。他渐渐大了，不论老婆婆干啥。他都抢着做，让老婆婆歇着．一天，老婆婆掐指一算：“啊呀，出外已八天了。”神仙八天日子，人世间便是八个年头。归期已到，她不能不走啊！她对孩子说：“桐仔，我不是你奶奶！”接着，便把从山坡上拾到他的事说了。然后又说：“桐仔，你也大了，可以自己料理自己啦，让我走吧！”桐仔一听，反而恳切地说：“奶奶，您养我小，我要养你老，不让你走！”第二天，老婆婆来到天都峰前，对桐仔说：“我要走啦！”桐仔一把扯住，跪倒就拜，“奶奶，您不能走”二拜之后，桐仔抬头看，祥云缭绕中站着观世音。桐仔心里明白了，又叩头不已。三拜之后，桐仔又抬头看，只见观音用手一抬，桐仔就跟着她驾云走了．但是，童（桐）子（仔）拜观音的形影化成石头，留在了天都峰前。如果游人看景时，联想到这个神话故事，那真是越看越像呢！
2018-06-13,未知,5,观音菩萨，梵文 Avalokitevara，又作观世音菩萨、观自在菩萨、光世音菩萨等，从字面解释就是“观察(世间民众的)声音”的菩萨，是四大菩萨之一。
2018-01-15,未知,4,这里虽然要很远路程！但是我还是会经常去玩，首先可以锻炼身体，爬爬山，还有一路美景欣赏，来这里的人特别多，非常热闹，推荐朋友们一起来吧。
2016-08-07,未知,4,请愿，老妈想让我要个公主，所以就陪她老人家来一趟，了了心愿。旅游景观可以，环境也好，总得来说还是很满意的。
2018-07-27,未知,5,观音山前有座奇山，仔细一看如同俯首叩拜的少年童子，所以组成了童子拜观音的奇妙景象
2017-11-21,未知,5,观音庙高大雄威气势辉煌气魄壮观，庙里安静和谐，香火旺盛，周围树木茂盛，优美。
2021-03-08,未知,5,观音山前，又有一奇山，细细一看，如同一个俯首叩拜的少年童子。真的很形象。
2018-02-25,未知,5,来到童子拜观音你会感觉到自己很渺小，一切烦恼瞬间没有了。来试试！
2017-10-24,未知,5,不错不错，挺好玩的地方，可以去去玩玩看看的地方
2018-01-01,未知,5,真的景色漂亮，玩的很多，你们一定要来这里耍。
2017-06-17,未知,5,寺院很宽阔，佛像齐全，里面打理得井井有条的
2016-08-21,未知,5,很好，我很喜欢，没有挑剔的东西，还会再来
2018-05-01,未知,5,信念这种东西还是很需要的，至少在心里有
2017-08-09,未知,4,总体来说感觉还不错啦，景色秀丽多姿多彩，趣味性也还可以，很适合一家子或者情侣。
2018-03-19,未知,5,观音寺很大，很多拜佛教人，只希望灵验
2017-07-04,未知,5,此公园环境很好，值得一去。景色很好！
2017-01-25,未知,5,很漂亮的地方，值得去玩玩，风景很漂亮
2016-12-17,未知,5,非常值得来的景点，让人玩得开心
2017-09-09,未知,5,很漂亮的地方，山好水好人也好
2016-03-10,未知,5,挺有趣的一个地方。值得一去。
2017-06-15,未知,4,景色秀丽……趣味十足性价比超高的一个月后
2016-12-09,未知,4,摁挺不错的，有空可以去那边玩一玩，很好！
2016-12-04,未知,4,很好玩，值得去，有空的话可以去逛一逛！
2018-03-19,未知,4,不错的地方，还是非常值得来一次的
2016-11-18,未知,4,非常好，有特点，有景观，值得一去
2016-10-10,未知,4,值得一去，上山空气新鲜，环境宜人
2016-07-18,未知,4,有時間去看看倒没有甚麼，可以不看
2016-02-17,未知,4,广西的景色特别的好，人很稀少。。
2016-10-22,未知,4,值得一去，拜得神多自有什庇佑。
2016-08-05,未知,3,想要生個孩子的迷人地方，聽說生了孩子后要回來還神
2017-01-14,未知,3,我只要积分，你懂的，积分多多，彩礼多多！
2016-12-31,未知,3,有种云里雾里的赶脚，没啥说的。
