date,ip 属地,评分,comments
2018-01-23,未知,5,这次去没有住，早上和妈妈一起带着娃从家出发直接杀到温泉小镇门口，取了票就进去了，服务员小姑娘很好，还帮我把宝宝推车抬下楼了。几个池子都去玩了会，因为娃太小了，游乐设施没有玩，但温泉很好，妈妈和宝宝都很开心，我妈还说以后每个月至少来一次。嗯，离上次来正好一个月。
2016-08-21,未知,5,服务员态度好，环境不错，可能因为现在是夏天，泡温泉的人比较少，不过这正好符合我，不喜欢人太多像下饺子一样，适合休闲度假。 位置就在机场高速出口旁边，方便，而且里面工作人员态度很好，环境也不错，大人小孩都玩的很开心。 户外依山而建，室内滑梯游乐，小朋友大人各有各的玩法
2018-03-11,未知,4,风情岛还没完工吧，很荒芜了，建好之后应该还是很有民族特色的~温泉，有些温度不够，挺凉的，尤其是上岸，要知道今天20多度了，然后，室外有个池，那个水真的是...一言难尽...希望能够改善一下~
2018-03-01,未知,4,小镇环境不错，里面配套设施齐全（浴巾，拖鞋，吹风机，沐浴用品）年11日去的人比较多，开放了20来个池子，水温有高有低，水质看着不是很清澈，相对来说不错了。室内温泉有儿童游乐场，孩子很喜欢，室外的温度偏低一些。
2018-03-01,未知,4,携程网购买方便实惠，小镇环境不错，配套设施完善（拖鞋，浴巾，沐浴露，洗发水，吹风机，梳子都有）年11日去的人比较多，大大小小开放了20来个池子，水温有低有高，由于人多所以水质一般，里面有汗蒸和湿蒸房效果还不错呢，计划暖和些再带家人一起去泡
2017-05-31,未知,5,老少皆宜，休闲度假，双人套票有简餐，有惊喜，性价比较高，温泉池种类多，虽没全开放，但已可满足需要，水疗池最有玩法，适合各类人群
2018-02-12,未知,5,山青水秀，水干净。环境好，值得一来。更何况促销价格！ 有各种水温的池子，还有温暖的游泳也。有各种各样的儿童游乐设施。快去吧！
2018-02-08,未知,5,温泉不错，有室内和室外的，环境优雅，水质干净，还有按摩椅池，石板房，有干蒸房湿蒸房，还有儿童游乐池，可惜去的时候有一些池子没开，水温再热点更好。
2018-05-01,未知,5,五一假期，天气不太热，小朋友想游泳，所以选择了温泉小镇，小朋友们很喜欢，玩得很开心，个人觉得地盘小了一点 ，室内游乐设施也不算多，好在我们去的时候人不是很多。小朋友玩起来还是有空间的。
2017-04-05,未知,5,携程上订票十分方便，到了温泉直接使用机器就可以取票。温泉里棒棒的，环境好，温泉很大，有室内和室外，环境都很不错。水质也很好。下次还会和朋友一起去，携程上购票现在方便快捷。
2017-12-12,未知,5,这里的风景真的很漂亮，冬天人少，开放的池子少，但水干净些，夏季6月来最好，还可以带小朋友过来玩。值得一玩，下次还要来的。
2018-03-01,未知,4,环境不错，水质稍微差些，正月11日去的，大大小小的池子开有10多个，室内有游乐场，孩子们玩的尽兴，浴巾，洗发水，沐浴露，吹风机，拖鞋，梳子都备有，携程买票划算些，取票也方便，计划暖和些再去。
2016-11-02,未知,5,因为是工作日，今天整个温泉小镇被我们一家三口承包了！还是蛮好玩的，尤其是理疗池好好玩！服务员也很贴心，很细心～
2017-12-18,未知,5,带孩子去的，孩子很喜欢，这里夏天应该很好玩，冬天只能在室内，我们去的时候天气不错，没感觉到太冷，就是交通不太方便，跟着导航走的，快到时走了几公里小路，小路正在修路，特别难走，建议大家去的时候走大路
2018-02-14,未知,3,好多温泉没有开，定的带火锅的套票，结果老婆不知道点了其他锅底，最后火锅店才给顶40元，还收我们30元锅底费，总觉得火锅店黑。
2018-02-16,未知,5,很好玩！在网上看到好多差评，所以以前没来，这次是看到优惠来的。可是真的物超所值！很赞的，室内室外安排合理，相对去过的温泉这里卫生还可以。有餐厅！！去别的没有，票里送牛肉面，南方人吃不习惯，不过送的也好评拉。总体来说很满意。
2017-07-13,未知,5,冬天去的，有室内室外的游泳池，更衣室就是设计有点不合理，去室内泳池游泳必须经过室外一段很长的路才能到达，冬天冷的不要不要的，一家玩的挺开心的
2017-04-10,未知,4,琴潭客运站游客中心有免费车接送还算方便；有个很大的室内池，不担心下雨。还有滑滑梯，小朋友很喜欢。只是毛巾只有一条，如果是冬天去应该很冷。
2018-02-25,未知,4,孩子冬天游玩首选，年后人不多，室内池有儿童游乐设施，小孩子玩的也不愿离开，室外池空气流通好，有游泳池可以畅游，晚上一天不用担心孩子着凉
2018-02-27,未知,5,设施齐全，环境优雅，总体感觉还是很舒适的，以后有时间还会再来……
2017-12-12,未知,5,这里的风景真的很漂亮，冬天人少，开放的池子少，但水干净些，夏季6月来最好，还可以带小朋友过来玩。值得一玩，下次还要来的。
2018-03-01,未知,4,环境不错，水质稍微差些，正月11日去的，大大小小的池子开有10多个，室内有游乐场，孩子们玩的尽兴，浴巾，洗发水，沐浴露，吹风机，拖鞋，梳子都备有，携程买票划算些，取票也方便，计划暖和些再去。
2016-11-02,未知,5,因为是工作日，今天整个温泉小镇被我们一家三口承包了！还是蛮好玩的，尤其是理疗池好好玩！服务员也很贴心，很细心～
2017-12-18,未知,5,带孩子去的，孩子很喜欢，这里夏天应该很好玩，冬天只能在室内，我们去的时候天气不错，没感觉到太冷，就是交通不太方便，跟着导航走的，快到时走了几公里小路，小路正在修路，特别难走，建议大家去的时候走大路
2018-02-14,未知,3,好多温泉没有开，定的带火锅的套票，结果老婆不知道点了其他锅底，最后火锅店才给顶40元，还收我们30元锅底费，总觉得火锅店黑。
2018-02-16,未知,5,很好玩！在网上看到好多差评，所以以前没来，这次是看到优惠来的。可是真的物超所值！很赞的，室内室外安排合理，相对去过的温泉这里卫生还可以。有餐厅！！去别的没有，票里送牛肉面，南方人吃不习惯，不过送的也好评拉。总体来说很满意。
2017-07-13,未知,5,冬天去的，有室内室外的游泳池，更衣室就是设计有点不合理，去室内泳池游泳必须经过室外一段很长的路才能到达，冬天冷的不要不要的，一家玩的挺开心的
2017-04-10,未知,4,琴潭客运站游客中心有免费车接送还算方便；有个很大的室内池，不担心下雨。还有滑滑梯，小朋友很喜欢。只是毛巾只有一条，如果是冬天去应该很冷。
2018-02-25,未知,4,孩子冬天游玩首选，年后人不多，室内池有儿童游乐设施，小孩子玩的也不愿离开，室外池空气流通好，有游泳池可以畅游，晚上一天不用担心孩子着凉
2018-02-27,未知,5,设施齐全，环境优雅，总体感觉还是很舒适的，以后有时间还会再来……
2017-12-31,未知,5,环境很好，水温很合适，游玩很舒服，工作人员的态度也很好，设施很齐全，总体非常满意
2018-02-20,未知,5,春节期间去玩的，人不算太多，天气也好。里面设施齐全，小孩子玩疯了。下次再去。
2017-12-31,未知,5,去过很多地方的温泉，这里的环境真的很好，而且停车很方便，池子很多，空气非常好
2018-03-01,未知,5,环境不错，适合这个时候来放松一下
2017-04-01,未知,5,好玩，开心，值得在次来玩。。。。
2018-02-10,未知,4,小朋友喜欢玩，也玩的很开心，去的那天有点冷，但是不影响心情，室外温度高点，泡的很舒服，要是赶上天气暖和就好了
2018-02-19,未知,5,温泉不错，有室内和室外的，室外部分温泉没有开
2017-10-04,未知,5,很值得去，哪里面有滑滑梯，小孩子很喜欢。就是水有点烫，小孩子觉得太烫了，不想下水。
2016-07-17,未知,5,户外依山而建，室内滑梯游乐，小朋友大人各有各的玩法
2018-02-06,未知,4,这是我借用同学的手机买的，这次温泉的舒适度和娱乐程度都很符合我的胃口，唯一一点让人不太愉快的就是学生证必须是桂林本地的，也就是出去外地读书的学生也要买全票，其他还OK。
2018-02-23,未知,4,很舒服，有室内的，之前没发现，去吃牛肉面才发现，亏了，衣服已经换好了，服务员应该提醒下
2018-02-12,未知,5,罗山湖四季温泉小镇位于两江国际机场旁，环境很好
2018-02-16,未知,5,四个人，团了两张票。上一个点评很满意，这个也一样。希望以后越来越好，优惠更多。好评
2018-02-21,未知,4,过年期间带家人去泡了温泉，前台服务人员服务意识还不错，当天开了20个左右的池子，随着客流增多还新开了一些池子，泳池还行，水质比较干净。依山而建，面朝一片湖水，泡完40度的池子出来不觉得冷，还是挺舒服的。小火锅就是两人份的一大盘拼盘，有蔬菜土豆和丸子等，不是饭量大的基本也还够吃。
2017-04-16,未知,3,上次跟公司同事一起来过，当时住的是三楼 ，视野环境都很不错，设施也都很棒，所以这回趁三三再来，结果只能说差强人意，预定的房间偏小不说，设施也不齐全，想换房总台服务也很敷衍，最后以订满为由被拒绝，真是非常不爽，比起上回来玩，这次真想给个差评，后来想想还是算了，真是气人，希望能有所改进吧
2018-03-02,未知,5,离市区较近，出行方便，小朋友玩的比较多
2018-02-26,未知,5,不是第一次来了，但是第一次在网上订票，套餐很划算，这里离家近，过来很方便，池子也多，有室内有室外，有儿童池，无边泳池，设施比较多，来的人也不少，还是比较划算
2018-02-06,未知,5,去到那里是室内的温泉♨️，怎么说呢是一次很舒服的出行，温泉也有多个温泉池，温度也一直保持在我很舒服的温度，非常开心。
2016-09-19,未知,5,不错还行吧我去玩过一次就不想去了
2016-10-14,未知,3,飞机场边上搞一这么单一的游泳场，性价比真的很低，油钱过路费时间都不少，门票费还不低，玩的地方不大，设备也算不上先进，没玩过的，顺路去机场的可以去看看。
2017-06-03,未知,4,环境好，幽静，还没什么人打扰，挺好的，不过很多药理温泉都不开，只有固定的几个小池，有点小失望，总体环境不错
2017-12-25,未知,5,里面有室内和室外的温泉池，而且可以根据个人需求选择不同温度的池子。冬天在温泉池里泡着也不冷，很不错的体验
2016-07-12,未知,5,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
2019-02-12,未知,5,人不算多，条件挺好。人不算多，条件挺好。人不算多，条件挺好。人不算多，条件挺好。人不算多，条件挺好。人不算多，条件挺好。
2017-12-12,未知,5,风景非常美丽，冬天人很少，开放的池子少，水干净，最好6月来玩
2017-09-16,未知,5,蛮好玩，特别是孩子，快乐疯了！就是价格有点小贵，还希望有优惠
2019-07-12,未知,5,这里的风景美如画，四季如春，而且水温不错，还有恒温泳池呢！
2018-03-31,未知,5,景色幽静美丽，环境极佳，但游客稀少，可能是淡季的原因
2016-08-13,未知,5,位置就在机场高速出口旁边，方便，而且里面工作人员态度很好，环境也不错，大人小孩都玩的很开心。
2017-07-03,未知,5,适合家庭出游，离市区较远，环境不错，温泉酒店很好～
2018-10-15,未知,5,带着孩子一起去，有孩子的游乐场，有大人的温泉欲
2018-02-22,未知,5,大年初七，人挺多，但是开的池子并不是很多。。游泳池挺好玩，泡后洗浴不太方便，人多得等。
2017-12-30,未知,5,池子挺多的，就是空着的也挺多，室内的水每半天换一次，还是比较干净的
2018-09-12,未知,5,罗山湖景区环境很好，很美，我们玩儿的很开心。
2017-12-24,未知,5,温泉总体不错，就是水温有点偏低，大部分都是39-41度，价钱是不是搞错了，只有两张票
2017-04-13,未知,4,挺好.不错，跟朋友一起去玩的，服务态度也不错
2017-12-05,未知,5,好玩，小孩子很开心，环境也不错，下次再来。
2018-04-29,未知,5,游桂林后，到罗山湖四季温泉泡个澡澡，舒服
2016-08-29,未知,3,新开的景点，里面的设施还不够完善。夏末的周末去的，人不多，在室内玩不会热，晚上就可以出室外玩了，还有些凉。大概过段时间冷些时候价格会贵起来吧。室内小孩子的池有些脏，会有落叶和一些死掉的小虫子，趣味性不高，就是去泡泡，还可以吧
2016-11-06,未知,5,环境优雅、酒店很新，房间很大，服务很好～～～～～…………………………～～～～～～～～～～～～%氵…………………………一
2019-08-22,未知,5,挺好玩，孩子玩挺不错的，性价比很高。
2018-05-30,未知,5,搞特价还行，人太多搞特价还行，人太多
2018-01-13,未知,5,非常不错，主要是人少，池子虽然不多，但是网购价性价比很高
2017-12-10,未知,4,此次出行计划总体感觉还行！物超所值吧
2018-04-11,未知,4,这里最大的好处就是距离市区比较近，周末可以带家人一起来泡泡澡，打发下时间。
2018-02-25,未知,5,有室内有室外温泉，汗蒸，湿蒸都有。
2017-05-01,未知,4,多数温泉池没有放开，有干蒸，湿蒸房。有些池的水温不像标注的那样高，希望冬季时能有所改善。小火锅的份量也不是很足。 居然毛巾还限量提供。 期待完善服务质量！
2018-02-15,未知,5,环境优雅，性价比高，小孩特别喜欢
2018-04-18,未知,5,第二次来，温泉门口的小妹服务很好，大方得体，热情周到。人很多，小孩玩得很开心！携程定票很快很实惠很方便，满意！
2017-04-02,未知,5,开车推荐走高速过去。里面环境不错，小朋友玩得很开心。就是从温泉去休闲区吃小火锅要换好衣服才能进去，略有麻烦。
2018-02-26,未知,4,第一次来玩，总体感受还是可以的，水质再好一点就好了，开放的池子也还好，就是买票送的牛肉面有点不好吃啊。
2018-02-19,未知,5,室外有差不多10个池子，温室内有5、6个池子，还有一个儿童游乐温度普遍属于温水，很暖和的池子有5个，
2016-11-09,未知,5,池子很多，有个室内的区域，有汗蒸，儿童去，N个池子，很好很舒服，今年冬天还要去。携程取票很方便，推荐
2019-02-03,未知,4,好多人，难排队，排“大滑梯”用了一个多小时！不过票价便宜！
2018-02-17,未知,5,一家人去的～户外的池子泡着比较舒服，室内有按摩池，不错的，洗澡的地方如果可以配上梳子和水乳就好啦～
2018-02-07,未知,5,和朋友们一起去，确实挺好玩的，设施也挺好，服务者也值得夸赞
2018-04-07,未知,4,环境优美，服务周到，很多泡池，但可能泡客不多的缘有些没开。我们在网上订票的，到现场票还贵五元也不享受牛肉面，解释说在搞活動。此为遗憾之处
2018-02-03,未知,3,去的时候好多池子都不开放，就是室内开放了几个池子水比较脏
2018-01-13,未知,5,非常不错，主要是人少，池子虽然不多，但是网购价性价比很高
2017-12-30,未知,5,还行，温泉的按摩座椅很舒服，很划得来
2017-12-10,未知,5,和朋友一起来泡温泉，大家都说不错，又遇上特权日，很划算，这里环境很好，离市里也不远，还会再来。
2018-02-18,未知,5,挺好的，便宜又方便，现场可以自动取票，不用排队，帮朋友三人买的，朋友进去了，春节人不是很多。
2018-02-10,未知,5,挺好的***啦
2017-12-02,未知,4,自己带着速食食品去的，没考虑饮食的问题。开放的池子不算多，水温很好，清洁度也不错。能泡的时间也不敢太长，优惠力度不大。总得来说凑合吧
2017-04-07,未知,5,温泉小镇环境优美，设施还不错，可是餐饮没跟上，那个火锅太差劲，三人份量只够一人吃，饭是夹生的
2017-04-07,未知,5,温泉小镇环境优美，设施还不错，可是餐饮没跟上，那个火锅太差劲，三人份量只够一人吃，饭是夹生的
2017-04-07,未知,5,温泉小镇环境优美，设施还不错，可是餐饮没跟上，那个火锅太差劲，三人份量只够一人吃，饭是夹生的
2018-01-25,未知,3,锅炉不错！能把这么多坑水加热。
2017-04-21,未知,5,还不错，挺划算的，就是有些池子没有开，别的都还好！
2017-12-16,未知,5,游乐场的水温还是不够热的，旁边的池子泡着也很开心
2018-02-19,未知,5,温泉洗浴品类齐全，大人小孩都很尽兴，下次还来！
2018-02-19,未知,5,温泉游泳池很大，大人游泳都很尽兴，小孩玩得开心
2018-03-09,未知,3,温泉人很少，很多池没开，尤其热水池，更衣室条件差，交通不便。风情岛我没进去，不能停车叫做基础设施不具备开业条件，门口在缺一个会说人话的保安，强行开业只能弄的声名狼藉
2018-02-21,未知,4,过年期间带家人去泡温泉，当天开了20多个池子，随着客流的增加又新开了一些池子水温在40度，出水并不是特别冷，水质还比较干净。
2018-03-28,未知,5,一家人去的，整体环境还不错，服务态度也挺好
2018-02-18,未知,5,在携程买票非常方便，而且便宜。我帮朋友买好票，朋友进去了，我在外面，挺好的，推荐。
2018-02-14,未知,5,不错，今年第二次去了，人不算多，环境好！
2019-05-17,未知,5,去了两次很舒服的！视野开阔，卫生干净！
2018-02-28,未知,5,罗山湖四季温泉小镇总体来说还是挺好的，室内小孩子玩的地方很大，适合带孩子来玩。
2018-02-19,未知,5,水温适中，很不错，环境很好，玩得开心。
2018-02-28,未知,5,罗山湖四季温泉小镇挺好的，室内的按摩池不错，适合老人去玩，室外景观非常美丽。
2017-12-30,未知,5,挺好的，池子也多，觉得室内水温比较冷
2017-12-18,未知,5,很好很好，已经来过几次了，还会再来。
2018-02-21,未知,5,有很多的池子，去的时候人不是很多，泡得很舒服。还有石板床，睡上一觉很舒服。
2018-02-11,未知,5,环境优美，水质不错，值得游玩一番。
2018-02-08,未知,5,温泉不错，蛮好玩的，配备设施也很好
2017-02-13,未知,3,这里最大的好处就是距离市区比较近，周末可以带家人一起来泡泡澡，打发下时间。
2019-08-21,未知,5,已经来几次了，不论是冬天还是夏天都很好，尤其夏天人少，更加适合亲子安排。
2018-04-15,未知,5,这是第二次去了，泡起来还蛮舒服！
2018-02-21,未知,5,空气清新，环境也很好，有些池子没有开，不过去的时候人不算多，泡得很舒服。
2018-02-21,未知,4,冬天开放的池子比较少，人也不多，因为不是密闭的，出了水池有点冷，特别是从更衣室到水池有段室外的通道，低温天会冷
2018-02-14,未知,5,还不错！只是订房应该和票一起！
2018-01-27,未知,5,还行，环境还可以。。挺干净的。
2019-08-21,未知,5,环境优美，设施不错，性价比超高，尤其是适合亲子活动，超赞，还会再来。
2017-03-22,未知,4,门票有点小贵。还不错，环境蛮好。路线图再标一下，以为只有门口和室内，山上不知道还有池子，后来太阳下山才泡到。
2018-04-14,未知,5,非常不错，开的池也不少，服务很到位，还有小朋友的游乐设施以及休息室
2017-04-16,未知,5,房间很大，设备好，环境好。不过要加强杀虫，住一楼，房间发现有蜈蚣。
2017-04-08,未知,3,进出需要刷房卡即可，只要入住就可以无限次泡。在更衣室里有干蒸跟湿蒸
2017-12-10,未知,5,很好很好的休闲放松的地方，和朋友家人一起来享受周末的时间，很好。
2017-11-14,未知,5,很好，可以选择很多泡澡的池子，室内还有好玩的项目，休息还要再来。
2017-10-05,未知,5,地址在罗山湖酒店里面一点，非常不错，值得去，环境不错，池子很多。
2018-04-05,未知,5,非常好玩，下次还会再去，而且有小朋友玩的温泉娱乐设施，非常贴心
2019-08-10,未知,5,环境很好，水温合适，安全措施做的好。场地宽敞。泳池多可选性多
2018-03-07,未知,4,这次去泡温泉天气较冷，儿童游乐设施没开放，儿子有点小失望，不过还好，最后在按摩池玩了很久，还算尽兴。
2018-02-26,未知,4,专门选的礼拜一去玩，人一般多，水质一般，那牛肉面太不好吃了。
2018-02-22,未知,5,非常棒的地方！！环境优美！！！温泉舒适！！！值得一去！！？？
2017-12-10,未知,5,很不错哦，玩得很舒服，环境也好又近，下次带家人来泡温泉。
2018-02-27,未知,5,非常不错的温泉圣地，在里面泡温泉的很舒服，空间也很大
2018-03-02,未知,5,不错，适合老人带小朋友，离市区近，小朋友玩的项目多
2017-12-10,未知,5,非常好，环境好，可以选择的项目也多，休闲的好去处。
2017-12-03,未知,5,很不错，很喜欢这里的环境，就是有部分池子没有开放。
2017-08-24,未知,5,小孩玩的很开心，就是设备偏旧，感觉水池没有非常干净
2018-02-19,未知,5,孩子们第一次泡温泉，开心得不得了，说下次还要来。
2017-05-01,未知,4,总体来说还是不错。建议增加温泉水煮鸡蛋，用餐时需要换自己干的衣裤，所以不要限量提供毛巾。
2017-03-16,未知,5,平日去遊人很少，溫泉設施很好，夏天去还有水上乐园
2017-04-04,未知,4,感觉不错，环境还好，室内水温有点低，小孩回来后感冒了，气温再高点去更合适，尤其带小孩。
2018-03-02,未知,5,不错，适合带小朋友出游。接近市区，出行方便
2018-02-25,未知,5,还可以，泡起挺舒服的！有时间一定还会在来，
2018-01-13,未知,4,总体还不错的，就是室内儿童游乐场那水冷了些
2019-02-09,未知,1,唉，出来旅游这么多年，真不该贪小便宜，这么垃圾的地点怎么在**这么有水准的APP出现，难道**推出产品不去实地了解一下吗？好坑啊，最差的一次体验！ 第一服务差，进入后只给一条浴巾，老大你是温泉只给一条浴巾怎么搞，又不是来洗澡的！问服务员要浴巾一条湿的换一条干的，服务员不同意，沟通好久也不给，最后到总台找管理人员，管理人员又要我找服务员，最后在我要投诉情况下，服务人员才带我去仓库拿了一条干浴巾，我的天啦！关键服务人员一路碎碎念，给我浴巾时候还用本地话说了一句脏话！太过分了！ 第二，从换了衣服到儿童乐园就是所谓的巨蛋好远的距离，一路一条浴巾桂林又降温好冷啊，关键巨蛋内温度也不高，就是那么几个小池子，人多的不得了，泡温泉多年经验就***烧的开水！所谓儿童室内大型滑梯游乐设施就一个大池子里面放的小区常见的儿童整体滑梯，关键池子里的水是冷的！所谓露天温泉在儿童乐园对面，距离也很远。就是几个普通池子，有2个池子是冷水。有几个池子没开！ 第三距离太远了，离桂林市区开车不堵车情况下有30多公里，交通不方便！ 第四整体设施很陈旧，看了下停车场的车牌，基本没本地的，估计都是外地去被坑的！ 总体说，非常不满意，特别带小孩的注意别把小孩搞感冒了，****这么多年第一次给差评，不想看其他人被骗，说了实话！
2018-06-02,未知,5,风景很好，离机场很近，很方便，玩的也很多
2018-02-19,未知,5,泡了两个多小时，有吃的，玩的，环境很好！
2017-04-02,未知,5,环境很好，巨蛋里的滑滑梯是孩子的最爱，，
2019-08-20,未知,5,很好玩，就是这一次去没有开放室内游乐场
2019-05-17,未知,5,去了两次很舒服的！视野开阔，卫生干净！
2018-09-24,未知,5,环境还可以，就是人有点多，时间太赶了！
2018-03-06,未知,5,老人带着孩子去，人不多，很干净，经常去
2018-02-19,未知,5,水池很大，温泉中心方便实惠，下次还来。
2019-01-06,未知,5,非常好的一次温泉之旅，设施好，舒服！
2018-02-18,未知,5,很好玩，过年去泡下不错，环境也很好！
2018-01-13,未知,4,总体还不错，就是儿童游乐场那水冷了些
2017-12-31,未知,5,罗山湖温泉小镇环境好！服务设施齐全！
2017-12-16,未知,5,还可以的，小孩子玩的都不想走，哈哈
2017-04-01,未知,5,好玩，开心，值得在次来玩。。。。。
2018-02-15,未知,5,性价比高，环境优雅，里面好大，，
2017-12-31,未知,4,这个天不适合去啊，一分钱一分货。
2017-12-24,未知,5,风景很好，安静悠闲！！！！！！！
2017-12-16,未知,5,不错，不错，真不错！合适周末玩玩
2017-04-03,未知,5,很好，一家人很开心，老人也很开心
2017-04-03,未知,5,很好，一家人很开心，老人也很开心
2017-04-03,未知,5,很好，一家人很开心，老人也很开心
2017-04-03,未知,5,很好，一家人很开心，老人也很开心
2017-04-01,未知,5,好玩，开心，下次还会来。。。。。
2018-03-12,未知,5,还不错，去的时候天气正好跟舒服
2018-02-28,未知,5,整体环境可以，适合带小孩子来玩
2018-02-28,未知,5,整体环境可以，适合带小孩游玩。
2017-12-16,未知,5,还不错，就是儿童玩的区域水太凉
2017-08-21,未知,5,水上乐园挺好玩，园内午餐一般。
2017-08-21,未知,5,水上乐园挺好玩，园内午餐一般。
2017-07-23,未知,5,挺大的 设施也挺好的 室内有泳圈 。
2017-03-31,未知,5,很满意。比想象中的好。很多池子
2018-02-21,未知,5,孩子玩的很好 下次继续来 很好
2018-02-21,未知,4,还不错哦 设备比较新 我们是过年大年初一去的 人有点多 特别是小孩多 有点吵
2018-02-21,未知,5,很好 服务不错 值得下次再去
2017-04-04,未知,4,环境不错，泡了几个池，孩子玩的池水温有点低，气温更高点时去更合适
2019-11-23,未知,5,环境不错，硬件设施赞
2017-04-30,未知,4,再次享受温泉的暖意，家庭一起享受，吃火锅，泡温泉，不错不错
2017-04-30,未知,4,再次购买新年玩的好开心，露天，体温被风吹的好冷，要披风起来
2018-02-22,未知,3,我们正赶上桂林降温，所以真的很冷，加上春节人又多，所以体验有点儿差，如果风和日丽应该是不错的
2017-04-30,未知,4,温泉不错，地方大，也有不同温泉池，露天，室内都可以玩
2020-03-23,未知,5,不错，很好
2018-04-18,未知,1,玩得还可以 为什么给差评 就是非常不满意的是 限制儿童1.2米一下 高几厘米就要买儿童票 没办法 儿童票比网上成人票还高 重复买 正常游乐场1.4米以下 很不科学的设置
2018-02-21,未知,4,过年带家人一起去的 温泉都是室内的 不太冷 还可以哦环境
2017-04-04,未知,4,孩子们玩得很开心，总体评价不错，气温高点去玩更好
2018-02-23,未知,4,很好，就是室内的泡完洗澡了才知道，下次再去玩
2018-02-18,未知,4,部分池子没有开放，带小朋友还是值得一去。
2019-02-08,未知,4,还行吧，池子开的不多，人太多，水不干净
2018-10-23,未知,4,总体还可以，就是室内儿童游乐场水比较脏
2019-07-04,未知,4,只能说一般，泡的池子不多。都差不多
2017-04-07,未知,4,环境一流，泡法丰富，服务也不错！
2017-04-07,未知,4,环境不错，泡法多样，服务也可以！
2018-12-29,未知,4,开放的池子比较少，还行吧！！！
