date,ip 属地,评分,comments
2018-07-30,未知,5,这里田园风光很美，落日更美。从山顶往下看，风景真的漂亮，周边住的都是诸葛亮的后裔。草庐的建筑风格很有特色。有个武侯祠看起来还不错。喜欢自然风光人文历史的驴友可以去看看，绝对不会让你有所收获。
2021-07-21,未知,4,一个感觉非常小众的景点。开车到最后1000米时进了村子，都快放弃了，看到了很乡土风格的几块指示牌子，有指示才放了心。 其实整个景点就是一个这边普通的喀斯特地貌的山头。从山脚下登上去山顶看看景色。大概爬个20分钟就能登顶吧。但大夏天的实在是太热了，爬了会就感觉人都要中暑了。好不容易上去了山顶，发现上面修了个小水泥亭子，赶紧躲进去，还是非常凉快的，但身上跟洗了澡一样。索性脱了光膀子。 景色的话还可以，桂林的山水讲究山和水。这里两者都有。虽然水不多但好歹也有。比那个如意峰还是强很多。我逗留了30分钟后下去了。 要说的是我是在携程上提前30分钟订购的优惠门票。携程显示立刻就确认了。但到了山下的村民检票口时被大叔告知没有收到任何内部的购票通知。我预感就是扯皮后，立刻将携程的优惠网票退了，又在现场以每张再贵10元的标价重新买了票才被允许进入。所以大家提前有个思想准备。 门口大叔口口声声说：等2-3小时都不见得能收到票的到账通知，更别说你提前30分钟刚买的。所以来这边在携程上买票的话还是提前久一点吧。
2021-09-21,未知,5,阳朔的山也爬了不少，翠屏五指山难度性不大，大概20min即可登顶，不过位置有点远（西街坐车30-40分钟）。这里是有名的日落日出摄影地，会看到不少专业人士来拍照！比起相公山和电视塔，我觉得翠屏五指山可以一试！！
2019-02-11,未知,4,大美，我们春节前去，包山了，人品好，本来阴天，上山居然天亮有日落，景点扣一分是因为出去的路太烂了，车都刮花了。携程有点混乱，我一开始买了票，听说阴天退了，后来出太阳又买了，用的后面买的票，但是前面的还不给退，啰啰嗦嗦沟通了几天才给退。
2017-12-19,未知,5,景点景色超级棒，绝对是不可复制的景点。俯瞰山川田园真有美如画的感觉。路途稍微偏远一些，还需要扩大宣传。酒香也怕巷子深！
2018-09-26,未知,5,根据导航顺利自驾抵达，换票顺利，步行上山20分钟即到观景台。天气非常配合，从日落直至彩霞满天。
2018-03-28,未知,5,景色很美，相机好时间对的话可以拍出大片来！听说属于摄影基地的那种。交通不太方便所以游客极少，我们自己包车去的，从进去到出来没见到别人，山不高，也很容易爬，干干净净，上面还有厕所，管理的不错。从携程买票一张便宜10元钱。
2018-10-05,未知,5,拍日落的最佳地点，位置有些远，没有车过去不方便，可以住携程网定票，便宜10元钱。
2018-08-01,未知,5,那里的风景真的美美哒，原生态景色保护的很好。一年四季都有不一样的景色。
2018-07-31,未知,5,非常漂亮，值得一去。阳朔一个不可错过的地方，强烈推荐推荐推荐！
2018-07-17,未知,5,超赞此次游玩非常愉快，快速便捷
2018-02-13,未知,4,景区的路很难找，一定要自驾游才可以，山上风景非常漂亮，可是看见葡萄峰全貌
2018-04-02,未知,3,景区本身景色很好，但是前往景区的道路非常难开，景区的施工也没有完成，景区的工作人员对于网上预订也不是特别熟悉。
2021-04-05,未知,5,总体超赞，景色不错，性价比高，
2018-07-22,未知,3,好小的景区 只能看个日落
2023-03-23,广西,1,按导航找到地方，看着不像个正规景点，上山路有个铁栅门锁着，一个卖东西的人摆个牌子每人收费50元，缴费后给开门可以上山，没敢上去。 近景点的路很不好走，性价比很低
2019-02-11,未知,3,田园风光不错，但交通不便，门票贵。
