date,ip 属地,评分,comments
2023-08-20,山东,5,20230311下午： 1、“芳莲池”位于4A景区“芦笛岩”是国内著名的喀斯特溶洞，洞内仙宫秘境和洞外山水田园，让人能同时身临其境得感受到桂林山水的里里外外，被誉为“大自然艺术之宮”，景区历史悠久，自唐代起便有文人墨客探洞，留有自唐贞元八年（792年）以来的历代壁画70多幅。近代开发的时间较早，是老版《西游记》电视剧中的“东海龙宫”和17集里的“芭蕉洞”、“摩云洞”的取景地，曾接待过美国前总统尼克松、卡特等诸多外宾，又称“国宾洞”。芦笛岩因洞口古时生长有一种可制作笛子的芦荻草而得名。 ①地址：桂林市秀峰区芦笛路1号。 ②交通：公交直达，开车也很好停。 ③旺季：无，但夏季去可避暑。 ④用时：2小时。 ⑤注意事项：洞内无信号，但有免费WiFi可连。 2、芳莲池面积不小，可在池内坐竹筏，池边有“风洞亭”（休息观湖亭，亭下的“风洞”可能指的是湖边的假山石洞）、“碧泉瀑布”（瀑布已干涸）、水榭、“芦笛苑”（悬湖小屋，目前是游船售票处）等建筑。湖边尝了尝桂林小吃水糍粑当午饭，类似年糕。
2024-10-25,四川,5,可以去看看，人工湖，座座竹划在湖中观景。
2018-10-05,未知,5,桂林的山美水美无处不在，芳莲池就是山脚下一个水塘，却也美的不要不要的，山青水碧，青山倒影在水中，清澈可见，山光云影共徘徊，景色非常漂亮。
2017-03-31,未知,5,小小竹排江中游。。巍巍青山在雾中。。。
2017-11-18,未知,5,池水清澈见底，上面漂浮碧绿的莲叶，粉红的莲花，雾气腾腾，犹如仙境一般，一望无际。
2018-09-03,未知,3,就一个大水池子，没什么好玩的！
2017-12-20,未知,5,西南建丰收亭，并有曲桥通连。楼台亭榭，碧水如镜，令游人雅趣盎然。
2019-03-05,未知,5,这里的湖水清澈透明，周边景色十分秀丽，非常值得一看！
2017-10-02,未知,5,风景非常优美，推荐大家去看看。
2017-06-07,未知,5,池水非常非常的干净的，空气质量很好的！
2022-06-10,未知,5,池水清澈见底，鱼儿自由自在。。
2017-09-24,未知,3,可能因为交通管制，这边的竹筏项目已经停了，9月底来的，没有什么景色
2021-01-16,未知,4,芦笛岩附近小湖 免费 风景挺不错的
2017-08-26,未知,3,太过商业化，还是质朴一点更吸引人
