date,ip 属地,评分,comments
2024-08-29,广西,5,古朴风格，值得游览，体现文化历史
2023-08-20,江苏,5,20230312上午： 1、“花桥”位于4A景区“七星景区”内。七星景区是漓江东岸的山水溶洞风光，是桂林市最大的综合性公园，历史悠久始于隋唐，留有徐霞客、邓小平、邓颖超、粟裕、李岚清、吴邦国、李铁映、十世班禅、西哈努克、克林顿等名人足迹，森林覆盖率84%堪称桂林绿肺，并占据桂林古续八景中的两处，即“栖霞真境”和“壶山赤霞”。七星景区所在的“七星山”由“普陀山”的4峰（天枢、天璇、天玑、天权）和“月牙山”的3峰（玉衡、开阳、瑶光）组成，7座山峰以北斗七星分别命名，分布形状犹如北斗七星，七星山由此得名。 ①地址：桂林市七星区七星路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：6小时。 2、我从南门“花桥大门”入园，春节装饰仍在，与桥前的两座威武俏皮的石狮子、桥下放牛郎铜雕搭配得很协调。再往前便是横跨漓江的“花桥了，此石桥是桂林名桥。
2024-10-14,广西,5,桂林的七星景区，以其如画的山水闻名遐迩。而在这美景之中，花桥无疑是一颗璀璨的明珠。花桥横跨小东江与灵剑溪汇流处，水色澄碧，桥影绰约，美不胜收。
2016-06-14,未知,5,很不错啊，走过这个景点觉得真心不错啊.。
2017-03-29,未知,3,真的没啥，路上很堵的。市容不是很好。桂林那个三月三也没啥看头，就是一些买吃的，唱歌的，性价比对于我这个一线城市生活来说还行。
2017-08-06,未知,4,花桥是桂林著名古建筑之一，始建于南宋嘉熙年间，故初名“嘉熙桥”。又因桥东侧突兀高耸着一块“天柱”巨石，人们将此桥唤作“天柱桥”。元末明初，该桥被洪水冲塌。明景泰七年（1456年），桂林知府何永全在原来的桥基上“架木为桥”。嘉靖十九年（1540年），靖江安肃王妃徐氏，重修为现存的四孔石桥，同时增旱桥6拱，以加强排洪措施。桥分东西两部分，东段为水桥，长60米、宽6.3米、高8米；西段为旱桥，长65.20米。1965年整修时新增一孔为七孔。平常两江之流从水桥缓缓南去，汛期洪水则从旱桥排泄。
2017-11-30,未知,4,七星公园一进门就要先过花桥，其实未进公园，在门票上就先睹芳容了。 桥的历史能追溯到宋代，明代的时候因为附近花木繁茂更名为花桥。 元末明初的时候曾被洪水冲塌过，后来修修补补成了现在这个样...
2017-06-10,未知,5,人在水上，水在桥下，风景秀丽，不错。
2017-12-19,未知,5,在七星公园里，好多年了，桂林的标志性建筑之一，老桂林了
2018-11-25,未知,5,推荐夜游坐船，经过桥洞。夜晚景色很美，灯光很好。
2018-06-12,未知,5,很多名人画家在此写生，名气杠杠的！
2018-03-02,未知,4,花桥，是七星岩景区的景点之一。一进大门，花桥就映入眼帘。小桥流水景色宜人。
2016-10-05,未知,5,石板铺路，桥面很宽阔，游客很多
2018-12-11,未知,3,花桥在七星公园里面，桥看上去还是很有历史感的，但是就是一座桥吗，没啥趣味性，七星公园倒是很漂亮
2018-08-21,未知,4,看一看桂林的山水 欣赏一下水中倒影
2017-07-07,未知,3,一座石拱桥，但是是非常小的一个桥。
