date,ip 属地,评分,comments
2018-02-18,未知,5,草坪乡位于桂林东南35公里的漓江之滨，今属桂林市雁山区。草坪乡与阳朔县交界，东接灵川潮田乡，北邻大圩镇。在漓江的整个游程中，草坪算得上是观景高潮的“序幕”。这里群峰屏立，中有一平坞，沿着西岸如屏似障的削崖绕坞而行，形成一幅奇特的风景线。若逢阴雨天气，“烟云绕万峰”的奇景有如淡墨浑挥，化入天际，沉入水中。草坪乡风光旖旎，拥有安吉、猫耳、冠岩3大著名洞穴，而漓江沿岸的风景更是令人难忘，参加漓江竹筏精华游可以从漓江之上领略草坪段的美景。不过也有许多游客会选择徒步或者骑行进入草坪乡，沿途可以欣赏草坪乡原生态的田园风光，感受这儿纯朴的人文底蕴。草坪乡居住着4000多各族人民，回族人口约三分之一，他们的先人在200多年前就移民至此，是广西壮族自治区唯一的回族乡。当地盛产明橙和朱砂李。如果是久居都市的游客，会依恋于这里的“采菊东篱下，悠然见南山”的田园风景，感动于这里的纯朴民风。 草坪乡位于桂林东南35公里的漓江之滨，今属桂林市雁山区。草坪乡与阳朔县交界，东接灵川潮田乡，北邻大圩镇。在漓江的整个游程中，草坪算得上是观景高潮的“序幕”。这里群峰屏立，中有一平坞，沿着西岸如屏似障的削崖绕坞而行，形成一幅奇特的风景线。若逢阴雨天气，“烟云绕万峰”的奇景有如淡墨浑挥，化入天际，沉入水中。草坪乡风光旖旎，拥有安吉、猫耳、冠岩3大著名洞穴，而漓江沿岸的风景更是令人难忘，参加漓江竹筏精华游可以从漓江之上领略草坪段的美景。不过也有许多游客会选择徒步或者骑行进入草坪乡，沿途可以欣赏草坪乡原生态的田园风光，感受这儿纯朴的人文底蕴。草坪乡居住着4000多各族人民，回族人口约三分之一，他们的先人在200多年前就移民至此，是广西壮族自治区唯一的回族乡。当地盛产明橙和朱砂李。如果是久居都市的游客，会依恋于这里的“采菊东篱下，悠然见南山”的田园风景，感动于这里的纯朴民风。
2015-11-25,未知,5,"雁山区的草坪回族乡, 新劈了一条绿道, 是徒步与骑行者的绝佳去处！ 绿道从碧岩阁起, 畔漓江而上, 古树竹林, 曲径通幽; 或宗祠老村点点, 或驿站驿舫处处; 或老街修旧如旧, 或酒肆客栈老瓶装入了新酒; 行走其间, 似觉古风古色古香古韵扑面而来, 不知不觉中回到了好多年以前…"
2016-03-25,未知,5,我们是徒步路过这里的。沿漓江步行，一路走到村子里，然后有回到江边，饱览了漓江风光。因为是徒步，路上游客不多，很悠闲。也不急不忙，看到了旅行团里看不到的风景。
2015-11-11,未知,5,前往冠岩的路上就能看见这一片漓江边上的绿洲。远处的山峰层层叠起，这里的漓江又十分宽阔，清澈并不深。沿着乡间小道一路行驶，看上去十分自然和谐
2022-08-30,广东,5,所见即所得！在“地面”看日出也能收获意想不到的惊喜。这真是视觉上的一场盛宴。草坪乡，一个平凡却到处都充满惊喜的地方，
2015-10-30,未知,4,在距市区35公里的桂县境内、是广西壮族自治州唯一的回族之乡、是一个非常原生态的地方、河水清澈见底、空气清新、山峰奇秀、犹如画景。
2021-04-21,未知,5,非常纯朴，值得一来，不一样的感觉！！
2016-11-17,未知,3,太一般了，没有兴坪那边景色好。
2016-11-16,未知,3,太一般了，没有兴坪那边景色好。
2018-04-14,未知,4,草坪一带景色特别翠绿，真的很美！
2018-03-17,未知,4,有自然之芬芳，有自得之怡然啊好地方
