date,ip 属地,评分,comments
2019-06-17,未知,5,真的不错，新开发，人很少，我们三个人来导游还是耐心地讲解，算是包洞了洞里面很凉爽，19到20度。里面的莲花宝座很美，钟乳石很壮观。可惜的是有些地方遭到当地人的破坏，让人心疼。避暑美景圣地，值得一去。
2019-05-03,未知,5,五一难得无人的景点，幽静又好看。这个岩洞只开发一年不到，大概知道的人很少，所以游客少。景区服务很好，门票包含景区摆渡车来回，导游给我们全程讲解也是不收费的。很好玩，体验下溶洞的钟乳石自然景观。从进去出来大约45分钟就够了。离高铁站也很近，不过因为景区附近无车，要租车去。价格合理。
2017-04-18,未知,5,莲花岩位于桂林市阳朔县兴坪镇东北6公里的白山底村旁的一座石山内，因岩内有100余块像莲叶的盘石而得名。洞长481米，最宽处25米，最高处38米。岩内钟乳石、石柱、石幔遍布，景色奇特壮观，目前已命名的主要景点有”莲塘奇观“、“双龙出洞”、“仙莲倒吊”等十余处，一些景观尚未取名。在六十年代前该岩还鲜为人知，当地人叫该岩为“匍地岩”，因该岩洞口太小，爬行方能进岩而得名。0莲花岩岩体如瓶，内宽外窄，岩口狭小，已开发供游览部分长481米，岩内乳石遍布，形态万千，已命名景点百余处。岩内景观主要有：莲塘奇观，水面飘浮着大大小小108块如荷叶的云盆，盆中满盛天然穴珠，又称溶洞珍珠，大小、形状、颜色与莲实同。仙莲倒挂，进口处簇簇乳石，如片片莲瓣，橡一朵硕大的莲花，高悬洞顶，华丽夺目。双龙出洞，进岩100余米，两旁岩壁，各有一石槽，婉蜒曲折，直至洞底，像两条蛟龙，向洞外飞行。深潭巨蟒莲塘左有潭，深不可测，与岩外小河暗通，经年不涸。潭畔有石痕，其中一道深陷如蟒，遍结小石，如鳞，盘曲潭边。
2016-11-04,未知,5,岩体如瓶，内宽外窄，岩口狭小，已开发供游览部分长481米， 莲花岩岩内乳石遍布，形态万千，已命名景点百余处。 岩内景观主要有：莲塘奇观，水面飘浮着大大小小108块如荷叶的云盆，盆中满盛天然穴珠，又称溶洞珍珠，大小、形状、颜色与莲实同
2019-07-08,未知,5,景点。平，靓，正，好得值得一去。网上买票比现场优惠。
2015-11-02,未知,5,它位于兴坪镇的白山底村旁的一座石山内，据说是因为岩内有100多块像莲叶的盘石而得名。岩内有各色钟乳石、石柱、石幔等等，景色奇特而壮观，非常值得一看。
2015-11-29,未知,5,这里是大家都值得去的！世界独一无二岩溶洞奇观。
2021-02-28,未知,5,岩内钟乳石、石柱、石幔遍布，景色奇特壮观，主要景点有”莲塘奇观“、“双龙出洞”、“仙莲倒吊”
2019-06-25,未知,3,散客很少，大概30分钟就可以走完，感觉讲解员一直催促让你快点逛完好锁门。其实全部的溶洞都大同小异，主要是离兴坪古镇比较近。
2017-06-10,未知,4,景色奇特壮观，目前已命名的主要景点有”莲塘奇观“、“双龙出洞”、“仙莲倒吊”等十余处，一些景观尚未取名。
2019-08-25,未知,5,哈哈！估计很多人去桂林都没有发现这景点，因为这景区没有打广告，听说以前是政府保护起来的，一进去就被这神奇的景观所吸引，科学都解释不了！超赞！
2017-02-05,未知,1,景点已关闭，进去的路太小了没地方停车
