date,ip 属地,评分,comments
2016-12-08,未知,5,虞山景区位于桂林市叠彩区！与叠彩山，伏波沙相邻，冬面靠漓江。里面的布局有一定风水讲究！因为里面有座当年虞舜帝南巡在此栖息的虞山而得名。里面主要景点韶音洞！蒋介石虞山行辕，姚象铜像，虞帝庙。。
2022-01-30,未知,5,虞山公园非常有特色，韶音洞的题记以明代为主，有一方南宋方信孺古相思曲保存尚完好。出了韶音洞可见虞山一绝之千年男相观音，为施工工人无意中发现。自唐宋历代都有修建舜帝庙，至今留有唐代建中年间，南宋淳煕年间，元代至正年间三方字体隽美的舜庙碑刻。从景区的南门出来，沿着漓江走还可眺望虞山远景。
2019-11-29,未知,5,当地人最爱之一，好玩指数爆表的桂林小公园推荐！ 在桂林大家知道得比较多的都是象山、七星之类的大公园。其实很多小公园，可玩性还是很高的~比如今天要给大家说的这个虞山公园~是每次回家的必去打卡的公园，一年四季都有着别样的美~ 这座位于桂林城北的公园，音、5园内虞山，虞帝庙而得名是桂林市最美、最大的仿古园林，也是桂林山水游览的开山地和桂林历史的渊源地。主要景点有虞帝庙、怡沁园、三绝碑、五福塔、闻韶楼、韵音洞、九重天、美泉宫等。 值得打卡的点有以下几个： NO.1 虞帝庙 相传四千多年前，华厦文明始祖之一的虞帝南巡曾到这里，秦人立碑纪念，延续至今已有二千多年历史。这座桂林最早的庙宇，古往今来祭祀虞帝者络绎不绝．被视为桂林的福地。里面的壁画特别的好看，讲了很多像盘古开天，女娲补天等故事~门口还有三座桥，代表着官运、财运、平安，大家也可以去走一走。 NO.2 九重天 “九重天”是由三个大理石雕凿而成，给人以平步青云之感，拍照也很很好看哒~~顶上还有个龙雕像~ NO.3 怡沁园 这个园子真是特别的喜欢~里面的假山叠石栩栩如生，穿梭在里面，观赏各种植物，这种小趣味 NO.4画舫&五福塔 这里真是拍照圣地哈，也是公园里最喜欢的地方，水里还养了好多睡莲，每个地方真的都是风景，一年四季都看不腻！ 进门长长的花道和公园，也是很好看的~那个喷泉真是超美哒，其他的细节，大家可以慢慢去打卡哈 地址：桂林市叠彩区环城北一路20号
2016-11-15,未知,4,公园位于桂林城北，因园内虞山，虞帝庙而得名。园美庙灵、山奇洞幽，规划面积1万平方米，是桂林市最美、最大的仿古园林，也是桂林山水游览的开山地和桂林历史的渊源地。虞山突兀矗立，林木苍翠，环境幽谧。山的西麓，韶音洞贯穿南北，悠风习习，与皇泽湾的淙淙流水和洞口阵阵林涛，交织成韵，有如韶乐。“舜洞薰风”为桂林著名老八景之一。主要景点有虞帝庙、怡沁园、三绝碑、五福塔、闻韶楼、韵音洞、九重天、美泉宫等。导游与大巴车司机配合默契，车从公园入口处停下，待人们下车后，便驶向公园出口停车场静候。进公园大门后，先映入眼帘的便是呈台阶式的、有足球场大小的喷水流水台阶花甫广场，花池中，花团锦簇，五彩缤纷……随导游小旗，穿丛林，走石阶，看碑林，瞻庙宇，入洞穴，摸神兽，浏览景色，约一小时光景，总是目不暇接，匆匆忙忙，如梦境一般。
2019-08-10,未知,5,桂林的虞山公园很不错，环境优美，空气清新，有山有水有树木！在这个公园逛逛很舒服，喀斯特的山峰上有刻字，还有古亭子，古寺庙等！
2021-03-05,未知,5,虞山公园是桂林市里一个很不错自然景观和人文景色相结合的公园，里边的景色非常的秀美，有山有水还有许多树木参天，还有许多古老的建筑修复的，也非常的漂亮，现在公园的建设已经复合了，大家游览的心情，很多人到这里来散步锻炼。
2018-05-02,未知,4,中山北路70号 到桂林游玩的第一个公园 很有风水讲究的公园五行八卦 桂林地方的公园，当地人凭身份证都是可以免费的。 这里有山有水的，因为和风水有关，所以水必不可少 这里是根据虞帝的典故起的名字 还有一个男观音像比较印象深刻，身边的山体都裂开了缝，但是到他身边就停止了 回音壁风还是挺大的，有尊四面佛，还有名人提字 还是值得走走的 就是门票再便宜一些就更好了 卖字啦套路啦这里是200一副 其实把购物景点当景点来看其实可以学学看看玩玩心态不一样一切都会更美好
2018-04-04,未知,3,一座色彩比较丰富的公园。桂林的公园对当地居民，凭身份证都是可以免费的，可惜大北京的居民却没有此种福利。对于外地游客来说，公园不是很大，但门票也不便宜。对公园的整体印象，除了色彩较鲜艳，一棵火红的大树，有个虞帝传说外，没有过多体现桂林之美的景色，其它实在没有太多印象了。
2017-09-07,未知,5,携程购票17块多，挺划算的，就是为了看夜景才去的，离叠彩山景区很近，很近，很近……五点进去景区，溜达一圈，等到八点，风景也出来了，欣赏一下就离开了。景区晚上九点关门！在街边的桥上可以看到景区的风景，也就图片那么大而已，不要太多期待，半天就可以玩完……夜景可以有，毕竟公园安全性高一点，适合情侣溜达。蚊子超多，比桂林一般景区多。
2015-10-18,未知,5,景色还可以，性价比较高。千年男观音像蛮有看点。或者去虞帝庙祭祖
