date,ip 属地,评分,comments
2017-02-11,未知,5,这里白天一直到晚上都是非常热闹，仿古建筑风格的步行街，购物环境好，当地特产应有尽有。晚上小商品齐全，小吃也很多，价格便宜。走走逛逛总有收获。
2019-09-13,未知,5,来桂林走的第一条步行街到，西城步行街在桂林市区应该是仅次于正阳步行街的第二大步行街了。象山夜市和中山路步行街也在这里。晚上街道上有很多摊点生意。
2021-07-18,未知,5,"现在全国各地很多城市都要建步行街，每个城市的步行街都是城市的名片，桂林有两条步行街,一条叫“正阳路”步行街,一条叫“西城路”步行街。"
2024-08-16,广西,3,市区的步行街 不过好像已经没什么人来了 也没什么内容 不用特意来。
2020-04-20,未知,3,桂林的西城路步行街其实挺短的了，如果是要去建议晚上吧，白天真的没有什么意思，人少店里伙计没有精神，晚上夜市都出来感觉热闹了好多了，注意雨天也是出来的，买买花茶和特产还可以。
2019-06-03,未知,3,晚上去步行街吃的饭，不知道是否因为淡季或者下雨的缘故，街上的人不多，而且店铺也没有想象的那么多，主要还是餐厅，连中间的小摊也不是很多，不是我想象中的小吃街，所以步行街可能还是有点不一样的，不过要想在这里解决吃饭还是很方便，选择还算不少。
2018-01-21,未知,5,还没有到桂林朋友们就说到一定要去阳朔的西街步行街去玩玩，一定要晚上去才好，晚上去才能体会到那种热闹非凡灯火阑珊不夜之街的感觉。看看我拍的照片，你感觉怎么样？
2022-02-25,未知,5,西城步行街位于桂林市中心繁华地段，交通很便利，这里环境整洁，沿街商铺林立，周边还有很多大型百货公司及品牌专卖店，热闹繁华，消费适中。
2020-04-03,未知,3,桂林是一个旅游的胜地，这里的自然风光非常不错。但同时市区范围呢也有好几条步行街，这条步行街尽管不是最好的最有名的，但是夜晚的人气在用以往是比较好的，只是最近因为情况特殊，人少了一些。
2022-02-27,未知,4,西城路步行街位于桂林市中心繁华地段，交通便利，这里街道干净整洁，两旁商家林立，为顾客提供各种消费服务，商品玲琅满目，价格适中。
2020-04-11,未知,3,这条步行街在桂林并不是最繁华或最有名的，但是正常情况下的游客也是不少的。只是今年情况比较特殊，夜晚的人并不多。其实本地的特色还是比较明显的。
2020-04-04,未知,3,这条步行街在桂林来说也算是比较有特色的，但步行街上的商店种类比较的丰富。既可以购物，同时还可以餐饮，尤其是小吃的品种会比较丰富。
2020-01-26,未知,5,只有晚上才出去摆摊的，七点后，人特别多，都是些旅游商品，还有些吃的，可以买点回去送亲人送朋友都不错。
2022-08-28,广西,5,步行街上有许多桂林特色美食店，让您在步行街购物时也能大饱口福。
2022-12-05,广西,5,步行街上商品挺多的，吃的，喝的，服装店都有。值得逛逛！
2022-05-26,未知,5,步行街上商铺林立。餐馆和小吃店都以出售桂林特色菜为主。
2020-06-08,未知,5,地理位置不错，很休闲。。。。。。。。。。
2020-05-27,未知,5,好热闹的步行街............
2020-05-23,未知,5,一定要去看看咯哦看，很多商店适合逛街
2019-12-10,未知,5,这里卖所谓特产的地方比较多。值得溜达
2020-07-15,未知,5,旅游商品市场一条街。。。。。。。
2022-09-29,广西,4,市中心的一条步行街，商铺很多。
2021-04-25,未知,5,吃吃喝喝逛逛，不错的一个地方。
2020-07-20,未知,5,桂林商品一条街。。。。。。。。
2020-04-10,未知,5,好地方，店铺商品很多，环境很好
2016-10-14,未知,4,小吃夜市一条街，有很多旅游商品，值不值看自己需求，仔细找还是能淘到好货的，逛累了就在附近找家饭馆吃饭，便宜好吃有特色，宰客的少，注意下就好。
2021-05-23,未知,4,风景还是挺不错的，有古街味道就是商业化很重
2017-01-24,未知,4,美食一条街，饭店林立，各色口味都有，高中低档样样齐全，还是有些特色的，环境也不错，晚上还有夜市一条街，吃完逛街购物真不错！
2021-02-09,未知,3,基本上这个地方已经没有了，只有周边人走走
2016-09-07,未知,5,很不错的一个商业区，吃东西的地方很多，买东西的也很多，晚上很热闹！
2016-12-13,未知,5,中午过来晒晒太阳，走走逛逛，还不错的，吃东西的地方很多！
2016-11-10,未知,5,中午出来逛逛买点东西，是挺不错的，店铺种类很多！
2016-10-08,未知,5,很棒的一条街，特别是夜市时段，好多好吃的呀！
2016-12-09,未知,5,没有什么好逛的，夜市已经全国同质化了。
2016-10-17,未知,5,桂林市比较古老的一条步行街，历史悠久。
2017-12-11,未知,5,步行街很热闹，店铺很多，值得一去。
2017-12-07,未知,4,商品比较少，晚上有夜市但也没什么逛的，餐馆较多。
2017-07-31,未知,4,桂林市区的一条步行街，没有正阳街那么的热闹。
2017-03-11,未知,4,古朴典雅，可以享受慢生活，享受阳光。
2021-02-16,未知,2,春节期间，出摊少，人也不多，看看也可，不具备太多特色。感觉一般。
