date,ip 属地,评分,comments
2023-08-08,广西,5,去年年头，带着家里老人来桂林旅游，偶然听到有个千年前的石窟，进去游了一趟，里面的佛像看着很震撼，还有免费的讲解员解说。今年家里添丁了，专程带着孩子和家人再来这个福地看看，^_^
2016-06-14,未知,4,就是山洞里有很多的雕刻，还有一个人观音庙，不过登上山顶的风景不错我们还有遇到上海来的游泳教练哦，有合影留念。
2018-09-15,未知,1,不单单是坑，简直是分工精细的合谋骗子，损坏桂林旅游城市形象，我们一行了3对夫妻在日月双塔附近被一中年妇女游说去象鼻山做游艇每人40元+玩溶洞，玩象鼻山知失望后抱着还有溶洞心里没想还带我们去所谓的溶洞（西山石窟）3对人被强制蒙骗一千二三元。大家当心上当。后附上这个车送我们去的，这个女人同里面的假和尚合谋的。
2015-12-24,未知,4,景点在桂林市区 非常好找 周边有的寺庙。景点很小，但是人很多大多数都是旅行团的人。风景还不错
2024-07-16,广西,2,走到后面会给你一条祈福带子，然后带到大师那签字，签完赶紧从大师那逃，不然就等着交功德费
2023-01-27,广西,1,被当地人忽悠去的，一个人90块钱包括什么游船。叫我写心愿拜文殊菩萨。我拿到彩带带我去写名字，我第一反应要不要钱，说不要钱我写了。还有个牌子的要三十块钱，我没买。我闺蜜在后面被忽悠了100块解签还是什么的。
2023-01-27,广东,1,在桂林坐船看完象鼻山，然后被一个当地停车收费的老头拉去所谓的溶洞（西山石窟）然后我们一行4个大人两个小孩进去看很多人工佛像，最后那个解说员把我们两家人分开带到所谓大师面前解签，说到最后说给功德费和香油钱两家人总共被骗700块，真的好恶心一班诈骗团伙。
2016-09-30,未知,5,还蛮有意思的，爬一下山，运动一下很舒服！
2016-11-07,未知,5,早上起来晨练，爬到这里看看，还不错的！
2019-02-03,未知,4,西山石窟早有耳闻，参观之后，感触很多，感慨古代劳动人民的智慧。
2016-02-17,未知,4,桂林西山石窟真的很漂亮，喀斯特地貌很好看。
2023-06-10,广西,1,千万别去，差点被骗！出了酒店本来想去象山公园，出租车强推西山石窟，去到发现不对劲，在门口讲解时就赶紧逃出来了。搜了下携程评论，发现还好逃了！
2018-04-12,未知,3,在桂林桃花江边，里面很多佛教的石雕像，比如观音，佛祖等等。。总体感觉一般。
2016-10-23,未知,2,整个坑，在桂林市内，有事没事的别进去了，没劲，还有注意那一些拉客的，一个比一个坑
2016-02-23,未知,1,我的天，要不要这么坑，还规定价钱群8强行给，说不带钱还刷卡，进去没到10分钟，还还看不同人来坑的，希望你们不要被坑了。
2016-09-13,未知,1,佛像很震撼看来石窟每年年底都是要上金粉拜佛的心全部被强行收“功德费”？打乱了希望功德费能用在维修佛像的用途上谢谢
2019-04-22,未知,1,本来以为导游送了一个石窟的门票，开开心心的进去，前五分钟导演热情介绍，去到了罗汉区，抽了签然后。。。。被赶了出来，就因为没有给香油钱，瞬间感觉整个桂林都是传销，不是门票要钱里面内容就要收钱，还有的地方是多重收费
2017-08-07,未知,1,请广大的游客不要到这里游玩，全是骗钱的，我差点上当。
2023-09-09,湖南,1,带着对桂林山水的热情我们入住了大公馆酒店，酒店的热情服务带给我立马就想去看看山水的念头。初来乍到的我们只好请教出租车司机，司机载着我们直奔这里，里面凉快，导游以介绍洞里的佛家慈善为主（其实是再做套路你以慈善的名义往外掏钞票）的介绍完就把我们引到出口，步入正轨。里面人分工协作把你分散开，有拉弓有射剑的，在密切配合之下以祈福，求平安，消灾的的方式让你300、600的方式筹所谓的的善款。出门在外寻求的就是个平平安安，十有八九还得看着人家相面大事的脸说声：能便宜点吗？最后在人家的佛家威慑下还是100、200、300的为人家筹上了心惊胆战的平安稳心款。免费观景—讲解洗脑—抓你心理—不掏也得掏。哈哈😊你单独还把你吓一跳，多亏现在社会社会治安好！要不就是体验一回被绑架的感觉。
2017-06-22,未知,1,假石窟，洞内全部是水泥雕像，讲解员说了半天全是套路，目的就是最后解签骗钱，桂林能有这样的假景区，真是桂林这座城市的耻辱
2019-07-28,未知,1,我觉得，在这里我们花了几千块钱就相当于买了一个小符，非常不值，优点就是凉快。(这里的人赚钱挺快的。)
2020-08-20,未知,1,被开摩托的当地人人带过去的，进入不久后分开我们然后就开始行骗，被骗了600元，后来我们在那里闹他们就还给我们了。劝大家还是不要去较好
2019-01-29,未知,1,一点都不值得去，说好了免费，然后被所谓的大师骗钱，极度差评！！！
2019-01-01,未知,1,就是一个坑人的骗钱团伙，千万别去！！
2018-11-27,未知,1,所谓的西山石窟就是骗人的大坑！如果被黑导游忽悠进去的，请马上退出否则你会掏出很多人民币！
2023-05-24,广西,1,西山石窟坑钱的，别去，侮辱桂林市整体形象！
2023-07-30,广西,1,免门票，里面的佛像可以看下，重点：最后不要跟她们工作人员去所谓的大师那里借用菩萨名义骗钱，不要理他们直接走就行了
2023-09-09,湖南,1,桂林山水甲天下，西山石窟甲桂林。套路慎思紧密，环环相扣，让你在心怀慈善中胆战心惊的往出掏人民币。长此以往桂林也会被套路进去！
2024-07-13,广西,1,进去说不要钱，一个讲解员带着去拿红带子点灯五六百，不点吧，人家说你是为了家人健康平安😹😹
