date,ip 属地,评分,comments
2017-03-18,未知,4,金坑大寨最高处的观景台。从七星伴月处一路登山，一路上的路标不多，而且岔路很多，经常走着走着就发现离目标远了，又修回正道。在村寨中转着转着就又迷糊了，好在看着高处往上攀，方向不会错了。西山韶乐有一家全景楼客栈。在这里可以俯瞰梯田，心旷神怡。
2016-08-03,未知,5,1号观景点，距田头寨约40分钟路程。因为差不多到山顶了，所以可以看到大半个梯田的样子。在上面看梯田十分壮观，而且在去的路上看梯田也有不同的美。
2017-08-09,未知,5,西山韶乐”观景点规模宏大，气魄雄浑。可以看到数千条田梗组成立体的五线谱，梯田上的土山包，像五线谱上跳动的音符，奏响美妙的音乐，演绎着大地的乐章，组成世界上最大的立体田园交响曲。
2022-11-15,辽宁,5,龙胜金坑梯田的一号观景台，西山韶乐，还是很不错的，看日出最好的地方，早起去游玩是最好的选择，而且梯田很大很漂亮，十分喜欢这里
2020-10-05,未知,4,金坑梯田的制高点，可以俯瞰整座村寨，需步行上山，中途会有3个小的观景台，景色各异，只有最高点的才是一号观景点西山韶乐，云雾也会比下面几个小观景台要大。
2017-10-11,未知,5,从山脚走上来要一个多小时，都是崎岖山路。沿路景色绝美。从高处可以俯瞰整个梯田，颇为壮观，拍照特别好看。居然有干净的洗手间。
2019-09-30,未知,4,难得早起，看日出东方，赏万丈霞光。 【景色】这里应该是西山看日出日落很赞的地方，有个客栈，可以住一个晚上。 【性价比】旅游热门地嘛，略微商业化的高消费。
2016-10-27,未知,5,"金坑有3个观景台:千层天梯,西山韶乐,金佛顶.漫山遍野的梯田层层叠叠,这是当地的人们几百年的日复一日的劳作,当他们每天在山脊上一块一块辛勤开垦时,可能没想到会形成今天的壮景!如果说平安梯田是壮观的话,金坑就让人有一种震撼灵魂的感觉!"
2016-05-06,未知,5,最最最值得去的一个风景点，视野广阔，是金坑大寨的最高点，看日出日落的好地方，虽然上去很累，但一看到那景致，真是干什么都值
2017-06-22,未知,5,漂亮得无与伦比，路非常难走，在2号景点过去要一个多小时。没体力不要去。
2023-05-17,北京,5,环境不错空气清新值得推荐非常喜欢
2016-06-17,未知,4,梯田美景的几个观景台之一，当时黄昏时分到来，晚霞衬托下好美的。
