date,ip 属地,评分,comments
2024-10-11,广西,4,错峰出行来阳朔玩真的太爽了，不用人挤人，看人头，阳朔西街是阳朔的中心地带步行街，这里有各种各样的店铺，奶茶店，饭店，旅拍店，还有酒吧一条街，是来阳朔必逛的一条街。这里跨年的时候放的烟火特别好看，建议跨年来这里
2020-07-12,未知,5,阳朔西街，是阳朔县的一条最为繁华的步行街，不足1km 的街道由石板砌成，呈弯曲的S形，有着1400多年的历史。两旁房屋古朴典雅，桂北明清时期风格，小青瓦、坡屋面、白粉墙、吊阳台，虽然很多建筑都被修复翻新过，可是细节的历史与浓浓的文化气息是不可否认的。 西街由觅食、逛街、泡吧等多个词汇集结而成，它是年轻人的天堂，也是众多背包客和流浪者向往的“青春驿站”。酒吧、餐馆、旅店、民间艺术家、旅游纪念品、攀岩吧、不同肤色的旅行者等等，“西街”称得上是应有尽有。
2018-12-29,未知,5,❤爱上阳朔，因为西街 阳朔最热闹的地方，莫过于西街了，人头攒动，美食遍地。却又不似丽江的浮夸，西街给人一种动感的欢腾 漫步西街，你可以看到很多捶糖膏、捶辣椒的店铺，你也可以自己尝试下，最动感的莫过于他们了 文化融合，在西街你也可以看到星巴克、小龙坎这样的连锁商户，都融入本土特色。星巴克还带戏台，这在全球也是绝无仅有了～ 湖光山色，白天西街入口的湖水，周围层层叠叠的建筑倒映在湖中美不胜收 美食遍地，这里汇集了桂林的所有美食，尤其是啤酒鱼，简直三步一家，推荐刘姐啤酒鱼、谢大姐啤酒鱼 不夜西街，晚上的西街最为热闹，酒吧里非常热闹，驻唱、表演，多种多样。狂欢可以持续到午夜 建议从下午四五点过来逛街，晚饭可选择啤酒鱼，吃完可以随便一家酒吧继续嗨翻天
2017-05-07,未知,5,阳朔西街是阳朔最有名的主街，这里西餐厅很多，啤酒鱼馆子，桂林米粉餐厅也不少。有很多外国游客，白天主要是看一些手工艺品和特产。晚上的西街是最为热闹的，和白天的清净迥然不同，各种各样的酒吧鳞次栉比，慢摇，静吧，很多选择。总有一家适合你。
2017-05-03,未知,5,西街慕名已久…去桂林必须去阳朔，到阳朔必须去西街！可是到了西街怎么有种在商业步行街的感觉？最独特的就是沿路的啤酒鱼，然后就没然后了！和其他的古镇一样的物品，一样的手艺人，一样的美食店铺…对！这里与其他古镇最大的区别就是吃的起码是其他古镇的三到四倍，满足了一个吃货的愿望！
2017-05-02,未知,5,很有古韵与现代结合的西街，是个旅游胜地，住宿吃饭周边骑行方便，特色有啤酒、田螺酿、竹筒饭、桂林米粉、桂花饼、桂花酒，西街别样情调酒吧别，周边景点一里画廊遇龙河、月亮山、世外桃源自然风光特美，徐悲鸿故居及县政府古建筑有历史底蕴。值得一游的好地方。
2016-12-23,未知,5,西街闻名于世，充满着异国的情调！开店的都是淳朴的阳朔人，他们热情、好客！中外游客川流不息！逛街、购物！街边餐馆的菜谱有中式、西式，好多外国友人在这里喝啤酒、品佳肴，名副其实的洋人街，给阳朔小镇增添了一道亮丽的风景线！
2016-09-22,未知,5,陪父母来桂林游玩，从桂林坐豪华船饱览漓江美景后在西街住了两晚，选择的是西街尾漓江边的清莲江景房间，名副其实，很好的地理位置，码头上岸后沿着滨江路一直到底，一个蓝白相间的错层小楼，我们的二楼欧式家庭房温馨舒适，小阳台上看楼下游人如织，三楼观景平台是欣赏漓江山水风光的绝佳位置，楼下就是阳朔码头，饭后沿着江边散步无比惬意，阳朔的晨曦与暮色美如画卷！早餐吃的是老胡家的锅贴和云吞还有穿针养胃面，不错哟。两次晚餐都是在大师傅音乐餐厅，很棒的就餐环境，有帅哥伴唱，套餐也经济实惠，啤酒鱼太好吃了，还有野菌炒牛肉，回味无穷！在西街住了两晚，没安排别的游玩，就是逛街吃饭睡觉发呆，父母都觉得好舒服，很值得推荐的一次旅行！
2016-08-31,未知,5,西街，有很多外国人在这里开餐厅，所以你可以吃到很多口味的美食，你也可以吃阳朔出名的啤酒鱼，但我是吃不惯的，看个人口味。前县街这边有很多酒吧，酒吧有一些原创歌手驻唱，挺不错，很有气氛，适合文艺青年。怪楼视觉艺术馆我要推荐一下，喜欢摄影的朋友不能错过，绝对好玩。
2016-08-18,未知,5,西街，阳朔必去的地方，而且最好是晚上，因为阳朔县城白天基本上很闲，太多人白天都出去游玩了，晚上的西街热闹的很，但是因为西街太窄了，所以带小孩子的，要带好孩子。提醒驴友，阳朔这个地方，基本上不支持支付宝，刷卡业有不支持的，请备好现金。我个人建议，就是街头到街尾，吃边所有小吃，基本上不用吃晚饭了。
