date,ip 属地,评分,comments
2020-07-01,未知,5,细雨蒙蒙，烟波渺渺，笼罩在云雾迷蒙烟霭漫天之中的訾洲，依傍着清幽欢畅的漓江之水，树影疏落，翠竹婆婆，若隐若现，宛若蓬莱仙境，这本身就美轮美奂，给人以无限遐想和憧憬，这就是訾洲烟雨了！
2018-02-12,未知,5,来桂林的第四天游览了訾洲岛，第一感觉就是干净，虽然游客很多，但是地面上竟然没有看到一点垃圾，岛内的森林覆盖率达到了百分之九十，对于我这种天天吸雾霾的人简直就是天堂，空气超清新！还有就是赶上了一年一度的郁金香花展，开心！听导游说这里是看象鼻山最佳的角度，有1200年的游览历史，果然名不虚传，推荐。
2018-02-14,未知,5,来到桂林就要去看城徽象鼻山，所以我选择了去訾洲岛，听说那里是桂林观看象鼻山千年之地，还别说进去之后里面的环境空气都非常的好，里面还配有免费的讲解员，让我和朋友更好的了解了她们的历史，讲解员漂亮热情好客，还给我讲讲解了拍象鼻山的小技巧。我和朋友运气还不错哦，她们那里刚好举行七彩郁金香花展，太美了，上图给朋友门羡慕一下。
2016-07-02,未知,4,以前桂林市区的漓江东岸是比较荒芜的河滩，后来政府在象山对面打造了一个城市公园，就是今天的訾洲了。当地人可以免费进出公园，游客要收门票，在携程可以预订换票很方便而且便宜。进入公园后可付费乘电瓶车，但其实步行两公里进去体验更好，满眼皆绿。在观景台隔着漓江欣赏象鼻山，感觉比在象山公园看更有气势。
2017-04-23,未知,5,訾州公园与鼻山隔江相望，景区绿化很好，是看象山的最佳地，还有很多人文石刻。桂林73万人口的城市，人们生活悠哉，性格温和，物价也便宜，携程9元特价门票性价比超高，下次再来慢游。
2016-03-18,未知,5,桂林人有这么多城市花园真是让人羡慕。园内的景致比街道的情况好太多！住酒店的话就省了¥40的公园门票钱。园区里有几块很大的草坪，最重要是有【观象平台】-看桂林市标象鼻山的最好角度，而且可以拾阶而下。有时间的话，推荐一去！
2015-12-20,未知,5,导游说，拍照象鼻山最好的位置是訾洲岛。来到岛上一看，嚯！简直就是一个大花园，精细的绿化，优美的环境，能媲美任何一座花园。大家感叹：桂林山水美，名不虚传啊。 在这里不但拍到了象鼻山，还留下来訾洲公园的美景。
2018-01-14,未知,5,冬季的时节，这里居然还是一片绿色。虽然今天没有太阳，但看到美景+桂林城徽象鼻山，听说这个景区是观象圣地。景区导游讲解还不错，有时还会与游客交流沟通。
2018-02-12,未知,5,这个时间来刚好訾洲岛景区在举办郁金香的花展~一片花海真的很漂亮~每年1-3月都有这个花展。岛很大 风景也非常漂亮！听导游说以前是达官贵人吟诗赏月观看象鼻山的胜地！要是十月份来 这边桂花开了 整个园区都是香的！值得一来！
2021-09-19,未知,5,訾洲岛与象鼻山、漓江陪伴千年，彼此相呼应，是有史可考最早观赏象鼻山的历史起源地，有着绝佳的180°观景视角。自唐代元和十三年（公元818年）由桂州刺史裴行立开辟成为官家园林之时，就作为桂林名胜。因唐代城池范围和地理环境的限制，訾洲也是当时陆地上唯一且最佳的“观象山赏漓江”的视角。唐代以来，以柳宗元、裴行立等为代表的文人墨客来此，创作了大量的诗词墨宝流传千古……
