date,ip 属地,评分,comments
2023-08-30,山东,5,20230313上午： 1、“广西贡院”位于5A景区“独秀峰•王城”内。独秀峰•王城是我国现存最完整的藩王府，是600多年前明朝开国皇帝朱元璋为其侄孙朱守谦所建，由明朝开国元勋、风水大师刘伯温选址。靖江王历时280年，是中国历史上世袭时间最久的藩王，比明朝历史还长（明朝灭亡后6年、清顺治七年，即1650年被清“定南王”孔有德所灭），是古代桂林的文化中心和人文发祥地，闻名全国的诗句“桂林山水甲天下”便出处于此。景区分为“靖江王府”、“独秀峰”、贡院和城墙4大区域，是桂林旅游必打卡之地。 ①地址：桂林市秀峰区王城路1号。 ②交通：公交直达，开车很好停。 ③旺季：无。 ④用时：4小时。 2、贡院是古代科举考试场所，桂林贡院是古代西南地区最大的贡院，考出过4位状元和585位进士，博物馆一角列有所有人的名单。游客先进购物商铺喝杯热茶欣赏下拓印，然后参观只有一间的博物馆，学习了下桂林在历朝历代科举和文化教育方面的知识。然后进入体验式游戏环节，游客们扮演考生，先在科举考场外观赏小剧，带着小抄的考生被清代监考官发现后关押起来（午饭期间的表演会省略这一情节）。然后游客领试卷后进入考场，跟古代考场一模一样，每人选一桌开始考试，题目共5道，毛笔书写，答案是“独秀峰/甲天下/王府秘拓/一/陈继昌”，答案就在桌上立着的红色装饰品上，不过答错也没关系，只要交点钱提前报名，都可以在交卷后的发榜环节高中状元，穿着状元服拍照，获赠证书，并和工作人员装扮的太监合影，最后在金榜上题名，过程充实有趣。刚刚考试答卷的过程中会有专人拍照，出购物点后可以自愿花20元购买照片，照片被装裱在精美的景区纪念夹里，右下角还有日期，性价比很高。我第一次拍得不好，又跟了个团重新进考场拍了一次，工作人员心肠很好免费给我换的，不用再交一次20元。
2017-08-28,未知,5,广西贡院里有一个两分钟的科举考试，会有两个人中状元，带孩子考了一下，考试卷都是之前导游讲解里面的，答题都是用毛笔，等的时间也不长，答题时会有人免费拍照，可根据自己的想法买或不买照片，孩子中了，穿着衣服免费照了相，值得一去。
2017-08-23,未知,5,广西贡院位于独秀峰王城景区，是西南地区最大的贡院。从这里走出去了4位状元、500多位进士。到这里可以身临其境地感受一下科举制度的发展及演变，增长见识、陶冶情操。
2016-01-06,未知,4,与靖王府风景区共存的还有科举取士的贡院，有关部门在原有的贡院遗址上修造了几个考场等景点，随便看看吧。 与靖王府共存的还有一个据说是世界上独一无二的位于岩洞里的展览馆——太岁馆。因为太岁洞里不允许照相，而且我们对太岁兴趣也不大，无论导游解说的多么神秘，游客们似乎还是云里雾里的，不求甚解，也不肯掏钱买与自己有关的太岁挂件。
2019-03-21,未知,5,在清朝，靖江王府变成的贡院，这里最大时能容纳几千人考试，从这里走出了二位连中三元的状元，这样的人全国只有十三个人，今天这里一∵有模拟科举的考试。
2019-10-09,未知,4,贡院位于桂林独秀峰王城景区内，在独秀峰下面，需要买了景区门票才能进入。 这里是旧时广西考生参加乡试的考场，曾为中国西南地区最大的乡试考场，走出过4位状元，585位进士。中国古代科举考试历史上，从广西贡院走出最后一位“三元及第者”——陈继昌。 清代建广西贡院于此，是桂林文脉所在。 现在该景区设有模拟科举考场，可供游客体验旧时科举考试。考试2分钟5道填空题，一般都知答案了。全中的会颁奖给穿上状元服合影，拍照需要相片的话需要另收费15元。
2019-02-10,未知,5,独秀峰王城景区包含了几个景点，有独秀峰、靖江王府、贡院……，有专业的讲解员全程讲解跟踪，蛮不错的景点，有好几个有意思的地方。贡院里面可以了解古时科举考试的知识，还能参与其中，不错。
2016-05-23,未知,4,走进贡院，不仅可以想象当年科举考试的盛况。还可以参与“模拟科举考试”，并获得“文凭”，亲身感受学子们“十年寒窗”的艰辛和“金榜题名”时的喜悦。 贡院有游客参与的科举表演，建议不要填真名，选中状元要掏钱的。
2024-11-22,上海,4,来看看科举文化不错，还有来榜的活动，可以互动挺有意思的！
2015-11-11,未知,5,贡院位于独秀峰的王城景区以内，可以看到很多穿着清代服饰的人在这里拍照。作为曾经的科举中心，旁边的石头上还刻有最初“桂林山下甲天下”的字迹
