date,ip 属地,评分,comments
2020-05-13,未知,5,逍遙樓是重建的唐代建築，佇立在灕江旁，在解放橋上非常顯目，藍天白雲綠水青山唯一的咖啡色建築。 逍遙樓是免費景點，疫情期間要掃碼登記入場，然後逍遙樓本身不開放登樓，只能看外觀的建築構造。可能是因為我不太懂建築，所以這次大約十分鐘就瀏覽完景點。之前拜訪時有登塔，裏面樓梯有些窄，登塔可以瀏覽灕江的山水風景。 逍遙樓有著顏真卿的字跡，石碑就在逍遙樓的出口處，值得欣賞。逍遙樓的出口連接著狀元廊，走過狀元廊就到達東西巷，走過東西巷就是靖江王城景區。因此這三個知名景點可以並聯參觀，各有特色。也可以從逍遙樓走到解放橋，橫跨灕江到達七星景區，這條路線也是充滿文化氣息。
2023-08-24,江苏,5,20230314晚上： 1、“逍遥楼”位于“东西巷”。东西巷是桂林市历史最为悠久的古街区，始于唐代武德年间，得名并兴盛于明清时代，清光绪六年（1880年）的《临桂县志》中最早出现“东巷”和“西巷”，2016年按明清风格修复。古巷西邻5A景区“独秀峰•王城”的南城门“正阳门”，因此东西巷又称“正阳东巷”和“正阳西巷”。南邻解放东路、东临漓江。东西巷与相邻的桂林市最大夜市步行街“正阳步行街”通过地下通道相连，均免费开放。 ①地址：桂林市秀峰区解放东路18号。 ②交通：公交直达，开车不好停。 ③旺季：无。 ④用时：1小时。 2、逍遥楼始建于唐武德四年（621年），由初唐杰出的军事家、时任桂州大总管的李靖修建，是唐代桂州城的东城楼，楼的名字取自战国时期思想家庄子的《逍遥游》，石碑“逍遥楼”为唐代著名书法家颜真卿所题，但他没有到过桂林，石碑是1972年根据蒲州的碑石旧拓本临摹重刻的。逍遥楼历史上留有清末重臣李鸿章、近代著名作家巴金等众多名人和文人墨客的足迹，历史上也多次损毁并重建，宋崇宁元年（1102年）由广西经略安抚使程节重建后改名为“湘南楼”，不久后名字又改回。最后一次毁于抗日战争时期，目前的建筑重建于2015年，二层，白天可登楼欣赏青山连绵、江水潺潺的秀美景色以及旌旗飘飘的城楼。
2017-12-19,未知,5,逍遥楼位于解放前头，免费对外开放，主楼共有三层，登高远眺，可以看到群山环绕、一水穿城的美丽景致。现今的逍遥楼是重建并于2016年春节对外开放的，白天大气磅礴，夜晚金光璀璨，具有很强的标志性！
2017-09-24,未知,5,逛完东西巷 就走到了逍遥楼 夜间的逍遥楼 很亮 很美 少了作为一个历史景点的沧桑感 因为是要快关门去的 匆匆爬上了楼 看到眼前的解放桥的夜景 果断的拍了起来 因为是免费的 个人觉得 还是值得一看的 毕竟拍起来 很美 楼也不高 相对很适合 再市区里 交通也很方便
2020-03-09,未知,5,逍遥楼位于独秀峰下，漓江南岸，始建于唐代，曾经成为桂林东边的一个制高点。不过现今的逍遥楼是后来在原址不远的解放桥西北角依照唐代建筑风格建立起来的。 历史上的逍遥楼，是中文人雅客经湘桂走廊进入桂林举目可视的标志性建筑，所以逍遥楼一直是文人雅客登楼赏景、题诗作画、宴饮留别的绝佳场所。 据说，逍遥楼曾与黄鹤楼、滕王阁、岳阳楼等人文地理坐标齐名，共同见证了大唐盛世的兴衰。
2019-05-05,未知,5,我和春天有个约会——“逍遥楼”（四十）， “逍遥楼上望乡关，绿水泓澄云雾间”。 “逍遥楼”，位于桂林市区滨江路北段解放桥与伏波山之间，曾与黄鹤楼、滕王阁、岳阳楼等名楼齐名，始建于唐初武德年间（公元618—626年），李靖镇守桂林，營建桂州城，逍遥楼建于子城东墙之上，距今已有1300多年的历史，宋元明清历代屡毁屡建，最后消失于历史的长河中，逍遥楼承载了桂林城的历史兴衰和文化辉煌，现在看到的逍遥楼是桂林市政府于2015年重建，重建的逍遥楼为唐宋风格，总高度23.6米，三层三檐阁楼式景观建筑，简洁流畅，通透古雅，东枕漓江，登楼可瞰漓水诸峰，“軒楹重叠，俯视山川”，夜晚景色更美，免费登楼游览，
2018-09-30,未知,5,逍遥楼是位于桂林的核心地带，滨江沿岸，极尽最好的地理位置，逍遥楼是现代重建的，虽然他在选址上面初现在唐代，但是后来的几个朝代都经历过战火，或者说是焚毁，所以历朝历代都有一个逍遥楼，而且从体制和建筑形式上面都不近相同，这个在逍遥楼的二楼展示厅上面就可以看得到。 上去登高之后可以看到桂林的夜景，尤其是解放桥那一带，真的是灯火辉煌。 上去的人也还是挺多的，免费进入也不用登记什么挺方便的，下来之后可以直接去从这里去到东西巷子。
2019-09-13,未知,5,逍遥楼遗址位于桂林东西巷景区。 对外开放时间：8：30—21：00。 是几经重建的唐宋风格建筑 二层三檐阁楼式景观建筑，简洁流畅，通透古雅。登楼可鸟砍漓水诸峰。晚上上楼顶看解放桥夜景很美。
2021-06-30,未知,5,坐落在桂林市区，漓江岸边，旁边是跨江的大桥。 白天的时候，站在逍遥楼上，可以俯瞰漓江，看马路上熙熙攘攘的人流和车流。 逍遥楼曾经几次兴建几次被毁，现在的逍遥楼也是根据以前的记载修建的现代仿古建筑。 景点是免费开放的，这点很好。游人不少，都是登楼远眺的。楼内有几个建筑模型，没有什么其它的展览，有些空旷。
2017-10-03,未知,4,逍遥楼位于东西巷隔壁，可以先到逍遥楼参观之后再走去东西巷吃东西，逍遥楼是免费的，晚上可以上去看看桂林漓江的夜景哦，挺不错的
