date,ip 属地,评分,comments
2021-05-19,未知,5,桂林市逍遥湖景区还是不错的，主要是亲近大自然，仿佛走进了热带雨林深处，阳光婆娑，树叶嫩绿，青草怒放，鸟语花香🌸。负氧离子每平方米1万多！进入了天然的大氧吧，尽情的呼吸，愉快的游玩！ 【景色】 【性价比】
2018-08-17,未知,4,桂林本地人，到售票处询问，票价35元一人，携程上29元，所以就在携程上订了。景区就是一个森林峡谷的感觉，跟古东瀑布类似，水很清，森林茂密，峡谷沿路还有人工造的喷水雾，很凉爽。路程中其实也没什么可玩的，随便走走还行吧，跟古东瀑布可以二选一玩一玩。景区里面很多地方在修建，游览车的小轨道等等，有点破坏环境。
2018-10-04,未知,5,基本都是自然景色，极少人工改动，玻璃桥也是一大亮点，很值得一去。尽量自己带吃的，那里米粉10块一碗，贵倒不说服务态度超差。
2020-08-10,未知,4,其实一路上都是很有惊喜，但是景区人员有点问题。到玻璃桥下的时候，其实可以走路上山离玻璃栈道很近了，这时湖边有理条船，工作人员对我们说这里没有路上山了，那条上山的路是工作人员通道，他说99%的人是乘船过去，收费10元每人，我再问，乘船过去要多久，她说要10 分钟这样，我们说这么久那还可以乘 船游玩一下，实际上，乘船转一个弯就到了，一分钟都不要，下船时一船的人都笑了呵呵🙃，.等我们下山回来，下山的路就是那条员工通道， 也看见那个工作人员，她也看到我们，却当作没看到一样了😃哈哈，这是种赚钱手段而已
2016-01-27,未知,4,桂林逍遥湖景区位于灵川县大圩镇，2014年9月25日正式开业。距市区25公里。景区占地约3000亩，游览线路长约3公里，属于以山、林、溪、湖为主体的自然生态景区。景区内自然景观有：古木参天、飞瀑流泉、湖光山色等。除了景区核心景点逍遥湖，景区还重建了已经消失的桂林历史名楼名亭，并在自然景观间点缀了仿古园林建筑、石刻诗词文章、历史名人趣事、坊间古风民俗等，再现桂林的历史文化。
2019-08-08,未知,4,比想象的好多了，先前看评价有些不好的，去的时候心里很忐忑，担心管理不善游玩无趣，实际定了28.8的优惠套餐票带着4岁的孩子去了后感觉还是很值得的。首先景区不晒，山水路线都是阴凉有遮阴的树草，随小溪，瀑布到湖水区就开始娱乐项目了，先去了网红玻璃桥再去了网红玻璃水滑最后爬100岁阶梯上山索滑，我和4岁的弟弟一起玩的很高兴，不用排队，天气又好，下次还会在带着哥哥一起来玩儿。景区比较小2-3个小时基本都能玩完的。
2019-07-03,未知,5,感觉很不错，一进景区就觉得很凉快！风景很不错，很仙的感觉，孩子很喜欢，推荐一下，会推荐朋友来玩的！门票也不是很贵，总体还行！
2018-06-05,未知,4,桂林的山水甲天下，风光无限好，有特色，云雾缭绕，风景秀丽，空气清新、舒适、自然，大自然大自然的神奇景观，值得推荐给大家。
2021-04-05,未知,5,特殊的地理位置和地理地貌，成站着一方的风光色，逍遥湖景区的风光水色，如同一幅浓墨重彩的山水画卷，深深地印在来此游玩的游客心中。
2017-07-21,未知,5,桂林逍遥湖景区以山林、山溪、山间之湖为胜景，是桂林旅游东线的一颗明珠。逍遥湖古木参天，密林环绕，飞瀑流泉，自然生态风光迷人，并且通过仿古园林建筑、石刻诗词文章、历史名人趣事、坊间古风民俗、桂林八大状元，再现了底蕴深厚的桂林历史文化。而广西最长的滑索则让人们充分体验空中飞人的强烈刺激，更能激发挑战自我、跨越丛林的冒险精神，是观光游览和休闲度假的好去处。
