date,ip 属地,评分,comments
2017-03-12,未知,5,遇龙桥在遇龙河的上游，也是漂流的起点，在这里可以坐竹筏向下游漂流，也可以像我一样沿河床骑行。遇到喜欢的风景就驻足。遇龙桥很有韵味，高高的拱桥如弯月横架河面，长长的青藤缠绕其身。村里的村民古朴悠闲的生活。
2016-10-16,未知,5,这里是我最喜欢的景点，遇龙桥实在美，配上竹筏，实在太有腔调，百看不厌。每次来这里，都有种不缓不急从容欣赏的心情，景色秀丽，心情美好，即使不坐竹筏，也有种莫名的愉悦。
2017-10-20,未知,5,遇龙桥 建于明永乐十年(1412年) 为虹式单拱石桥 桥长36米 宽4.2米 高9米 造型气势雄伟 古朴美观 极具民族特色 遇龍橋的傳說 非常傳奇 有書生 龍王公主 ⋯ 兩人排除萬難 結成連理 书生 为感謝“龍”恩 请来九十九位能工巧匠 花了九十九天的时间 用了九千九百九十九块 本地大理石 建造一座造型雄伟美观 坚固耐用的石拱桥 命名为“遇龍桥” 安乐水 也因此而更名为遇龍河 遇龍橋 同時也是广西历史上的名桥 桥頭 立有抗战胜利纪念碑 记载了1944年 村民自发与日寇激战数十天 取得胜利的史实
2018-09-02,未知,5,很值得区的一个地方，哪里的人们都很淳朴，风景惬意，山清水秀的，水连着树，树仰望天，组成一副美丽的风景图，两岸有饭店在哪里还可以尝到桂林的啤酒鱼，还有白沙特色菜黄鳝鱼，特别鲜美，你也可以来游玩，
2016-10-11,未知,4,遇龙桥离阳朔县城区比较远，在遇龙河的最上游，也是遇龙河竹筏漂流的最上段，桥不长，河水碧绿，两岸风景如画，附近是遇龙村，村民都经营竹筏流。
2017-09-14,未知,4,从工农桥边的路开了十几公里的小电驴，来到遇龙桥，有点失望，桥上都是拉客坐竹伐的人，桥下么都是竹伐，吵吵闹闹的，少了那一分宁静与古韵……
2016-03-25,未知,5,一座古老的桥。现在已经基本上不走人或者车了。桥身上因此长满了绿色的草。但是因此桥成了一道风景。我们在遇龙河上看到的第一个风景。
2017-11-14,未知,5,风景很美，能看到竹筏漂流和河流景色。离住的遇源景舍很近，所以骑车来看。 河水能看到一半黄、一半青绿色，很特别。美丽。桥上老太太们很能缠人卖纪念品。
2019-11-19,未知,5,去桂林前做攻略时，曾经看到过一张遇龙河上遇龙桥的照片，被河上的桥，桥边的树迷住。所以在遇龙河上漂流的时候问筏工，他告诉我其实遇龙河上的桥都很漂亮，不要被网文困住，想想也是，所以就安静地欣赏每座桥的风景了。
2018-08-06,未知,5,遇龙河景区，没有任何所谓现代化建筑，没有任何人工雕琢痕迹，没有任何一点都市喧嚣，一切都是那么原始、自然、古朴、纯净，实为桂林地区最大的纯自然山水园地。如果把漓江比成“大家闺秀”，那么遇龙河则是让人怦然心动的“小家碧玉”。
2018-05-18,未知,4,因为连日下雨，河水略黄，遇龙河上都是五颜六色的竹筏，遇龙桥也是古桥，只是游人如织，增添了一份热闹。人在观景，景中有人，在岸上到处走走看看也是一种休闲。
2017-09-10,未知,5,是一座古老的桥据说有一千多年了，所以把这条河也叫做遇龙河了。目前依然在使用，真惊叹古人的聪明才智与建赵着的认真专注才有了今天我们看到的美好事物。
2020-07-13,未知,4,遇龙桥和富里桥都在白沙镇，两座桥相距大概十分钟车程。据遇龙桥上一位大姐说，两座桥都是明朝所建，遇龙桥是师傅建，富里桥是徒弟建的。路上并没有遇龙桥的明显标示，遇龙桥比富丽桥少游客和竹筏。我个人喜欢遇龙桥，古朴安静。
2019-03-22,未知,4,3月21日傍晚，去龙胜梯田返回佛山中途本想一睹遇龙桥美景清闲，但是意境完全被堆积在河面的一大片红绿帆布顶的竹筏及周边格格不入的水泥建筑破坏，于是转身即走转去富里桥，看到富里桥的清景稍感愉悦，并不惜以开夜车在桥边农庄边吃饭赏景，舒服。
