date,ip 属地,评分,comments
2021-09-14,未知,5,落日偏随黄昏近，长空已泛晚霞红 桂林山水甲天下，阳朔山水甲桂林 来桂林玩，山水最美的不过于漓江山水和遇龙河的景色最美。 欣赏遇龙河最佳位置就是工农桥。 工农桥距离阳朔县城约5.6公里，是阳朔喀斯特风景的精华之处。这里峰峦如聚，山水如画，是遇龙河最美的景色。 来这里拍照的小伙伴，欣赏美景的同时一定要先停好车再步行至人行道观赏这美丽的画卷。
2019-01-28,未知,5,[微笑]在酒店租了一辆电动车，游玩十里画廊和遇龙河，据说骑行是阳朔最佳的游玩方式。冬天这里还是挺冷的，报的十几度气温，很多人还是穿的羽绒服。骑行得穿厚一些，最好有口罩和手套。 [微笑]遇龙河又称小漓江，没有漓江大气，但是非常秀美，个人感觉比漓江好。 漓江上的竹筏是电动的，遇龙河上的竹筏是人工的，更有意境。 [微笑]父母年龄大了，加上天气冷，她们不想遇龙河漂流，所以这次未能体验遇龙河漂流，是这次旅行最大的遗憾了。 [微笑]冬天的桂林，拍照没用滤镜，就是水墨山水画，当地人说也是桂林最丑的季节。下次要换个季节来桂林。
2017-06-27,未知,5,遇龙河竹筏漂流真心值得去！原因看下面： 1、竹筏全程是人工用力撑行，2个人一个竹筏，坐在竹筏上两边景色怡人，还有遮阳大伞，体验感极强。 2、流水有好几个落差，会有点小小的失重感，但是很刺激，记得穿布鞋的娃要提前把脚抬起来哟，特别有趣。 但是也要注意一些问题： 1、关于门票，当时我们在网上提前订门票是288两个人的，我们从阳朔滴滴到遇龙河20块两个人，结果车上跟司机聊天发现他能280拿到票，还能免车费，二话不说马上退了，后来接到某地接社的电话询问退票原因，原来某团上的票也是旅行社的价格，并不是景区的，所以！跟当地人沟通很重要，不能总以为他们是坑人，需要多了解后综合考虑，才能少吃亏。 2、关于船夫，本来我们准备给大叔十块小费，后来他说不能收了，但是我们可以加点加费，要一百多块，我们考虑到时间问题没有加，他后来就一路上不跟我们讲话了，只能说很现实…… 3、关于漂到终点，我们是从起点到旧县，相当于一整段的一半，大概1个多小时，下船后比较心塞，因为我们都不会骑电动，最后是租了单车，15一辆，晚上7点前还，押金100，可以骑到阳朔公园还车，本来打算去十里画廊，结果半路倾盆大雨，最后只能放弃直接回到阳朔，这里得到个深刻的教训，必须要找个会电动的人啊，必须人家10分钟我们半小时啊，心累…… 特别要注意的是： 1、虽然是旅游胜地，但他们本地人并不富裕，很多老人家总是倚老卖老，带着强迫性要你买东西，不买好像不尊老，买了又没用，所以，必须理智，不管他们说什么只需回复不用谢谢，当时有位阿婆一直跟着我们要我们买花圈，真的不需要，后来朋友给了她钱没有要花，她才离开我们，大家要注意拒绝，否则这种情况永远都会在。 2、那里往前走有厕所，比较远的停车场里，要有耐心，女厕的灯坏了，记得拿手机照明。 3、单车还车点有2个地方，一个是阳朔公园，一个是它对面的停车场，要问清楚老板在哪里还，也可以拿底单给接收人看， 他会告诉你。
2017-05-31,未知,5,阳朔的竹阀漂流有分好几个部份，遇龙河段是我个人觉得最喜欢的，遇龙桥是个古迹，从桥开始搭竹阀进行往返的漂流，一竹阀为两人座，船夫会边介绍，也有进行几段的冲坡，有人拍照，可自由选择，一张20元，听说船夫可以抽5元一张，山好，水好，风景好，心情就会好，推荐要来遇龙河，绝对物超所值
2017-05-28,未知,5,美美的遇龙河，烟雾缭绕，租个小毛驴就骑着去了，乡间小路安静惬意！里面很多酒店，但是感觉位于阳朔步行街还是远了哈，大山深处的村庄小路晚上的话可能会有点怕，白天真的很美！以前来的时候路上都没什么人，现在很多小吃在路边卖并且很多人骑车在这条道上跑着
2017-04-30,未知,5,第一次来桂林阳朔，没说的，直接最经典的遇龙河竹筏游2人330元，排队稍微有点久，很多人想混插队，坚决指出来，他们就知难而退了， 从朝阳码头到工农桥，人工竹筏，刚上船那会感觉摇晃，我滴小心脏，妈妈咪 下水了，一路在丘陵地貌的山谷中穿梭，伴着青青的河水，用手划下水，仿佛置身世外桃源，真可谓两岸景色收不住，轻舟已过万重山，有点桃花源记，江南小家碧玉的感觉， 一路绿色的景色，摄影留念是必须的，9个漂流的冲下点，竹筏一冲，第一次下去的时候感觉有点刺激，逃离了都市的喧嚣，这次是我想要寻找的那一片绿色，上图（还有几对新人拍婚纱照） 人间仙境，青山绿水，莫不如是！ 推荐，上图（因为5.1来的，本来定了杨堤九马兴坪的完整漂流，20元人民币的情怀，你懂的，但是景区去的人太多了，旅行社说要改成只能到九马，想了想，没意思，不能漂流到兴坪，而且又是机动筏，声音很大，退票了也不觉得可惜） 感谢有遇龙河，不枉此行，最值得欣赏的风景
2017-03-08,未知,5,遇龙河风光无限好，骑着电动车一路从金龙桥到达工龙桥。沿着遇龙河骑行，一路的青山绿水美景无限，初春黄色的油菜花，白色的萝卜花，配上水墨版的山水画，美不胜收，人在画中行。坐竹筏有坐竹筏的好，但骑车岸上行走我觉得一来省钱，因为现在坐竹筏真得贵。二来岸上行走除了可以看山看水，还可以看到岸上的风光，田地，村庄，村庄里的果园和可爱的娃娃。
2016-10-02,未知,5,早上去的，特别晒，面向太阳晒了一路，不过在竹筏上漂着还是有一点感觉的，山水也没有传说中的那么惊艳，可能我对山水这些不是特别感冒吧...船工只撑船，介绍景点是要加钱的，漂俩小时，到后边都快睡着了，中间有八个落差，下的时候要把脚抬高点，不然会湿的。值得一提的是，到旧县码头下，附近有一家老根农家饭馆，味道真好，黄焖鸡特别好吃，价格也不贵
2016-09-11,未知,5,对几个景点评论一下吧，9月6日来的桂林，天气还有点热，天气预报有雨，可是连着两天没有下，但是阴天，天空像蒙了一层灰，拍景的话效果不太好！龙脊天气也雾蒙蒙，不是一丝丝的雾，不是太梦幻！用滴滴打车叫的快车到市区漓江边上游玩，看了日月双塔，到了美食节感受桂林夜市，听路边歌手卖场，热并快乐着！可是桂林市区的水也不是小学课文里那种美了，有点感慨环境的污染！阳朔果然甲桂林！是桂林山水的概括，如果不是桂林同样阳朔西公路在扩建，对阳朔还是满分评价的！风景美如画！景点多！不过消费水平还是偏高的，这点有点无语！因为这里多雨，房子都有点旧旧的感觉……去20元景点时候天气不好，在漓江上游船，两人另外加了50，船家多往前滑了一短，名约甲天下！的却比前半段可以体验到山水墨画的感觉！不过下了暴雨！痛苦，全身湿透！接着到了蝴蝶谷天放晴后山上飘着烟，一个字美！蝴蝶泉风景还是好美的朔！建议上去南天门拍全景再下去看节目！节目之后和少数民族美女合照要收10元费用的，还可以接受！最美的地方当属遇龙河了！最美，最美的抵挡！下雨时候标准水墨画！人在画中游！天空放晴，水碧绿！山倒映！超级平静超级美！这才是书中的桂林的山水！老了要来阳朔住！
2016-08-22,未知,5,这里的漂流是筏工师傅用手撑的，不像漓江那边是电动马达，这里风景也很优美，也可以慢慢漂，上船后，给了师傅10 元钱买水喝，然后师傅性质蛮好的给我们讲解了一些景点，在景点前还会提醒我们拍照。其实这些筏工都是临近的村民，没有社保，遇龙河以前是叫小漓江，被一个上海老板承包了，现在在第一个码头漂，每人100多吧，我们是一个阿姨帮忙买的票，然后她负责把电瓶车送到终点，赚点差价。
