date,ip 属地,评分,comments
2020-10-17,未知,5,2020.10.13上午11时坐索道上金佛顶，去龙脊看梯田，这索道是一定要坐的，只有坐在索道的轿廂里，才能居高临下，一览梯田全貌 。轿箱两侧有个小窗，可以无遮挡拍摄，我的相片是用手机拍的，没有后期加工，就是实景 。记得在索道上行时拍摄 。
2023-08-31,山东,5,20230316下午： 1、“金佛顶”，”位于4A景区“龙脊梯田”内。龙脊梯田是桂林周边著名的少数民族梯田群，不仅田园风光宏大壮阔、色彩绚烂，且历史悠久始建于宋代，明清时期达到现今规模，堪称“世界梯田原乡”，是全球重要农业文化遗产，。景区附近有不少壮族、瑶族的少数民族村寨，是养生度假的好去处。景区是在山林中的开放式景区，主要分“平安壮族梯田”和“金坑•大寨红瑶梯田”两大区域。 ①地址：桂林市龙胜各族自治区龙脊镇。 ②交通：不通，开车很好停。 ③旺季：5月前后（梯田里放水未插秧时倒映天空）、10月前后（丰收季节金黄一片）。 ④用时：3小时 2、我在携程上买的一日游产品，小巴车进景区大门后还要开车10公里才到达“黄洛瑶寨长发村”，位于平安壮族梯田山脚下，号称“世界第一长发村”，是“龙脊十三寨”中唯一的瑶族寨（红瑶），红瑶与白裤瑶、背篓瑶、蓝靛瑶、盘瑶，都是瑶族的分支。一下车就有各种瑶族大娘售卖编织品，寨子里的年轻男女大都离乡务工了。我们先参观了全寨60户中的1家，是真实居住的民居，屋主老奶奶90岁了，还顺便售卖特产品，她们更喜欢现金支付，因为收到的现金是自己的，扫码支付钱会流进她们在外工作的孩子们手机上，钱便不在自己口袋里了，很有意思。民居一楼是仓库，堆满柴火，二楼是起居室，瑶族青年求爱时要顺着房柱向上爬，如果女方喜欢男孩会拉他一把，不喜欢的话会泼洗脚水。 3、金佛顶是梯田最顶端的观景台，建议上去时乘索道，下梯田时步行。索道最多6人一厢，约20分钟后到达金佛顶。现在没在旺季，而且天气还是阴天，景色灰蒙蒙的，与想象中的美景有所差距，未来只能在旺季二刷了。金佛顶上视野辽阔，是观景制高点，鸟瞰眼下层层叠叠、错落有致的青绿梯田让人心旷神怡。金佛顶餐饮住宿、服饰租赁齐全，休息亭廊处立有科普介绍，很适合度假游住一、两天。
2020-06-14,未知,5,金佛顶观景点是观赏龙脊梯田最壮观的观景点，也是唯一一个有缆车的观景点。我们住在新寨停车场，走路上山用了大约45分钟。在金佛顶上不同角度都散发着春意盎然的气息，吸引了很多摄影爱好者。我们到达金佛顶已经下午6点多了，游客没有几个，只有几个摄影爱好者架着相机拍照。金佛顶的景色壮观，美不胜收，吸引摄影爱好者的的原因可能是这里最美的线条。梯田灌了水，反射阳光，一片片煞是好看。由于有点阴天，没有赶上在夕阳照射下的辉煌。天快黑了，决定下山，山间小路真得不好走，还下起了大雨，石阶又崎岖不平，又湿滑，又泥泞...
2019-06-07,未知,5,金佛顶是桂林龙脊梯田景区内，金坑梯田的观景台，可以选择步行上金佛顶，也可以乘坐缆车去金佛顶，我是属于比较懒的人，因此上下山顶都是乘坐索道。有些游客会选择缆车上去，步行下来，这样也是可以的，能够更深入的游览景区。梯田缆车单程的行驶时间大约10分钟，最终到达的是金佛顶观景台，金佛顶面积很大，不同区域可以欣赏到不同的梯田景色，梯田的景色的确很壮观，看到如此美景，首先会感叹人类的智慧，其次是感叹人类在大自然中是非常渺小的。金佛顶除了观景，还能体验瑶族的服饰，店铺非常多，价格也很便宜，基本换一件衣服也就15块钱左右，人多了还能谈价格，穿着瑶族的服装在梯田拍照留下纪念挺好的。山顶也有一些卖食品的店铺，价格就要贵很多。金佛顶观景台一般可以逗留1小时30分左右，基本就是拍拍照片。如果选择步行下山的话，大概需要行走1个小时左右。
2018-10-04,未知,5,金佛顶，是龙脊梯田金坑大寨景区的最高观景台，有缆车上下十分方便，居高临下可见无比盛景，观景台占地挺大，上面的设施商家和服务比下边景区的要好很多，可以说是有玩有吃有住，挺适合短住一晚，领略日出日落的梯田美景的。
2018-09-30,未知,5,金佛顶是桂林龙脊梯田金坑景区的最高峰，乘坐缆车上来的话，大约也是需要20多分钟的。 山顶上的风光挺不错的，从这里也可以去到另外两个观景台。 但是山顶上面的消费物价比较高，条件也比较一般，如果方便的话，其实住山下，上来一天就可以了，山下的东西也比较好吃一点，顶上租衣服玩倒是比较划算。
2021-10-01,未知,5,来了三次，第一次上金佛顶。开始想从田头寨爬上去，走了一半过风雨桥，见到一条一米多长褐色蛇过田间小路，结果哪怕还有半小时到也放弃爬山。改为坐缆车上去。在空中和山顶领略梯田的壮美！
2017-08-28,未知,3,建议9月底过去，还有就是一天是玩不玩那里的景点的，建议住距离金佛顶比较近的客栈，可以直接看日出，另外去景观苔会比较近，节省时间，如果不在景观台附近住的话，那就坐缆车上去，走路下来，走上去真的要很大的体力和意志力～ 对于吃的东西可以尝试当地的特色，我觉得竹筒鸡就很不错，大家去了可以试一下竹鼠，小时候老家自己煮过感觉还可以。另外当地人很热情～超级热情～
2022-11-14,辽宁,5,龙脊梯田金佛顶，算是最高处的地方了，看日落日出都可以，走路的话要一个多小时，可以坐索道会更方便点，那上面还有民宿，但是相对就不是那么便利，可以看自己需求选择是否住那边
2017-08-09,未知,5,佛顶观景点是金坑梯田景区内的著名观景点之一，海拔较高，视野开阔，是观赏梯田全景和观赏日落的好去处。金佛顶上还可以看到凤凰回头的景观，由数百条几百米长的田埂叠在一起组成一只巨大的凤凰活灵活现。在龙脊梯田景区停车站有缆车，也是唯一的一项有缆车的景点，我是先徒步上山，在乘坐缆车下来（缆车单程票要先买，缆车事实上在5：30左右才关闭）
