date,ip 属地,评分,comments
2020-06-02,未知,5,观景阁风景优美，与山水和谐交融，让人流连忘返。其建筑风格为南派大翘角多角式楼阁建筑，底层四周出有宽松的月台以衬托阁楼气势和雄伟姿态。二至五层、层层出外廊平台抱厦使其最大限度的满足游客观览平乐自然山水、秀甲天下的胜景需求，并有效地增强了阁楼的内外通透性。傍晚时分，映忖着流光彩霞更是美的不可方物。
2018-07-10,未知,5,休闲徒步的好地方，景色宜人，环境优美，空气清晰，每天游玩的游客都络绎不绝，尤其是晚上登上金子塔山顶可以瞭望整个县城，灯火辉煌，心灵开阔……以前总是绕道盘山小石板小路而上，现在修建好了，也不要绕道盘山路，目前也可称的上名不其实森林公园了，主要是免费开放不收门票，没去过的可以来看看，又可看风景又可以锻炼身体，好多外地人来这游玩
2016-02-16,未知,5,这是个不错的锻炼身体的地方，不过还没建好的样子，里面的物品还不齐全
2016-11-05,未知,5,广西桂林市平乐县金子岭文化旅游休闲园的开发，将以山水生态为背景，以独特的船家文化、妈祖文化、过山瑶文化为底蕴，以魅力桂江为依托，充分利用平乐县位于大桂林山水文化旅游区内的优势及其拥有的丰富的旅游资源和良好的资源开发条件，将金子岭文化旅游休闲园景区建设成为人文文化（历史文化、佛教文化）及休闲文化氛围浓郁、生态环境优良、服务优质、功能齐全，集休闲娱乐、会议会展、旅游住宿为一体的综合性的文化旅游休闲园区，形成与周边市县旅游资源优势互补，创建一个主题为“欢乐水世界”“ 动感三江”水上不夜城。
2017-02-28,未知,5,没有来过的可以来 特别是在有雾的时候 早上爬上山顶 真的是别有一番风味 体验过的人才知道那个感觉 看不到头的云海伴着日出一点一点的显现
2016-02-20,未知,4,从山顶往下看，一览无余，心旷神怡。
2016-03-18,未知,5,金字岭是个观望平乐风，景的好地方！所有必填信息己完成点评！
2017-01-31,未知,4,不用花钱 当做强身健体爬山是不错的选择
2016-05-04,未知,5,这里很美，大家多去玩一玩。风景也很不错。
2016-07-16,未知,5,景色非常美就是太高了爬上去很费力呢
2016-06-09,未知,5,金字岭观景塔是免费的，每天都有很多人去玩
2017-11-22,未知,3,到这个观景阁距离还是比较远的，上来后看四面风景还是比较漂亮吧。
2016-09-15,未知,4,这里值得去，风景非常优美，壮观
