date,ip 属地,评分,comments
2021-08-05,未知,5,金水岩距离月亮山不远，也在十里画廊景区，是一座巨大得地下河岩洞。坐十里画廊的电瓶车就可以到，交通很方便。 与各地很多大型溶洞差不多，这里洞内也有很多的天然形成的钟乳石、石笋和地下河。特别喜欢看的是从洞顶垂下的石质帷幔，很大一片，有规律的波浪状的弯曲。虽然是石头，但感觉很薄很轻，就像织物的帷幔被风吹形成褶皱一样。 洞内有地下河，可以坐小船顺流划过，和在洞中走体验不同，可以尝试。也可以走地下河畔的玻璃栈道，有时候河面会高于栈道地面，透过栈道两侧玻璃，可以看到水中的情景。 洞内还有泥浆浴，不过灯光比较昏暗，不太敢尝试。 洞内湿度很大，非常潮湿，地面也很滑，走路要小心。
2018-02-20,未知,4,金水岩就在聚龙潭前面一点点，其实感觉两个里面选一个玩就好了，金水岩比聚龙潭大一点，都是溶洞，东西都差不多，里面可以免费泡30分钟温泉，所以要去的话带好装备再去。游完还有场免费的演出，虽然演员就那么几个人，但是都挺卖力的，挺不容易的。
2018-02-02,未知,3,来桂林最不开心的就是在金水岩了，十里画廊有非常多景点基本都是看钟乳石的。一开始并没有了解清楚就选了金水岩。来了本来挺开心的，在进入景点后有一些卖东西的都能理解。走到后半部分有卖手链夜明珠的各种乱七八糟的小东西，但价格都还好可以还价，还有鱼疗，价格比外面贵没必要在这玩。冬天来的人特别少，我们同学十几个人进洞，走到最后两个卖东西的地方就很气了，说是什么免费开珍珠，就是一些贝壳自己捞一个他给你打开里面会有珍珠，大小不一，景点工作人员说好的珍珠形状大的就要给你加工就是加了条链子，要收三十多。我们十几个人开了都有珍珠，每一个都说珍珠很好要给我们加工就是要收钱的。我们觉得没必要，就不要了。知道我最后一个同学弄完，他也选择不要那颗珍珠，景点的人觉得没有赚到我们钱就开始凶我们了。说“一开始就说了是自愿的，如果开了好的珍珠就要加工给加工费的” 可是一开始他们也说了不好的珍珠就不给你加工啊，我们怎么知道里面是好是坏肯定都去开啊。开了就点强制逼你买走的意思。还骂我同学耳聋。真的非常生气！！别人的地盘不敢撒野，我们走还不行？辣鸡！
2017-03-25,未知,4,岩洞很大，挺壮观的拍了好多照片，导游声音好听，里面还有泥巴浴和温泉，不过泥巴浴没敢下怕冷全老外在洗，后面的温泉体验了一把，躺着舒服，感觉值了，不虚此行！夏天再来体验一下泥巴浴哈哈！
2017-09-01,未知,4,因为是来自广东阳江的，所以这种岩石对我来说并不突出，泥巴和温泉挺吸引人的，只是都没带衣服没有下去，门票是学生票36元，现在坐等听戏2333在岩石里面买了桂花酒，一时冲动，其实也就普通的酒，要30元，还是别在景区买这些东西吧，感觉很不正宗，虚名而已。
2017-03-21,未知,5,金水岩是阳朔境内很具特色的溶洞，洞内钟乳悬积、石笋林立，有水洞旱洞之分，水洞内有温泉，还有一个泥浴区，可以进去泡一泡泥巴汤。
2017-05-06,未知,4,去的时候是淡季 人不多 等了一波人才进去 以前没看过这种 还挺稀奇的 泥巴浴和温泉个人感觉有点坑 你泡的话得买泳衣吧 男士的50一条 有点贵 我去的时候 泥巴浴那里黑的一批 谁会去泡 温泉倒是有几个人去泡 想体验的可以体验一把 个人感觉里面人少泡温泉有点吓人啊 拍照照的不错 坐了龙王椅 景观也还可以 商业化气氛有点重 不过也没强迫买 门票有点小贵 还强行兜售了泥巴浴的票 anyway 出来玩么
2019-08-09,未知,5,桂林山水甲天下，阳朔山水甲桂林，名副其实啊。金水岩溶洞色彩缤纷，美轮美奂，凉爽无比，大自然的奇妙尽显其中，体验感很好。不虚此行，快来吧。
2017-06-16,未知,5,很漂亮的地方，还有一个小温泉，你们要是需要泡温泉可以带上衣服泡温泉，离大榕树景区遇龙河挺近的，那边可以滴滴的，全程会有导游讲解的，里面地形复杂，要注意哦
2018-05-24,未知,4,金水岩是一个溶洞，里面很凉爽，里面可以免费泡温泉和泥巴浴，这个是包含在门票里面的，喜欢的可以带上换的衣服去感受一下，然后就是这个景点也有表演，但是这个表演可看可不看，如果时间多，去坐坐当休息也不错，如果时间赶完全可以不去浪费时间，溶洞的景色感觉一般般吧！不是很多。
2018-12-13,未知,5,金水岩的溶洞地貌真是神奇，钟乳石千年形成过程叫人赞叹不已，在半山腰还可以看到九马画山峡谷景区，溶洞里面的黑泥有保健疗效可以来个泥浴！
2023-06-03,安徽,4,金水岩是阳朔的一个溶洞景点景区独特，有较强的观赏性。 【景色】溶洞式景色，以西游和神话故事为情景， 【趣味】有独创性之处， 【性价比】较好。 景点门票七十元，还行！只是景区的商业气息太浓！
2018-03-20,未知,4,阳朔金水岩溶洞非常的漂亮，值得去看看，溶洞内景色非常美，有特色的溶洞，在灯光的照射下，五颜六色，五彩缤纷，美极了，令人赞叹不已。
2019-07-30,未知,5,值得一玩的景区。此景区没有多做宣传。嗯，玩了十里画廊的所有项目最值得玩的就是金水岩，《西游记》的水帘洞竟然就是在这里。景色真的很美。，还有温泉。有泥巴浴，逛完还有表演看真的超级棒哦！
2018-09-25,未知,3,金水岩位于阳朔县，范围非常大，距离也非常长，穿越了几座大山。也是桂林旅游比较有名的溶洞之一。桂林市的溶洞尽管很多，但每个有各自的特点，可以选择性的挑选几个参观。
2018-07-16,未知,3,如果按照原价买票的话是真的很亏了，携程上30就行，但要提前一个小时订票，门票还包含泥浴和温泉浴，要换上泳衣才能玩。金水岩进出很麻烦，买大巴车的话要60元来回，我是做得当地摩托车40来回金水岩和西街，也可以租辆电动车骑进去，更方便。景区是分批游览的，十五分钟一批，有导游带着讲解，等候区有卖泳衣的。进去之后，导购团就开始了，从洞口到出来，一路上起码有三个消费点，卖夜明珠的卖珍珠的卖酒的，还有“免费拍照”，免费拍，花钱取那种。不过抛开这些洞内景色还是很不错的。
2017-08-12,未知,4,金水岩 里有泥巴浴和温泉，有兴趣的朋友记得带上泳衣。岩洞自带天然空调，在炎炎夏日非常舒服，参观整个岩洞不玩泥巴和温泉的话大概需要1个小时的时间，下午2点半和4点多会有表演看，这表演的钱也是包括在门票里的，大家要去的话千万不要错过喔。
2019-04-29,未知,5,说实话，金水岩也挺好玩的，挺大的，钟乳石也很多，而且还有个演唱节目，挺精彩的，表演得淋漓尽致，还真专业呀，哈哈哈哈
