date,ip 属地,评分,comments
2018-12-20,未知,5,金龙桥两旁美如画，随手拍都是仙境。河水清澈如镜面，倒影栩栩如生，有阳光的时候拍的照特别生动特别美。阳朔旅游，这几座桥是不可错过的景点。
2019-07-03,未知,5,阳朔金龙桥，一座横跨在遇龙河上的老桥，不知道什么时候修建的，感觉还是有点味道，只是因为旅游的开发，旁边竟然建起了一些楼，实在有点煞风景，拍照的时候躲着点，还是不错
2021-05-18,未知,4,遇龙河边还有多座古村，其中比较有名的就包括旧县村，这座村子距今已有1400多年历史。村子所处的地理位置十分优越，旁边有一条美丽的遇龙河，还有供人们种植庄稼的开阔田地。古村内保存有好几十栋古民居，这些古民居大多都是使用青砖再加上瓦顶修建而成，造型古香古色。
2021-09-26,未知,5,我们是自己骑电动车到的旧县码头 20块钱坐了一个本地人的电动车去的金龙桥码头 金龙桥到旧县码头一个半小时 我们去的时候游客不是很多 费用比较低 花了1块钱买了讲解 撑船的小哥也比较幽默 很有趣真的很值 风景很好 我们去的那天天气很好 很好的感受了桂林山水的魅力 河清澈见底 微风拂面 很惬意 下梯的时候落差也很刺激
2021-07-30,未知,5,提前45分钟预订，司机只在阳朔中心区域接送。我们住在十里画廊中段，自己打的前往漓江国际酒店和大部队汇合。司机驾驶19座，送我们往景点。活动结束后往回上车点。到达码头，发写有编号的票子给我们，两个人一个竹筏。等待了60分钟后，坐上竹筏。全程90分钟，水流平缓，清澈。人工动力，师傅比较辛苦。好评！
2016-05-08,未知,4,很快我们就到达了白沙，继续向金龙桥进发，在金龙桥和遇龙桥的三岔路口，热心的大妈以为我们想要去漂流，向我们喊走那边的道，生怕我们走错了，在这里表示感谢。 到达金龙桥，金龙桥上风光也很不错，稍事休整，遇到朴实的村民，向我们询问是否需要漂流，我们委婉拒绝后仍告诉我们继续前进的方向，让我们感受到了阳朔的热情。
2022-12-12,广西,5,阳朔遇到了很好的竹筏师父，徐师傅，工号086人特别好，技术也特别稳，旅程很开心强烈推荐
2023-06-12,澳大利亚,5,遇龙河竹筏 必去系列 但就是…等太久 人超多 8:30到 12点才上笩 反正就是人力不足吧 携程订票价格美丽 方便 提前两天订的 取票也顺利 就是当天 排队排很久 主要是周边也没啥可以玩的 只能坐大厅等 比较烦躁 哈哈哈 轮到我们的时候大中午 可是竹筏上有撑伞 不热 看到美景的那一瞬间 真的什么都值了 笩工人很nice 热情 也好 他有提到小费 但是很含蓄 可是我打断了他的含蓄 哈哈哈哈 因为小费是我们一开始就打算给的 而且比他预期的还高些 他挺开心 哈哈哈哈 我们也开心 因为 他们工资一趟都不过百（额 不能说再多了） 一天最多只能4趟 非常辛苦 而且态度也好 如果一开始态度不好 我们也不会给 所以…emmm… 个人觉得给小费很正常 一趟下来 大家心情都好 又有美景 还会再来的
2023-07-21,广西,5,非常棒的景色，个人感觉比起阳朔西街好太多了，安静惬意，至少交通不拥堵，座竹筏金龙桥到旧县精华段相当方便，自驾的话生活各种会更方便，
2022-10-11,广西,5,金龙桥，游客更多去的应该是金龙桥码头，这里主要就是坐竹筏的，很值得来，阳朔的风景还是非常美丽的，喜欢这里，竹筏也是一定要坐一次的
2024-04-05,广西,5,特别值得去的景点，遇龙河竹筏漂流，建议从金龙桥码头或者骥马码头出发，沿途风景如画，过9个落差坝，时长90分钟左右！一个筏子坐两个人，怕弄湿鞋子可以花十块钱买个连体的雨裤！我们清明节那天去的，因为清明节对南方来说是个大节气，家家都要祭祖的，所以车不好约，不好打，而且天气每年都是有雨的！所以建议要去的可以错过清明，选择清明跟五一之间的时间段，或者过了五一以后，错过黄金假日，要不各个景点人多，照相不出片！
2021-07-26,未知,4,先说说缺点： 购票口只有一个，无论是网络购票还是现场购票，都要到现场这个售票处取票，只有一个窗口，排队时间非常久，我们7:50到的现场已经排起了长队，拍了一个小时之后买到票了还要去检票厅排队登筏，检票厅等了将近2个小时，现场还会根据票在入口给我们重新写号数，我们当时拿到的已经是581号了，十一点终于坐上竹筏 优点： 景色非常nice～一个半小时的行程，在竹筏上悠悠然享受静谧，船夫的号子伴随着徐徐清风，把我们带入画中游。有一说一，撑竹筏的叔叔真的很辛苦，一个个都是精瘦的，很需要体力，所以也能理解我们排队这么久，毕竟竹筏一共就是400艘左右，所以一批一批来回确实是需要时间的
2016-04-03,未知,4,遇龙河 从金龙桥 码头漂到旧县，凭票去码头JC叔叔那登记，会分配筏工，有幸碰到一位热情健谈的筏工师傅，给我们讲了很多景点由来。遇龙河 漂流 兴起的历史，漓江 九马画山 的故事 ，两岸普通百姓的生活等等。
2021-04-04,未知,5,真的非常非常的漂亮，说实话、来阳朔估计大部分人都是为了玩这一个景点。绿水青山让人心里非常非常的平静，非常非常的开阔，仿佛抛开了一切烦恼
2021-09-04,未知,5,很悠闲，总体感觉还是不错👍
2023-02-06,北京,5,虽然去的时候天气不好，大阴天还有点小雨，但是风景绝对美，90分钟的人工筏体验也很好，比漓江上突突响的电动筏好多了。应该是阳朔几段漂流中的最优选择。
2019-11-14,未知,5,昨天下了场雨，今早天放晴了，赶了第一趟竹筏，景色美不美自己评判吧！
2023-02-18,广西,4,早上去的，阳光很晒，建议下午去阳光在后面不会晃眼。撑船师傅态度很差，总把船杆上的水洒到我们身上，说话也不理。不过风景很美，值得一去。
2023-06-04,广东,4,竹筏顺流而下很惬意，由于是人力，价钱不便宜也能理解，只是船夫一开始就主动要小费会影响体验，可以在船上的固定位置放置小费箱或小费二维码，在完成行程后再由客人体验决定是否打赏，而不是在船上就不停聊这种事情。
2022-07-02,未知,5,非常值得去！！来阳朔坐了电动竹筏、船和人工竹筏，人工竹筏最好玩了，风景很好，也很舒服，据说是遇龙河景色最好的一段，点赞！
2022-10-31,浙江,3,金龙桥唯一美的就是桥上的视野，且其具有漂流起始点的意义。桥本身真的没有存在感
2020-11-23,未知,5,非常不错的体验，桂林旅游的最高潮，一定要来玩。青山绿水，风景如画。竹筏漂流也趣味十足，建议把车停到旧县码头，滴滴打车去出发码头。
2023-06-16,广西,5,两边的景色不错哟～携程买票也很方便～nice～成功晒伤～555～
2021-02-26,未知,5,三个大桥洞横跨在遇龙河两岸，桥的两侧停着很多漂流的竹筏，站在桥上可将遇龙河的美景尽收眼底。
2021-01-20,未知,5,是典型的现代桥梁的造型，三个大桥洞横跨在遇龙河两岸，站在桥上可将遇龙河的美景尽收眼底。
2021-06-16,未知,3,整体体验还说的过去吧，没有很刺激，景色还可以
2022-08-07,广西,4,很有意思的漂流，但取完票需要等3到4个小时才能轮上，使得游览体验大打折扣。难道做一个实名预约系统很难吗，还是不缺游客根本不用考虑游客感受？
2019-08-14,未知,5,风景很美，划竹筏的师傅技术高，竹筏平稳，慢慢游，欣赏风景，拍照。安排合理，接送车准时。排队上竹筏需要等一段时间。
2022-01-12,未知,5,真心是非常非常不错的地方，优秀的景点👍去桂林必须去打卡的景点
2021-06-14,未知,4,门票线上买更划算，但是如果遇到有票贩子连着几个景点出更优惠的套装也不是不可以。景色不错，有趣好玩，
2021-02-12,未知,5,很赞 虽然枯水期只开放了一段 但体验很棒。出了码头就有电动车出租 离千古情广场也不远。有空的话可以随处走走停停 享受难得慢时光
2020-11-22,未知,5,性价比高，有趣好玩，总体超赞，景色不错，下次还来的话肯定会继续来这里游玩的，推荐推荐推荐风景真的是太太太太美丽好看了，下次一定下次一定！
2020-11-17,未知,5,风景美如画，人在画中游美不胜收
2022-10-20,重庆,5,真心是一个非常非常值得去的地方，风景秀丽👍
2021-10-12,未知,5,非常非常不错👍真心是山清水秀👍值得去一去
2022-07-18,未知,5,非常非常漂亮的一个地方👍可以说是漂亮极了
2023-01-20,广东,5,真心不错的地方👍真心非常非常的漂亮👍
2023-02-03,广西,5,订票方便，还可以网上签到排号（手机有要求苹果小米可以）。风景很好、玩的开心😁
2021-07-05,未知,5,这个地方非常非常的漂亮👍犹如仙境一样
2022-04-15,未知,5,这个地方真心是人间仙境👍太漂亮了
2021-03-24,未知,5,非常值得一看的地方，推荐大家哦
2020-08-22,未知,4,景色不错，值得推荐，
2020-10-04,未知,1,垃圾项目！线上买票线下不给换，一大早停止兑换也不提前告知，没有任何补偿机制，浪费别人一天的时间车费停车费！“船工累了就不想划啦，换了也没用”，第一次遇到这么搞笑的景区，什么叫提前买票你们懂吗？？？（图：一堆人投诉……）
2024-08-13,广西,5,清澈明朗的水，天气不错
2021-08-07,未知,5,必须得去，孩子非常开心，一次玩不够，还要一次，感谢摇船的师傅。
2024-06-08,云南,5,去了必须买的票啊 看天气了 万帆竞速 简直就是电视上的场景 必须去
2024-01-29,上海,5,车子接送很方便
2023-05-28,广西,5,遇到一位非常好的筏子师傅，全程给我们讲解，很好很好
2020-09-24,未知,3,一般，比较商业化，去一次足矣了…
2024-03-25,广西,5,遇龙河漂亮！车接车送，很方便的
2023-02-24,广西,5,比九马画山好，推荐这个竹筏。
2022-10-11,山东,5,需要提前预定，值得玩的景点
2021-05-17,未知,5,景色不错，总体超赞，
2020-11-23,未知,4,景色不错，心情好有趣好玩，性价比高，总体超赞，景色不错，可以
2021-08-03,未知,5,竹筏漂流非常不错
2023-05-28,江苏,5,很好的游玩体验
2021-07-22,未知,5,服务很好！！！
2022-10-27,江西,5,玩得还不错
2021-07-30,未知,3,网上购票了还要取票，太麻烦了，而且人群聚集没有分流，不安全。建议实行自助取票。
2020-08-12,未知,4,风景优美，人工木筏很特别的一次体验～
2019-10-02,未知,1,1.我的酒店就在城区为什么没有上门接！我们带个孩子多走1公里！现在游玩结束告诉我们不能送回酒店只能送到一个加油站离酒店需要步行15-20分钟！我们带个孩子！外面温度36℃！你们觉得合适吗？还说市里堵车需要我们理解？那谁理解我们消费者！带个孩子出门就是怕坑！选择了这个平台！结果呢！醉了！还不如自己包个车玩！至少靠谱！小孩子正是午睡的时间！大家想想！抱个三岁的孩子！36℃！走30分钟回酒店！图片是到酒店后！留的汗！还有下面这张照片！就是你们携程所谓的堵车！！
2023-05-07,广东,3,水太浅，一躺下来衣服湿透了
2021-09-17,未知,3,串工划的特别快没体验感
2020-10-04,未知,1,堵车晚10分钟，不能等，非得要求大巴接送过去，自己过去又不给，要求退款。没去成说已入园，不得退款。又不给改签（之前有人打电话给我说是可以改签晚点）。最后自己没去玩还损失了400性价比低，体验不佳，
2022-06-11,未知,1,金龙桥根本就无景色，就一条水泥桥，周边什么都没有。极力不推荐。
2019-08-16,未知,1,非常差 写的酒店往返 实际接送要我们去集合点。服务态度敷衍 语气差。多次沟通未果，下船之后还要自己再去沟通地址，说不能送返，态度非常恶劣。
2023-01-31,广西,1,黄牛太多了，恶心。中午过去就没票了
2020-01-21,未知,1,全程风景优美，但是，网上订票居然比售票窗口贵10元！差评！
2021-07-31,未知,1,取票和售票一个窗口，连个自动取票机都没有，取了票还得(děi)排号……太不人性化了。
