date,ip 属地,评分,comments
2021-03-13,未知,5,阳朔鉴山寺始建于唐开元初年（公元713年），鉴山寺位于阳朔县月亮山旅游凤景区的云集山下，大榕树公园对面，距阳朔县城南7公里，是桂林市最早的古寺之一。鉴山寺历经宋元明清等朝代， 其香火旺达1200余年。 整个寺院主体建筑全部采用仿唐风格、规模宏大，占地面积25亩，总建筑面积达6000多平方米，具有食宿、疗养、藏书、考古、旅游等功能。形成了一道独特的旅游风景线。 阳朔鉴山寺的建筑古朴典雅，雄伟壮观，仿唐代古建筑风格，总建筑面积5589平方米；建筑群体坐南向北，主要殿堂是典型古寺布置方式定位，中轴设有照壁、山门、天王殿、大雄宝殿、藏经阁；东西向设有观音殿、文殊殿、普贤殿、地藏殿、钟鼓楼、画廊、碑亭；各殿堂是供游客游览、了解佛教文化渊源、进行佛事交流活动、进香参拜的场所；山门东西两侧设有斋堂、香客楼以满足佛教信徒用餐及住宿。寺内设置亨哈二将、四大天王、弥勒佛、韦驮菩萨、释迦牟尼佛、阿弥陀佛、药师佛、观音菩萨、普贤菩萨、地藏菩萨、文殊菩萨、十八罗汉等48尊佛像；其中在18米高的大雄宝殿内供奉的“三世佛”高达7米。
2021-12-19,未知,5,鉴山寺，这里在我心里可以被称为“广西之最”。这个寺庙属于仿唐佛教建筑，其规模非常宏大。堪称广西省最大的寺庙。这座寺庙距今已有近千年的历史了，香火非常旺
2015-12-14,未知,4,寺内钟声回荡着很好的感受，但是商业气息很浓重，都是这样
2021-02-28,未知,5,鉴山寺的建筑古朴典雅，雄伟壮观，阳朔旧八景之一的“鉴寺僧钟”景观比较出名。
2016-02-10,未知,4,阳朔县城附近的一座古朴寺庙，位于山峰下，环境优美宁静，香火挺旺，可惜要收费参观的。
2016-11-16,未知,4,感觉就是一个普通的寺庙，寺庙很小，15分钟能全看完，但是墙上有桂林这边特有的石刻，因为寺庙不能拍照，所以我这边就没图了。
2015-11-01,未知,4,在阳朔十里画廊景区内、距今已一千四百年了、很有古韵味、寺内钟声悠扬、响彻山谷间、为阳朔旧八景之一。
2016-04-26,未知,4,不怎么样嘛，寺庙的感觉淡一些，商业的感觉浓些。。。
2019-01-17,未知,5,古朴典雅，雄伟壮观，规模宏大，堪称广西最大寺院
2017-04-21,未知,5,"鉴山寺的建筑古朴典雅,雄伟壮观,仿唐代古建筑风格,"
2019-02-09,未知,4,阳朔县城附近的一座古朴寺庙，位于山峰下，环境优美宁静，香火挺旺，可惜要收费参观的。
2018-04-15,未知,4,寺内钟声回荡着很好的感受，但是商业气息很浓重，都是这样
2016-06-22,未知,1,好坑的地方，到处都是坑钱，我是个学生，去摸一下乌龟，款了几块钱给了我一个铜钱，让我等专家，然后还让我再款了99，让我无言以对(>_<)
2016-06-08,未知,1,真心是这些假和尚假居士毁了一座千年古寺，重领福袋开始就一环一环的找理由借口捐功德上随缘。里面解签的居士问你来自哪里就是问你的情况，就是看你能请好多的佛回去，气氛大家没见过市面吗？正规的寺庙没一家是这样，我还的过一位高僧的幸运手链，根本不给你说钱的问题，大家都是自己主动随缘，不给也没啥子，经书你要就在专门的地方领，全部免费
2016-12-08,未知,3,其实就一个寺庙，都一个样，神圣不可侵犯
2016-08-31,未知,1,完全骗人的寺庙，这些假和尚就是骗钱货。
2016-10-22,未知,1,这里的和尚开口就是几百块，以后能不去就别去了，进都别进去。
2016-12-05,未知,1,骗钱的寺庙。谁去谁上当！我诚心捐一百元，和尚强行让捐三百。给佛教摸黑。经让你们念歪了！
2016-08-14,未知,1,我会给零分，又小又坑，，，，，早知道我先看点哎，年轻就是容易被骗
2017-12-17,未知,1,这里没有什么值得看的！就是一个普通乡村寺庙烧香的地方
