date,ip 属地,评分,comments
2019-08-03,未知,5,1.银水侗寨现在的性质不一样了，以前是民族风情为主，现在是徒步、温泉、瀑布泳池为主。 2.以前的门票是45元/人，含表演，现在是45元/人含温泉。 3.可以到艺江南民族文化休闲园体验特色簸箕宴. 4.人数多有团队结算价。 5.客户端搜索银水侗寨获取更多信息
2020-02-18,未知,5,银水侗寨在桂林市龙胜县城西1.5公里的勒黄小三峡之中，与6400千瓦的勒黄水电站库区铧嘴相连，总面积3000平方米，建筑面积米，是个集桥、亭、廊三位一体的独具风格的风雨桥，四方层檐飞角瓦顶塔形鼓楼的侗族少数民族民俗村寨。
2018-08-21,未知,4,导游说，银水侗寨已经几百岁了，她就生在银水侗寨，家在那高高的山顶上。我们见到的是银水侗寨的“接待区”，他们生活和劳作的地方在山上，那儿有他们的“垌”（田地），有他们的家。
2017-07-22,未知,5,桂林汽车站乘坐到龙胜的客车然后龙胜县城可以乘坐公交车到达。住在寨中的侗家人能歌善舞，在生活习俗、饮食习惯上都保持着本民族的独特风格，村寨中不用一钉一铆木结构楼房、风雨桥（花桥）、宝塔式的鼓楼，都是侗家风格的标志性建筑。
2017-07-02,未知,5,此地曾是个古老的侗寨，早在唐宋年间，侗人吴氏家族迁入龙胜，首次在此开山落寨，经过几代人的建设，成为一个错落有致、精致幽雅的侗寨，人们安居乐业，人丁兴旺，寨子顶端有庵堂，香火不断，远近闻名。
2017-10-12,未知,3,首先，现在已经不开放。询问旁边商店的人员，说是休整暂停。上面写着收10元门票而不是免费。景点在公路边，对面是桑江和大山。
2018-01-17,未知,5,龙胜是各族自治县，侗壮苗瑶都有，各种寨子风格不一样，各有千秋，都值得看看，有时间还可以到农家屋里坐坐，感觉少数民族群众都比较热情
2017-04-21,未知,5,在桂林市龙胜县城西1.5公里的勒黄小三峡之中，与6400千瓦的勒黄水电站库区铧嘴相连
2017-03-14,未知,5,龙胜是苗族侗族少数民族聚居区，早年都被困在山区，生活艰苦。现在都被开辟成景区，增加了收入，生活便好了很多
2016-11-04,未知,4,环境很好，建筑很漂亮，很有特色
2016-11-09,未知,4,侗寨的风雨桥是必不可少的建筑物
2016-02-12,未知,1,不知道出什么问题，这个景点好像关闭了。去到时售票处和大门都紧闭着，问旁边饭店的老板娘说老板不做了。。。我那个晕啊？谁能告诉我怎么回事？赶紧更新信息。
2016-03-15,未知,3,现在没落了，原来的表演团队去阳朔蝴蝶泉景区了。
2017-10-06,未知,3,风景漂亮，人民热情，旅游好去处。
