date,ip 属地,评分,comments
2017-02-24,未知,5,值得去，不光免费，登到山顶后，能够看到阳朔县城的全景，在美丽的山间，镶嵌着安静的小县城，特别是夜幕降临前，登到山顶，远眺群山，真是心旷神怡。
2016-05-13,未知,3,是阳朔县城内最大的免费公园，位于叠翠路路口的老汽车站对面，一步进入闹市区。这里成为了当地人休闲娱乐的场所，一到假日，就有很多人拿着折叠桌和小板凳到此打牌，反而不会见到太多的游客。只可惜扔在地上的垃圾不及时清理，卫生环境不是太好。公园内有独秀峰，本来攀爬上去就可以俯瞰到以西街为中心的阳朔县城，但不知为何即便不用收费，却少人问津，台阶狭小，湿滑难走，所以我们也没有上去。公园内还有莫休烈士墓、革命烈士纪念碑等纪念地，真心希望旅游税收颇丰的阳朔县政府可以改善一下这里的环境，修缮好登山道路，给预算低的旅行者提供一个好的旅游地。
2017-06-26,未知,5,园内桂树成荫，竹木繁茂，花果满园，四时飘香，双月溪从园内萦回而过。四周奇峰环绕，园内有独秀峰、西郎山、碧莲洞、来仙洞等名景。园内的“春蕾苑”，以陈列当地特产的吸水石假山、花卉盆景为主，衬以梅亭水榭、小溪曲桥、彩壁回栏、怪石名花，集阳朔名山秀水于一苑。
2016-11-20,未知,4,今天下了点小雨，我们从公园一直往前走，看到山上有亭，就朝着这个方向走，走上台阶十几段就往左边上，一直往上走快到时感觉很累，但最后到了，上面隔没多远有一个亭，走到最上面能看到全景，很美，感觉一切都值了。
2016-01-17,未知,5,公园里有非常可爱的动物雕塑；几座小山爬起来都很棒，可以在山上的亭子里俯视阳朔镇和远山丽水。非常适合时间充裕的游客玩上小半天。免费的景点景色可是很不错噢
2020-06-06,未知,5,阳朔公园位于阳朔镇西部，爬上去可以看县城之景．园内的“春蕾苑”，以陈列当地特产的吸水石假山、花卉盆景为主，衬以梅亭水榭、小溪曲桥、彩壁回栏、怪石名花，集阳朔名山秀水于一苑。公园内有革命烈士纪念碑等人文景观。免费景点，不错👍
2016-11-05,未知,5,阳朔公园是在县中心的一个免费公园，比较清静，大多游客只是当地锻炼身体的人，其实风景优美，山顶还可俯瞰阳朔全县，有空的朋友应该去看看，真的很不错。
2019-01-27,未知,5,离住的地方很近，几百米的距离就到了。进来以后发现真是个好地方。 有一部分地方类似于老年活动区域，有老婆婆跳舞的，很多老大爷分别坐在大树下打牌，还有做体育运动的，溜娃的，遛狗的…… 我爸看到这场景说真想在这住两年。 公园里还有两座山，一座叫独秀山，可以爬到半山腰，还有一座不知名的山，可以爬到山顶，看阳朔县全貌，就是路有点陡，得注意安全才行。 里面挺大的，时间充裕的可以来转转，不要门票，估计能玩2个小时。
2017-10-12,未知,4,阳朔公园是阳朔县城内一处市民休闲公园，毗邻阳朔西街；公园依山而建，环境清幽，绿树成荫，颇有江南园林的韵味；内有广场，娱乐设施，湖，桥，亭，山，纪念牌；更多的是当地人在此休闲。公园免费。
2020-02-07,未知,5,登高远眺俯视整个阳朔是怎么样的体验！这个居然是可以免费24小时享受的！来到了阳朔一定要去一下阳朔公园！这里是西山日落的观赏地！看喀斯特地貌风光下的日落美景适值其时！这次云雾太重错过了！ 【景色】 【趣味】 【性价比】
2020-01-06,未知,5,阳朔公园位于广西壮族自治区桂林市阳朔县城，芘莲巷156号，靠近著名的阳朔西街。 阳朔公园上榜桂林免费公园的第十名。周一至周日，每天免费开放。阳朔公园景色优雅，是典型的集自然风光为一体的公园。2020年新年第四天，我们从桂林乘坐6三星级游船，来到了阳朔，并且在阳朔过夜。入住的新世纪大酒店，就在阳朔公园的大门旁边。站在酒店的客房里，委过玻璃窗户，就能够看到阳朔公园的美丽景色。
2019-10-23,未知,5,来回路过阳朔公园好几次，最后一天终于去了下，公园挺大的，免费开放，也方便附近居民纳凉健身，有烈士纪念碑，独秀峰等。 不过主要是可以爬个小山看阳朔全景，独秀峰是不能爬的，要从旁边的小山上去，不高，上面有个卧云亭，登高望远的景致很不错，群山环绕，可以俯瞰整个西街，也是看日落的好地方。
2019-09-17,未知,5,阳朔公园是位于阳朔县的免费公园，全天对外开放，就在西街旁边。主要景点包括公园广场、儿童游乐场、独秀山、阳朔烈士纪念碑、会倦亭、卧云亭、碧莲洞（收费景点）。本人晚上去的阳朔公园，公园内路灯少，光线已经比较暗了，不过听说有夜景看，就去往上走了一截，经过两个亭子到达最高处卧云亭（用时大概5-10分钟）俯瞰阳朔县城全景了，这里视野很好。
2021-08-15,未知,5,阳朔公园在西街附近，是一个免费的地方，公园很大，很多人在锻炼和打牌，还要父母带孩子在溜达的，风景不错，很多植物，看着就觉得心情好了，而且免费，美食可以转转，但是如果行程紧张，可以不去。
2021-01-27,未知,4,阳朔城区的小众景点，休闲好去处 对于外乡人来说，阳朔秀美的山水风光，令人流连忘返。那生活在阳朔的本地人，他们会去哪里休闲呢？🤔 🥰西街是属于年轻人的天地，而阳朔公园则是老年人安享晚年的乐园。 阳朔公园，就在阳朔县的中心城区，离西街仅有一街之隔。🙊 😃我到阳朔的第二天，预定了下午去漓江游船的接送，因此，上午的空闲时间，可以让我自由探索这座秀美的小镇。 🌄阳朔最著名的就是发育成熟的喀斯特地貌，除了著名的漓江山水，就算走在小城中，也能看到石灰岩的岩体。🌝不过很多独立的岩体是被保护起来，不能供游客攀爬。因此，从1915年起，就开辟了一处公园，供居民休憩。 🍁当时这座公园，还不叫做“阳朔公园”，而被称为“寿阳公园”，因为当时园区内的碧莲峰被称为“寿阳山”。 1934年第一次扩建后，因其位于阳朔县城，因而被改名为“阳朔公园”。👏 正门是一座仿古的门楼，上刻有当代著名书法家😍刘海粟的手写的“阳朔公园”。 和国内大多数的公益公园一样，这里并不收取门票。🦄因此，早上就成为老人晨练的最佳场所。除了跳广场舞，还能看到一些老人搬着小桌子，三人一组在打牌。 🙈这种纸牌我没有见过，后来网友告诉我，这种叫大字牌，打法和麻将有些类似，有碰、有杠，但是没有吃，在西南地区十分流行。 🍀整个园区面积占地越340亩，规划合理，除了碧莲峰，还有以陈列当地特产的吸水石假山、花卉盆景为主的“春蕾苑”，革命烈士纪念碑和莫休烈士墓，以及供群众游玩的球场、广场和回廊。 ❄️想要了解阳朔当地最接地气的生活，那么不妨去阳朔公园走走，攀登碧莲峰，看老人打字牌，静赏阳朔的山水。 ⚠️阳朔公园游览攻略： ❗地址：桂林市阳朔县叠翠路36号 🏫开放时间：全天开放 💰门票：免费
