date,ip 属地,评分,comments
2017-02-04,未知,5,月亮山是我觉得十里画廊五个景点里性价比最高的。携程订票10块钱，但需要网上预约成功(即支付)的一个小时后才能生效进园，建议提前一个小时订票。门口票价14块钱，忘记网上订票或赶时间进去也可以买门口的票。登山月亮山需要走半个小时(中途不休息)的阶梯，途中很累，平时没有登山的人会很累。各位量力而行，但登上后的那一刻你会觉得辛苦也是值得。
2017-08-05,未知,5,挺不错的景区，很神奇！山顶上七十多岁的老太太都会飚英文向外国人卖水，对答如流，真是让人感叹！老人为了更好的生活都可以这么努力，我们年轻人有什么资格混生活！
2017-07-09,未知,5,月亮山一直都人很少，大部分旅游者都是远远地在游船或者大巴上看两眼而已。其实，这座小山很值得一爬～看着不高，爬上去还是有点儿喘的，每上一段看到的月亮都不一样。上到山顶之后，周边的景色非常惊艳，能看到喀斯特峰群的特色，很赞～
2017-04-19,未知,4,月亮山景点不错的，就是月亮山村，里面有三个大个变形金刚的村子，本地人开车素质低，他逆行刮我的车，后来我鸣笛示警，大客车司机就破口骂人，后来我妈和我老婆就和它们理论，治安仔开个无牌三菱越野车叫来大手拿着砍刀逼我和家人，不敢相信，这么成熟的旅游胜地，会发生这样恶略的事情，警察蜀黍来了后它们还在当着警察蜀黍的面还在骂我，它们和警察蜀黍有说有笑，大家懂的，难道桂林就这样欢迎远方的朋友吗？我妈让我开车走，它们不讲道理的野蛮人，给阳朔旅游抹黑！我来自深圳，大家去阳朔注意安全！
2016-01-13,未知,4,不值得爬山上去！上去路上到竹林。1981 年筑登山道， 800 余级，阳朔大理石铺成，直达月洞；洞高、宽约50 米 ，形如半圆拱门；山壁却只有几米厚，洞壁平整似墙，洞顶拄满形态各异的钟乳石。
2017-05-31,未知,5,并非像有些人所说的在门口拍个照就好了，爬上山到梳妆台能看到月亮山全景，爬到山顶能看见十里画廊山景，值得一爬，就是有点累，做好准备
2018-02-12,未知,5,大榕树出来，骑车继续，就到了月亮山，有介绍说这里是看日落的最好位置，不过我们到的太早了……登山大概需要一个多小时，体力消耗还好吧，不是特别累，不过也淌汗，山顶看阳朔山水又一番景象！ 桂林山水甲天下，阳朔山水甲桂林……
2017-12-05,未知,5,十里画廊景区的最后一个景点，神奇的岩洞就像一轮明月挂在山上，不同角度观赏能够呈现不同形态的月亮，新月如钩、圆月皎洁……不禁让人想起“月有阴晴圆缺”。如有兴致，还可以登上月亮山，去到月宫近距离一睹为快。
2021-01-01,未知,5,以前游览月亮山都是坐着车远处看看，第一次知道月亮山是可以爬上去的，月亮山不高，海拔高度大约300多米，沿着人工修的道路，大约800多级，就可以到达月宫，可以远眺十里画廊，近看雄鹰展翅，蜗牛爬山。
2021-07-29,未知,5,在十里画廊的终点站附近。据说很多外国人很喜欢爬月亮山。十里画廊本身就是一条公路串起来多个景点，景点之间有电瓶车连接，好像不要钱，到了景点随上随下，很方便。 月亮山简单说就是一座锥形的山峰，中间正好有个圆圆的山洞，山洞洞穿山体，透过光，好像圆圆的月亮。不少游人喜欢远距离拍手托山洞的照片。拍摄地点在电瓶车走的公路上，不用进景区就可以拍到。如果爬山到山上，反而拍不出月亮全景。
2019-02-23,未知,5,十里画廊最后一个景点，门票11元，在门口拍不了月亮山，竹叶都挡住了，还蛮值得去的。石阶有点高，走到山顶大概40分钟，少锻炼的我回酒店后腿都要断了。梳妆台一定要去，那个角度看月亮山最美。感觉就像桂林的象鼻山，不过这个是在山顶，那个是在河边，到了月宫一直在拍月亮山，一回头，背面的风光也非常漂亮。
2016-09-16,未知,4,月亮山还不错，就是爬山真的很累，加上天气有点闷热。山上有卖水的阿婆，还会用英语找外国人买水。挺佩服的。听说是早上吃了早饭就到上面了，中午就喝点稀饭，下午才下山。有需要的朋友可以帮忙消费一下，阿婆也不容易
