date,ip 属地,评分,comments
2020-06-04,未知,4,热气球100，五分钟。助力滑翔伞380黑导游少几十，不能自己拍照。自拍杆100的 360度拍摄200视频还不帮剪辑。都是五分钟。挺坑的 不过说实在话不拍照来体验一下飞行的感觉花380还是可以的
2018-02-22,未知,4,感觉热气球不如滑翔机有意思，不过价格在那里，冬天去太冷，天气暖和点会好些，携程订票很方便，体验一下还是不错的，总体还行，孩子积极性很高
2017-12-04,未知,5,滑翔伞非常好玩，特别刺激。有点小遗憾是不能带自己手机上去，要带景区配置的自拍器。如果可以改成自由选择用自己手机或者景区自拍器，然后缴纳一定费用，我觉得更加人性化。就滑翔伞飞行来说，我给满分。
2019-05-07,未知,3,节假日排队区域建议管理好，我们排队要进到里面排号期间，看到许多人进进出出，明显是插队好吗，管理人员也不清楚这些人是里面出来上洗手间的还是外面混进去的，但是我们外面的人明显看到是外面人员混进去的，插队非常严重，导致后面排队的人游玩心情也直落千古，并且热气球与滑翔伞的排队混乱，分不清哪个是哪个，现在大数据智能化时代，为啥不好好利用，建议加强排队这方面的管理。不过坐在滑翔伞上面体验还不错，很舒服，驾驶员开得很稳，景色也很美～
2020-08-23,未知,4,【趣味】体验了一下热气球，喷火的瞬间感觉人要热化了，还好高度可以接受，老张去体验滑翔机了，那个高度我就算了吧。 【性价比】还好啦，算是能接受。
2018-02-23,未知,4,时间太短，热气球就两分钟下来了。滑翔车就3分钟左右。性价比不高。但没试过的可以去试一下。还是值得尝试的。等的时间比较长。建议提早过去
2018-03-29,未知,4,热气球体验5分钟门票120元，有点不值。就是为了进去拍照的。
2017-09-01,未知,3,只是在空中停留个两三分钟而已，热气球不能到处飘！景色一般吧，看不到漓江，性价比不高，更推荐滑翔机！不过如果有桂林身份证倒是很值，但可惜我们都是游客罢了！
2017-04-01,未知,5,感觉还不错，可惜不可以同想象中那般飘来飘去，只是上下升降而已，风景还行吧。其实觉得滑翔机更值，毕竟热气球已经是这个价位了，也不能要求太高。
2018-07-17,未知,4,没玩过感觉还蛮刺激的，但是玩过的人就觉得还好，因为收费实在太贵了，一次加视频要600
2018-06-19,未知,5,好像很好玩的样子，骑行遇龙河路上遇到，滑翔伞，在蓝天下，特别美，可惜人好多。性价比不知道如何，最终没有体验，拍了些照片美美的
2019-03-27,未知,5,早上九点多出发去到这里，有点早，拿了票等了半小时左右才开始把热气球升起来（下雨就停的，最好提前打电话问）全程只有我俩人，大概50米左右，在上面停了两分钟左右，然后慢慢降落，走的时候开始有游客来玩了，下午去就人计较多
2017-08-01,未知,5,终于体验了热气球，天气太热，环境一般，不过总体还是不错的，就是门票小贵。
2018-02-21,未知,5,总体来说，很不错，第一次玩滑翔伞，唯一爽中不足的就是时间短，正常就是5-10分钟之内，建议大家可以选择夏天来玩，可能能见度高一点，景色更美，现在2月份去，雾很大，也有雨，有雨就飞不了，得等待了。
2019-09-28,未知,5,看着别人玩的时候觉得很危险，但都自己玩的时候又觉得时间过得太快。基本上想到空中汉阳数的风景真的是另一种看法，值得一试的
2018-10-06,未知,5,小朋友很感兴趣的活动，高空飞行看美景不错。全程有工作人员陪乘看护，安全、好玩。不错不错哦！新鲜体验活动，适合亲子或情侣一起的活动
2017-11-13,未知,5,热气球升空很慢很平稳，不会有什么不适感。滑翔伞就比较刺激了，到上面有一种冲上云霄，一览众山小的感觉。。强烈推荐！
2018-02-11,未知,5,和朋友一起去的时候正好人少 不用排队 滑翔伞很刺激 俯瞰整个阳朔美景 很不错的体验 坐完又看了热气球
2017-08-19,未知,5,非常好的一次体验，在大山中飞行，看到美丽的遇龙河。飞行很平稳，值得一游
2020-02-07,未知,4,很少有人知道阳朔还有乘热气球的体验，就在阳朔燕莎航空基地那里，一个热气球可以乘8个人，升空的高度不是很高，看到的景色其实也挺一般的，就当体验体验吧。
2021-07-22,未知,4,动力滑翔伞场地环境不太好，场地里都堆着高高的黄泥堆，滑翔伞飞出去看风景还好，但如果是热气球就真没什么景色好看，就看到一推推黄泥和不是很美的近景。滑翔伞飞出去还是有点远有点高的，所以能看到无数的小山头，和比较美丽的景色。不用担心会害怕，开滑翔伞的帅哥开的很稳，除了刚刚起飞有点紧张，飞上去就好了，滑翔伞体验的性价比还是可以的，但热气球就不太值。还有门口介绍推荐拍视频的小姑娘推销不成功态度也不太好，很明显的差别。不拍她们的视频不让同伴去门口自己拍，只能在门外远远的等，所以以下都是坐热气球拍的。
2019-03-28,未知,3,来了不体验下总觉得会遗憾。其实在热气球下拍照很好看，上去反而没啥好看也不好拍照。也坐了滑翔伞，很贵，365，现场包车司机帮订的。飞行时不能自带相机手机等，景区可以帮拍照拍视频，拍照用gopro，99一份，视频用啥忘了，拍出来是全景视频且可以自由换角度的，199一份。实在太贵！
2018-08-12,未知,4,找当地人买的票相对便宜点，其实相对整个阳朔地区，当地导游都能买到比景区甚至网上便宜的票，这让我对当地村民导游有了一个新的认识，因为之前去别的地方玩，当地导游都是忽悠和宰人的代言词。而阳朔的真不一样，真的能给你带来优惠和很多时间上的节约。 3百多的价格，飞行时间也就五六分钟吧，景色也就那样吧，天上看和地上看感觉没什么不同。不可以带任何东西上去，手机什么的，可以买空中录像，驾驶员头顶上一个360度摄像头，整个飞行过程记录，但是要199元，真的太贵了，整个下来500多，性价比不高。 但是怎么说也是体验了不一样的飞行，录像的话给老婆录了，自己没录，喜欢朋友圈晒的可以录一下。
2022-10-04,广西,4,已经傍晚，20元景点拍完照过去就5分钟，门口买了100/个的，两个球100的是低升的…沒什景，都是山，可以体验一下，广西土尔其，哈哈
2023-09-09,广东,5,第一次体验乘坐热气球，可谓是期待满满，但是项目会受到天气影响，到那里的时候因为风速不能起飞。热气球很大，几个人坐在小篮子里，由飞行员操作着上下降，能看到远处的山水美景。
2018-10-04,未知,5,节假日好挤，值得一去。飞起来还是很爽就是时间短了点，大概五分钟左右。
2017-12-18,未知,5,刺激，强烈推荐，订票前最好打电话，需要看天气的
2019-02-11,未知,5,能体验到飞翔的感觉，哈哈哈，大概那天太冷了，我在空中，双腿打颤
2019-04-23,未知,4,体验热气球升空，但太短，就只数分鈡。小孩同大人同价，性价比低。不過上到最高点的景色很美，也值得一试。
2017-11-18,未知,5,热气球和滑翔飞行都玩了，很赞。特别是滑翔，没有飞机那样外包裹保护的“裸飞”，飞行高度超过周围小山的高度，很赤鸡！来阳朔强烈推荐去体验一下！
2018-05-16,未知,3,很唬弄的 工作人员态度差 气球并没飞起来系绳离地 今天好多老年团来 拍照到是很好看 孩子没见过也就感受一次 前一天旅行社有99双人没赶上 93元单人 小贵了 门市价不值
2018-02-07,未知,5,飞行(●°u°●) 」感觉不错。服务员还帮着照相，很好。
2021-04-17,未知,5,一次没飞够，直接二飞！ 而且必须选择“御用”飞行员！ 细心体贴， 保证360°无死角， 一览众山小！ 感觉自己身心轻盈， 远离尘世喧嚣纷扰…… 爽到飞…… 我已经词穷…… 景色不错，有趣好玩，性价比高，总体超赞，
2019-08-17,未知,4,上去时间太短了，5分钟可能都没有，管理也乱的，有风的时候气球升不起来，所以有一点点的不确定性。不知道别人那些美美的照片是怎么拍出来的
2019-05-02,未知,5,体验一下很不错的，不到一百一个人，服务也是好的，按顺序叫号，有位置坐着等，周边也有小吃，安全也挺注意的，在热气球附近拍照也是可以的。基地本身风光就不错，飞上去的景色一般。
2018-02-22,未知,5,滑翔伞很刺激，高空看景也很好，可以三岁宝宝不能玩，热气球一般，没啥意思
2018-02-20,未知,5,感受一下很不错，高空俯视遇龙河，会给你不同的感受。
2019-03-26,未知,3,买票就是为了拍照的啦，坐上去感受一般般，不过拍照好看～要是有太阳就更好了，可以拍很好看的照片，不过带女朋友去完成打卡的还是棒棒的
2019-09-11,未知,5,阳朔的燕莎热气球滑翔伞飞行基地，真的是有一种错觉，以为自己来了土耳其，到处都是热气球，可以在国内就体验一次热气球，真的很有趣。
2024-04-01,广西,5,熱氣球包球項目體驗相當不錯👍，在高空觀賞阳朔景色確實賞心悅目，熱氣球在兩山中漂過，俯瞰腳下的建築和河流，景色份外壯麗。
2019-05-16,未知,5,很值得尝试一下，但突然上升到高空的时候心脏一下感觉都要蹦出来了，佩服自己的勇敢，但是下次不敢尝试了，呵呵，有一次经验足够了啊……，久了没有存图了，就这样吧……
