date,ip 属地,评分,comments
2016-06-01,未知,5,"桂林雁山园不愧是嶺南第一园，从风水学来看它具备了：左青龙右白虎，前朱雀后玄武,的极好地理位置，如果是单单自己游园，是没有任何的趣味的，只是看看风景，哪里都有园林，都大同小异，但是有个讲解跟着，边走边为您讲术中国近代吏，包括，园林的主人，岑春煊，还有近代史上的著名人物，如孙中山、蒋介石、林森、胡适、马君武、郭沫若，齐白石，杨东莼、陈寅恪、朱德、周恩来、靳羽西，李四光，等均在此流连或居住过。边走边了解历史，才是真正意义上的游园。此次参观收获很大，见意去游园的朋友一定要请一位比较资深的讲解带您，才能体会到园林的特别。"
2017-07-21,未知,5,桂林雁山园浓缩了桂林山水的最佳景观，有着“桂林佳境，一园看尽”的说法，是桂林山水中的江南园林，被称为“岭南第一园”。雁山园是一个集风水宝地、神奇景观、名流雅居于一体的地方，是游桂林最不可错过的经典景区之一。
2015-10-31,未知,5,很幽静很美的一个景区。景点里的每一条路，每一座桥，每一条河，每一座建筑，都有着很美很美的名字。初进景区是一座花朝祠，只是这里没有了管理的人一直关着，即使花朝节过去也还是没有开放，也许现在的人们都已经遗忘了这个节日吧。通往花朝祠的小路叫不扫径，有着很美的寓意。进入园子早穿过山，里面的四大手护神树，以及各种名人故居，真真是太美美了。
2015-12-27,未知,4,雁山园在历史上曾多次复修或者重建，但设计及建造全部基于自然及历史，浑然天成，曾经的主人对岭南文化的研究及历史的考证颇下功夫，使得我们现在根本看不出有太大的人为改造，这比国内很多靠人工堆砌而起景点强了N倍，古朴而自然，感受到的是历史的味道。 方竹、绿梅、红豆、丹桂是园中四宝，园中有上千多株奇形怪状的桂花树，今已冬至，闻不到桂花香，但是可以想象出金秋时节满园飘香，花落则覆地如雪。在雁山园中，感受到的只有幽静。知名学者胡适在此夜寻红豆，写下开创新文化运动代表作白话诗《相思岩》，还写下散文《夜游雁山园》。雁山园青山叠翠、沉静清幽，吸引了众多文人来此创作。
2018-04-15,未知,5,恰遇阴霾天，天空时不时下起小雨，阵阵浓雾锁住了漓江两岸高大挺拔的山峰。不过，船着江中游，两岸暮霭重，云遮雾障，若隐若现，也是一种非常美好的经历。
2019-02-08,未知,4,人们常说桂林山水甲天下，我却说漓江山水甲桂林！ 拨开云雾，我们泛着木舟荡漾在这漓江上，来欣赏这美丽的桂林山水……
2017-12-08,未知,5,值得去看看，但门票小贵。需请 人讲解，否则看不出什么的。由于是私人承包了，所以园内的维护保养不够好。
2016-03-17,未知,5,环境非常好，空气很清新。棒棒哒
2016-02-27,未知,4,雁山园是一个有浓郁历史气息的园林，很文艺，适合拍照，园子不是很大
2015-11-23,未知,5,感觉还不错，很有民国气息，有个相思洞，飞来河，沉鱼潭等等
2016-06-01,未知,5,"桂林雁山园不愧是嶺南第一园，从风水学来看它具备了：左青龙右白虎，前朱雀后玄武,的极好地理位置，如果是单单自己游园，是没有任何的趣味的，只是看看风景，哪里都有园林，都大同小异，但是有个讲解跟着，边走边为您讲术中国近代吏，包括，园林的主人，岑春煊，还有近代史上的著名人物，如孙中山、蒋介石、林森、胡适、马君武、郭沫若，齐白石，杨东莼、陈寅恪、朱德、周恩来、靳羽西，李四光，等均在此流连或居住过。边走边了解历史，才是真正意义上的游园。此次参观收获很大，见意去游园的朋友一定要请一位比较资深的讲解带您，才能体会到园林的特别。"
2017-07-21,未知,5,桂林雁山园浓缩了桂林山水的最佳景观，有着“桂林佳境，一园看尽”的说法，是桂林山水中的江南园林，被称为“岭南第一园”。雁山园是一个集风水宝地、神奇景观、名流雅居于一体的地方，是游桂林最不可错过的经典景区之一。
2015-10-31,未知,5,很幽静很美的一个景区。景点里的每一条路，每一座桥，每一条河，每一座建筑，都有着很美很美的名字。初进景区是一座花朝祠，只是这里没有了管理的人一直关着，即使花朝节过去也还是没有开放，也许现在的人们都已经遗忘了这个节日吧。通往花朝祠的小路叫不扫径，有着很美的寓意。进入园子早穿过山，里面的四大手护神树，以及各种名人故居，真真是太美美了。
2015-12-27,未知,4,雁山园在历史上曾多次复修或者重建，但设计及建造全部基于自然及历史，浑然天成，曾经的主人对岭南文化的研究及历史的考证颇下功夫，使得我们现在根本看不出有太大的人为改造，这比国内很多靠人工堆砌而起景点强了N倍，古朴而自然，感受到的是历史的味道。 方竹、绿梅、红豆、丹桂是园中四宝，园中有上千多株奇形怪状的桂花树，今已冬至，闻不到桂花香，但是可以想象出金秋时节满园飘香，花落则覆地如雪。在雁山园中，感受到的只有幽静。知名学者胡适在此夜寻红豆，写下开创新文化运动代表作白话诗《相思岩》，还写下散文《夜游雁山园》。雁山园青山叠翠、沉静清幽，吸引了众多文人来此创作。
2018-04-15,未知,5,恰遇阴霾天，天空时不时下起小雨，阵阵浓雾锁住了漓江两岸高大挺拔的山峰。不过，船着江中游，两岸暮霭重，云遮雾障，若隐若现，也是一种非常美好的经历。
2019-02-08,未知,4,人们常说桂林山水甲天下，我却说漓江山水甲桂林！ 拨开云雾，我们泛着木舟荡漾在这漓江上，来欣赏这美丽的桂林山水……
2017-12-08,未知,5,值得去看看，但门票小贵。需请 人讲解，否则看不出什么的。由于是私人承包了，所以园内的维护保养不够好。
2016-03-17,未知,5,环境非常好，空气很清新。棒棒哒
2016-02-27,未知,4,雁山园是一个有浓郁历史气息的园林，很文艺，适合拍照，园子不是很大
2015-11-23,未知,5,感觉还不错，很有民国气息，有个相思洞，飞来河，沉鱼潭等等
