date,ip 属地,评分,comments
2024-11-09,广西,5,靖江王陵，作为明代藩王的陵寝，展现了深厚的历史文化底蕴与精湛的建筑艺术。石象路、神道碑等遗迹保存完好，彰显了皇家气派。漫步其间，仿佛穿越回那个辉煌的时代，是了解明代历史、感受古代王陵风貌的绝佳之地。
2017-12-30,未知,5,靖江王府游览和桂式下午茶☕️的结束，桂林阳朔之行也将暂时告一段落了！[害羞][害羞]逍遥楼外逍遥游！[偷笑][偷笑]天气一般，哈
2024-11-09,广西,5,靖江王陵，明代藩王的安息之地，拥有众多值得参观的建筑。其中，庄严肃穆的陵墓、气势恢宏的享殿、雕刻精美的神道石刻等，都展现了古代建筑艺术的魅力。漫步于此，可深刻感受明代皇室的尊贵与威严。
2016-11-21,未知,5,历代11位靖江王葬在尧山，靖江王陵能参观的只有三座王陵，这里游客很少，庄简王岭算是保存最完整的一个。喜欢历史古迹的这里逛逛不错，整个参观行程大概一个多小时就够了。
2019-12-01,未知,5,墓主是靖江康僖王朱任昌及其妃支氏。朱任昌，恭惠王之长子。生母是恭惠王次妃刘氏，生于嘉靖十一年，嘉靖二十五年封为长子，万历三年册封为靖江王，万历十年卒，享年五十一岁。妃支氏，次妃赵氏。子一人，即温裕王。女四人。万历十一年葬。康僖王陵占地面积9.4亩，陵门、碑亭、中门、享殿、神道石作仪仗11对。神道石刻包括守门狮、勇士控马、望柱（浮雕盘龙云饰）、狻猊、獬豸、麒麟、象、秉笏翁仲、左右神道碑、女侍者、男侍 者。
2019-11-30,未知,5,靖江王陵是历代靖江王的王陵，位于广西壮族自治区桂林市区七星区东郊尧山西南麓，南北15公里，东西7公里，共有王亲藩戚墓葬300多座。整个陵园规模庞大、气势磅礴，有“北有十三皇陵，南有靖江王陵”之称，其中有11人葬尧山，有“靖江王11陵”之谓。
2017-09-04,未知,4,小时候对于六点半的“善田芳”时间特别有兴趣，至此对于历史文化中的人物总是很好奇，他们在何种条件下与之成长生存斗争成功呢？每个古都都有一些王府可以让我在宅院、导游的引导下“穿越”时空，感觉一下他们在千年以前的“故事”的隐密与深刻之意。或许在现代的某个电视剧中的片段亦是有所邂逅，比如这里的“和硕格格”就是小燕子的原型。 黄墙红壁瓦顶及桂林的中轴线一起形成了千年文化的积淀和肃朩，令人特别有历史感。
2022-07-04,未知,4,现场买的28元庄简王陵门票，连带着可以参观靖江王陵博物馆，里面的梅瓶比较珍贵。带着女儿慢慢逛了一个小时，几乎没有其他游客，和女儿一起了解了靖江王历经11世14王的历史，还是很有收获的。靖江王陵群11个王，只开放了庄简王陵和康禧王陵，其他还有待开发。
2015-11-16,未知,3,如果对于历史感兴趣，值得一去，否则就没有必要了……朱元璋后代的陵墓，年代算比较久远的了，古迹斑斑，露天的各种石雕腐蚀比较厉害了 朱元璋的后人有在景区值守的，如果想听比较详细的历史，建议你请他来给你做讲解，具体叫什么名字我忘了 景区里边还有一些出土的文物，因为不能拍照，就不给大家上传了
2021-08-21,未知,5,"“北有十三皇陵，南有靖江皇陵” 之称的靖江王陵，位于桂林尧山西南麓，为朱明王朝分封在靖江（桂林）历代诸王的陵园。整个陵园王亲藩戚墓葬300多座，其中有王11人葬尧山，有“靖江王11陵”之谓，为我国保存最完整，墓葬数最多，分布最广明代藩王墓群。 “有明诸藩,分封而不锡土，列爵而不临民,食禄而不治事”。历代靖江王及其宗室接受良好的宗学教育,具有较高的文化素养，但受藩禁制约，只能坐食丰厚俸禄，“清闲快乐”地生活。他们流连于山 水之间，谈笑有鸿儒，往来无白丁，紧跟当时的文化主潮流,不断为桂林充实文化内涵，引领了桂林文化在岭南地区的领先地位。 因为疫情影响景区人很少，但景区工作人员仍然服务热情周到，有位导游主动送了我一份景区介绍，看天气热我没撑伞还要借遮阳伞给我，因为我背包里有伞所以谢了她的好意。这位导游还告诉我景区博物馆每天都有一个免费讲解，时间是上午11：00（其余时间收费），今天由她讲解，让我尽量按时赶到博物馆去听听她介绍，同时她还帮我提前安排了去其他景点的电瓶车。这次来玩虽然靖江王陵景区还未全部开放，可观看的地方不大，但是景区工作人员给我留下了非常好的印象👍🏻"
2021-12-14,未知,5,这个景区价格不贵，可以了解到很多相关的历史知识，本来是打算和尧山一起玩的。可是尧山必须提前一天订票，而且订购后必须到指定地点去拿实体票才能游玩，而指定地点并非售票处。后来听说尧山是私人承包的，难怪搞得那么麻烦。根据经验，但凡私人承包的景点，体验感极差，根本不值，所以游览尧山就放弃了。
2018-06-22,未知,5,桂林市靖江王城中的靖江王府，有门楼、王府、阁楼、书楼、贡院、月牙池、摩崖石刻、玄武阁、观音堂、三神祠、承运殿等建筑，舍碧辉煌，壮观宏大，独秀峰耸立在府后。门票70岁以内全价。
2015-11-03,未知,4,【靖江王陵 】是历代靖江王的王陵，位于广西桂林市区七星区东郊尧山 西南麓，南北15公里，东西7公里，共有王亲藩戚墓葬300多座。整个陵园规模庞大、气势磅礴，有“北有十三皇陵，南有靖江王陵 ”之称，其中有11人葬尧山 ，有“靖江王11陵”之谓。
2024-09-07,广西,5,值得一游，导游老师讲的非常好，很详细
2017-09-18,未知,4,风水宝地植物多空气好，喜欢历史的可以去看一下离市中心不远打车去也不贵，
2017-12-01,未知,5,桂林必游景点，建设自己逛逛，导游变导购浪费时间
2020-10-02,未知,5,看评价没报什么希望，去了感觉不错。已经修葺好的陵墓看过后不过瘾，问了工作人员，说对面还有两座，顺着小路一直走，路的两边各有一座坟墓，非常庞大，而且是没有人工修复过的，太喜欢这种原始的感觉了。如果你喜欢看古建筑，原始的东西，一定会喜欢这里。
2018-04-23,未知,4,王府老宅，景色不错。主要看见桂林山水甲天下出处......
2017-06-29,未知,5,是桂林著名的人文景观，本来不想去的，但游玩之后感觉还是不错的，了解下这地方的风土人情和历史典故，特别是桂林山水甲天下的由来。游览区的导游服务也不错，每人一个讲解器，听的清楚。
2017-06-23,未知,4,景区内有自己的导游，会详细介绍各个景点。独秀峰是靖王府城最有名的景点，山高66米，作为桂林城的文脉，市区内建筑是不超过66米高的。山底下有很多石刻，其中最有名的是桂林山水甲天下的真迹出处以及慈禧太后写的一个“寿”字。 国学堂模拟了古时秀才考乡试的场景，还能亲子上手考试，非常有意思。
2017-03-10,未知,4,"桂林“非物质文化”靖江王府秘拓亮相冯小刚大片《我不是潘金莲》，具有六百多年的历史古迹，系明代藩王中历史最长及目前保存最完整的明代藩王府，可深刻感受其丰富的文化底蕴，亲身体验古代科举考试制度，圆一回您的状元梦，登""南天一柱""独秀峰，追寻""桂林山水甲天下""出处地！"
2016-10-16,未知,4,靖江王陵 ：朱元璋侄孙靖江王与其三百多位王妃长眠于此 。 桂林山水王城独秀，历史悠久保存最完整的藩王府、百年历史缩影、文化精髓，千年古穴祥福之地 ）桂林独秀峰 位于市中心以靖江王城内，孤峰突起，陡峭高峻，气焰宏伟，素有“南天一柱”之称。“ 桂林山水甲全国”这句诗文的出处就在其山脚下。故此，众多旅客来此地探源。桂林靖江王城，坐落于桂林市中心，它是明太祖朱元璋其侄孙朱守谦被封为靖江王时修造的王城。城垣左为宗庙，右为社稷。城内有承运门，承运殿。环绕宫殿主体建筑，还广建楼堂厅院，亭阁轩室，组成一个金碧辉煌、规模宏壮的建筑群。“阅尽王城知桂林”，独秀峰 王城景区 ，自驾车的您必然不要错过。
2016-08-08,未知,4,靖江王陵 ：朱元璋侄孙靖江王与其三百多位王妃长眠于此。 桂林山水王城独秀，历史悠久保存最完整的藩王府、百年历史缩影、文化精髓，千年古穴祥福之地）桂林独秀峰 位于市中心以靖江王城内，孤峰突起，陡峭高峻，气焰宏伟，素有“南天一柱”之称。“桂林山水甲全国”这句诗文的出处就在其山脚下。故此，众多旅客来此地探源。桂林靖江王城，坐落于桂林市中心，它是明太祖朱元璋其侄孙朱守谦被封为靖江王时修造的王城。城垣左为宗庙，右为社稷。城内有承运门，承运殿。环绕宫殿主体建筑，还广建楼堂厅院，亭阁轩室，组成一个金碧辉煌、规模宏壮的建筑群。“阅尽王城知桂林”，独秀峰 王城景区 ，自驾车的您必然不要错过。
2015-11-11,未知,5,位于市中心的王府保留了很好的明朝皇陵风格，这里的石阶踩上去就知道具有历史。
2016-10-20,未知,5,王爷们去世后长眠的地方，在尧山上，传说是这样滴，从王陵上看尧山，像是一个大的师椅，而王陵就位于椅子的正中间，正好被山面水。
2020-07-02,未知,5,靖江王是明代分封于广西的一个藩王，建藩于广西桂林，这个藩王具有两个主要的特点：一是在明代藩王中的地位最为特殊，因为其为明代唯一一个直接册封为王的旁支宗室；二是最早建藩、最后灭亡，国祚延续时间在明代诸藩中最长，几乎是与有明一代相始终。 洪武五年(1372)在独秀峰下营建靖江王府， 洪武二十五(1392)年建成。王府按照朝廷对藩王府所作的规定构筑， 其主要建筑前为承远门， 中为承运殿， 后为寝宫， 最后是御苑。围绕主体建筑还有4堂、4亭和台、阁、轩、室、所等40多处， 占地19.78公顷， 规模宏大。
2015-11-15,未知,3,靖江王陵就在尧山索道站那里，如去尧山坐缆车就可以一同游览。个人认为不必专程前去。
2016-02-10,未知,4,就是如今桂林老城中心的师范大学所在地，以前免费参观的，很宁静的学府，文化与历史气息浓，可以如今高价门票啊！
2016-07-29,未知,5,靖江王城的门票费包含了导游费，非常值，而且有趣味小游戏，有机会让你感受高中状元
2021-06-20,未知,5,非常有特色。👍🏽👍🏽👍🏽👍🏽🌹🌹🌹
2018-03-08,未知,5,值得去看看，记载了历史，传承了文化
2016-07-22,未知,1,进去以后就后悔了，120元的票价，进门就发一个牌号，故弄玄虚的由景区“导游”带着一路走，为了让你不得不跟着他，就一直强调进去和出来是不走回头路的。其实，就景区本身，真没有几处可圈可点的景点，大多是后期一些人为的坑爹项目，没有多少历史价值。今天游过靖江王陵和尧山，对桂林美好的向往顿时丧失，太坑了。
2015-11-02,未知,4,在桂林市中心、是一座保存的较完好的明朝皇陵、故有北十三皇陵、南有靖江皇陵之称。
2018-10-01,未知,5,王爷长眠之地，规整简洁，适合有兴趣或有了解的同志。
2016-01-13,未知,4,在桂林靖江王府里面，靖江王是古代桂林地区的最高统治者，所以规模还是比较大的。
2021-12-10,未知,4,风水宝地植物多空气好，喜欢历史的可以去看一下离市中心不远打车去也不贵
2021-07-24,未知,5,值得一去，景区 【景色】优美。
2019-11-05,未知,4,小时候常常来这里玩，哈哈太多回忆啦
2016-03-23,未知,4,很有历史的地方，去尧山的时候可以去看看
2021-10-07,未知,4,交通不太便利，最好能自驾，经典单一，毕竟不是游乐场，博物馆刚修建，除了了解历史，没多少可以记得住的，适合周末来走走！
2021-11-30,未知,4,这里的风景非常好，大家很喜欢。
2023-09-05,广西,5,10号讲解员讲解的很不错，景区历史，文化，科学考试非常喜欢。
2020-01-02,未知,5,订票取票快速方便
2021-12-20,未知,5,里面小景点不错，就是价钱有点高
2020-01-02,未知,5,订票取票快速方便
2019-10-18,未知,3,其实没啥看头的，门前有点虚高，不建议专程来一趟
2019-10-07,未知,3,很一般，半小时不到就逛完了，还行。
2021-09-05,未知,3,景区还可以吧
2020-09-02,未知,3,可玩性低，
2016-09-28,未知,1,非常坑人的景区，120元，看着门口AAAAA景区才进的，大失所望。一路就是购物店，失望至极
2019-04-04,未知,2,离谱的门票也没有免了各种坑和套路，不要去了
