date,ip 属地,评分,comments
2019-04-10,未知,4,飞拉达溜索基地就在桂林千古城的对面，这阳朔这边最好玩的户外运动之一，这边还真的是相当不错，非常的考验，耐力还有行动，最后的溜索是跨越两个山头的。 如果由于前一天下了超大的暴雨，所以三体还不太稳定，经常的有很多的积水，来到了才知道这种情况，导致不能够玩，还是挺可惜的，希望有机会能再过来体验一下吧！
2020-04-12,未知,5,飞檐走壁的感觉太棒了，工作人员专业，细心，小朋友玩的超开心，爬的很刺激，两次滑索太爽了。这绝对是我们来阳朔玩的最值的一个景点。
2022-04-26,未知,5,景色巨好，上午去，不被太阳晒。教练很nice，攀爬前讲解认真仔细。溜索太爽啦，玩得很开心，推荐哦，太赞了！！！
2019-08-21,未知,5,挺刺激的，一开始刚上去有点抖，后来克服高空恐惧，后来者居上，快速全程。
2020-07-11,未知,5,现在下来腿还是抖的因为是第一次攀岩不过非常不错很刺激特别是滑索那一段很nice
2019-09-01,未知,5,很好，态度好。刺激，有挑战力，小朋友被吓哭了，后来来了一位教练陪同，在教练耐心的鼓励下，终于完成了全程
2020-08-10,未知,5,还是简单了一些！不过很好玩！
2020-06-01,未知,5,特别棒的体验，有趣好玩，体验很好，值得推荐，
2020-10-09,未知,5,有趣好玩，刺激也安全，小朋友特喜欢
2020-10-09,未知,5,值得推荐，
2021-07-08,未知,1,这个地方真的是 不推荐！整个人暴露在阳光下 在体力嫉妒不值得情况下不断向上 而且工作人员也让人无语 本人没有成功上去 工作人员带你下来的动作十分粗暴 摄影师还在那里讽刺你 同时他还有个bug 那个锁扣很难解 完全没有给我们详细讲解 应该在之前进行培训 没有攀岩基础的小白绝对不推荐！ 虽然如此 但是他们以120的价钱让我们买下了所有照片 这是唯一安慰的点了 以上……
2021-08-01,未知,5,值得去体验一下
2021-08-01,未知,5,值得去体验
