date,ip 属地,评分,comments
2024-05-29,黑龙江,5,"马岭鼓寨,也叫“龙潭古村”,位于桂林荔浦月亮山风景区脚下,居住着广西四大少数民族之一——侗族,这里拥有五千多年的侗族文化历史,曾经是明朝时期的“桂林第一村”,风情独特。"
2018-02-14,未知,4,不得不说 商业化严重的一个少数名族寨子 是政府出资 侗族老百姓动手建造的 进村后 阿嫂带领去侗族村民家坐坐 讲讲侗族文化 带领我们去经济信用社 即销售银首饰的地方 一个梳子要1000多块 一个杯子要1-2000块 不让讲价 看样子导游是有提成的 全程跟着 我们都没买 导游就耷拉头了 个人建议没必要特意去 门票五十 景色几乎没有啥
2019-03-22,未知,5,3、马岭鼓寨虽然是个村寨，但是它却在国道旁，和我想象中偏僻、落后的村寨完全不同，这里还是保留有侗族的建筑、民俗风情的，一些民族特色的工艺在这里也可看到。
2018-11-24,未知,5,单位组织来这里搞活动的，以前没听说过这个景点，下车后就听到别具民族特色的歌声传来，走到寨门口发现是穿着民族服饰的人端着酒杯唱着歌在敬游客喝过寨酒，单位几个能喝酒的立马来了兴致，大家起哄的灌了几杯酒，气氛很好。
2019-03-22,未知,5,对于在城市工作、生活的人来说，马岭鼓寨还是不错的休闲之处，可以漫步在一座座木楼之间，听她们的拦门酒歌、侗族歌、再看看寨子的老人悠闲的纺纱、织布、染布，心情会不自觉的平静下来。
2019-03-20,未知,5,来桂林旅游几天看到的都是山水，这个鼓寨倒是别有一番风味，是侗族的一个村子，因为是旅游的地方所以不完全保留村寨的样子，但是他们的一些手工艺如：蜡染、织布、纺纱、歌舞还是有的，值得一看。
2019-03-19,未知,5,周末的时候和家人自驾游到的鼓寨，进去后刚好看到寨子的阿嫂们与游客互动跳舞，小孩被吸引立即拉着妈妈过去参与跳多耶舞。之后由导游带着参观了侗族建筑、手工艺文化、银饰文化，都挺不错的。
2019-03-22,未知,5,以前听朋友说过广西有些地方常喝油茶，这次到马岭鼓寨终于看到打油茶并尝了一碗，我真的喝不惯，觉得苦涩，同行的有些人却爱喝，不管喜不喜欢，体验过就值了。
2018-11-24,未知,5,周末的时候和家人自驾游到的鼓寨，进去后刚好看到寨子的阿嫂们与游客互动跳舞，小孩被吸引立即拉着妈妈过去参与跳多耶舞。有吊脚楼、纺织、民俗表演、手工银饰文化，都挺不错的。
2018-11-24,未知,5,马岭鼓寨在桂林还是挺有特色的一个景点，可以了解侗族这个民族的文化，亲手学习蜡染制作，侗族非物质文化遗产不少，以前在电视上看到过，现在亲眼所见，而且侗族大歌确实好听。
2019-03-21,未知,5,在鼓寨里听阿嫂讲解知道了这是个国家三A级景区，保留了原汁原味的侗族建筑和民俗，在寨子里我听了侗族大歌、看了些手工艺展、喝油茶、跳多耶舞、逛小吃街……
2019-03-20,未知,5,到桂林游玩几天了，觉得这里的人非常热情好客，山清水秀的所以才能名声在外，马岭鼓寨是个民族文化游览地，在这里可以学到不少侗族风俗和民族日常养生知识。
2018-11-24,未知,5,听说是从龙胜搬迁来的，他们还保留着以前的生活，吃大锅饭有农村合作社，像一个大家庭一样。寨里的讲解员说她们女的地位比男的高，是一家之主，男主内女主外所以看起来她们的性格都挺直爽的，寨子的建筑很有少数民族特点，喜欢民族特色的人可以一游。
2019-03-22,未知,5,桂林山水甲天下果然名不虚传，这里不仅有优美的风景，还有淳朴、热情的少数民族--侗族，马岭鼓寨是个侗寨，在这里可以看到很多民族特色的东西，了解侗族的背景文化，歌舞挺不错的。
2019-03-22,未知,5,还没进鼓寨就被几个侗族阿妹拦下喝酒，自酿的米酒醇香，阿妹热情爽朗，歌声动听，这大概就是侗族人应有的特点吧！
2019-03-22,未知,5,以前也去过一些少数民族的村寨游玩，大都是参观民居吃当地特色饭菜，并且翻山越岭不太好走，这个马岭鼓寨就方便多了，在公路边，里面除了参观侗族建筑还可以听讲解员介绍侗族民风民俗和文化遗产，欣赏歌舞……
2019-03-21,未知,5,受朋友邀约一起参加的区内游，其中一站就是马岭鼓寨，这里周围都是山，早上到的时候山上云雾缭绕，寨里阵阵歌声传来，好一处休闲游览的地方。
2021-06-23,未知,5,马岭鼓寨民族风情园位于马岭镇同善村潘厂屯王社岭，有迎宾广场、迎宾大道、侗族民居、金鼓广场、鼓楼、宴会厅、风雨廊、唤雨台等。
2019-03-21,未知,5,我们的团队是从北方过来游玩的，以前都没接触过这些少数民族，这次在鼓寨不仅了解了侗族的风土人情，还参观了很多他们的手工艺品，可以说是不虚此行。
2019-03-20,未知,5,到马岭鼓寨后了解到侗族是广西的四大民族之一，这个民族有不少非物质文化，如：侗族大歌、蜡染等等，在这里可以参观她们的民居，观赏侗族歌舞，挑选一些手工制作的银饰品留念。
2018-03-22,未知,4,马岭鼓寨位于桂林荔浦，这里世世代代居住着广西四大少数民族之一的侗族。明清年间的，村子还有很多人住，有些破落，当然规模不比其他有名的古村，还是值得一游的。
2018-11-22,未知,5,未到鼓寨，先闻其歌，在侗族大歌的唱和中，映入眼帘的是充满侗族民族特性的鼓寨大门和风雨桥建筑。迎接我们的是位长相标志，头佩银梳的侗族啊嫂。引我们进入标致的吊脚楼建筑后，便开始了精彩的“演说”。建筑很漂亮，啊嫂很美丽，介绍很精彩，但总让人觉得缺少了什么。因为太过美好，缺少了真实感，缺少了少数民族的原有的灵魂。
2019-03-24,未知,5,一到马岭鼓寨的寨子门口，就听到了侗族歌声。走近一看，几个阿嫂边唱歌边给到来的客人敬酒，场面很暖心。
2019-03-19,未知,5,从阳朔十里画廊游玩后就由导游带着来到相距不远的马岭鼓寨，寨子挺大的，以历史悠久的侗族文化为背景，集民族鼓寨、民族银饰加工、民族歌舞、地方饮食文化长廊于一体的原生态民族古村落景区。
2018-11-21,未知,5,早上来得比较早，人不多，由寨子的阿嫂带着我们去看村里错落有致的木楼，了解侗族的风俗文化，还和寨子的阿哥阿嫂跳了他们的多耶舞，这次互动让来玩的人都非常高兴，大家都说这一趟不虚此行。
2018-11-24,未知,5,从阳朔十里画廊游玩后就由导游带着来到相距不远的马岭鼓寨，寨子挺大，以历史悠久的侗族文化为背景，集民族鼓寨、民族银饰加工、民族歌舞、地方饮食文化长廊于一体的原生态民族古村落景区。
2019-03-22,未知,5,鼓寨游玩时发现讲解阿嫂都很开朗风趣，游客们可以愉快的边听讲解边逛着充满侗族风情的建筑，参观时手机不知道什么时候掉了，还好寨子的工作人员捡到后主动联系并归还给我，真是非常感谢！
2019-03-21,未知,5,壮、侗、苗、瑶是广西人口比列较高的少数民族，这次参观的马岭鼓寨是个侗族村寨，它还沿袭着母系社会的一些风俗，比如女的为一家之主，地位也比男的高，还要赚钱养家等等，真是涨了知识。
2019-03-24,未知,5,退休后就和老伴经常到各地旅游，桂林的山美、水美、人也美，我们向往已久。这次桂林之旅的最后一站在马岭鼓寨，这里的民风民俗很特别，是个能歌善舞的民族，原生态的歌声很好听。
2018-11-24,未知,5,这是荔浦新建的一个侗族村寨，可以了解侗族的文化、风俗。里面的侗族建筑、侗族大歌、风雨长廊、鼓楼等都是非物质文化遗产项目！
2018-11-22,未知,5,还挺好玩的，进大门之前会有在阁楼上用民族特色唱歌来欢迎游客，里面有很高脚的木屋房子，阿嫂跟我们说，每一栋都是一户人家，这里面大部分是侗族，门口有挂牛头的，就说明家中有百岁老人，然后进屋内，不能踩门槛，不能看卧室等等。进到寨子里面还是可以逛逛，还有很多银器饰品可以选购，总之是值得去体验下侗族的民族文化和特色。
2018-11-21,未知,5,马岭鼓寨是建在公路边的一个侗寨，交通便利，周围可见很多山，风景不错，接待的阿嫂很热情开朗，给我们讲了很多好玩的风土人情，参观了寨子的风雨长廊，鼓楼，吊脚楼，银饰，蜡染等等，经此游玩又了解了一个少数民族。
2018-11-21,未知,5,马岭鼓寨，位于广西荔浦县，是一个新建的景点。据接待的阿嫂说，她们原先住山，后来因地质灾害的原因举村搬到这，继续着母系社会的生活习俗。从房屋木头上看，可以看出材质较老，有些较新些。寨子中间有一个合作社，里面卖的是银饰，样式挺漂亮的。
2018-03-03,未知,3,就是一新建的寨子也不大，进去后有个阿嫂带我们进屋子讲解下侗族然后说银的好处，接着带你去买银，千万别买，不是说假的而是在这买同样的，市区只要12一克，景区要25.8及以上，说是加什么手工费，其实就是给自己乱收费找理由，市区也买得到手工的，也是熟银，价钱国家都订好了。
2019-03-26,未知,5,来到鼓寨让我认识了不少新事物，蜡染、刮痧、百香果、多耶舞……，有机会再来。
2019-03-20,未知,5,马岭鼓寨在桂林还是挺有特色的一个景点，可以了解侗族这个民族的文化，亲手学习蜡染制作，侗族非物质文化遗产不少，以前在电视上看到过，现在亲眼所见并体验很开心。
2018-11-22,未知,5,马岭鼓寨风情园以五千多年的侗族文化历史为背景，依山二建、纯朴自然，是荔浦县重金打造的一个风情独特的原生态民族古寨景区。适度的引入了原生态民族习俗。侗族阿嫂把大家领进家门介绍本族风俗和养生偏方。
2018-11-21,未知,5,8、刚到寨子就被大门的拦门歌吸引了，硬着头皮喝了点拦门酒就被侗族的热情所感染，大家一路高兴的和寨子的导游阿嫂聊天，都想多知道点侗族的民族风俗，跟阿嫂到她家里做客，喝油茶看织布听山歌，值得一游。
2019-03-20,未知,5,听导游说马岭鼓寨是16年才从龙胜搬迁来的，进去后看到全是侗族的房子、建筑，工作人员全部穿着她们的民族服饰，在里面逛了一个多小时拍了很多照片，景色很美。
2019-03-22,未知,5,这个鼓寨是荔浦的一个景点，离银子岩两公里左右，交通方便，周围青山环绕，景色不错，寨子是侗族民俗游览地，可以体验侗族拦门酒、侗族歌舞、还有不少手工艺展示区，逛了一圈出来还是觉得挺满意的。
2019-03-22,未知,5,最喜欢鼓寨月堂里的那几个阿妹了，她们穿着民族服饰围桌而坐，边纳鞋垫边唱着侗族情歌，脸上挂着甜蜜的笑容，让人不自觉的联想到阿哥阿妹唱歌定情的美好。
2019-03-24,未知,5,去侗族这样的少数民族的地方旅游还是很不错的，山好水好人好。
2019-03-22,未知,5,鼓寨参观游览印象深刻的是里面的一个阿婆，年纪很大了留着很长的头发，而且头发黑亮，梳头盘发动作利落，身体很棒的样子，看来侗族人长寿不是吹的。
2019-03-21,未知,5,参观了鼓寨里侗族人居住的吊脚楼，下面一层还养了些牲畜，三层楼都是木头铆起来的，不用一颗钉子但是却很结实，他们说这都是一辈辈传承下来的手艺。
2018-11-21,未知,5,和家人一起来侗寨游玩的，父母对银饰、织布很感兴趣，我对这的风情文化较喜爱，还有小吃街的地方美食，基本都尝了点，还买了不少爱吃的特产呢！
2019-03-22,未知,5,这个侗寨有一口井非常特别，井里放着一些银子，寨子阿嫂说这是她们用于清洁过滤井水的，这是她们长期以来的习惯，侗寨是个长寿民族，看来她们平时很注重养生饮食。
2019-03-22,未知,5,寨子的阿嫂说她们头上的银梳子是已婚的标志，还没结婚的阿弟可以留在这做阿妹家的女婿，真是好玩。
2019-03-22,未知,5,这个新开发的景点还是挺有特色的，以侗族民俗风情为背景，在此可以体验、观光、认识侗族的一些生活习惯、纯手工艺技术，独树一格的建筑。
2018-11-24,未知,5,到寨子里后就由寨子的一个文化代表接待我们，她说这里结婚的都叫阿嫂，还带我们去她加做客，让我们不要踩门槛、不进卧室参观，在客厅里听她讲侗族的民风民俗及养生小常识，挺有趣的
2019-03-24,未知,5,桂林地区气候舒服，马岭鼓寨建筑奇特，值得一去。
2019-03-20,未知,5,这是荔浦新建的一个侗族村寨，可以了解侗族的文化、风俗。里面的侗族建筑、侗族大歌、风雨长廊、鼓楼等都是民族瑰宝，需要传承和发扬！
2018-03-11,未知,1,巨坑，在阳朔县城报的旅游团一上午就来了这个地方，购买银饰品的地方，25.8元一克，人超多体验差，想去看漓江的完全可以不用报旅行团，当地可以滴滴打车～后悔也来不及了……
2019-03-19,未知,5,在马岭鼓寨游览参观时听说他们居住的房子、风雨长廊，甚至是九层的鼓楼在修建的时候都不用一钉一铆，全是木头镶嵌起来的真是太神奇了，而且还那么结实、漂亮，真是鬼斧神工。
