date,ip 属地,评分,comments
2018-12-30,未知,5,风景优美地处于桂林市，两江四湖的桂湖湖畔，直线位于桂林市骝马山山脚下，距离湖边不足百米，常年温度在16到20度之间，石图保持完好。
2015-10-16,未知,5,家就住在旁边，小时候经常爬到菩萨上面玩的。现在维护后圈起来了！
2020-08-24,未知,5,就在大马路边上的摩崖石窟遗址。z!!!!!!!!
2021-09-05,未知,5,这些磨牙造像就是在大马路边上的。。。。。。。
2019-04-12,未知,5,有历史意义的东西..............
2020-08-03,未知,5,唐宋摩崖石刻造像很逼真………………
2018-05-19,未知,5,唐代的摩崖石刻经典文物，好好保护。
2017-09-04,未知,4,一般情况，性价比不太高，随便逛逛可以！
2017-08-23,未知,4,景点一般，优点是距离市区不算很远，不属于桂林市经典景点
2017-12-01,未知,4,还不错，有机会一定和朋友再去。
2017-07-07,未知,3,我们这个是参加一日团去看了这个人。
2017-12-01,未知,3,类似的景区比较多，好像没有特别出彩
