date,ip 属地,评分,comments
2020-07-11,未知,5,柳州周边好玩不贵景色优美之地。 交通：柳州半小时高铁到鹿寨北，接公交（一小时一班貌似，等不到就打个摩托车）15分钟到中渡镇，接摩托20块就到啦。 途中经过响水瀑布（免费，可以玩水），石林，鹿院，奈何时间有限，下次一定玩遍 景区：门票40，疫情期间人烟稀少，里头小吃摊零散开放，豆花米粉也就5-7块，国内景点哪有？推荐逆时针游览，观景台-九龙洞（逢半点开放）-天生桥瀑布-蜘蛛洞 ，大概两小时搞定。人少拍照啥的也爽。喀斯特地貌一览无遗，何必跟别人凑热闹去桂林阳朔？
2021-04-15,未知,5,香桥还是很美的，建议游玩路线，检票后往右边路走，经过香桥观景台，观赏拍照，然后去岩洞，之后走香桥峡谷下来，一路观景，峡谷的水呈碧绿色，一路古藤怪树，走到香桥下是整个景区最美地方，夏天去玩不错，很凉爽！
2017-10-27,未知,5,20171005柳州鹿寨*中渡古镇&香桥岩国家地质公园游记：香潭，天生硚，响门石林，古榕渡口，九龙洞，武圣宫，古民居……第一张让我想起中学时翻铁门偷溜出校看录相的旧时光[偷笑]鹿寨人民很纯朴[强]
2017-08-30,未知,4,景区不大，2，3小时就可以走完。风景还可以，不愿意走路的话景区有环保车座，十五元一人，建议体力好就徒步吧，行走会看验更多。适合一家老少自驾游。溶洞不错，
2020-09-02,未知,5,周末买了东航的随心飞，可以飞到全国各地，本周的主题是柳州，柳州旁边的香桥岩溶国家地质公园，很惊艳。太喜欢这种自然景观，层峦叠嶂，高低起伏，形态各异的山峰组成了一副美的画卷。
2020-08-12,未知,4,名字有点绕口，景色很美，可惜位置不好，其实距离柳州市区也不过一个半小时车程，鹿寨县到这里才四十分钟。这也说明了广西发展更多是缺乏意识。香不知从何而来，桥可以理解，陆生桥。溶洞效应使得这里飘逸的如同隐士追求的世外桃源。
2018-03-10,未知,5,20171005柳州鹿寨香桥岩国家地质公园游记：香潭，天生硚，响门石林，古榕渡口，九龙洞，武圣宫，古民居……景色很美，天生硚让我想起了重庆武隆鹿寨人民很纯朴
2021-01-03,未知,5,香桥岩溶公园位于广西鹿寨。景区内主要地质地貌遗迹有香桥岩天生桥，香桥岩峡谷，响水石林，九龙洞，响水瀑布等。集石奇，洞幽，水秀于一体。具有很高的科学研究价值和旅游观赏价值，是大自然赐予人类宝贵的自然遗产，被岩溶地质学家称为“中国喀斯特地貌的缩影”和“天然的喀斯特地貌地质博物馆”。公园的地质遗迹十分丰富，在不到四十平方公里的区域内，集中展示了亚热带喀斯特不同发育阶段的典型地貌景观及代丧喀斯特发育过程且极具特色的多种多样喀斯特个体形态，在国内实属罕见。
2021-01-01,未知,4,非常值得去的地方，九龙洞非常漂亮，天生桥神奇壮观，整个行程大概要2.5小时，特别是参观九龙洞时还有免费讲解。行程可以从大门口花五元景交车到九龙洞，出来后下行去看天生桥全程不走回头路。
2022-02-04,未知,5,香桥岩溶国家地质公园是岩溶地貌国家地质公园国家AAAA级旅游景区。位于广西鹿寨县中渡镇大兆村，香桥以地质奇观著称，喀斯特地貌景观和生态景观为一体的景区。公园内植被丰富，公园中的香桥天生桥、香桥岩溶峡谷、响水低头瀑布，以及九龙洞中的脑纹状洞穴沉积等景观，是我国喀斯特地貌景观中的精品。
2020-03-28,未知,5,天地山水之间总想找个别有洞天的地方！这就是人们一直不停的在行走旅途中原因，中国那么大！时不时的总会惊喜到你，南方的夜色来的晚，去的时候刚好可以赶上最后一场迳入溶洞的时间，还是感受到了鹿寨美和神奇了！看光影效果下的溶岩放肆的开放你的想象！门票在携程上购买要优惠的，需提前的！ 【景色】 【趣味】 【性价比】
2015-11-01,未知,5,美美哒，可以摸摸哒，满满的全是爱值得拥有
2024-10-11,广东,5,很好玩儿，早点儿去，9点到，要不停不了车，走山路上去，然后走公路下来。
2020-12-14,未知,4,景色很美，管理也很好。夏季来最棒。坐火车到鹿寨北站后，有3元的公交到中洲镇，然后叫一部黑车或者摩托20-30元到景区。记得留下司机电话，返程接你回。景区可以逛2-3小时。
2020-05-23,未知,5,鹿寨香桥景区建设得很好，游客也不是很多，可以仔细观赏喀斯特地貌景点。这里还是西游记取景地，绝对值得去看看。地下河，溶洞，天然桥，天坑，在一个景区里都有。
2020-02-22,未知,5,鹿寨香桥景致很好，一个景区里面，溶洞，地下河，天然桥，天坑地缝等，都可以看到。这里还是86版经典西游记的取景地。景区人也不多，绝对值得去看看。
2019-02-17,未知,5,广西因为有十万大山这件天赐“绿衫”打扮，到处尽显花艳绿色的美丽，而在大自然“巧手”布局的一个个“镂空”之地，又以另外一种色彩，填补出大地的另外一种美。这个国家地质公园即是这样的存在。
