date,ip 属地,评分,comments
2024-11-27,北京,5,没有黄姚古镇，似乎很少有人会知道贺州。低调的贺州有着和桂林同样风格的山水，但是缺少足够的关注度，而黄姚古镇作为贺州旅游资源的代表足以让每一个远道而来的游客赞赏不已。它的美，如同一首优美、悠长的音乐，需要静心的慢慢的用心感受，它的神韵，如同一幅国风、水墨的画卷，需要用眼细细的看、用脚慢慢的量，用耳认真的听！
2019-03-13,未知,5,广西贺州的黄姚古镇是一个非常古朴的，基本上仍保留原住居民的自然村落，以古居，古树，古桥，古井，古戏台，古庙为特点，尤其是龙爪榕，油亮的石板路和古井不容错过。古镇民宿很多，可以下午到古镇游玩，晚上看古镇夜景或是看《临贺长歌》演出，第二天清晨拍照。据说，住民宿免古镇门票哦。贺州站有汽车直接到古镇，如果从阳朔到古镇有大巴车直接到古镇。
2019-02-09,未知,5,位于广西贺州的黄姚古镇～一个古老的小镇，很值得一游，跟团两天游安排的行程相当不错，全程100[%]纯玩，深度玩转黄姚古镇 古镇环境优美，保持着明清风格古朴的建筑，镇内百花盛开的黄姚花海好靓，夜晚入住黄姚花海酒店，这是一个历史文化名镇，是人生必去的地方50个景点之一 镇里面食住都很方便，很多特色小吃值得一试，另外古镇的清爽荷叶茶很解渴，口味不错 景点推荐龙爪榕，常绿乔木，已有五百多年树龄，另外仙人古井也很有名气，古镇上的人们把这井水称为神仙水，特别是近几年，黄姚古镇的绚丽风光吸引了不少游客来观光旅游
2018-03-18,未知,5,很有古色的一个古镇，我们下午3点就到了景区，第一印象是很静的一个小镇，没有丽江的商业化，可以慢脚步的散步，居住属于大多本地人，最后选择了一家江边别苑的客栈。老板很热情，居住二晚，自己到市场买菜回来煮。适合大家来住住的小镇。。
2017-08-04,未知,5,作为一个古镇控，走过那么多个古镇，这里算是最原生态，最淳朴的了，原始的农家是怎么样， 现在差不多就是是那个样子。卖农家产品的虽然说都是大路货，但也是自家的小本生意。中午就坐在农家露天摆出来小圆桌吃地道的农家菜和辣辣的农家米酒，放眼过去就是青山，绿水、农舍，还有几只油光水亮的农家肥鸡在附近的啄米，非常惬意自得。整个小镇并不大，大概一个小时就可以逛完主要的巷道。但这里值得住一晚，可以花很多时间放空，摆拍。
2017-06-27,未知,5,值得一游…古镇历史悠久，明清建筑，古朴的古镇…人不太多，比较清静，适合休养生息。只是，店铺太多，商业味道浓了点儿，还有就是这个季节水不够清。古镇线路标识不够清晰，经常走回头路，需要增强管理。 不过，古镇公共卫生间超级干净，值得赞扬
2017-06-24,未知,5,黄姚古镇还是有它的一番风味！没有鼓浪屿的高大建筑，没有凤凰古镇五光十彩，却有一份幽雅宁静的风味古镇！其实个人建议你们可以住在黄姚古镇景区里面是比较好，因为门票价格100元一个人，在里面住房是不用买票的，我住的房就是金麦盏客栈挺干净的，虽然是老房子还是有特色的！住房也不贵，大概是100元左右淡季，旺季的话，就是需要提前订房了！这里的话，就是建议你可以感受他们的酿瓜花！还是挺美味的，不过这里吃饭还是有点小贵的！我们去那家农家菜，我们点了雞，她才出去买半个雞回来，鸡新鲜的，但是就不建议你们吃，去游船每人10元，两个人有时候他也会开了！我这个人觉得早上7点出去逛逛拍拍景色很不错的！
2017-05-02,未知,5,五一期间去的，各个出入口检验票都很严，现场买门票的价格是100元。景点里外都有价格不等的住宿，中高低酒店任君选择。景色还是不错的，修旧如旧，没有丽江的商业化，但感觉管理跟不上，再好D就能创建成5A景区啦！
2017-01-07,未知,5,我们是自驾车过去，提前一个月就在携程订好酒店，价格很优惠。古镇的门票在携程订比到景区买要便宜。我们下了高速很快就到，不过到了之后发生一点小插曲，没到景区前我们进了一个停车场，那里的人说景区进不了塞车了，让我们停在那里交10元，然后有车送我们进去，当时就觉得很纳闷，我们订的忆江南客栈是在古镇里，是有免费停车场的，为何不让进去。然后我们打了客栈的电话，让我们直接出来进古镇，那是坑人的。这种管理确实不行。虽然耽误了点时间，但在携程订票就是方便，很快就进去景区了。我们也在携程订了晚上的临贺长歌的演出票，比在景区订要便宜不少呢。我们下午安排了入住后就逛了逛古镇，很古朴，喜欢那里的恬静。到了晚上8点演出开始，提前去可以抢到好的位置哦。整个表演大概一个小时，运用的是3D背景，效果很震撼，人物表演表情好到位，而且很有教育意义，值得一看。
2017-01-03,未知,5,我们直接从姑婆山驾车到黄姚古镇，一下高速很快就到。我们提前在携程订好门票，比现场买要优惠。携程兑票很快很方便。我们也在携程上订了临贺长歌的表演票，以为在大剧院那里兑票，哪知道不行，要到售票处才能兑，我们又重新去兑票。这点希望景区售票员提前跟顾客说一下就最好。原本打算直接退票不看了。幸好还看了，不看就遗憾了。整个表演一个小时，场景布置比较宏伟，背景是3D效果，演员表演好到位，一环扣一环，很震撼。而且很有教育意义。值得一看。
