date,ip 属地,评分,comments
2017-12-03,未知,5,必须打卡的一个景点：20元人民币背景图取景地！现在水位有点低，河床有点裸露，拍倒影需要找尽可能低的取景角度，最适宜的时间是上午9点前，在20元人民币取景点观景平台往前10米左右下到江边，调整相机角度，可以拍摄到黄布倒影。记着带张20元人民币去打卡发朋友圈哦
2017-03-11,未知,5,游漓江经济实惠的是从杨堤码头到马山码头，然后坐电瓶车去兴坪古镇，往回走一点就可以看到这黄布倒影。我没有取出20元人民币去比对，拍照。只要是喜欢的就去欣赏它好了。欣赏它的原滋原味的山水，而不是它的名头。
2015-11-06,未知,5,桂林之行，游览了漓江风景区，黄布倒影是漓江景点精华中的精华，这样说一点也不为过，也是来桂林必游之处，在此景点之前拍照留念那是必须的，非常值得一看。
2019-09-21,未知,5,黄布倒影是漓江的精华之所在，也是新版20元人民币背景图案景点。景区免费开放，乘坐游船需另外收费。这里离九马画山很近，看到黄布滩就是了。漓江山色之美，美在倒影中。来桂林阳朔漓江旅游不可错过位于兴坪的黄布倒影。
2016-06-21,未知,4,黄布滩之所以如此开名，因为这里江流清澈，碧绿透底，从水面上可以看到江底有块米黄色的大石板，似一匹黄布而得名。它与刚刚的九马画山旁边的朱壁滩之间，有7座大小不一的山峰，亭亭玉立，宛如7位浴水而出的少女，习称“七仙女下凡”。据说在晴天无云的日子里，山水连成一片，令人分不清水上青山和水中倒影，于是形成了如此有名的“黄布倒影”的景致。但这里游船星罗棋布地分散在江面各处，实在无办法能欣赏平静江面的倒影的美，更不用说黄布倒影了。建议一大清早来到此地，或淡季之时才能看到那种让人叹为观止的美景。
2016-03-25,未知,5,漓江里的倒影的确是一大精华所在。天气好的时候，水面平静，倒影会更清晰。不过我倒是推荐漓江的支流，遇龙河的倒影，更清晰明亮。完全没有被污染的风景。
2020-02-10,未知,5,桂林山水成名已久！上了人民币那就不一样了！游客们都举着合影留念！看那样子可爱的，好多当地人都会带你去他们自己圈的观景台拍照！不过拍出来都是挺好看的！桂林的旅游多少还是要再规范一点的！全世界的人都会来的地方啊！
2019-07-23,未知,5,只能拍成这样了，天气不好，没办法，呵呵 顺便附上别人的美图 位于漓江83公里精华段兴坪古镇境内，游船经过杨堤，过了九马画山，江面逐渐开阔，水平如镜，青峰倒影，美不胜收。离画山之南不远，便是黄布滩。漓江山色之美，美在倒影中；漓江倒影之美，就数黄布滩倒影最为醉人。这里江流清澈，碧绿透底，从水面上可以看到江底有块米黄色的大石板，长、宽各数丈，恰似一匹黄布平铺在河床之上，黄布滩由此得名。
2017-02-03,未知,4,其实也还不错，只是商业化太浓。拍20元人民币的地方让人霸占拍有费拍片，20元一张。另，早早就给别人指挥停停车场，其实可以开车去～
2018-03-25,未知,5,黄布倒影是漓江游船的一个精华景点，二十元人民币背景的风景就出自这里，船到该处，在导游的讲解下，船上游客纷纷拿出二十元纸币，对照景点，风光确实秀丽。
2018-12-13,未知,4,这是漓江有名的景点之一，是20元人民币背面的图案的取景地。坐竹阀到码头后，步行至兴坪镇的路上，建有多处拍照和观景台。用20元人民币与景点合个影是标准的打卡方式。提醒大路因窄车多家要注意行路安全。
2023-06-25,浙江,5,黄布倒影是漓江精华中的精华，位于漓江83公里精华段兴坪古镇境内，游船经过杨堤，过了九马画山，江面逐渐开阔，水平如镜，青峰倒影，美不胜收。离画山之南不远，便是黄布滩。
2018-10-04,未知,5,黄布倒影位于漓江83公里精华段兴坪古镇境内，是20元人民币背景的取景地，兴坪古镇也因为这黄布倒影和九马画山吸引了众多游客。出兴坪古镇往竹筏码头方向有一座石桥，过桥步行两三百米就是黄布滩，滩边岸上有当年设计20元人民币时的取景处，照相的效果与纸币水印对比，一摸一样。
2017-09-23,未知,5,黄布倒影是漓江精华中的精华，20元人民币的背景就是取自于此。这一段江面开阔，水平如镜，青峰倒影，非常美丽。可以拿出一张20元的人民币与其合影，很有意思！
2017-08-10,未知,5,桂林山水甲天下，阳朔山水甲桂林。这句话可不是才说的，桂林山水是非常美丽的，山水出名的地方怎么可能有很多娱乐设施，所以趣味我给3星，因为可以看演出嘛。二十块背景，值得一去！
2019-02-25,未知,5,黄布倒影是桂林漓江中最美的一景，并因此登上第四套人民币二十元的画面，这里的山水层峦叠嶂，一层层远山浓淡相宜，象是一幅非常有意境的山水国画。
2017-09-17,未知,5,位于兴坪古镇街道尽头的漓江岸边，对岸有一组外型很美的青山，每当天气晴好风平浪静时，会在水面形成倒影，这就是人民币20元的背景画。
2019-07-04,未知,5,黄布倒影是漓江漂流的精华，位于漓江精华段兴坪古镇到杨堤境内，过了九马画山就是了，新版20元人民币的图案就是黄布倒影，到了这里会停船专门让你去拍照
2020-05-09,未知,4,黄布倒影位于桂林市阳朔县兴坪镇漓江边上，是漓江精华中的最精华部分，曾作为20元人民币的背面景色而名扬中外，现在留有一个专门的拍照点供拍照的。
2020-02-02,未知,5,黄布倒影是漓江精华中的精华，此处江面开阔，水平如镜，青峰倒影，美不胜收。这个季节进入雨季，江水有些浑浊，旱季时江流清澈，碧绿透底，从水面上可以看到江底有块米黄色的大石板，长、宽各数丈，恰似一匹黄布平铺在河床之上，黄布滩由此得名。
2015-11-11,未知,5,整个漓江从桂林市区流向阳朔县城，黄布倒影是其中比较精华的一处景观。河水通透，若碰上夕阳的水洒在将水水面，更加清晰，仿佛一幅大自然给与的水墨。
2017-12-25,未知,4,桂林山水甲天下，阴朔风光甲桂林！的确如此！漓江两岸风景如画，乘船游江，风光无限！如果有时间在阳朔小住几日，沿江边走走，真是很享受呢！
2019-09-17,未知,4,太难了，我下船才发现自己零钱袋里还有一张20块，到景区的时候，感觉全船都出动了，但其实，据说人民币的背面是在岸上拍的，哈哈哈，现在的季节还是有点晒，但是漓江水位已经低了。
2018-04-16,未知,5,当地的标志性建筑，相对于完全没一点意思的兴坪古镇而言，二十元人民币是唯一能看的景了，很赞，整个漓江都很美的，不愧是甲天下的风景
2019-08-10,未知,5,阳朔段的漓江风景秀丽，环境优美，漓江两岸山峰连绵，造型独特，有著名的20元人民币背景图的原型“黄布倒影”，到了这里，拍张黄布倒影的照片是必要的！
2018-10-21,未知,5,在画山之南，有一块黄色岩石，宽数丈，像一块黄布平铺江底，这里因名黄布，这也是漓江有名的景点之一，是20元人民币背面的图案，在晴天景色尤其美。
2018-11-25,未知,5,竹排游漓江，景色特别美，我们来桂林的时候已经11月底了，江上风很大，没有看到倒影，可是那也不耽误我们欣赏美丽的大自然风光。听竹排师傅说，早上没起风的时候还是能看到倒影的，特别美
2022-05-16,未知,5,这里是阳朔的的标志性景点，20元人民币背景图就是画的这里，景区内群山矗立，山水相宜，植被丰茂，一派迷人的田园风光，免费对游客开放。
2022-10-31,浙江,5,景色的确还不错，前后侧面不同角度拍了下。不过我这次应该没碰上最好的时间，比如黄昏之类的。
2020-03-30,未知,5,黄布倒影这里还是很有意思的一个地方啊，这里就是有名得二十块钱背后的取景地啊，来桂林玩一定要来这里看一看啦桂林这里真的是很美。
2020-03-29,未知,5,黄布倒影这里也是很漂亮的一个地方啊，这里的风景也是很棒的啊最近来这里的人稍微少了一点啊，感觉这里环境非常的不错很舒服的啊。
2018-10-06,未知,5,值得去看，最好坐船，开车要注意找好停车位置哦，河边是免费的，另一边一般是要收费的。
2016-11-01,未知,5,这是20元人民币的取景地，实地感受很美，如果江面更静，就能看到更美的倒影了，日落的时候来可能拍摄效果更佳吧。 漓江精华段竹筏漂流后有电瓶车送到兴坪，途中会经过黄布倒影的拍摄点，开车师傅会让我们下车拍照，那里也会有人收钱专门帮拍照。建议竹筏漂流的游客不要直接坐车到兴坪汽车站，路途中有很多美景值得自己去发现。
2019-05-14,未知,4,所有来这边旅游的人经常喊出的一句户“就是这里！”我也从口袋里拿出提前准备好的一张新版20元人民币与身后的风景合影。每一位来漓江旅游的人，都会努力寻找新版20元人民币背景，图案元宝山就是取自黄布倒影。
2018-10-05,未知,5,此处是漓江群山倒影最多的地方，也是最经典的景色，拿出一张20元人民币做对比，期待已久。连绵起伏的山和水交相辉映，呈现出若隐若现的美。船在水中行，人在画中游。
2016-06-25,未知,3,这里应该是整个景区的精华，抱着好奇的心情，换了好几个角度拍照，因为它是20元纸币的背景，拍摄完毕也觉得有趣。
2019-06-02,未知,3,下车还没进去坐船就能看到这个景点。然后就是等待坐船，和想象中不一样，景点开发的区域并不大，我们坐着两层的客船，一共10桌。大家挨桌轮流去外面甲板照相，如果他们给你照相是一张20元，还有的渔夫拿着个扁担，上面站两只抓鱼的黑鸟，想合影的可以照顾下渔夫的生意。一次5块。坐了半个小时就给你拉回岸边了，也就中间有那么20分钟在二楼看看风景还值得回味一番。
2018-03-02,未知,5,出游时间：2017.8.30~9.1 有同学在桂林读书，看到他们晒的阳朔风光特别美，也想着要去看看，于是我们就来了。我们去的前几天一直在下雨，江水很黄，很浑浊，感谢天公作美，我们到的那一天，天空放晴，江水立马变清澈了，不得不感叹大自然的修复能力之强！还想再和男朋友去一次，要是以后老了能住在阳朔就完美了(❀╹◡╹) 这是新版20元人民币的取景点，所以一定要带一张全新的20元人民币去哦~
2019-04-27,未知,5,透过清澈的江水，可以看见江底有块米黄色的大石板，恰似一匹崭新的黄布铺在河床上，黄布滩因此得名。 在黄布滩的两岸有大小不一的七座山峰破水而出，如同七仙女一般，被称作“七仙下凡”。
2016-11-05,未知,5,黄布倒影是漓江上的一个著名景点，位于阳朔境内，也是人民币20元上的风景原型。这一带，奇山异水，风景秀丽，游船过时，一定不能错过。
2019-08-18,未知,5,漓江边，我们就在这河边树下吃晚饭，一边等上菜一边照相，就把这个20人民币背景仔仔细细的看了，还正好夕阳西下。晚饭后顺河走了一段，风景真是太美了。
2019-09-06,未知,4,乘船游漓江，导游在黄布倒影处特意提前介绍了黄布倒影的特色，这里景色确实不错，这里是人民币20元的背景图案，很适合拍照留念！
2020-03-29,未知,5,黄布倒影这里还是很漂亮的啊，也是漓江上很有名的景点之一呢，感觉来这里玩的人也是不少的啊蛮有意思的桂林这里的风景很漂亮啊。
2020-03-29,未知,5,黄布倒影就是20块钱人民币后面的背景啊，来桂林这里一定要来这里看一看，桂林这边的风景真的是很不错的啊来这里真的是没来错。
2017-10-22,未知,5,这里的景色非常美丽秀气，水面开阔，平静如镜，山峦起伏的倒影随水而动，景色美不胜收，令人神魂颠倒，它是漓江精华景点的精华。
