date,ip 属地,评分,comments
2020-07-20,未知,5,黄洛瑶寨 从千层天梯观景点返回景区大门的路上经过黄洛瑶寨，客栈老板娘介绍，这里是瑶族的传统村寨，每天有瑶族传统表演，值得看看。黄洛瑶寨是龙脊十三寨中唯一的瑶族村寨，居住着清一色的红瑶族。自古红瑶妇女有储长发的传统习惯，全村60户人家中，头发长达一米以上的有60名，最长的达1.7米，号称天下第一长发村。未婚女子的头发盘于头顶并用黑布包裹，只有家人才能看见其一头长发如果外人想看一下她们的头发，就要把她娶回家。这里村民人人能歌善舞，热情好客。据说，游客来到黄洛瑶寨，身着浓艳民族服装的瑶族姑娘唱着甜美的山歌列队欢迎，献上她们特有的舞蹈和传统体育竞技项目。还有那香喷喷匠油茶和瑶族妇女乌黑亮丽的长发，更令游客赞叹不已。由于疫情，我们来到黄洛瑶寨时冷冷清清，没有几个游人，演出的大厅空空的，但这让我们能更好的领略这原汁原味的瑶寨。黄洛红瑶寨背靠龙脊山，面临金江河，处于龙脊梯田开始向上盘旋的地方。红瑶妇女的服饰很美，也很讲究，一套衣服全都是手工刺绣要花三年的时间，衣服上绣有各种花纹和图案，有五颜六色的花草树木，有栩栩如生的飞禽走兽，最特别的是背部系腰处，有一对鲜红的虎爪印。说起这虎爪印还有一段不寻常的故事。传说有一天皇帝上山打猎遇险，差一点被老虎吃了，是一个红瑶女救了他，为答谢救命之恩，皇帝砍下虎爪蘸上虎血像印章一样印在瑶女的衣背上，传旨以后面君不用下跪，以后各级官员遇见她，坐轿的要下轿，骑马的要下马，不得无理。回家以后，这个瑶女在她所有的衣服上都用丝线绣上了虎爪印，就这样一代传一代，至今你还能够看到这虎爪印。您只要仔细观察瑶女们的耳朵上、手上都戴着银饰品，最显眼要数那有二、三两重的耳环了，还有那手上戴的镯头，都是民间的银匠精雕细凿而成。在路边一座敞开的房屋中有几个老妈妈在刺绣，她们的衣着打扮很有民族特色，仿佛是一副和谐美丽的图画。寨子中的路上，一只老母鸡带着她的孩子们在玩耍，显得那么温馨安宁。黄洛瑶寨值得驻足，观赏她的传统，领略她那自然的美丽。
2017-08-19,未知,5,村子很小，但是也比较有民族特色。就是商业化气息有点浓重了，这点比较遗憾。很多红瑶族阿嫂还是保留了民族穿戴，尤其是大大的二环，感觉把耳朵都快拽掉了。这点印象深刻。导游说红瑶族男主内女主外，我就担心二环影响干活哦，是不是我太操心了？
2017-01-23,未知,4,黄洛红瑶寨距离桂林市区100公里。这个红瑶寨子因获基尼斯总部颁发的“长发村”证书而名扬天下，成为“世界一绝”。 黄洛瑶寨居住着清一色的红瑶族。自古红瑶妇女有储长发的传统习惯，全村 60 户人家中，头发长达一米以上的有 60 名，最长的达 1.7 米，号称天下第一长发村。这里村民人人能歌善舞，热情好客。 红瑶妇女为什么有蓄长发的习俗，她们洗头用的是简单而不能再简单的淘米水。每到阳光明媚的日子，她们相约下金江河洗发的情景，更是一幅别有情趣的红瑶风俗画。
2018-07-06,未知,5,黄洛瑶族村寨是天下第一长发村，这里依山傍水，山灵人杰，非常美丽特别的一个地方。这里的村民们也非常的热情好客，能歌善舞，我们来到黄洛红瑶寨，身着浓艳民族服装的瑶族姑娘们唱着甜美的山歌列队欢迎。 黄洛红瑶寨背靠龙脊山，面临金江河。这里妇女头发在18岁之前是不能剪的。18岁的时候剪一次，表示自己已成年。18岁后开始又继续留长发，直到去世。平时姑娘们也一直保持着自己独特的护发及洗发方式，用的可是发酵过的淘米水哦。 来到这里，少数民族特色的建筑尽收眼底，这里有中国第一长发村，有很多美丽的长发姑娘，在溪水前洗头，形成了一道独特的美丽风景线。
2017-10-13,未知,5,2017年9月21-26日在携程网购买了《桂林+阳朔6日自由行·悠闲自得·细细品味 赠接机》套餐，游玩了桂林阳朔两地。22日，在携程网购买了《龙脊梯田一日游【金坑大寨纯玩团送竹筒饭+金秋龙脊+玩乐广西】》套餐；黄洛瑶寨位于龙脊景区境内，金江河穿寨而过，风景秀丽；参观黄洛红瑶寨——“长发村”，也是套餐内容之一。顺便看看吧了。
2016-11-21,未知,3,跟着旅行社走，一般会带着你进两个寨子，基本大同小异。寨子里有各种民俗特别是婚庆习俗的互动演出，邀请游客上台参与互动。先邀请跳舞，踩脚表示爱意，然后举办婚礼喝交杯酒，让你花150~300不等送个定情物给少数民族少女，然后背起媳妇进“洞房”~~~~，然后戛然而止
2019-07-19,未知,4,"黄洛瑶寨位于龙脊景区内,在半山腰,是龙脊十三寨中唯一的瑶族村寨,居住着清一色的红瑶村寨,自古红瑶妇女有储长发的传统习惯,全村60户人家中,头发长达一米以上的有60名,最长的达1.7米,她们的长发都盘在头上的,头发都乌黑发亮,据说她们都用淘米水洗头,看来她们居住环境好,主要水质好。号称""天下第一长发″,获得了""吉尼斯群体长发之最""。 寨子不是很大,1一2小时就逛完了(看表演)。参观瑶寨包含于龙脊梯田景区门票内,不过看表演要另外付80元,节目有瑶族山歌、歌舞、结婚议式及长发表演,看一看可了解瑶族风土习俗。一条小巷贯串整个村寨,两旁木制结构吊脚楼,有民族特色,还有瑶族身上的服饰非常漂亮,走一走,逛一逛了解瑶族风土人情,也不虚此行。"
2019-06-07,未知,5,黄洛瑶寨也可以称为长发村，在桂林龙脊梯田景区内，顾名思义，居住在黄洛瑶寨内的居民都是瑶族居民。黄洛瑶寨的特点，是里面的女人头发都很长，黄洛瑶寨内还有长发表演，80一位，当然也可以不观看，整个寨子的房屋就是高脚楼，很古老，我很喜欢穿梭在巷中的感觉，寨子里面适合拍照的地方还挺多的，可以拍出古色古香的感觉。相比起黄洛瑶寨，我更喜欢的是黄洛瑶寨旁边的龙脊河，我们去的时候河流量还挺大的，可以走在溪边近距离的观赏河景，也可以站在桥梁上欣赏。整个区域仿佛一个世外桃园一般，我很喜欢这种宁静的世界。
2016-10-09,未知,5,天下第一长发村，各个能歌善舞，表演也不错，她们好像过的都是母系社会，村里基本看不到男人，因为男人都下地干活去了，这是一个女人的世界
2019-03-13,未知,5,黄洛瑶寨位于广西壮族自治区桂林市的龙胜县龙脊镇，这里有壮族和瑶族两个少数民族，尽量广西以壮族为主，但他们与瑶族和平相处，瑶族人热情好客，并发展了独特了住宅文化，留下了著名的黄洛瑶寨。
2020-09-20,未知,5,黄洛瑶寨位于龙脊景区境内，是龙脊十三寨中唯一的瑶族村寨，居住着清一色的红瑶族。自古红瑶妇女有储长发的传统习惯，全村60户人家中，头发长达一米以上的有60名，最长的达1.7米，她们的长发都是盘在头上的。获得“吉尼斯群体长发之最”，号称天下第一长发村
2019-12-10,未知,5,演出基本都是村民兼职的，不要期望过高，没有看过的看一下也好。表演时有个节目会邀请男游客上去演新郎，男同志注意了，不想去的不要坐第一排，演出循环进行。到龙脊梯田游客中心，换乘点，买票坐车10几分钟就能到。 【性价比】还好 【景色】一般 【趣味】哈哈
2017-01-28,未知,4,表演没看，不知道是怎样的～寨子不大，感觉不错，那里的女人头发很长，听说她们一辈子只在16～18岁成人礼时剪一次～通过额头前的发咎分别少女，妇人～很好的习俗～
2019-09-11,未知,5,黄洛瑶寨位于龙脊景区境内，是龙脊十三寨中唯一的瑶族村寨，居住着清一色的红瑶族。自古红瑶妇女有储长发的传统习惯，全村60户人家中，头发长达一米以上的有60名，最长的达1.7米，她们的长发都是盘在头上的。获得“吉尼斯群体长发之最”，号称天下第一长发村。
2018-09-24,未知,4,黄洛红瑶寨市位于龙脊梯田的半山腰，从大门口开车过来的话大概是开30分钟左右就能够到达，背靠龙脊山前面就是一条大河，可以说是风景秀丽，自然环境很好的地方。 这里的寨子可以进去里面听一下歌，了解一下天下第一长发村的历史，女孩子们从出生到18岁才剪一次头发，之后从18岁就不再剪头发了。 这个寨子的对面就是一条食街，可以在这里吃个饭再上去。
2019-02-27,未知,5,在广西桂林除自治区最多的壮族，还有瑶族等少数民族，她们与壮族等少数民族和平相处，并留下了独特的民族文化，当地瑶寨名为黄洛瑶寨，以头发乌黑名闻全国。
2015-10-31,未知,5,第一长发村，黄洛瑶寨。 每个人头发一米多长， 每天的淘米水累积起来，发酵后用来洗头， 老人家的头发也乌黑亮丽， 洗头累不累。
2018-06-09,未知,5,"龙脊梯田的第一站就是黄洛瑶寨，红瑶妇女有从小开始留长发的习俗，世代相传。红瑶有""三怪""：“头发当草帽戴、手镯当耳环戴、衣服全是丝线带”。这三怪就是红瑶本民族标志性的特征。长发在红瑶象征着长命富贵。"
2016-01-26,未知,5,龙胜红瑶长发村。当然是不能不去的。全村60户人家，长发长达1.2米以上的就有60多名。最长的2.0米了！这些妇女一般都是潘在头上。如戴帽子一般！她们的头发都是乌黑发亮！说是淘米水洗头发！常见累月所以头发相当漂亮！可以去感受下哦
2016-01-06,未知,4,黄洛瑶寨 位于龙脊景区境内，是龙脊十三寨中唯一的瑶族村寨，居住 住 着清一色的红瑶族。自古红瑶妇女有储长发的传统习惯，全村60户人家中，头发长达一米以上的有60名，最长的达1.9米，获得“吉尼斯群体长发之最”，号称天下第一长发村这里村民人人能歌善舞，热情好客。游客来到黄洛瑶寨 ，身着浓艳民族服装的瑶族姑娘唱着甜美的山歌列队欢迎，献上她们特有的舞蹈和传统体育竞技项目。还有香喷喷的油茶。
2017-08-14,未知,4,如果去了龙脊梯田，这里就没必要来了，毕竟景点不怎么样，我们是歪打正着走错路才来到这个景点，就是一普通梯田，外加瑶族人家的商业街。
2020-01-03,未知,3,到龙脊梯田时经过这个黄洛瑶寨，据说是天下第一长发村，那个著名的洗发水广告就是在这里拍摄的。不过我去的时候没有水，也没看到长发美女，瑶族人都是老太太，把头发盘起来，个子很矮，向你兜售旅游纪念品。说实话，没看出啥特色，比较败笔的景点。
2019-11-26,未知,5,广西龙胜县和平乡黄洛瑶寨，被誉为“天下第一长发村”，这里住着三百多位红瑶瑶民，因拥有六十多位头发在一点四米以上的女性，创造了吉尼斯世界纪录。
2019-05-02,未知,5,在桂林龙胜县的龙脊镇，有一个瑶族的村寨，这里有一处特别的习俗，使用淘米水洗头，由此造就了瑶寨人乌黑油亮的头发，并由此登上中央电池台。
2019-07-20,未知,5,这次来桂林赶上下雨，慕名龙脊梯田已久却因为塌方上不去。好在雨中躲进第一长发村观看了表演，也是不虚此行，门票80元，循环演出，如果你喜欢看可以一直看下去，只有导游肯等你。
