date,ip 属地,评分,comments
2019-02-11,未知,4,在全州安和镇有个安静的小村，有一条美美的河，名为龙井河，河水蜿蜒而来，过村庄，经田间。听说这里一年四季绿树成荫，一派小桥流水人家的模样，清澈见底的溪流和着远山碧翠，绘就了一幅色彩斑斓的画卷... 春节假期间，我们在广州自驾过来，在石塘出口出来不远处，来到龙井村，不知是否因为冬天是这里的淡季，游人不多，目前免门票，就连图五的橡皮艇船家都没有营业，很可惜不能进洞穴来个穿越之旅； 在河边有不少客栈和农家乐，人们悠然自在的在河边闲聊洗衣...农家乐的特色菜味道很不错，我们尝试了这里出名的鸭子，很好吃！
2020-10-13,未知,5,广西壮族自治区桂林市全州县安和乡龙井村被荣为小九寨沟！
2023-05-25,广西,4,龙井村这是一个山清水秀的村庄，村民依龙井河而居，该河人称小九寨，河水清澈见底，民风纯朴，是一个值得去看看的好地方。 【景色】
2020-12-11,未知,5,龙井村安静祥和，龙井河环绕其中，婉转逶迤，美丽迷人
2021-02-15,未知,5,小河水清清澈澈，悠闲自在好地方
2021-01-11,未知,5,绿树成荫，夏天避暑赶出去，边上植物园也值得一逛
2021-02-27,未知,4,搞培训的时候经过，个人感觉很不错，还有不少感人的故事。
2019-04-18,未知,1,千万不要去，穷山恶水出刁民，千万不要在里面停车跟吃饭
2020-05-04,未知,1,见车就收费，还是自家门口收钱，不要脸。坑死你没商量
2023-08-31,广西,2,今天去看了下，没什么好玩的，就一个村子走来走去的，没意思
