date,ip 属地,评分,comments
2018-01-01,未知,5,这里有条峡谷叫螃蟹沟，路面很干净，峡谷里的水清澈见底，路两边绿树成荫，还有好几处瀑布，螃蟹沟有个农家乐，饭菜经济实惠，徒步峡谷后泡温泉胜过神仙的生活。
2017-07-07,未知,5,龙胜温泉是比较少见的天然温泉…分高温还有低温池，景色非常漂亮，个人建议傍晚的时候去泡，这样不会很热，泡完可以慢慢走回酒店，推荐周围的泉水鸡，味道非常鲜美，去温泉之前一定记得去龙脊梯田看一下，景色优美动人，一定会让你流连忘返。
2020-07-13,未知,5,彭祖坪自然保护区位于龙胜县马堤乡的龙家村，是一片未受人为破坏的原始森林。彭祖坪四周群山起伏、沟谷陡峭、森林浩瀚、景色绝美。年平均气温18.5℃，林区内的物种丰富，有国家一级保护的南方红豆杉，国家二级保护的白豆杉、华南五针松群 长苞铁杉，篦子三尖杉，红花木兰，白花木兰、福建柏等，其它常见树种更是多得不胜枚举。林区内的野生动物也较多，属国家二级保护的动物有红腹角雉、红腹锦鸡、水灵猫、林麝；常见动物有果子狸、豹猫、山猴、野猪、蛇类。彭祖坪的瀑布与松柏是最大的亮点，环境更是幽美恬静，称之为人间仙境是不为过。
2016-10-21,未知,5,是我去过温泉的最好的地方，很好，人间仙境，我们住在离温泉最近的SPA宾馆，虽然比较贵，可是窗户外面是山林峡谷，房间外面是温泉，夜里泡着温泉，数着星星，看着丛林，觉得自己象林中的小树妖。
2019-02-13,未知,4,龙胜温泉是在山谷里面的，周围群山环抱，空气清新，非常漂亮。建议大家住龙胜温泉的酒店，虽然价钱看起来高，但是包含了无限次的泡温泉和早餐，还有提供浴袍和浴巾，在房间换好衣服就可以直接去泡温泉了，真的很方便，所以很划算的。只是酒店的设施略显陈旧了，希望能够翻新一下吧。
2018-09-06,未知,5,差不多到温泉那边，经过一处大唐湾，挺漂亮的一个地方，没人，下车走进去走了走，哈哈，摆拍了很多下。去了洗手间，然后继续出发。 去到温泉，有阿姨卖黄牛票，我这次提前网购票了，没买阿姨的。温泉还不错，网上简介有一个长长的滑梯，打算让儿子玩玩，结果去到是没有的，估计是拆了，失望。温泉还好，儿子本来有点感冒咳嗽的，泡了一身汗出来，就无鼻涕无咳嗽了。
2017-06-04,未知,5,特别棒，温泉干净，不同的池子水温不同，根据大家的喜好，自行选择，我是带老人家来，所以温度高一点，非常值得推荐。现在已经计划第二次来了！
2016-01-23,未知,5,少数民族地区风景如画温泉不错就是 太弯曲了害我晕车
2017-05-25,未知,4,景色不错但是极易堵车都是山路所以是单道容易加塞 景区入口管理有待加强 十一期间出行害怕堵车看完日出便狂奔下山 到门口时发现对向车道把有八辆车把门口给堵了
2016-01-08,未知,5,温泉在山水间，林木葱郁，云雾缭绕，仿佛仙界，我喜欢这种自然和人融为一体的感觉！
