date,ip 属地,评分,comments
2016-07-19,未知,5,十分壮观的梯田，主要景点有四个，分别是第一观景台(西山韶乐)，第二观景台(千层梯田)，七星追月和千佛顶。其实一路上景色都好美，不同的角度可以看到不同的风景。
2016-06-27,未知,5,龙脊梯田非常值得去，真的很漂亮，我们是入住了千里缘.民族风情酒店，我强烈推荐他家，景色秀丽，最大的亮点是有个超级大的观景平台，有民族风情表演，长发梳妆，篝火晚会
2018-10-03,未知,5,龙脊大寨距离龙脊梯田景区门口有24公里，蜿蜒曲折的山路尽头，藏着极为壮观恢弘的梯田盛景，我是十一过来的，秋天的梯田满是金色，满山遍野的金色波浪，直接就把人陶醉了。这个景区是龙脊的精华之一，一定不要错过，建议有条件还是乘坐缆车比较省心省力。
2015-11-03,未知,4,图片美则美，就是我们去的不是时候，稻田收割了，下雨天冷雾大，能见度有时50米，所以压根没看见景，在山上望月楼住了一晚，淡季小木楼100一晚，吃也是他家竹筒饭本地鸡味道不错
2016-04-06,未知,4,神奇美丽的龙脊梯田散发一种浓浓的乡土气息，苗家的淳朴好客加上一杯龙脊特有的水酒让无数中外游客流连忘返回味无穷。
2015-10-16,未知,4,8月份带孩子去的，非常壮观值得来，养眼和陶冶心情，这里的村民朴实，竹筒鸡和米酒绝配，缆车去3号景点然后步行去2号再去4号和1号，住1号景点附近观日出，这是最完美的行程。
2020-04-02,未知,5,龙脊梯田是桂林比较兴起的一片旅游区 这里经过一定的开发如今还有缆车以及住宿等设施 虽然距离桂林市区的距离还是有 不过很多人还是回来这里吃个农家乐看日出日落休息 据说播种的时候有水的景观效果会更好
2017-10-17,未知,5,龙背大寨梯田，十分壮美，昨天去的时候担心下雨，又担心已收割，幸运的是我们看到了金灿灿的一片。实在太令人兴奋了，虽然是阴天。
2023-01-20,北京,5,梯田是在在丘陵山坡地上沿等高线方向修筑的条状阶台式或波浪式断面的田地。是治理坡耕地水土流失的有效措施，蓄水、保土、增产作用十分显著。梯田的通风透光条件较好，有利于作物生长和营养物质的积累。按田面坡度不同而有水平梯田、坡式梯田、复式梯田等。国内广西，云南，贵州最大，最多。
2019-08-10,未知,5,请了一天假带家人来龙脊梯田，很不错的行程，一路好几个小时到达目的地入住客栈，梯田在山里面层层叠叠，很漂亮。观景一号和二号平台的风景完全不一样。值得都去看看。只是路比较不太好走，特别是二号。
2017-03-18,未知,4,龙脊大寨又叫金坑大寨，是龙脊梯田中最深处的寨子。寨子里不少人家乘着淡季在大兴土木。很多的家庭客栈。大寨深藏在山中，想一窥它的真面目可以登山从不同的角度欣赏它。村寨伴着梯田，一副静穆的图画。
2019-09-24,未知,5,龙胜各族自治县位于广西东北部，桂林西北部，这里重峦叠嶂，苍山如海，气势磅礴；河溪纵横，流泉飞瀑，地貌万千，素有“万山环峙，五水分流”之说。当你踏上这块神奇美丽的土地，那如诗如画的美景就会跌进你的眼帘，让人陶醉，流连忘返。
2019-08-10,未知,5,龙脊梯田是我国较大的一片梯田，风景优美，景色宜人。我去的时候是秋收的季节，金色的水稻布满了龙脊梯田，那天下雨，仍掩盖不了龙脊梯田的美景，期待春季再去。
2017-09-21,未知,5,梯田非常壮观，我们住在1号观景台附近，俯瞰整个梯田，太震撼了，本来决定好只住一天，看到风景直接修改行程，一定要好好感受这自然美景
2018-08-22,未知,5,一座座高山被刻画了无数个不规则圆圈，一个套一个，从山脚一直连到山顶。最集中的一处叫七星伴月，远远望去，八座山峰相拥而立，七座在外，一座在中心。紧贴山体的圆弧形曲线将八座普通的山勾画得仪态万千。阳光下浸满水的梯田就像一面面银镜嵌满了山体，金色的田埂就是镶在银镜上的金边，无数面银镜和无数条金边从山脚盘绕到山顶，层层叠叠，高低错落，构成了一幅奇美的画卷。面对奇景，我只想到了四个字：巧夺天工。
2019-08-20,未知,4,大寨金坑梯田是这周围最好看最高的梯田，我们老老少少爬了一个多小时才到达顶部观景台，宏达的场面，或许需要雨天，或许需要清晨日落，或许需要更不同的拍摄视角。寨子的桐油房子很有特色了。
2016-11-23,未知,5,大寨在山下，入口很近的地方，入住很方便，傍晚可以看见山上星星点灯的风光，很安静。大寨有间学校，听说山上的孩子到了学龄可以来这里上学，我去看过，挺简单的学校，但却透着智朴。
2019-10-30,未知,5,平安+黄金=丰收！两大梯田，不一样的风光，我还是喜欢平安多点。第一次体验说走就走的自驾游，从广州到龙脊梯田只花了八小时，国庆期间难能可贵！不过第二天早上3.5公里路程花了两个小时才能进入景区，也算体验了一把节日效应，幸好进山的路秩序井然，好的管理必须有好的措施，电子抓拍看谁敢动！为龙脊点赞
2019-04-28,未知,5,建于梯田中的壮家2 层木楼旅馆，房间只有一张木板床。厕所兼洗澡间在楼下，或说就在我房间的一层木板下，里面的动静房间能听得很清楚，谁要是在楼内走动，哪怕是故意轻手轻脚也避免不了发出声响。晚餐是和同住一楼的一对情侣一起吃的，因为人多好点菜嘛，且整栋楼就只有我们仨人入住。吃了竹筒饭、竹笋炖鸡。
2019-12-03,未知,5,龙脊梯田的金坑（大寨）瑶族梯田，是开发较早的梯田。梯田分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路，一直升到约海拔600米以上，到梯田时海拔达到880米。
2017-06-13,未知,5,看图 偷拍好多 偷拍中有带我下山的大神 还把矿泉水给我洗脚 羞涩
2018-06-02,未知,5,大自然的鬼斧神工造就了非一般的龙脊梯田景观，非常非常美，感受到不一样的生活方式，依山傍水，云雾缭绕，烟雨蒙蒙，美景尽收眼底！
2016-09-28,未知,5,绝对值得一去的地方，特别喜欢摄影的。非常独特有美，让人震撼你的心灵。虽然是第二次去欣赏，依然让人感叹。山顶处九龙五虎赏景要好过山腰的七星伴月。
2021-01-08,未知,4,通常说到的龙脊梯田，指的是平安寨这边的梯田，这里也是开发较早的梯田，到达梯田最高处时海拔达到880米。从龙胜梯田大门口（山下）进来，就是一个大型停车场，晚上基本上是没有什么车子停在这里的，因为在这里停顿是因为要去买门票，晚上少人，不用排队，买了就走，也不会塞车，而白天的时候，由于排队买票的人龙长，所以停车场里也塞满了车子，还有好几个工作人员在指挥交通。需要寄明信片的游客，山上的小摊可以买到有梯田图案的明信片，10元一叠10张，单张买也开价10元，邮票需要自备，然后回到山下，就在售票处门口左手边有一个邮筒，可以扔进去。
2017-03-20,未知,5,跟着门口一个看上去比较慈祥的妇女准备去她家吃一顿．天气真的是冷，一路跟着她小跑了十分钟，路的两边全是整山的梯田，确实壮观，过了一座木桥，她家到了，很有特色的民居，听说这里全是瑶族，都是互相认识和世代在这里居住了几百年了，好像是元代开始的，这些山上的梯田也是世代向山要土地的结果．
2019-10-19,未知,5,广西桂林龙胜梯田就是壮观，梯田一层一层从山脚一直延伸到半上腰。金黄色的稻田一层叠着一层，一片丰收的景象，从山顶处往下看不一样的心情。
2018-07-13,未知,5,7月份是绿色的景，壮观，值得来，人不多清净悠闲，下次有机会要十月来看看
2020-10-09,未知,4,梯田，劳动人民为了生存而依山势建立起来的梯田，非常壮观美丽，他因季节的不同，展现出不同的风景，是值得人们观赏的好去处，这里美中不足之处，吃住停的价格高的离谱 【景色】
2017-11-03,未知,5,大家常说的龙脊梯田位于桂林以北的龙胜县境内，龙脊梯田主要分为两个景区，一个是壮族的平安梯田，一个是瑶族的金坑大寨梯田。前者听说开发较早，一日游去得比较多，而后者更加壮美。坐携程的专线车去，非常方便，直接到景区入口
2016-04-16,未知,5,虽然离市区远，但非常非常值得一游，很壮观的景色，非常美，到了山里感觉整个人都轻松起来，可惜不到放水期
2016-02-15,未知,5,春节期间因为高速封路，所以车要改行国道，经过龙胜，看见路边的一座雄伟壮观的风雨桥，真让人惊喜。
2020-07-18,未知,5,龙脊梯田景区的一个村寨，大寨的梯田很壮观，寨子中吃饭住宿的地方很多，自驾车可以开到大寨停车场，再坐缆车上到山顶看风景。景色很美。
2018-10-10,未知,5,这里的美景真的值得一去，特别是国庆期间，金黄色的梯田，看下去真的好美好美，上到山顶空气又好，视野开阔，人的心情也跟着美起来
2018-08-24,未知,5,大寨在夜里一切都安静下来的时候，在那万里无云的天空之中，布满了一闪一闪的星星。那种突然感觉离星空如此近距离的接触，太美了。
2017-09-19,未知,5,几年前开车到观景台看了，这次是步行全程的，乡间小路不一样的感觉
2018-02-24,未知,5,非常满意的一次旅行，不负众望，名不虚传。
2018-08-10,未知,4,这个梯田大寨分布在此起彼伏的山峦之中，周围梯田密布，这里的少数民族只有几千人，人均只有一亩地，所以只能向山坡发展，逐渐形成现在的规模。
