date,ip 属地,评分,comments
2016-07-17,未知,5,说实话真的是漂流界的业界良心。第一全程很刺激，不是开闸放水那么肤浅，都是随着溪流自己漂，有急有缓，绝对值得来玩一玩。而且救水员特别周到特别好，到处都有，又热心。两周风景也不错。不会太晒。不要带任何东西，都会湿。但是票价有点醉，外地人188，本地人80，最好找客栈老板拿低一点的价格。帽纸和救生衣都有点点旧。总之，玩完漂流再上梯田很完美。这是我们四天龙脊阳朔最好玩的地方。强推！
2016-08-31,未知,5,"每天10:00漂流13:00漂流。 龙脊峡漂流位于龙脊梯田景区内, 距桂林市区77公里，漂流河段为4·8公里，落差达300米，漂程为2.5小时左右。游玩后返回桂林。两岸植被保护良好,流量、流速相对稳定。好happy哦～"
2017-07-26,未知,5,玩过的最值得漂流，好刺激呀！一个坡接一个坡，不像有的漂流，就开始有一个稍大一点的坡，而是不停的大坡，真好玩！而且船有自动排水的功能，水一直保持一样多，灌水也不怕。超好玩！！！
2018-08-22,未知,5,在这个桂林过度商业化的旅游城市中，居然有这么一个较为纯净的地方。食、住、景都是在国内性价比超高的一个地方，给人一种超舒服的心情！
2016-03-07,未知,5,很好，很刺激，接近天然漂流，强烈建议钱包手机寄存，肯定全湿，自已提前预备防水袋也可以。一定要控制中心，有水流急的地方还是容易翻船。安全员都不错，水也不深，危险系数不大。
2016-11-21,未知,5,感觉在国内各种漂流中最刺激的一处，由于高差大，全程有好几处单次落差在6米左右的急速下冲段，所以不湿身不落水几乎难得。乘坐的时候是全副武装的，头盔和肘部防护装备是必须要佩戴的。全程有当地人拿着单反相机给你抓拍，在漂流的终点处电脑里则放着你全程的各种瞬间，不过想得到它你的掏钱才给你打印出来。
2021-07-16,未知,5,漂流时间很长 大约一个半小时，我属于比较快的，因为我一个人，所以是安全员带我漂……虽然少了些陪伴的乐趣，但是不用动手了，当然可能少了些乐趣。这边安全员挺逗，也挺辛苦的，一直泡在水里，忙前忙后。全程很长，景色很美，也挺刺激的，衣服湿了后还是比较冷的。售票处要在龙脊梯田买票处往里面走600多米，有一段距离的，我因为走不动，前台阿姨特地派车接了下我，阿姨特别有耐心，听说我担心赶不上车，还主动帮我联系车子，还听我一直担心的啰嗦，谢谢阿姨。然后车子送到起点处开始漂流。东西寄存在售票处，一个柜子10块，有点贵，关键还分大柜小柜收费。租凉鞋5块，冲热水5块，走的时候忘了说了，冲热水进门左手第二个房间有小马蜂窝。感谢全体服务人员。
2019-10-10,未知,5,非常喜欢，看见最美丽的大自然，
2018-02-08,未知,5,特别难忘的一次漂流经历，非常刺激，好玩，时间长，惊险，玩过那么多的漂流，这个最好玩，还经历了翻船，被扣在船下，还好，有惊无险。
2017-07-26,未知,5,玩过的最值的一个漂流 ，好刺激呀！一个坡接一个坡，真刺激！不像有的漂流，只有开始的时候有一个大坡，而是一个接一个的大坡，好玩极了！虽然灌了好多水，但是船自动排水，一直保持不是特别多，但是还是有点冷。还是觉得好玩无比！！！
2017-08-08,未知,5,很刺激，有4个6米高落差！比很多国内激流勇进式的漂流都好玩！路上的景色也超赞
2021-07-05,未知,5,非常好***，带着1.41的孩子出游正好，玩的尽兴的
2022-10-03,广西,4,客观评价，景色和趣味性都很好! 很值得一来! 但管理水准实在有待提高，先下艇的人等了后来两车的人才放水，艇里水泡得很不舒服，等了一个小时才放闸，加上全程漂流身上都是水，孩子冷得牙齿都打架了。既然等这么久，没必要让人先下艇，泡水里等那么久，而且说好的1:30开始，等到2:30非常影响后续安排，太不准时了!
2017-04-21,未知,5,"位于龙脊梯田景区内,距桂林市区77公里，漂流河段为4.8公里，落差达300米"
2023-08-18,湖南,5,去的1点场，等待1小时，2点半开始漂，要等全部下水才开始，所以在水里多等了15分钟，但也是值得的，超爽，全程1小时，有4个落差坝，特别刺激，推荐体验！！
2024-08-14,广西,5,这是我经历过的最刺激的一次漂流。刺激得拿手机拍照的时间都没有。落差一个接一个，手牢牢抓住不敢放开。眼睛、鼻子、嘴巴、耳朵里全是水。老年人千万不要去!
2017-05-07,未知,5,喜欢挑战的可以尝试夏天版的野外漂流，刺激，水很清澈见底，适合集体游。
2019-10-13,未知,5,有几个比较刺激的大坡，高度大概有6米那样。时间游玩大概需要一个半小时那样。夏天游玩的好去处。不过漂流过程不算紧凑，中间空闲时间比较多，有些地方稍微消耗了一点时间。不过总体来说还是比较好的
2019-08-21,未知,4,听了当地司机的推荐 然后去了 不错的 总落差300米 全程4公里 单独最高落差好像是6米 但是很多处水流比较急 全程对于我这种不怎么漂流的人来说还是挺刺激的 全程只有安全员 并没有随筏的教练 也不需要浆全靠漂 带好换的衣物和毛巾 冲热水澡5元 眼镜要小心 人字拖什么的不建议 容易冲走 安全员还是全程挺负责的 其他的服务比如姜水什么的是没有哒 怕冷的自备一点
2016-02-10,未知,5,很有趣，漂流很长，如果落差再大一点就好了
2019-08-20,未知,5,有落差大的地方，有激流险滩，也有水流平缓的，整个漂流过程需要一个半小时，全程有多个救生员守护，刺激但安全，值得游玩。
2017-08-06,未知,5,漂流是夏季我最喜欢玩的项目了，龙脊峡漂流大约漂两小时，山里水特别冷，水流急，还好穿好防晒衣。
2015-12-30,未知,5,价钱便宜，漂流刺激，非常适合夏天出游，人也比较少
2019-02-02,未知,4,超刺激，不过提醒一下去玩的朋友，一定不要带手机，幸亏安全员帮我把手机拿给司机带回前台，不然就惨了。去龙胜旅游，强烈推荐去玩
2024-08-30,广东,5,非常好玩，一路救生工作人员随行！特别到位
2015-11-02,未知,4,在龙脊梯田景区、水质很好、水量大、落差3OO米、漂流时间一个多小时、梯田在漂流中显得更加壮美。
2022-08-06,广东,5,漂流挺刺激，全程有多个工作人员看护，可以放心游玩，sha前后差不多两个小时，前后有四个停留储水点，水很清凉，舒服！一天是三个时段！
2018-08-30,未知,5,门店价格150元，还是网上便宜
2016-09-04,未知,5,去龙胜千万不要错过，携程团购才98一张，现场要188一张，很划算，一定要多带一套衣服去替换
2018-04-15,未知,4,龙脊峡漂流位于龙脊梯田景区内，河谷两岸是高耸入云的山崖和叠障的梯田，群山环绕的水上乐园。
2019-08-30,未知,5,龙脊峡谷漂流太刺激了，小孩子特喜欢，玩的不亦乐乎，但是要保护好眼睛，容易丢到水里，到时候想找都找不着
2018-08-23,未知,5,玩的很开心，下次漂流一定去龙脊峡漂流。
2017-08-13,未知,5,玩过最刺激的一个漂流，一个坡接着一个坡，是在峡谷里，漂流时间近2小时，工作人员负责认真一路随行保障漂流安全，挺过瘾的。
2016-08-19,未知,5,非常刺激，空气也非常不错，值得去体验！
2023-08-10,上海,5,夏天真的喜欢漂流，太开心了，爽歪歪
2019-02-04,未知,4,喜欢挑战的可以尝试夏天版的野外漂流，刺激，水很清澈见底，适合集体游。
2018-01-19,未知,4,来桂林漂流了三次，感觉这里漂流不如遇龙河美，也比不上龙劲河刺激。
2017-10-05,未知,4,漂流时间长，2小时左右；不算很刺激，很好玩。不过中秋了水很冷，到了后面每次湿身都透心凉，浑身起鸡皮疙瘩。漂流无法带手机拍照，没有拍到照相。
2024-08-21,广西,5,很好玩，景色很美，水流很急，漂过的都是勇士，胆小的，个子小的孩子就别来了，安全很重要。
2016-08-27,未知,5,孩子很喜欢，开心！不是很激烈，最高落差也就6米。就是天热太热，晒的皮肤疼。。。。。
2020-09-14,未知,5,非常好，时间长，够刺激！推荐！！去了龙脊一定要去玩的漂流！
2024-07-24,浙江,5,陪女儿一天上午下午连续玩了两次都是最真实的反馈了😄
2024-06-09,湖南,5,漂流惊险刺激，三个救生员一起漂，安全可靠。我船里竟然进了一条🐟😆
2024-10-04,广西,5,大概一个半小时的时间，带好换洗衣服，还是蛮刺激的，就是十月有点冷了
2020-09-13,未知,5,太刺激了，落差很大 太便宜了，仅五十元 值得推荐
2018-09-16,未知,5,强烈推荐！！！良心！！！很刺激，而且漂流时间很长，不去后悔！！！
2020-05-31,未知,5,挺刺激的，不错
2017-10-04,未知,5,非常有趣的漂流行程，时间也合适，要带手机的话必须防水袋
2024-07-24,浙江,5,陪女儿一天上午下午连续玩了两次都是最真实的反馈了😄
2017-08-08,未知,4,真的不错，第三次桂林之行最好的记忆，唯一有些时间太长了，2个小时！
2022-06-04,未知,5,团建非常成功，感谢携程，活动价很划算！
2020-05-03,未知,5,情侣激情的好地方
2019-08-18,未知,5,***
2020-08-19,未知,5,超超超超极好玩
2019-08-30,未知,5,龙脊峡谷漂流太刺激了，小孩子特喜欢
2018-09-20,未知,5,非常刺激，适合一家游玩，感觉很不错
2019-12-26,未知,5,很好玩的漂流
2019-12-25,未知,5,好的选择不错
2018-08-26,未知,5,总体不错呀，有些还蛮刺激的吧！
2023-08-15,广西,5,非常好玩(*´I`*)
2022-10-05,广西,5,刺激，全程3公里，好玩
2018-08-29,未知,4,没有想像中的那么惊险，人工分段蓄水放漂的。漂程挺长的
2019-08-19,未知,4,滩涂不刺激，落差都是人为水坝造出来的，不推荐
2020-07-18,未知,4,体验很好，景色不错，
2017-09-27,未知,3,不够刺激，水流太慢，全部漂下来1个半小时！
