date,ip 属地,评分,comments
2024-10-11,江苏,5,我是十一假期末尾到的龙脊梯田，已经不堵车了，游客数量也没有出现人挤人的情况，整体体验感不错。我们一家四口直接打车到的壮界停车场，到酒店需要爬一段台阶，距离金坑大寨二号观景台“千层天梯”很近。梯田10月份已经都黄了，非常壮观，像是住进了油画里。早起爬上观景台看日出，太阳是从山上露出来，所以比正常日出时间晚半小时，朝霞也很漂亮。可以租民族服饰拍照，出片率高。山上的人都很友好，会主动打招呼。山上早晚温差大，夜里山风还是挺凉的，要注意保暖。
2023-04-08,陕西,5,20230316全天： 1、“龙脊梯田”是桂林周边著名的少数民族梯田群，不仅田园风光宏大壮阔、色彩绚烂，且历史悠久始建于宋代，明清时期达到现今规模，堪称“世界梯田原乡”，是全球重要农业文化遗产，。景区附近有不少壮族、瑶族的少数民族村寨，是养生度假的好去处。景区是在山林中的开放式景区，主要分“平安壮族梯田”和“金坑•大寨红瑶梯田”两大区域。 ①地址：桂林市龙胜各族自治区龙脊镇。 ②交通：不通，开车很好停。 ③旺季：5月前后（梯田里放水未插秧时倒映天空）、10月前后（丰收季节金黄一片）。 ④用时：3小时 2、我在携程上买的一日游产品，小巴车进景区大门后还要开车10公里才到达“黄洛瑶寨长发村”，位于平安壮族梯田山脚下，号称“世界第一长发村”，是“龙脊十三寨”中唯一的瑶族寨（红瑶），红瑶与白裤瑶、背篓瑶、蓝靛瑶、盘瑶，都是瑶族的分支。一下车就有各种瑶族大娘售卖编织品，寨子里的年轻男女大都离乡务工了。我们先参观了全寨60户中的1家，是真实居住的民居，屋主老奶奶90岁了，还顺便售卖特产品，她们更喜欢现金支付，因为收到的现金是自己的，扫码支付钱会流进她们在外工作的孩子们手机上，钱便不在自己口袋里了，很有意思。民居一楼是仓库，堆满柴火，二楼是起居室，瑶族青年求爱时要顺着房柱向上爬，如果女方喜欢男孩会拉他一把，不喜欢的话会泼洗脚水。 3、旁边的“黄洛瑶寨歌舞场”有每天一场的演出，票价80元，演出时间不固定，攒够游客便开演，当天是11：15开演的，正好被我们赶上了，演出前半段以歌舞为主，中间环节是邀请台下男游客上台结婚，台上4位男游客看中哪一位舞者便用脚踩一踩她的脚尖，舞者大部分是中老年妇女，少有的漂亮妹子先被挑走了，比如领唱的那位大美女，听导游说上台互动要私下要给个红包，类似昨天在“刘三姐大观园”（4A）里那样。最后是最精彩的长发主题，展示了长发如何清洗和盘发，最长的头发达1.8米，荣获吉尼斯世界记录“群体长发之最”。舞台背后的墙可以升起，将近20位长发婆婆背靠青山洗发的场景印象深刻难忘，最后游客可花10元与20位红瑶婆婆合影，性价比不错我也去拍了。歌舞场东侧是地摊商铺、“粤桂同心廊”（溪岸边的长廊）和风雨桥；西侧有“中国长发科技馆”，时间紧没进去。 字数超限，在最后一张图片里继续。
2022-09-25,广东,5,龙脊梯田景区很大，主要由金坑红瑶寨、平安壮寨、龙脊古壮寨等三个村寨组成。从桂林过来导航至景区游客中心即可，自驾的只要买门票80元即可，非自驾的要买景交车票。 一般游客去的比较多的是平安壮寨，这个寨子开发比较早，设施比较齐全，离景区大门近一点，但接近村寨的最后几公里盘山路很险，平安壮寨梯田主要有二个观景台：九龙五虎、七星伴月，平安寨停车场有去九龙五虎观景台的电瓶车，单程30元，往返55元，从九龙五虎观景台走平路20分钟可以到七星伴月观景台，可以步行下山去停车场，约30分钟，也可以返回到九龙五虎再坐电瓶车回停车场。 自驾的游客大部分去金坑住宿，可以在田头寨、大寨住宿，金坑主要有1号观景台西山韶乐、2号观景台千层梯田、3号观景台金佛顶，田头寨离1号、2号观景台很近，大寨离金佛顶较近，大寨附近的索道停车场有索道上金佛顶，单程60元，往返110元。建议住田头寨，很多民宿可以停车。 本人是从桂林自驾出发，中午到游客中心，27公里盘山公路到田头寨住宿，下午游2号1号观景台，第二天开车去索道停车场，索道上下游3号观景台，然后去平安壮寨，坐电瓶车上九龙五虎，走路到七星伴月，然后步行下山到停车场，圆满结束游玩。
2021-09-22,未知,5,龙胜龙脊梯田位于桂林龙胜县和平乡，是桂林地区规模宏大的梯田群，这里坐落着几个少数民族古村寨，居住着瑶族和壮族等少数民族，景区内比较著名的有平安寨、金坑大寨、黄洛瑶寨等几个村寨。龙脊梯田因为进出只有一条道路且狭窄，自驾前往更方便。在瑶寨的民宿中住上一晚，观赏龙脊梯田的日出日落和清晨云雾缭绕的景色，在民宿中品尝稻花鱼🐟竹筒饭等农家菜，体验少数民族风情，是游览龙脊梯田最正确的打开方式。 我们去了金佛顶观景台，在这里俯瞰梯田全景，视野非常开阔。日落时分，光线不算好，远眺云雾缭绕的山峰，近看层层铺开线条流畅的梯田，还有散布在山峦间的瑶族村寨，如画般景色一览无余，令人有豁然开朗的感觉！
2021-07-11,未知,5,龙脊梯田错过等一年❗️最美秋季倒计10天收割 🌾昨天刚刚从龙脊梯田回来，被秋天的金色水稻美哭了！往年龙脊梯田的水稻都是在国庆结束后收割，如果游客多，还会推迟一礼拜。今年天气比较冷，国庆期间水稻还没有完全变黄，还有一点绿色，但是也不影响观赏。民宿告诉我们今年大概会在10月20号左右开始收割，也就是只剩下一礼拜时间了，因为龙脊梯田的水稻主要为观赏用，所以一年只种一次，想去的朋友赶紧冲呀！ 我们是10.10号去的，因为国庆节游客非常多，路上很堵很堵，而且国庆期间自驾车不能进景区，非常影响游玩感受，建议避开人最多的时间，否则你在路上可能就要花掉10个小时。 . 🌾【门票】 景区包括：金坑红瑶梯田（最大最美）、平安壮族梯田、龙脊古壮寨、龙脊小寨红瑶。只要买了票，4个景点都能去。 门票80元一人，网上和现场价格一样，大门验完票才能进，进景区后还有2次验票，保留好门票。 . 🌾【大交通】 1、我们是自驾上去的，可以从桂林机场或者高铁站租车直接去龙脊梯田。但是山路坡度挺大的，对于盘山公路没有开车自信的可以开慢一点。不差钱的可以包车，500左右起。 2、大巴，在桂林火车站对面新凯悦大酒店/桂林北站坐大巴，3h左右，50元一人。 3、桂林有当天往返的一日游团，早上9点出发，下午3点返回，比较赶，可能只去一个梯田，不能好好拍照。 . 🌾【景区交通】 桂林坐大巴来的话，到门口后要坐景区的接驳车。去金坑红瑶梯田要坐景区直通车+缆车（135元）才能到最高观景台金佛顶。但是自驾就可以直接到民宿，离观景台很近，不需要坐缆车。 . 🌾【住宿】 如果想拍好看的照片，推荐住山上的民宿，不用去人挤人的观景平台。我们住的龙脊与山民宿，门口就是梯田，还可以看日出，竹筒鸡和竹筒饭很好吃，500一晚起。景区的民宿价格都偏贵，国庆是平时的2倍。 . 🌾【金坑红瑶梯田拍摄推荐】 1号观景台西山韶乐，适合日出；2号观景台千层天梯，适合看日落；3号观景台金坑顶，最高点，适合看日出日落。 . 🌾【注意事项】 1、绝不能拖行李箱，山路很不好走，行李越少越好。 2、温差大，带好外套。 3、梯田的路不好走，千万小心，穿运动鞋，我亲眼看见一个阿姨摔倒滚到了下面一层梯田，很吓人。 4、有苗服出租，10元一天，很便宜。 5、夏天绿油油的水稻也很好看，以及灌水期的时候也适合拍照。 6、推荐带无人机，就不需要去观景台。
2021-04-15,未知,5,龙脊梯田位于广西桂林市龙胜县龙脊镇平安乡龙脊山，所以广义上也叫龙胜梯田。 进入景区，先乘坐大巴到半山腰，然后步行或者换乘电瓶车。电瓶车往返50元，单程票价30元 。 春季多雨，所以梯田有时候就在眼前，但你却看不到。 梯田壮观，像白虎像蛟龙。同时，也体现出劳动人民的聪明才智和辛勤付出。 这里是水稻种植基地，也是我国乃至世界水稻种植研究基地。 推荐指数五颗星，游玩时间3-5小时。
2021-02-19,未知,5,龙脊梯田位于广西龙胜各族自治县龙脊镇平安村龙脊山，是指在龙脊山上开发出的梯田，从广义说叫做龙胜梯田，从狭义上称为龙脊梯田。 龙脊梯田分为金坑（大寨）瑶族梯田观景区，平安壮族梯田观景区。通常意义上的龙脊梯田是指龙脊平安壮族梯田，也是开发较早的梯田。梯田分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路，一直升到约海拔600米以上，到梯田时海拔达到880米。 2018年4月19日，中国南方稻作梯田（包括广西龙胜龙脊梯田、福建尤溪联合梯田、江西崇义客家梯田、湖南新化紫鹊界梯田）在第五次全球重要农业文化遗产国际论坛上，获得了全球重要农业文化遗产的正式授牌。
2020-10-09,未知,5,"Yao nation has this way of growing rice for centuries. The view is unique. We took a bus tour there, don't do that. Take a car trip, or go by yourself so that you can spend as long time as you want."
2020-06-10,未知,5,龙脊梯田，是指在龙脊山上开发出的梯田，从广义说叫做龙胜梯田，从狭义上称为龙脊梯田。位于广西龙胜各族自治县龙脊镇平安村龙脊山，距县城22公里。距桂林市80公里，处东经109°32'～110°14'北纬25°35'～26°17'之间，龙脊梯田分为金坑（大寨）瑶族梯田观景区，平安壮族梯田观景区。龙脊梯田，通常意义上的是指龙脊平安壮族梯田，也是开发较早的梯田，分布在海拔300米至1100米之间，最大坡度达50度，前往梯田几乎都是盘山公路，一直升到约海拔600米以上，到梯田时海拔达到880米。
2019-07-24,未知,5,【桂林.龙脊梯田】龙胜龙脊梯田，距今已有650多年的历史。这里分别为金坑大寨梯田，平安梯田，古壮寨梯田。金坑梯田尤为壮阔大气，曲线更为优美。为广大游客最受欢迎之一。 【景色】这里气候宜人，东暖夏凉，一年四季风景美如画，春如娇人明镜，夏如碧春绿螺，秋如万亩金山，东如金丝银带。能让人仿佛身如人间仙境。 【趣味】这里居住着大部分的红瑶同胞，他们以几十带人辛勤耕作换来了如今这旷世龙脊奇景。这里能让人放空自我。回归自然。也可体验一把捕鱼，撒网，下地，采摘，登山观景，坐观闲云的田园生活。 【性价比】如果说桂林阳朔是-世外桃源，那么龙脊梯田绝对可称之为-人间仙境。绝对值得了一游。
2019-05-04,未知,5,风景很漂亮，很壮观的梯田，门票80元一人，60-64岁半票，65岁以上免票（购买十元卫生费），想看日出可以到平安寨或者金坑住一晚，有很多不错的酒店，建议自驾，会方便很多，坐车的话需要从桂林或者龙胜坐到景区大门转车
2018-11-10,未知,5,龙脊梯田景区里规模比较大的应该就是平安壮寨和金坑梯田了，真的非常非常美，感觉完全值回票价，一天玩儿的虽然很累但是超级嗨。9月份刚刚去过，分享一下小心得： 1.小车可以直接凭票开进山里，所以不要听各种忽悠说自己开车会很累什么的，真的还是自己开进来才能好好玩儿，黄洛瑶寨、平安壮寨、金坑梯田，如果是报团来的话只能选其中的两个，是玩儿不全的，而且还会被营销购物，会非常的亏。 2.在长发村的表演，但是需要凑齐一定的人数才会开始，80一张票，大概就是讲各种盘发的含义和长发村历史的，基本都是旅游团组织自费看，因为我俩是散客凑不够人数所以也没看表演，但是在河对岸瞄了大概，中间还会有挑选”新郎“模拟婚宴的场景大家懂的，所以要不要去看要好好掂量一下。 3.平安壮寨进寨之后有一家风景超级好的”景观餐厅“（抱歉名字我又忘了）不过我记得好像叫XXX酸菜鱼，反正门口有很多奖状，类似广西省评选的2017年优秀餐厅什么的，给人感觉就很厉害。竹筒饭，现点现做，不同于云南的蒸，这边的竹筒饭是烤的，里面加了胡萝卜、芋头和腊肉。不想吃竹筒饭的朋友们也不要单独点米饭啊，因为这边很多地方点菜是送米饭的，一大锅绝对够吃了。我们点的山笋炒腊肉和酸豆角小米鱼味道都不粗，整体来说这边菜价有点儿小贵但是可以接受。 4.和我爸一致觉得其实平安壮寨的景色更好也更有意思，虽然规模没有金坑大也没有它海拔高，但是穿行于寨子之间攀到山顶的感觉还是非常棒的，因为好多团都会带去金坑，这边人也少了很多，但因为没有缆车爬的也会辛苦一点。 5.如果大家选择在龙脊梯田景区里住一宿的话，晚上寨子里应该是有演出的，去的时候可以关注一下。另外还要注意时间，金坑下午5:30上山缆车就停运了，爬上来起码要一个半小时，那会儿天都黑了又没什么人，山路崎岖会很危险。 6.如果你们和我们一样选择自己租车去龙脊梯田，黄洛瑶寨、平安壮寨、金坑梯田又都不想舍弃的话，建议大家取还车的时间最好间隔12小时以上，我们是早8点半到晚9，可边可沿儿的时间一点儿没有富裕，所以哪怕还车时间晚一点也要个自己留好充足的游玩时间。沿途都是盘山路，天黑之后会有很多货车，一定要注意安全。
2018-08-12,未知,5,龙脊梯田：龙脊梯田最有名的寨子是平安和金坑（大寨村）。一小一大、一近一远、一人少一人多。两个寨子都可以住宿，但是金坑有索道，所以有大片大片的旅行团此起彼伏的涌入，把金坑挤得水泄不通啊！我总也感到金坑的游人多过稻田，唉！也许是因为我们傍晚到达平安寨子吧，褪去了游人如织的浪潮，这里更多的是一份宁静和安逸。我们入住刚开业不久的半山处的乡景酒店。酒店地处半山，推开房间的窗户，上有层层叠叠的各色楼宇，下有密密麻麻的翠绿梯田。龙脊梯田的精粹尽收眼底！清晨，踏着一缕朝阳蜿蜒在梯田的小路。缓步登顶平安寨子，沿途风景遍地，惹得我们驻足又驻足。直到日上三竿方才悠哉悠哉的逛上山顶。在这浩瀚如海的梯田世界里，最小的梯田只能插3株禾苗，真是“青蛙一跳三块田”，“一床蓑衣盖过田”。在龙脊梯田我们深深感受到人的无穷力量。这里的人祖祖辈辈辛勤耕耘，用一代又一代人的积累成就了今天的辉煌的龙脊梯田！这里，有不可错过的精彩！
2018-07-10,未知,5,1、我和景昌堂弟，自小玩大，成年之后几十年，各忙各的，往来不多却情谊未减。我和他相伴旅游第一次，便是乘高铁到广西桂林，游玩龙胜龙脊梯田（去年4月20日至23日）。游玩这个闻名世界的龙脊梯田，确实令我眼界大开，收获和快乐亦多多。 2、龙脊梯田原乡原生态，地处广西桂林市龙胜各民族自治县。自治县总面积2538平方公里，群山连绵组成，谓之“九山半水半分亩”，人口17万，自古至今，苗、瑶、侗、壮、汉等民族共居龙胜。（见照片2张） 3、龙脊梯田（种植水稻）始建于宋代，至今已有一千多年历史了。龙脊梯田水稻，每年一造，6月播种10月收割，稻米品质极佳，米饭别有风味。龙脊梯田地处海拔1916米的崇山峻岭，海拨最高的梯田有1180米，最低则是380米，整个桂林（龙胜）的龙脊梯田的总面积达70.1平方公里。 4、龙脊梯田最大的亮点和视点（主要景观区）有金坑梯田观景区等10多个。我和阿昌此行乐在当下，龙胜龙脊梯田之旅，主要游玩的景点（节目）有：坐桂林（金坑）索道揽车（吊厢）上金佛顶。 缓缓上行途中，鸟瞰梯田十里画廊，美不胜收。 登上金佛顶，俯瞰壮金坑梯田及金坑大寨（中国经典景观村落）尽收眼底，情不自禁赞美龙脊梯田，堪称“天下一绝”“世界之最”，名符其实也。 （见照片8张） 5、游览龙脊梯田之后，还有3个景点很值得一游： 一是龙脊镇龙脊街（和平村）。龙脊街是由北宋初年，住有八户盘瑶人家而发展而成的。街两旁的建筑物颇有古村落的味道，其中风雨桥和塔楼，建筑艺术确是另具一格。（照片1张） 二是游玩白面瑶寨。既见识了瑶族女人超2米长长黑黑的长发，又见识了她们不一样的歌舞。我还参与了一个与她们互动环节的歌舞（表演），甚为开心快乐呢。（见照片2张） 三是大塘湾民族风情园。该园有精彩节目丰富的侗族歌舞表演，其中有观众们与演员们一起互动表演的环节。我还被他们邀请上舞台，穿着起他们的服装，参予“农家乐”表演。大家玩得很开心呢。（见照片2张）
2017-10-08,未知,5,景色没话说！只是交通太不便！从桂林出发，不是自驾又不想跟团的自由行旅客建议约好私人的包车，否则会被所谓的班车折腾死，两个小时一辆。而且小客严重超载！上山的路全是盘山道，超载那么严重，个人觉得很危险！携程上能订到直达大寨金坑的旅游专线，省心省力！想去平安和古壮寨的，可以搜索微信公众号“龙脊梯田车队”找他们约车也比较方便！总之不要相信所谓的班车，如果你不信我，你就试试吧！ 关于风景：龙脊梯田分为三个寨子：古壮寨、平安梯田壮寨、金坑大寨！ 古壮寨不太大，入口处就有一个观景台，风景很好，当时人太多，只照了张有老外正在拍照的照片。个人觉得古壮寨的特色就是石板桥，修的很漂亮。其他两个寨子没有。但是那个所谓的始祖田观景台真是很泡人，我以为能看到壮观的梯田，其实就是高点，看对面的山额 平安寨有两个观景台：七星伴月和九龙五虎！两个都好，个人觉得九龙五虎更壮观，而且可以沿着梯田走，一路也是美翻了！平安寨离古壮寨很近，可放一天游玩。 大寨这次没时间去了，听说那里的寨子更原生态更壮观！留点念想，下次去吧。 图1-4是古壮寨，5~10是平安寨。
2017-10-08,未知,5,我是自驾游去龙脊梯田的。 早上10点阳朔出发，中午塞车，还在高速遭遇爆胎，幸好一切安好。差不多下午两点去到景区售票处，买完票，就在附近的地方吃午饭。非常推荐当地人做的糖醋排骨，很好吃。还有野韭菜炒蛋，很下饭，很喜欢。吃完饭两点半就出发上山，那里的山路真的九曲十八弯，转弯非常急，而且经常上坡下坡加急转弯一起来。因为我是女司机，开的也是低底盘的思域，所以非常小心，一遇到转弯就会按喇叭，开得也比较慢，有时和旅游大巴会车，真的路很窄。差不多开了一个钟，终于到了大地停车场。然后打电话给客栈老板娘，找到了住的地方，再看看时间，已经下午四点半。然后休息了半个钟，下午五点钟就开始去看梯田。我住的客栈叫壮家楼，离七星伴月梯田很近，基本10分钟爬上去了，还有很多租民族服装拍照的地方。看完七星伴月就去五龙五虎，顺便逛了平安寨的环境。平安寨是龙脊梯田景区里头商业化比较好的一个壮寨，住的吃的买的都有，还有酒吧和咖啡厅。到了夜晚，山里没有路灯，误打误撞找到了吃宵夜的地方，吃了田螺，非常好吃，也不贵，50块有一个脸盆那么多。我问老板有没有杨梅酒，老板没有推销一整瓶要我买，而是装了一小杯给我，到付钱的时候，只收我5块钱。由于第二天要赶回家过中秋了，所以就匆匆离开了，其实还有金坑梯田没去，瑶寨也没去，有点遗憾。95块的门票，真的不贵，里面有的东西太多了，除了壮美的梯田，我更加享受那里淳朴的民风和古色古香的住宿环境，真的是一次心灵的洗礼。
2017-10-07,未知,5,就是景色太美了！还可以穿着当地的服装照相，人都很朴实，卖的银镯子，铜镯子都很好，七十多岁的老人家还帮忙背东西上山，晚上还在自家的寨子洗碗，很厉害。梯田无论从哪个角度看都是很美的，这里的风景拍照也很美！
2017-09-11,未知,5,旅行社的一日游才160，这个是真便宜，但太赶，真不建议这个，最好是自己去回！ 从桂林到大寨的车票在新凯悦直接上车是50，北站那边好像是贵15还是20。淘宝飞猪45，龙脊门票95，没有淡季5折，我是直接飞猪上定的往返的车票，所以门票85。因为带了小孩，在山上住了2晚，回程票定的时候就留言备注好了。小孩只1米左右，没买票。 老婆非要用行李箱，所以进龙脊景区司机就提醒我怎么上山，马上联系定好的客栈老板，这里要赞下老板，和老板娘一起借了隔壁的皮卡，带我们上山，没收费！车子上山到路的尽头，下车是客栈。大寨停车场拼车35，包车6人内是150。也有阿婆排队问你是否需要背行李上山。好像是50，我下山背下来花了60，24寸大箱，非常重，阿婆看了后报的60，我也没还价。 大寨好像是全景楼住的人最多，住这里最好背包，车不到，还得走20分钟，看日出或者早上没太阳看云雾很好，但太高去别的地方就远，当然不带小孩住这里肯定好，就是有点贵！比1号观景台还高。1号观景台旁边就是观景楼，住这里估计也会很方便推开窗就能拍拍拍！ 不带小孩来这里最好，我家小丫头2号3号观景台都没去，还好最后自己走下山，也很棒了！ 个人感觉最佳路线2天1晚就够了，前提是不带小孩背包不带行李箱。从桂林出发到大寨3小时左右，如果车要在西站和北站接人，估计还得加半个小时。在大寨下车直接买索道票上3号观景台，单程60往返110，买单程就行！你在网上问旅行社和导游往返都会报120！坐上3号观景台，看看风景拍拍拍！天气好，可以等到6点后看日落，6点半前一定要下山去田头寨住，那边离1号观景台近，只要10分钟。方便第2天早上看日出或云雾。走得快，应该1个小时能到田头寨这边的观景台附近！我一天走了5个小时，当时从3号回田头寨花了1小时10分，没背行李，只有个小包。路上要注意看指示牌，看到人就最好问问，避免走错，千万不要相信导航！淡季不用定房直接去了挑一家。我是刚去，淡季，整个客栈除了老板一家，就我家包场！当然，如果准备住全景楼最好提前定，因为他家风景好，但是贵，便宜的山景房在网上提前都不一定有空房。早上看完日出就可以去2号观景台，这段路4、50分钟。看完就可以退房下山了，或者直接从1号观景台下来退房去2号观景台，再直接下山，这个路线走得路算少的，3个观景台也都看了，还只需住1晚，费用也低。这里非常安静，没那么喧嚣！值得来！
