date,ip 属地,评分,comments
2016-07-25,未知,5,龙颈河漂流来到阳朔一定要去体验呀，真的超级刺激超级好玩！我们是在客栈问的老板那里好玩，老板强烈推荐漂流，于是我们抱着试一试的心态报名参加了，它一天有三漂，都是固定时间的，我们选择的是下午两点多的那一漂，然后会有车接送的，到了之后需要先办理东西寄存，然后换票，最后购买电瓶车的票，10元一个人，需要乘坐电瓶车才能到漂流点，到了漂流点后自助选择安全帽救生衣，就可以排队等着漂了，这边是两个人一条船，全程自助漂流，沿路会有很多工作人员在两岸帮忙拍照片跟做好安全防范，全程有好几个漂流点都是很刺激的，全程无尿点，超级好玩很刺激！而且有好几个点落差都是很大的，所以一定也要记得牢牢抓住把手，不然会有安全问题噢！
2017-08-02,未知,5,携程点评返现价格是最低的了。儿童票需要现场购买80元一张，还需要大人带身份证和签承诺书。现场需要买观光车票，漂流完了可以洗热水澡，有姜汤。景区管理还比较规范，每天三次放水，半人工水道，一路都比较刺激，性价比很高。
2017-08-27,未知,5,这里的漂流是我玩过最刺激的漂流，时间1个小时左右，非常过瘾的，非常值得一去的游玩地，但要带好衣服，因为是完全湿身的过程的！
2017-09-24,未知,5,漂流一个多小时，路线设计也比较有有趣味，有起有伏。不让你感觉太无聊性价比很好一百多没白花，拷贝照片一个橡皮艇80块。山下寄存十块押金20，可以洗澡，坐电瓶车上山车费十块。确实山路也不好走。带洗漱用品，还有毛巾，换洗衣物。浑身湿透不少附近的人来玩，还有漂了好几次的游客#穿拖鞋上或者溯溪鞋，人字拖系在救生衣袋子上，真是炫酷的不得了…
2018-06-14,未知,5,第一次漂流，加我一共四个人，遗憾的是本人由于身体不适没有玩，一路给他们拍照，看着她们漂，实在是太刺激。一共四段，每一段都很刺激，下次再来我一定要玩。工作人员也很热情，阳朔到龙颈湖这段路很漂亮，个人觉得龙颈湖值得一来。
2016-08-13,未知,5,刺激，太刺激，胆小者勿玩！开漂全身就湿透，山里水很凉，怕冷者慎玩！全种分三个大台阶，每一个台阶都是像滑滑梯一样从高处滑下去，但最高的有9米5，紧张刺激可想而知！
2024-12-12,河南,5,龙颈河漂流是一个位于广西桂林市阳朔县的热门漂流景区，以其刺激的漂流体验和优美的自然景观吸引了众多游客。以下是关于龙颈河漂流的详细信息： 景区位置 龙颈河漂流景区位于广西壮族自治区桂林市阳朔县兴坪大源林场内。 距离兴坪古镇约8公里，距离阳朔县城35公里。 交通便利，距离桂梧高速路阳朔出口不到30分钟车程，且各主要路口均设有路标。 漂流体验 河道全长约4.5公里，总落差达220米，沿途有6个5米高的落差和108个旋转弯。 漂流时间约为一个半小时，被誉为“天下勇士第一漂”。 提供勇士漂和猛士漂两种选择，猛士漂更为惊险刺激。
2017-08-11,未知,5,此行最刺激的一个项目，特别推荐，龙颈河漂流，大自然与人工合为一体，这水量，甩高山滑水好几条街！途中有四个堤坝蓄水池，每开一次闸都是一次疯狂体验！70度、80度、接近90度的往下冲！一路伴随着尖叫声！太爽了！一定要把东西寄存，我就看见有人带着车钥匙玩结果下了船钥匙泡坏了！因为整个艇子都会被泡到水里的！拍照也没有必要，整个线路拍照点特别多，最后可以花80块全部买下来，其实还是很值的
2019-05-10,未知,5,【广西·龙颈河漂流】龙颈河漂流，落差大、弯道多。爽透、乐透、湿透，实在是太刺激啦，强烈推荐这个活动。从阳朔可以坐到龙颈河漂流的班车来回，还是很方便的。记住：一定抓紧船，否则会被甩出去的。
2017-07-30,未知,5,最超值的一项活动，漂流时还下了雨️，人、浪花、雨都一起飞到空中再落回水里[强]超级爽！勇士漂+猛士漂全程一个多小时，一下来从头到脚就全湿透，有惊无险很刺激，必玩项目
2021-06-25,未知,5,去阳朔游玩。也可以到选择一天到兴坪的龙颈河漂流。6.7.8这三个月非常适合去漂流刺激一下减减压。只要温度能到32度以上的。选择中午1点或3点的不会觉得太冷。广西最刺激的漂流就属龙颈河了。。只有第一没有第二。
2021-08-19,未知,5,一个人160元，包括摆渡车的费用。（需要提前一个小时在网上购买。如果在现场购买，是198元一个人），当地人还有别的优惠。漂流时间大概在50分钟左右，中间不让拍照，因为一直在漂流不安全。只有在其中的几个平台段可以拍照。位置比较好的几个部位，有摄影师专门拍照，游玩结束可以在可以在购票处右侧选取，十元一张，自愿购买不强制。漂流感觉很刺激，漂流过程中，衣服一定会全部湿透，所以请记得带换洗的衣物。有免费的姜茶和淋浴，但是没有洗浴用品，需要自己带。纯自然非人工，和游乐园的感觉不一样，推荐尝试。
2017-08-19,未知,4,怎么去：在阳朔老车站找去龙颈河的车，车前窗一般会有牌子，找不到就问人。过去要一个小时左右，把携程短信给司机看就可以。去到先到大厅用短信换票，然后还有两项支出，存包箱（分大小箱，但小箱其实也不小，可以放两个背包这样）和电瓶车（10块/人）。存完东西，就可以去门口坐电瓶车上山，很远，不可能走着去。 漂流情况：1.龙颈河落差比较大，但相对安全，水道都处理过，特殊地段也会有工作人员。2.去的话一定要带毛巾和更换的衣服（注意包括内衣裤），虽然写不能穿拖鞋漂，但是我告诉你拖鞋非常非常必要！当然有拖鞋掉的风险，但是至少你不用穿着湿鞋回去，而且你在途中一定会遇到需要拖鞋划水的时候！！否则你就下船游吧。 3.第一个落差就会完全湿透。。。而且水很冰，注意保暖。4.途中会有人拍照，漂完后在大厅旁边的相馆可以看你的傻样。。
2017-08-09,未知,3,全程大概四十分钟，刺激程度还可以，不是非常凶险的那一种。从阳朔高铁站过来还是等一等林场接的大巴的好，不然会被车站前的黑车坑。切记！买一个防水的手机袋在漂流的时候把手机带身上！！！ 因为这里他们说会帮你照相，实际就是为了坑你钱 15一张照片你打了拷贝还得加钱 而且态度还十分恶劣
2017-08-09,未知,5,放心！到时候直接去阳朔公园对面的车站就ok啦。9点准时开车。司机，工作人员服务态度都很好。要注意的是， 1.穿拖鞋或者凉鞋去，还没开始漂就全身湿透了。 2.不需要淘宝防水袋……售票处旁边10块钱的超好用，防水，还能隔着膜触屏。 3.记得带点吃的去，因为司机比较晚才到，真的会很饿！不过那里的玉米什么的也不是很贵。 4.到了景点，要买储蓄箱，建议两人买一个就够了，30块钱押金，用完后返还20元，就是10块钱一个。 5.到时候到了景点还要坐车上漂流点，10块钱一位。可以支付宝微信。 最后的最后，尽情狂欢吧，宝贝们！ 最后一张是我男票，没错！他说不害怕！结果手机抓拍到……
2022-09-09,广西,5,绝对值得来，太刺激了。你以为快结束了，又会迎来下一个落差点。 服务挺好的，员工会一直提醒安全需知。。 不知道是不是太轻，被甩的厉害，脖子两三天才好，同行的人就没有这种困扰
2019-04-04,未知,5,绝对刺激，好玩，适合年轻人，落差很大，就是山里的水太凉了，虽然出大太阳，但是还是觉得很冷，漂完后有红糖姜水预防感冒。要备好一身干净衣服，刚下水就会湿身，洗澡的地上水不够大也不够热。
2016-07-04,未知,5,龙颈河漂流，全程一个半小时左右，落差很大，超级刺激，一路尖叫声不断，双人艇漂流方式超级赞，喜欢惊险刺激的朋友不容错过！
2020-10-29,未知,5,值得一去的漂流，水流大，坡度大，很刺激。漂流前一定一定要带一套衣服替换，全身会湿透，雨披也不行，容易破。有洗热水澡的地方，很方便。
2019-07-28,未知,5,最喜欢刺激了，就是六月份去的有点冷啊！全程很长很刺激，还有给拍照的，都不用自己拍了。
2019-09-08,未知,5,龙颈河漂流 必玩景点 超级刺激 非常减压 全程一小时多 大大小小五十多个坡 我们是早上六点相公山看日出 然后坐了摆渡船到的兴坪古镇 租的电驴骑去的龙颈河漂流 感觉这个路程比较好 能玩三个景点很省时间 漂流有三个时间可以选 我们是十点半 过程中全身都会湿透 建议带着换洗衣服 景区那边有洗澡和更衣室 我们没带 是去那边买的衣服 也不贵 也有卖手机防水套 全程很欢乐 下来可以选照片 我们选了一张水花四溅的 强烈推荐
