评分,comments
5,七星 景区 位于 桂林 市区 漓江 东岸 ， 漓江 支流 小东江 畔 ， 距 市中心 1.5 公里 。 占地面积 约 134.7 公顷 ， 绿化 覆盖率 达 84 [ % ] ， 桂林市 面积 最大 、 历史 最 悠久 、 景致 最多 最 集中 综合性 景区 。 历史 文化 精深 博大 七星 汇聚 ， 自然 与 人文 完美 融合 七星 展现 ， 堪称 桂林山水 与 文化 缩影 、 桂林 城市 绿肺 ， 集 桂林 山 、 水 、 洞 、 石 、 庭院 、 建筑 、 文物 之 大成 ， 桂林山水 精华 景观 缩影 。
4,一般 吧 ， 门票 太贵 ， 公园 收 这么 贵 门票 ， 而且 只收 外地人 ， 本地人 免费 ， 啥 情况 ， 歧视 啊 ， 希望 以后 能 便宜 点 ， 不要 这么 地域 歧视 啊 ， 北京 公园 门票 才 多少 钱 ， 北京动物园 门票 才 10 快 ， 桂林 不是 明抢 吗
5,早上 七星岩 天上 下着雨 ， 进 大门 首先 七星岩 洞 ， 本 想着 没什么 好看 ， 谁 料想 进去 让 大吃一惊 ， 一点 比 银子 岩溶洞 差 ， 导游 讲 很 详细 ， 小小 一块 石头 讲 让 感觉 好像 回到 银河 里 牛郎织女 ， 拍 好多 图片 发到 朋友圈 ， 大家 说 好看 。 其实 银子 岩 很 远 ， 桂林 本地 七星岩 一样 可以 看到 溶洞 里 大自然 鬼斧神工 ， 门票 不贵 ， 岩洞 门票 才 30 元 ， 真的 很 不错
5,七星岩 景色 不错 ， 纯天然 自然风景 ， 原生态 景观 ， 令人 心旷神怡 ， 感觉 非常 不错 ， 性价比 超高 ， 不错 选择 ， 棒棒 ， 登高望远 ， 美景 尽收眼底 。
5,桂林 七星 景区 ， 一处 神秘 美丽 地方 — — 七星岩 。 传说 ， 七星岩 内藏 着 无数 宝藏 神秘 力量 ， 然而 ， 却 无人 能 真正 揭开 它 面纱 。 阿风 勇敢 好奇 年轻 小伙子 ， 从小 生活 桂林 山山水水 之间 ， 对 七星岩 充满 向往 。 他 生性 机灵 ， 身手 敏捷 ， 总是 梦想 着 一天 能 成为 一名 伟大 探险家 。
5,20230312 上午 ： 1 、 “ 七星岩 ” 位于 4A 景区 “ 七星 景区 ” 内 。 七星 景区 漓江 东岸 山水 溶洞 风光 ， 桂林市 最大 综合性 公园 ， 历史悠久 始于 隋唐 ， 留有 徐霞客 、 邓小平 、 邓颖超 、 粟裕 、 李岚清 、 吴邦国 、 李铁映 、 十世 班禅 、 西哈努克 、 克林顿 等 名人 足迹 ， 森林 覆盖率 84% 堪称 桂林 绿肺 ， 并 占据 桂林 古续 八景 两处 ， 即 “ 栖霞 真境 ” “ 壶 山 赤霞 ” 。 七星 景区 所在 “ 七星山 ” 由 “ 普陀山 ” 4 峰 （ 天枢 、 天璇 、 天玑 、 天权 ） “ 月 牙山 ” 3 峰 （ 玉衡 、 开阳 、 瑶光 ） 组成 ， 7 座 山峰 以 北斗七星 分别 命名 ， 分布 形状 犹如 北斗七星 ， 七星山 由此 得名 。 ① 地址 ： 桂林市 七星区 七星 路 1 号 。 ② 交通 ： 公交 直达 ， 开车 很 好 停 。 ③ 旺季 ： 无 。 ④ 用时 ： 6 小时 。 2 、 “ 七星岩 ” 溶洞 普陀山 上 ， 登山 道 纪念塔 旁 ， 途经 “ 普陀 岩 ” （ 天然 洞口 ， 被 砌成 石台 供 休息 晨练 ， 悬崖 处有 “ 文昌 亭 ” ， 又名 “ 拥翠亭 ” ， 始建 于 明代 ， 毁 于 抗日战争 时期 ， 1965 年 重建 ） 、 “ 普陀 精舍 ” （ 位于 普陀山 半山腰 双层 阁楼 ， 原 “ 普陀 寺 ” 旧址 ， 始建 于 唐代 、 重建 于 1959 年 ， 楼后 “ 观音岩 ” 自 唐代 起 供奉 普度众生 观音 ， 普陀山 由此 得名 。 抗战 时 曾 作为 祭奠 阵亡将士 祠堂 ） 、 “ 玄武 阁 ” （ 半山腰 休息 阁 ， 岩壁 上 石刻 ） 到达 溶洞 入口 ， 每 半小时 一批 由 免费 讲解 带领 进洞 参观 。 七星岩 景区 必到 精华 处 ， 徐霞客 曾 两次 探洞 并 精确 记载 七星山 15 洞 。 洞内本 漆黑一片 ， 石乳 由 灯光 照射 呈现出 婀娜多姿 形态 ， 靠 想象 为 其 赋予 含义 ， 途经 “ 古榕 迎宾 ” 、 “ 露滴 石笋 ” 、 “ 月宫 白兔 ” 、 “ 广寒宫 ” 、 “ 边寨 风光 ” 、 “ 狮子 回头 望 骆驼 ” 、 “ 老人 戏 ” 、 “ 仙人 晒网 ” 、 “ 五谷丰登 ” 、 “ 刘三姐 歌台 ” 、 “ 云山 壁画 ” 、 “ 江山 多娇 ” （ 景区 拍照 处 ， 获赠 照片 很小 ， 大 照片 要 购买 。 水中 倒影 靓丽 ， 镜头 越低 倒影 越 清晰 ） 、 “ 雄狮 怒吼 ” 、 “ 石林 幽境 ” 、 “ 女娲补天 ” 、 “ 大小 珍珠 幔 ” 、 “ 叶公好龙 ” 、 “ 奇象 异洞 ” 、 “ 万里长城 ” 等 景观 ， 导游 山歌 中出 洞 。 桂林 属于 卡斯特 地貌 ， 很多 小 山丘 内部 溶洞 。
5,七星岩 以 雄伟 、 [ 1 ] 变幻莫测 ， 玄妙 无穷 ， 组成 一幅幅 绚丽 图景 。 著名 景点 ： 古榕 迎宾 、 边寨 风光 、 群英 聚会 、 银河 鹊桥 、 石林 幽境 、 孔雀开屏 、 蟠桃 送客 等 40 多处 。 这些 形象 、 逼真 、 传神 景物 ， 令人 如痴如醉 ， 遐想 联翩 ， 由此 生发 无数 神话 ， 广为 传流 。 如 广寒 官中 嫦娥 ， 桂花树 下舒袖 起舞 ； 牛郎织女 隔 江相望 ； 女娲 氏炼 石补 青天 ； 鲤跃龙门 等 。
4,七星岩 位于 漓江 之流 小东江 泮 ， 这里 风景优美 ， 不过 感觉 景区 门票 太贵 ， 进 景区 门票 还 包括 溶洞 ， 想 进 溶洞 还要 另外 购票 ， 不过 这里 溶洞 桂林 三大 钟乳石 景区 之一 ， 里面 彩灯 闪烁 ， 石钟乳 、 石笋 众多 ， 彩灯 照耀 下 ， 呈现 奇幻 景象 ， 还是 比较 趣味 。
5,七星岩 位于 桂林 七星 公园 ， 普陀山 腹 ， 东西 贯通 ， 入口 天玑 峰 西南 半山腰 ， 出口 东麓 ； 隋唐 称 栖霞 洞 ， 宋代 称仙 李岩 、 碧虚岩 ； 原 距今 100 万年 一段 古老 地下 河道 。 桂林 著名景点 ， 洞 内外 很多 石刻 ， 留有 很多 著名 书法家 墨宝 手迹 。 “ 古老 ” 七星岩 ， 没有 阳朔 “ 小 鲜肉 ” 银子 岩 那么 人多 ， 那么 吸引 。
5,奇洞 异石 ， 可 游玩 景点 较 多 ， 适宜 家庭 共游 ， 小孩 比较 喜欢 户外 拓展 类 活动 。 休息 点较 多且 安排 合理 ， 各线路 安排 游览 观光车 较 齐全 ， 方便 游客 。
