评分,comments
5,三江 风雨 桥 很 美 ， 尤其 亮灯 时 。 白天 浔江 上 三江 风雨 桥 ， 与 晚上 比 ， 又 另一番 景象 上午 时 ， 桥边 看雾 锁 浔江 ， 很 诗意 。 这座 桥 进城 通道 之一 ， 两边 廊 人行道 ， 中间 行车 ， 晚上 车速 很快 。 距离 桥 二三十米 马路上 两个 安全岛 ， 看样子 专供 游客 照相 ， 很 人性化 。
5,今天 从 贵州 进入 广西 ， 依然 还是 侗寨 风情 ， 侗族 建筑 。 特地去 著名 三江 风雨 桥 三江 鼓楼 。 三江 风雨 桥 横跨 浔江 之上 ， 它 世界 上 最大 风雨 桥 ， 桥面 钢筋 混凝土 结构 ， 但桥 上 长廊 塔式 建筑 全部 采用 传统 侗族 特色 木构 建筑 技艺 。 由 著名 侗族 木匠 师傅 、 国家级 非 物质 文化遗产 侗族 木构 建筑 营造 技艺 传承 杨 似玉及 7 个 木构 建筑 工程队 建造 而成 。 桥 两边 供 行人 散步 及 休憩 区域 ， 全木 美人 靠 ， 它 一座 可以 通 小车 现代 公路桥 。 桥 两头 还 路 中心 设 围栏 供 游客 拍照 用 ， 实在 很 贴心 设计 。 碧绿 深邃 浔江 犹如 一块 翡翠 镜子 ， 把 风雨 桥 江边 美景 一并 倒映 其中 。 桥 上 可见 浔江 河畔 三江 鼓楼 与 遥相呼应 。 连接 两处 景点 路 叫 月亮 湾 大道 ， 相处 相距 不过 千米 左右 ， 步行 可以 一同 游玩 。 三江 风雨 桥 免费 景点 ， 三江 鼓楼 入楼 需要 15 元 门票 ， 而且 不能 登顶 。 作 推荐 。
5,三江 风雨 桥 位于 广西 柳州 三江 县 浔江 河 上 ， 风雨 桥融 现代 建筑 工艺 与 传统工艺 于 一体 ， 桥 上半部 分为 木质 结构 廊桥 ， 下 半部 分为 钢筋水泥 结构 拱桥 ， 其 规模 之 宏伟 工艺 之 精巧 ， 可 称 侗乡 之 最 ， 可称 世界之最 ， 来 此处 不能不 。
5,除了 中间 车道 水泥路 ， 其他 木头 做 路 ， 走上 好响 声音 ， 不过 一路 走路 沿河 风景 感觉 挺 好 ， 旁边 还有 出租 少数民族 衣服 店铺 ， 可以 穿着 桥 上 拍照片 留念 。 风雨 桥 总的来说 很 值得 一去 。
5,中午 到达 三江 ， 吃晚饭 酒店 休息 便 游玩 ， 侗族 建筑风格 大多 很 历史 ， 走过 三江 鼓楼 ， 经过 月亮 街 ， 到达 三江 风雨 桥 。 位于 广西 柳州 三江侗族自治县 浔江 河 上 ， 由 钢筋 混凝土 月牙形 单 桥拱 集 侗族 特色 木构 建筑 技艺 精华 于 一体 ， 堪称 世界 第一 风雨 桥 。
5,这座 桥 全都 用 木头 堆积 而成 ， 迄今为止 保存 得 很 好 一座 木桥 。 桥顶 装饰 用 瓦片 ， 非常 非常 完整无缺 。 个人 认为 此桥 寓意 ： 风调雨顺 ， 风雨无阻 。
5,这是 横跨 浔江 风雨 桥 ， 广场 西侧 大 超市 对面 ， 下台阶 来到 江边 ， 可以 远望 大桥 。 沿路 标 继续 前行 可以 近距离 欣赏 大桥 ， 桥 上 俯瞰 远眺 ， 远山 江水 ， 让 这个 北方 人心 生 欢喜 。
4,值得一看 坐妹 ， 表演 票 需要 预定 ， 住宿 宾馆 有人 帮买 ， 程阳 风雨 桥 ， 还有 那里 山寨 百 家宴 ， 路上 村民 招客 ， 直接 跟 ， 不用 门票 。 布央 茶庄 值得 一去 。
4,从 定位 ， 三江 风雨 桥指 应该 市区 这座 可以 人车 通行 风雨 桥 ， 评论 及 景点 介绍 ， 很多 又 说 程阳八寨 那座 古老 风雨 桥 ， 搞 得 有些 混乱 。 从 三江 鼓楼 一路 走 过来 ， 一边 走 一边 ， 大概 十多分钟 从 岸边 整条 跨江 风雨 桥 颇为 震撼 ， 以 结构 来说 应该 属于 近代 建筑 。
5,三江 风雨 桥 ， 位于 广西省 柳州市 三江 县 ， 中国 最长 一座 风雨 桥 ， 可以 行车 通过 ， 来 两 车道 ， 边上 还有 人行道 ， 建 江面 上 ， 景色 很 美 。
5,三江 风雨 桥 位于 广西 柳州 三江侗族自治县 浔江 河 上 ， 由 钢筋 混凝土 月牙形 单 桥拱 集 侗族 特色 木构 建筑 技艺 精髓 于 一体 ， 全桥长 368 米 ， 宽 16 米 ， 至 高处 为 18 米 ， 7 个桥 亭 ， 其 长度 规模 均 名列 世界 前茅 。
4,月亮 街 闲逛 ， 大概 步行 15 分钟 左右 可 到达 三江 风雨 桥 。 除了 车路 ， 两边 人行 通道 。 侗族 木造 结构 外观 它 特色 ， 游客 必到 景点 。
4,夜景 很 美 ， 好像 2010 年 新建 ， 风雨 桥 侗族 ， 苗族 等 少数民族 杰作 ！ 特色 ， 文化底蕴 ！
5,比较 特色 风雨 桥 ， 可以 开车 慢慢 ， 可以 步行 欣赏 ， 没有 门票 ， 周边 风景 不错 ， 可惜 时间 关系 ， 没有 看到 晚上 夜景 ， 留点 遗憾
4,县城 风雨 桥 世界 最大 。 三江 县为 旅游 城区 中心 沿江 建设 大 侗寨 景区 （ 免费 ） 拥有 三项 世界 吉尼斯 记录 ： 世界 最大 侗族 风雨 桥 、 最大 侗族 鼓楼 （ 晚上 亮灯 时 漂亮 多 ） 、 最大 鸟巢 式 侗寨 （ 侗 文化 商业 建筑 ， 外观 更 像 圆型 客家 土楼 ） 。
3,三江 侗族 地标 性 建筑 ， 不是 传统 木石 结构 ， 现代 工艺 钢筋 混凝土 跨度 桥上 加建 木质 风雨 桥 样式 ， 桥面 可通 机动车 。 规模 而言 ， 算是 蛮 宏伟 ， 值得 一去 。
5,晚上 景色 更好 ， 白天 景色 差一点 ， 不过 三江 县 侗乡 鸟巢 表演 还是 值得一看 ， 程阳八寨 正在 开发 ， 现在 过去 寨子 里 逛逛 还是 可以 ， 建筑 很 特色 。
5,太美 ， 地标 景点 ， 还 免费 ， 旁边 有土 菜馆
4,三江 风雨 桥挺长 一条 风雨 桥 ， 挺 漂亮 一座 桥 ， 桥头 路 中间 还 专门 设 拍照 地方 。 桥 上 设置 很多 装饰灯 ， 晚上 灯光 照射 下 ， 更好 。
4,从 龙脊 梯田 开 老路 过来 ， 一进 县城 看到 这个 建筑 ， 走进 一看 风雨 桥 ， 太 大气 ， 为 保护 桥 意思 还限行 货车 等 大型 车 不准 通行 。 一定 县城 地标 ， 民族 典范 。
5,景色 优美 ， 再 下雨天 别有 一番滋味 心头 ， 很 适合 久居 北方 人来 感受一下 南方 唯美 ， 古老 木饰 建筑 ， 给 一样 感觉 ， 能 让 心情 变 好 。
5,居然 可以 行车 风雨 桥 ， 世界 上 最长 风雨 桥 ， 横跨 江 两岸 ， 中间 两 车道 。 旁边 人行道 。 侗族 创意 民族 ， 风雨 桥 可以 遮风挡雨 。
3,全桥 木石 结构 ， 最 神奇 建桥 时候 竟然 没有 用 一颗 钉子 ， 全是 古老 榫卯 结构 。 奇特 精巧 风雨 桥 ， 映着 青山绿水 ， 组成 一幅幅 秀丽 风俗画 卷 ， 微风 拂过 ， 带来 阵阵 凉意 ， 夏季 消暑 好去处 。
4,侗族 特色 桥 ， 很漂亮 ， 当地 最大 风雨 桥
1,跟 团游 纯粹 温笨 七 ， 自由 行才 最好 选择 。 一般 以 二天 游 最好 。 第一天 到达 可租 面包车 程阳八寨 景区 （ 当地 车免 景区 门票 ） ， 当晚 住 侗寨 民宿 ， 晚上 参加 侗族 百家饭 活动 。 第二天 回 三江 ， 参观 三江 风雨 桥 ， 鸟巢 ， 月亮 街 等 景区 ， 下午 搭 高铁 回家 。
5,这是 一处 非常 好 酒店 ， 三江 最美 风雨 桥 桥头 边 ， 位置 相当 好 ， 周围 吃饭 、 乘车 、 购物 很 方便 。 酒店客房 卫生条件 不错 ， 挺 干净 ， 床单 很白 。 酒店 人员 服务态度 也好 ， 住 这里 让 很 舒服 。
5,位于 广西 柳州 三江侗族自治县 浔江 河 上 ， 由 钢筋 混凝土 月牙形 单 桥拱 集 侗族 特色 木构 建筑 技艺 精华 于 一体 ， 全桥长 368 米 ， 宽 16 米 ， 最高处 为 18 米 ， 7 个桥 亭 ， 其 长度 规模 均 为 世界之最
5,需要 门票 ， 景色 很 美 周边 挺 多 小 店面 吃喝玩乐
4,很长 很大 ， 看过 最大 最长 风雨 桥 ， 白天 很 壮观 ， 夜景 很 美 。
4,2018 年 带 孩们 游玩 三江 风雨 桥 ， 桥 两旁 全木 搭建 ， 有些 大 梁柱 两个 小孩 才 抱 得 过来 ！ 木头 木头 之间 找 不到 钉子 很 了不起 搭建 技术 ， 桥 很 古朴 感觉 ！ 值得 一游 ！
4,广西 三江 侗族 特色 建筑 ， 到处 可见 。
5,号称 世界 最大 最长 壮族 风雨 桥 ， 虽然 现代 建筑 ， 但 造型 古朴 美观 ， 尤其 晚上 亮灯 拍照 更加 漂亮 ， 桥 上 观景 很 开阔 。
5,很 美 ， 旅游 三江 ， 想不到 意外 ， 感受 民族风情
5,花钱 嘿哈 ！ 绝对 性价比 高 ！ 哈哈
5,真心 觉得 不错 ， 个 值得 地方 哦
5,三江 風雨橋頭 一家 昕 美有 機農業 公司 ， 現在 以 推動 全縣 機農業 概念 。
5,这里 山水相连 ， 风景如画 ， 原生态 旅游景点
4,三江 风雨 桥 桥身 现代 钢筋水泥 结构 ， 可通 汽车 ， 桥上 为 木质 结构 ， 有亭 塔 ， 横跨 于 浔江 之上 ， 美感 。
5,鸟巢 棒棒 ， 美女 多 ， 人民 朴素 和蔼可亲
5,这里 景色 十分 美丽 ， 风景 十分 优美 。
5,美丽 大 三江 风雨 桥 ， 值得 到此一游
5,长长的 桥 好玩 ， 这个 地方 值得 。
4,三江 楼桥 新 代表作品 ， 侗族 工匠 智慧 结晶 集大成者 ， 值得一看 ！
4,三江 县有 众多 风雨 桥 ， 三江 风雨 桥 其中 之一 。
5,虽 比不上 程阳 风雨 桥 那么 著名 ， 但 值得一看
5,好 特色 ， 住 宾馆 正好 旁边 ， 晚上 更 漂亮
5,后来 建 ， 但是 很漂亮 ， 有人 行 通道 。
5,人类 智慧 杰作 ， 让 感叹 ， 借得 一去
5,值得 一去 ， 风雨 桥 老桥 ， 风景 不错
5,还是 值得 ， 壮乡 文化遗产 ， 壮观
5,历史悠久 ， 值得一看 ， 旅游 必去 。
3,位于 广西 三江 风雨 桥 ， 横跨 浔江 之上 ， 侗寨 风情 、 侗族 历史 建筑 代表作 ， 值得一看 。 三江 一景 ！
4,少数民族 最具 特色 文化景观 ， 极具 视觉享受 与 实用 并存 设计
4,这个 桥 看着 非常 漂亮 ， 桥 上 溜溜 看看 ， 非常 不错 一件 事
4,程阳 风雨 桥 相比 不管 名气 还是 历史 底蕴 还 欠点
4,很 特色 县城 公路桥 ！ 晚上 夜景 很 不错
4,这里 值得一看 ， 名族 特色 风雨 桥 很 不错
3,三个 字 脏乱差 ， 下次 不会 ， 一般般
5,三江 风雨 桥 ， 号称 四大 名桥 之一 。 开车 溜达 一圈 儿 赶脚 还 不错
3,基建 未 做好 ， 还 发展 ， 好景 但 不值
