评分,comments
5,1 、 三江 大 侗寨 核心 景区 ， 新 县区 ， 连接 多耶 广场 ， 侗族 鸟巢 什么 ， 非常 值得 一游 ！ ！ ！ 2 、 门票 15 元 ， 虽然 只能 上 4 楼 ， 觉得 必须 进 ， 原因 下 一条 ～ 3 、 02 年 新建 ， 但是 用 传统工艺 ！ ！ ！ 整栋 楼 不用 一颗 铁钉 ！ 大家 可以 图 ， 细节 之美 淋漓尽致 ！ ！ ！ 4 、 交通 很 方便 ， 毗邻 游客 集散地 ， 设施 齐全 ～
5,三江 鼓楼 很 美 ， 尤其 晚上 亮灯 时 。 虽然 新 建筑 ， 但是 按照 侗族 传统工艺 建 ， 棒 ！ 应该 进内 参观 ， 很 壮观 。 鼓楼 紧贴 月亮 街 ， 但 几层楼 高差 ， 鼓楼 高 ， 月亮 街低 ， 台阶 相连 。
5,乡 风俗 只 为 一楼 楼下 只为 等 侗乡 民俗 非常 独特 ， 每组 必有 鼓楼 ， 当然 族群 越是 规模 ， 鼓楼 宏伟 ！ 来到 三江侗族自治县 这里 可以 来 看看 得 登 鼓楼 不需 买票 ， 附近 停车场 收费 ， 但是 好难 找 停车位 ， 不过 广场 上 拍个 照 还是 很快 ！ 作为 三江 侗族 最大 鼓楼 留个 影赞 ！ 【 景色 】 【 性价比 】 【 趣味 】
5,三江 鼓楼 位于 广西 柳州市 三江 县多 耶 广场 附近 ， 主体 为 全 木结构 ， 总高 42.6 米 ， 共有 27 层 瓦檐 ， 飞阁 重檐 ， 2002 年 11 月 由 当地 著名 侗族 民间 工匠 杨似 玉 为首 民间 楼桥 师傅 队伍 携手 建造 而成 ， 整栋 楼 一颗 铁钉 没有 用 ， 挺不错 ， 突出 侗族 特色 ， 登楼 走 走 看一看 ， 非常 值得 推荐 。
5,景点 值得一看 ， 侗族 村落 鼓楼 结构 很 独特 ， 侗族 工匠 真的 很 水平 ， 整个 鼓楼 没有 金属 钉子 ， 内部 柱子 横梁 错落有致 ， 一层 一层 牢固 镶嵌 一起 ， 高高的 竖立 寨子 中间 ， 外观 看起来 气势雄伟 ， 很 气派 ， 侗族 人民 村寨 聚会 议事 大厅 。
5,三江 鼓楼 位于 三江侗族自治县 多耶 广场 ， 集 文化 ， 观赏 ， 旅游 等 多项 功能 于 一体 。 鼓楼 60 根 柱头 着 ， 27 层 瓦檐 ， 除 楼顶 两层 外 ， 其余 层 瓦面 等距 收分 ， 层层 紧缩 ， 使 楼面 呈 金字塔 形 ， 显得 端庄 平稳 。 每层 檐角 轻盈 起 翘 ， 精巧 雕塑 以及 鲜艳 檐 板 彩绘 ， 与 庞大 ， 粗犷 楼身 形成 鲜明对比 。 登上 鼓楼 台顶 ， 三江 全景 可 尽收眼底 。 鼓楼 侗寨 标志 灵魂 ， 侗乡 第一 鼓楼 ， 被誉为 “ 世界 第一 鼓楼 ” 。
4,免费 公共场合 ， 举行 大型 活动 广场 。 有座 地标 性 建筑 而且 侗族 人民 心灵 聖地 ， 具有 民俗文化 代表性 ！ 很 值得 大家 停下来 看看 ！ 赞 ！
4,炎热 季节 来到 三江 县城 ， 县城 不是 很大 ， 江边 两排 紧密 房子 形成 三江 县城 ， 看上去 现在 建筑 差不多 ， 直到 走到 他 月亮 街 ， 才 看到 浓郁 民族风情 ， 公路 风雨 桥 ， 还有 鼓楼 ， 鼓楼 位于 它 广场 边上 ， 对面 就是 鸟巢 ， 值得 看一看 小 县城 ，
3,完 龙脊 梯田 再 顺便去 ， 没有 太 多 惊喜 ， 算是 当地 标志 建筑 之一 吧 ， 木质 结构 楼 ， 保养 得 还 可以 。 楼上 视野 不够 开阔 ， 从 缝隙 可以 眺望 江面 桥 。 附近 就是 月亮 街 ， 不远处 风雨 桥 ， 可以 一并 。 专门 认为 不必 。
5,鼓楼 三江 多耶 广场 中央 ， 高铁 站 坐 3 路 公交车 广场 站 下车 对面 就是 ， 离 侗族 鸟巢 三江 风雨 桥及 月亮 街 很 近 ， 售票处 凭取 票码 取票 入园 ， 鼓楼 全木质 结构 ， 很 高 ， 里边 只 开放 三层 ， 造型 宏伟 ， 展现 侗族 人民 高超 建筑设计 技术 ， 鼓楼 外部 装饰 彩灯 ， 晚间 开灯 非常 漂亮 ， 个 拍 夜景 好 地方 。
4,三江 鼓楼 位于 县城 中心 区域 范围 ， 对面 鸟巢 。 这是 侗族 特色 建筑 ， 其实 里面 没什么 地方 ， 但 可以 感受一下 全木 结构 ， 15 元 门票 太贵 。
4,三江 鼓楼 位于 三江 县城 浔江 河边 ， 于 2002 年 建成 ， 支撑 鼓楼 4 根 杉木 主柱 直径 均 70 厘米 以上 支 ， 三江 最高 最大 鼓楼 。 它 属 木质 结构 ， 整座 建筑 不用 一枚 铁钉 ， 形似 宝塔 ， 巍峨 壮观 ， 三江 县 标志性 建筑 。
5,参观 鼓楼 门票 15 元 ， 凭 学生证 可以 打折 ， 只用 10 元 可以 进去 参观 。 鼓楼 出于 安全 考虑 只 开放 登到 4 楼 ， 登楼 时 发现 ， 楼层 栏杆 很矮
5,上面 介绍 这个 鼓楼 真是 凝结 能工巧匠 心血 ， 没用 钉子 这样 建成 。 对面 木质 鸟巢 交相辉映 。 旁边 很大 广场 ， 大妈 跳 广场 舞 。
5,鼓楼 夜景 美 ， 所以 建议 晚上 观看 。 如果 想 进去 鼓楼 内部 参观 ， 得 白天 ， 15 元 门票 ， 套餐 13 元 。 鼓楼 里面 观看 ， 爬 鼓楼 四楼 ， 还是 挺 震撼 。
5,鼓楼 前 个 宽敞 广场 ， 对面 侗乡 鸟巢 ， 还有 公共 停车场 。 鼓楼 世界 上 最高 木制 鼓楼 ， 建筑 古朴 ， 很 特别 ， 进入 观赏 ， 成人 25 元 。
4,来到 三江 似乎 必须 逛一逛 鼓楼 前 超大 广场 ， 摆满 大型 充气 玩具 ， 以及 各式 摊档 ， 超级 人多 。 走 三江 鼓楼 ， 发现 原来 要 买票 ， 其实 门外 基本 可以 看到 楼内 结构 ， 如果 相关 专业 人员 看看 确实 值得 买票 ， 一般 只能 惊叹 古人 对 榫卯 结构 鬼斧神工 应用 。
5,三江 鼓楼 ， 位于 广西 三江侗族自治县 月亮 街 ， 于 2002 年 11 月 由 当地 著名 侗族 民间 工匠 杨似 玉 为首 民间 楼桥 师傅 队伍 携手 建造 而成 ， 集 文化 、 观赏 、 旅游 等 多项 功能 于 一体 。
5,三江 鼓楼 世界 上 最大 侗族 鼓楼 ， 整个 鼓楼 造型 蛮 壮观 ， 可以 进去 参观 爬 四层 ， 第一层 图文 介绍 ， 第三层 放 几年 鼓 可以 敲打 ... 门票 现场 买 15 元 一张 ， 网上 买 10 元到 13 元 等 ， 既然 来到 ， 建议 还是 进去 看看 好 一点 ... 爬上去 感觉 还 蛮高 ， 越 往上爬 楼梯 越 陡学窄 ， 可能 就是 开放 五楼 以上 原因 吧 ， 毕竟 安全 第一 ...
5,鼓楼 侗族 村寨 标志 灵魂 。 三江 鼓楼 侗乡 第一 鼓楼 ， 被誉为 “ 世界 第一 鼓楼 ” ， 中国 国家 4A 景区 中国 三江 大 侗寨 景区 景点
4,过 风雨 桥 ， 一下子 ， 停车 方便 ， 周边 虽说 个 缓坡 ， 车位 倒 还 多 。 可惜 时晚 ， 关门 ， 只能 外围 看看 ， 只 外观 很 满足 ， 完美 侗族 特色 展现 。
4,鼓楼 侗族 文化 标示 ， 侗族 很多 鼓楼 ， 三江 鼓楼 位于 广西 三江侗族自治县 月亮 街 鼓楼 广场 上 ， 鼓楼 设计 集 文化 ， 观赏 ， 旅游 一体 ， 尽显 侗族 特色 。
5,三江 古楼 位于 三江 县城 多 耶 广场 ！ 三江 县城 最大 古楼 ！
4,鼓楼 全木质 结构 ， 非常 漂亮 ， 夜景 更 美丽 ！ 对面 就是 三江 侗族 鸟巢 ， 坐妹 演出 ， 还有 斗牛 ， 美丽动人 地方 ， 真是 好 地方 ， 每次 新 变化 ！
4,三江 鼓楼 位于 三江侗族自治县 月亮 街 ， 鼓楼 共有 27 层 瓦檐 ， 层层 紧缩 ， 使 楼面 呈 金字塔 形 ， 每层 檐角 轻盈 起 翘 ， 精巧 雕饰 以及 鲜艳 檐 板 彩绘 ， 与 庞大 、 粗犷 楼身 形成 鲜明对比 。
5,独特 建筑风格 叹为观止 ！ 高大 鼓楼 完全 榫卯 结构 ， 不用 一根 钉子 。 四根 立柱 树龄 超过 200 年 水杉 ， 这些 水杉 以 另 一种 形式 实现 生命 永恒 ， 让 唏嘘 感叹 。 如果 对 三江 侗寨 游 感兴趣 ， 可以 考虑 坐 动车 三江 ， 目的地 攻略 柳州 地导里 找 侯祖光 地导 ， 方便 省心 惊喜 不断 ， 值得 一试 。
