评分,comments
5,十分 值得 一下 上 甘棠 这个 两千年 古村 ， 这里 古建 历 宋元 明清 四个 朝代 ， 让 领略 不同 朝代 建筑 特点 ， 十分 难得 。 村能建 博物馆 ， 更是 十分 罕见 。
5,免费 古镇 ， 能 看到 宋代 修建 寿 龙桥 和步 瀛 桥 ， 能 看到 许许多多 古民具 ， 夕阳 下 ， 一切 美如画 ！
5,上 甘棠 村 依山傍水 ， 山清水秀 。 古村落 建筑群 靠水 一边 ， 有步 瀛 桥 、 中瀛桥 等 几座 小桥 通往 河道 另一边 。 古村分 十个 单元 门 ， 与 河道 呈 垂直 方向向 后延 ， 每个 单元 内 青石板 小巷 旁是 户户 相连 古民居 。 走 青石板 上 ， 很 质朴 。
4,晨曦 古村落 ， 上 甘棠 村 古建筑群 保存 完好 如初 ， 特色 古建筑群 ， 趣味性 强 ， 非常适合 拍照 好 地方 ， 景色 不错 哦 ！ 风景优美 ， 感觉 棒棒 哒 。
4,这边 真的 蛮 多 古建筑 ， 大多数 明清 时代 留下来 ， 现在 很多 已经 危房 ， 不过 依然 可以 感受 当时 这边 历史 ， 这边 外面 挺 好 风光 ， 里面 房子 一些 可以 进去 参观 。
5,上 甘棠 村 古建筑群 ， 建筑风格 独特 魅力 ， 特色 ， 这里 适合 静下心来 ， 慢慢 发呆 好 地方 ， 还是 很 美的 ， 适合 拍照 好 地方 ， 不错 选择 。
5,千年 古 村上 甘棠 古建筑群 ， 特色 建筑 ， 保存 比较 好 ， 感觉 韵味 ， 年代 气息 ， 古朴 、 自然 、 趣味性 强 ， 静静的 玩 ， 静静的 欣赏 好 。
4,这边 建筑 还是 挺 特色 ， 有些 地方 已经 比较 古老 ， 不过 依然 保存 好 以前 一切 风貌 ， 还有 前面 小桥 不错 ， 小学 一带 最 历史 感觉 。
5,江永 上 甘棠 ， 湖南 迄今为止 发现 年代 最为 久远 古村落 ， 位于 江永县 城 西南 25 公里 夏层 铺 镇 。 上 甘棠 村 汉武帝 时代 苍梧 郡 谢 沐 县城 所在地 ， 上 甘棠 村 属于 典型 聚族 居所 形成 村落 ， 至今 ， 上 甘棠 村 仍 保留 着 明代 、 清代 民居 200 多栋 ， 具有 典型 湘南 建筑 特色 建筑 ， 因 人口 集中 建筑用 有限 ， 形成 密集型 民居 群体 。 高大 风火墙 ， 严整 纵深 布局 ， 考究 轴对称 ， 各 户均 以 天井 组合 形成 住宅 单元 ， 具有 典型 城镇 住宅 特点 。 依山傍水 ， 座 东朝西 ， 1865 大家庭 ， 至今 保存 着 清代 建筑 百余 幢 ， 精美 门庐 壁画 与 栩栩如生 屏风 木雕 令人 叫绝 。
4,上 甘棠 古建筑群 还是 值得 ， 古香古色 建筑群 ， 村前 一条 河 环绕 村庄 ， 风景秀丽 。
