评分,comments
5,山下 有个 瑶族 风情园 石头寨 ， 簸箕 宴 、 瑶族 舞曲 、 竹杆 舞 、 高山流水 ⋯ 蛮 不错 。 很 味道 。
5,第二次 来 这里 ， 充满 回忆 。 东郎山 ， 风景秀丽 ， 地处 美丽 阳朔县 以北 ， 少数 地广人稀 风景区 ， 周末 来 不是 很多 ， 一种 世外桃源 感觉 。
5,从兴坪 漓江 回来 路上 ， 看到 这座 山 。 很 像 。 后天 有人 介绍 这个 叫 东郎山 ， 另外 还有 一座 西郎山 。 他们 应该 远远 对视 ， 虽然 看不清楚 容貌 ， 但 那种 凄凄切切 感觉 还是 很 神似 。
5,东郎山 叫 仔山 。 位置 省 道 旁边 ， 旅游景点 兴坪 古镇 路上 ， 远处 看起来 确实 很 像 人站 山顶 上 ， 好像 等 远方 即将 归来 丈夫 。
4,阳朔 兴坪 镇 路上 ， 叫 福利 镇 地方 。 大马路 上 可以 看到 ， 那座 小 山上 石头 特像 站 着 ， 当地人 叫 它 仔山 ， 周边 环境 不错 ， 这个 叫 福利 古镇 值得 一游 ， 它 一种 大 扇子 非常 有名 。
5,福利 镇 公里 处 、 山形 奇特 、 形似 直立 于 此 、 故名 东郎山 、 与 西郎山 齐名 、 天公 造美于 人间 、 真是 自然 鬼斧神功 之作 。
5,还 可以 吧 ， 风景 挺 美丽 ， 挺 壮观
5,山上 突立 巨石 ， 如 人形 ， 与 隔江 西郎山 相应 ， 故名 东郎 ， 又名 东人山 ， 俗称 人仔山 。
5,开车 路过 ， 蓦然 回望 ， 真的 好像 低头 思念 恋人 情郎 。
5,很 喜欢 地方 ！ 放假 可以 带 家人 来 玩玩
5,好看 ， 后悔 ， 很赞 ， 服务 很 好 ！
5,很 好 ， 就是 船上 讲解员 特别 态度 不好 ，
5,知道 这个 景点 多 ， 确实 很 像 ！
5,点评 介绍 ， 好 想 试一下 ！
5,东郎山 景色 特别 不错 ， 环境 也好 。
4,阳朔 太热 ， 塞车 塞到 心塞 呀呀 呀 !
3,这样 地方 没什么 特色 鲜明 地方 ， 不是 很 正常 啊 。
