评分,comments
5,已经 叫 临桂县 ， 现在 叫 临桂 区 ， 被 打 造成 新 桂林 ， 未来 桂林市 中心 。 虽然 没有 老城区 那些 标志性 景点 ， 比如 象鼻山 、 骆驼峰 、 芦笛岩 等 有名 ， 但是 临桂 山水 风光 却 不输 老 桂林 （ 以 照片 为证 ） 。 临桂 区楼 高 、 路 宽 、 干净 ， 免费 新 两江 四湖 （ 叫 环城 水系 ） 山水 公园 （ 叫 中央公园 ） ， 一院 两馆 （ 桂林 歌剧院 、 博物馆 、 图书馆 ） 、 国展 （ 在建 ） 等 高端 文化 及 旅游 设施 均 设在 临桂 区 。 临桂 区 北方 不少 ， 尤其 东北 。
5,桂林 ， 只有 临桂 这个 城区 拥有 一院 两馆 、 金融 大厦 、 建设 大厦 、 发展 大厦 、 桂林 日报社 传媒 中心 、 广电 中心 、 创业 大厦 、 新 国际 会展中心 等 这么 多个 城市 高端 建筑 及 现代化 摩天大楼 。 如今 临桂 新区 内涵 与 气势 兼备 ， 绝不 输 大都市 ！ 其 中央公园 ， 继园 博园 之后 桂林 市区 又 一座 城市公园 ， 临桂 新区 乃至 桂林市 最大 公园 。
5,携程 闫导 这次 旅游 途中 工作 认真 和善 耐心 细致 ， 出外 来到 桂林 感到 在家 感觉 ， 对 老人 小孩 无比 关心 ， 办事 踏实 有条有理 深得 大家 好评 ， 此 感谢 小 闫 导游 付出 辛勤劳动 。
5,空气质量 很 好 ， 环境保护 好 ， 景色 优美 ， 两江 四湖 国家级 景点 ， 美不胜收 ， 漓江 大 瀑布 虽然 人工 瀑布 ， 但是 真是 巧夺天工 设计 巧思 奇想 ！
5,桂林市政府 市直机关 迁 这里 ， 政府 要 将 这里 打 造成 新 市中心 高标准 国际 旅游城 ， 机场 20 分钟 ， 华为 浪潮 比亚迪 等 大型 企业 这里 入驻 ， 还有 吾 悦 广场 ， 万达 广场 ， 花生 塘 等 大型 商业区 期待 临桂 新区 早日 爆发 ！
5,非常 漂亮 城市 ， 好 喜欢 这里 ， 山美水美 ， 更 美 ！ 真的 不想 离开 ， 时间 还 回来 ， 这里 太漂亮 ！ 想来 朋友 可以 加 微信 ， 我会 带 疯狂 ！
5,这里 真正 世界级 宜居城市 ， 风景如画 ， 美不胜收 ， 生活 这里 ， 有如 生活 蓬莱仙境 ！ 去过 两江 四湖 ， 漓江 大 瀑布 ， 漓江 春水 ， 独一无二 美景 ！ 让 人流 涟 忘 返 ！
5,作为 新区 ， 除了 配套 设施 差些 ， 感觉 比 桂林 要 好
4,桂林市政府 等 多数 国家机关 搬到 临桂 ， 到处 可见 新 楼盘 施工 ， 离 机场 比较 近 ， 新建 城市 ， 规划 全新 ， 道路 宽 ， 高楼大厦 鳞次栉比 ， 再 过 几年 成为 令人瞩目 桂林 政治 文化 中心 。
3,已 改成 临桂 区 。 市委 、 政府 迁 此区 。 到处 大兴土木 ， 建了 很多 新房子 新 街道 ， 俨然 成为 新 一座 新城 。 不过 ， 人不多 ， 房子 虽多 但 入住率 仍然 不高 。
5,山水 没得说 ， 太美 ！ 新区 基础设施 建设 非常 全面 ， 一院 两馆 文化 气息 相当 浓厚 ！ 喜欢
5,临桂 新城 ， 真的 很 好玩 ， 交通 便利 ， 没有 市区 吵闹 ， 再 加上 又 许多 景区 比如 飞虎 公园 ， 等 会上 传 图片 给 你们 看看 。 还有 桂林 医学院 。
4,感觉 还 可以 ， 就是 整体 环境 一般 ， 毕竟 开发 能 理解 。 与 想象 甲天下 有点 出入 ， 不过 单纯 山水 还是 很 特色 ， 不虚此行
5,山好 水好 风景 美 ， 天然 氧吧 不虚此行
5,景色 很 美 ， 真是 桂林山水 佳 天下 ， 机会 再 来 。
5,桂林山水 甲天下 ， 大美 桂林 ， 美丽 风光 ！
5,空气清新 ， 环境优美 ， 临桂 市民 和蔼可亲
5,风景如画 ， 空气清新 ， 来 第三次
5,风景 不错 不错 ， 空气清新 ， 修身养性 好 地方 ！
