评分,comments
5,广西 之 行 最大 惊喜 就是 丹洲游 。 丹洲 被 融江 环绕 小岛 ， 需要 坐船 抵达 ， 不过 ， 船程 不到 两分钟 哈 ！ 建议 站 甲板 上 ， 可以 一面 看山 一面 看水 ， 也许 还 可以 一面 想起 某个 。 船票 20 元 ， 往返 ， 算是 上 岛 门票 。 虽然 家家户户 被 开发 成 客栈 饭店 ， 但是 岛上 没有 机动车 ， 车轮 滚滚 车 声 鼎沸 今天 ， 真 可谓 世外桃源 。 岛上 特产 柚子 腊味 ， 粽子 一种 炸 完裹 上 白糖 糯米 点心 非常 美味 ， 边走边吃 ， 肚子 填饱 。 丹洲游 不足 交通不便 ， 从 三江 县 过去 要 50 多公里 国道 车程 。 所以 包车 游 三江 明智 选择 ， 如果 既 想 深度 游 侗寨 ， 又 想 感受 山水 田园 宁静 ， 就要 留出 2 天 时间 ， 慢慢 走 细细 。 可以 尝试 选择 三江 地导 侯祖光 ， 人多 时候 更 划算 更 方便 。 如果 可以 更 多 选择 ， 愿意 柚子 开花 时节 留宿 丹洲 ， 看江上 日出 ， 品 腊肉 吃 粽子 ， 乘 小船 绕岛 一周 ， 古榕 下 发呆 。
5,男朋友 一起 ， 租 个 双人 车 差不多 两个 小时 全部 逛 完 ， 风景 不错 ， 水 特别 清 ， 那天 很 开心 ， 不过 广西 好像 真的 没什么 好吃 ， 这点 挺 遗憾 。
5,很 安静 小岛 村 ， 其他 农家乐 不太 一样 ， 安安静静 。 。 没太多 繁华 商业街 ， 可以 岛上 逛逛 ， 傍晚 才 舒服 ， 吃好饭 洲头 鹅卵石 那里 走走 坐坐 ， 河边 风 徐徐 吹 来 ， 很 舒服 ！ 适合 疗伤 需要 释放 压力 游客 。
4,古城 四面 环水 ， 须 摆渡 登岛 ， 沿着 石板 街 可见 古城墙 、 古 城楼 、 天后宫 、 丹江 书院 、 古 县衙 遗址 、 闽粤 会馆 等 ， 岛上 随处可见 柚子 树 ， 还 可品尝 老 腊肉 ， 丹江 鱼 ， 喜欢 幽静 还 可 岛上 住 住 晚 ， 到处 客栈 。 乘船 返回 ， 有车 融安 ， 融安 乘车 融水 落住 住 。
5,丹洲 景区 即丹洲 古镇 ， 位于 融江 江心 小岛 上 ， 个 唯一 四面 环水 古镇 。 上岛 需 坐 渡船 ， 东岸 码头 坐 渡船 。 漫步 小岛 上 ， 可以 看到 气势恢宏 丹洲 明代 北 门楼 ， 历史悠久 明代 书院 ， 供奉 妈祖 闽粤 会馆 ， 还有 古 县衙 礼堂 等 历史 遗迹 。 丹洲 称 柚子 岛 还 很 贴切 ， 家家户户 以种 沙田柚 为主 产业 ， 门前 柚树 ， 门后 柚园 。 全岛 除了 房屋 菜园 ， 几乎 被 柚子 树 占领 。 四月 柚子 花 开时 ， 清香 宜人 。 十一月 柚子 丰收 时 ， 热闹非凡 。
4,古城 环境 不错 ， 很 干净 。 问路 时候 那里 很 热心 ， 特别 古城 路上 ， 乘坐 板江 大巴 大巴 司机 还 把 送到 景区 门口 ， 很 感谢 。 丹州 古城 油堆 好 好吃 。
4,比较 古朴 气息 岛上 村落 ， 四周 柚子 林 。 没有 太 多 娱乐 项目 。
5,柳 江河 三 江段 丹洲 四面 环水 小岛 ， 把 车子 停 路边 农家 停车场 坐船 上去 ， 10 块钱 。 丹洲 曾 明清 两朝 时期 县城 所在地 ， 现 遗留 不少 下 古迹 。 岛上 最 有名 柚子 、 腊味 。 镇上 许多 农家乐 可 吃 可宿 ， 价钱 不贵 。 小岛 大 ， 晚上 吃完饭 可以 延岛 散步 非常 悠闲 。 镇上 主要 景观 福建 会馆 、 北 门楼 、 古城墙 、 古 书院 、 东门 、 柚子 林 、 古 县衙门 、 城 皇庙 、 古民居 建筑 等 。
4,丹州 古城 属于 三江 县 境内 ， 丹州 古城 四面 环水 ， 柳 江河 上 一座 椭圆型 岛屿 。 曾经 明清 两朝 时期 县城 所在地 ， 遗留下 许多 400 年前 古迹 。 古城 大 ， 给 感觉 就是 湖中 小 村落 。 登上 岛去 发现 还是 不少 历史 厚重感 。 时间 ， 可以 看看 ， 关键 不收 门票 ， 只有 来回 二十元 船票 。 还有 停车场 居然 收费 ， 如今 景点 真是 少有 。
4,个 有些 历史 地方 ， 据说 最早 能 追溯到 明代 万历 年间 ， 曾经 府 衙 所在地 。 由于 各种各样 原因 ， 奇葩 与否 且 先 不论 ， 这座 面积 不算 很小 岛屿 始终 没有 架设 桥梁 ， 这样 ， 通行 经济 受到 不小 影响 。 有些 讽刺 味道 ， 这样 反而 很大 程度 上 保留 历史 古迹 。 直到 今天 ， 这里 仍能 感受 旧时代 光影 气息 。
