评分,comments
5,"二十元 人民币 背面 图案 景色 桂林 阳朔 漓江 83 公里 精华 段兴坪 古镇 境内 ( 兴坪 码头 对面 ) ， 兴坪 码头 附近 ， 即朝板 山到 元宝山 一带 , 当地人 称之为 佛子岩 。 景区 名字 黄布 倒影 。 兴坪 码头 上岸 处 ， 欣赏 20 元 人民币 背景图 最佳 角度 。 漓江 又名 桂水 、 桂江 ， 以 流域 孕育 独特 绝世 、 秀 甲天下 自然景观 桂林山水 ， 古人 有云 “ 江作 青罗 带 ， 山如 碧玉簪 ” ， 其 风景秀丽 ， 山清水秀 ， 洞 奇石 美 ， 驰名中外 风景 名胜区 。"
5,上 一次 打卡 人民币 背景 杭州 西湖 三潭映 月 ， 不得不 说 这些 背景 选 确实 漂亮 ， 果然 地大物博 身 大力 不亏 哈 ， 厉害 ！ 特色 体验 ： 手持 20 元 各种 拍拍 拍 ， 确实 一模一样 ， 就是 没有 碰到 独钓 寒江雪 那位 老爷爷 ， 运气 好 你们 可能 遇到 哦 。 推荐 理由 ： 这样 角度 ， 完美 诠释 何为 甲天下 ， 来 来 ， 打个 卡 吧 。 交通 ： 跟团 方便 ， 地方 道路 狭窄 逼仄 ， 根本 得 停车 地方 。 tips ： 提前 备好 20 元 哦 ， 最好 不要 折 ， 拍 出来 效果 最好 ， 如果 跟 团游 ， 导游 基本 随身带 着 供 拍照 ， 不用 担心 。
5,20230314 下午 ： 1 、 “ 20 元 人民币 背景 ” 位于 5A 景区 “ 漓江 ” 江畔 。 漓江 桂林 地标 式 山水 风景名胜 ， 桂林山水 精华 ， 1999 年版 20 元 人民币 背景 《 刘三姐 》 等 著名 电影 电视剧 拍摄地 ， 其 “ 百里 画廊 ” 般的 喀斯特地貌 世界 自然 文化遗产 ， 桂林 旅游 必 打卡 景区 ， 历史 上 留有 孙中山 、 叶剑英 、 徐悲鸿 、 克林顿 与其 夫人 希拉里 等 名人 足迹 。 漓江 属于 珠江 水系 ， 已 开发 100 公里 区域 北 起 桂林 市区 解放 桥 附近 ， 南到 阳朔县 ， 另有 一段 位于 北端 灵渠 与 湘江 交界处 ， 占 漓江 总长 214 公里 将近 一半 。 ① 地址 ： 桂林市 阳朔县 兴坪 古镇 。 ② 交通 ： 公交 直达 ， 开车 很 好 停 。 ③ 旺季 ： 无 。 ④ 用时 ： 5 小时 。 2 、 从 桂林 游船 码头 阳朔 漓江 段 全长约 60 公里 ， 单程 4.5 小时 ， 单向 无 往返 ， 所以 要 从 阳朔 乘车 回 桂林 ， 或是 自由 行 的话 将 漓江 作为 桂林 市区 最后 一站 ， 阳朔 结束 直接 北上 其它 县市 逛 。 出发 码头 两个 ： “ 磨盘 山 码头 ” （ 三星级 游船 ） “ 竹江 码头 ” （ 四星级 游船 ） 。 由于 桂林 已经 5 个 月 没 下雨 ， 漓江 已经 断流 成 几个 大湖 ， 所以 此次 没能 坐 游船 逛遍 漓江 ， 只能 携程 上 找 个 一日游 产品 坐 大巴 “ 兴坪 古镇 ” “ 兴坪 码头 ” 附近 游江 ， 绕 一圈 返回 兴坪 码头 再 坐车 回 桂林 。 3 、 兴坪 古镇 古色古香 江南 小镇 ， 最早 记载 于 三国 时期 吴国 甘露 元年 （ 265 年 ） ， 2006 年 重修 ， 1998 年 还是 渔村 时候 接待 过 美国 时任 总统 克林顿 她 夫人 、 后来 美国 国务卿 希拉里 到访 ， 目前 街道 上 青色 砖瓦 古建筑 颇 多 ， 饶有 韵味 ， “ 古 戏台 咖啡馆 ” 所在 建筑 颜值 很 高 。 漓江 兴坪 段 “ 20 元 背景图 ” 、 “ 螺狮山 ” 等 景观 。 4 、 不久 便 20 元 人民币 背景 拍照 ， 可惜 游船 停 西岸 ， 正确 停靠 位置 、 当年 拍照 点 应该 东岸 ， 所以 拍 效果 跟 人民币 背景 有些 出入 ， 公共 游船 无法 改变 。 游船 这里 停靠 时 游客 可以 登上 游船 顶 拍摄 ， 有时 别的 游船 遮挡 ， 所以 要 考验 运气 。 此处 江水 清澈见底 ， 栽有 修长 高碧翠 凤尾竹 ， 据说 1965 年 周总理 游览 漓江 时 ， 认为 岸边 有些 单调 提议 栽种 。 另外 ， 人民币 竹筏 上 老爷爷 刘三姐 扮演者 黄婉秋均 不久前 去世 ， 有些 惋惜 。
5,希望 有生之年 把 人民币 所有 背景图 走 。 一种 旅游 方式 ， 毕竟 能够 上 法定 货币 背景图 景点 ， 比较 经典 。 从 桂林 坐船到 阳朔 ， 途径 这个 景点 ， 确实 很漂亮 。 两岸 山峰 秀美 ， 漓江 江水 平缓 清澈 ， 山上 树木 郁郁葱葱 ， 偶尔 还有 水鸟 飞过 。 一些 或大或小 游船 江面 行驶 ， 画中游 感觉 。 要 二十元 背景 风景 ， 如果 是从 桂林 阳朔 ， 则 要 待 船行 过 背景图 上 山峰 ， 船尾 回头 ， 才能 看到 全景 。 从 阳朔 桂林 的话 ， 景点 船 行驶 前方 。
5,二十元 人民币 背景图 位于 阳朔县 兴坪 厄 根底 村 ， 沿着 漓江 边有 多个 观 景点 ， 可以 从 不同 位置 观看 。 这里 风景如画 ， 值得 一来 ， 而且 江边 还 可以 花 20 元 钱 竹筏 上 鸬鹚 拍照 。
5,来 阳朔 必须 打卡 景点 ， 二十元 人民币 背景图 ， 自备 纸币 ， 路上 很多 自称 最佳 背景图 地方 ， 角度 稍微 有点 不同 ， 找个 合适 拍照 可以 ， 鱼鹰 拍照 免费 ， 值得 来 一下
5,景点 位于 漓江 兴坪 古镇 段 ， 阳朔 当地 著名 古 八景 之一 ， 新版 20 元 人民币 背景图 选用 这处 风景 ， 这里 山水 相宜 ， 自然风光 优美 ， 免费 对 游客 开放 。
5,来到 兴平 旅行 ， 一定 要 景点 就是 20 元 风景区 ， 这里 20 元 人民币 取景 ， 很多 慕名而来 ， 拿 20 元 人民币 他 来 合影 。 建议 大家 如果 来 拍照 的话 ， 早点 来 来 ， 晚 可能 人山人海 。
4,二十元 人民币 背景图 位于 广西壮族自治区 桂林市 阳朔县 兴坪 镇 漓江 边上 叫 黄布 倒影 景观 ， 该处 漓江 风光 最 精华 那个 部分 。 人们 游览 漓江 必到 之处 。
4,挺 多 ， 那天 天气 有点 阴天 ， 河里 竹筏 大爷 ， 拍照 20 元 一人 ， 鱼鹰 表演 ， 人真多 ， 还有 拍 婚纱照 ， 景色 很 美 ， 就是 水 有点 浑浊 ， 有点 味 ～ ， 其他 好
