评分,comments
5,大家 知道 桂林山水 甲天下 、 阳朔 风景 美如画 。 却 知道 很小 众 很 偏僻 资源 县 。 桂林市 资源 县 ， 真的 非常 小 ， 每 景点 县 下面 乡镇 里 。 还 算 比较落后 ， 硬件 设施 不太 完善 。 公路 算 比较 曲折 。 但是 风景 美爆 。 从 桂林 出发 能 遇到 很多 歪 果仁 骑 自行车 前行 。 桂林 资源 坐 大巴 ， 差不多 两个 - 两个 半小时 左右 。 建议 县城 入住 。 一天 只 玩 景点 。 【 五排 河漂流 】 不能 带 手机 。 所以 没 能 拍摄 些 什么 。 但是 漂流 结束 ， 个 小 景点 【 石山 底 】 跟 童话 里 一样 。 清澈见底 小 河流 。 一条 河底 平整 小石子 。 河里 走走 ， 十分 有趣 。
5,穿过 一座座 大山 来到 资源 县 ， 环境 美的 不行 。 虽然 路途 有些 很 薄 。 但是 非常 推荐 小 度假 来 这里 游玩 。 五排 河 有惊无险 。 非常 好 。 不过 乡下 ， 硬件 设施 肯定 不能 大城市 相比 ， 很 淳朴 地方 。 强力 推荐 。
5,桂林 汽车 总站 乘坐 桂林 — 资源 快巴 抵达 资源 可 租车 前往 （ 30 元 / 往返 ) 。 五排 河漂流 要 比 遇龙 河漂流 来得 刺激 多 ， 这里 乘坐 皮筏 艇 ， 不但 水流 急 而且 有些 路段 上下 落差 高 ， 比较 刺激 。
4,小时候 课文 桂林山水 甲天下 ， 一直 记在 心里 ， 这次 终于 带上 小朋友 桂林 来 玩玩 。 桂林 最后 一天 选择 漂流 为 这次 旅行 画上 句号 ， 漂流 风景 太美 ， 一定 要 来 体验 。
5,五排 河漂流 乘坐 橡皮筏 ， 一部分 河段 落差 很大 ， 非常 刺激 ， 漂流 者 浑身 被 水 浇湿 ， 甚至 漂流 中需 水流 较 缓处 将 橡皮筏 翻身 以 排出 筏内 积水 。 此外 ， 五排 河 沿岸 石头 各具特色 ， 值得 欣赏 。
4,从 桂林 走 高速 ， 要 一个半 小时 ， 资源 可以 租 出租车 。 可以 坐车去 ， 下车 走路 400 米 ， 一路上 景色 不错 ， 盘山路 ， 只是 一条 船要 至少 五个 ， 如果 散客 ， 不到 五个 得 买 五个 票 才能 漂流 。 终点 距离 出发点 很 远 ， 要 自行 研究 安排 好 交通工具 ， 可以 咨询 当地 旅行社 ， 或者 出租车 了解 散客 中心 拼好 人数 再 出发 ， 以免 浪费时间
5,2020 年 7 月 下旬 将 资源 县 五排 河 四人制 漂流 世锦赛 。 这边 风景 很 好 ， 漂流 有惊无险 ， 非常 值得 推荐 。 一行 7 一条 船 ， 船上 一头 一尾 两个 水手 撑 橡皮艇 ， 一路上 欢声笑语 ， 漂流 大概 70 分钟 。 开车 大概 8 点 10 分到 ， 从 资源 县到 码头 很多 弯道 ， 一段路 特别 不好 走 ， 地盘 低 还是 不要 驾车 吧 。 小 巴士 码头 。 从 码头 上船 ， 漂流 大概 70 分钟 ， 上岸 坐车 25 元 ， 包了 一辆 面包车 120 元 ， 大概 30 分钟 回到 码头 。 嗯 ， 更衣室 卫生间 ， 上岸 还有 淋浴 。 很 方便 。 漂流 过程 没有 那么 多 惊险 ， 两岸 风光 非常 好 ， 还是 很 值得 玩
4,来 桂林 只 游 漓江 ， out ， 来 桂林 一定 要 漂流 ， 而且 漂流 资源 特别 多 ， 各具特色 ， 不能 错过 漂流 可以 美景 亲密 接触 ， 嘿嘿
5,这个 太棒了 ， 完全 心头 好 呀 ， 给 大家 疯狂 安利
4,这个 漂流 交通 十分 便利 ， 离 桂林 约 一个多 小时 车程 。 这里 漂流 游客 还是 比较 多 ， 值得 游玩 。
5,"桂林 漂流 地方 好几个 , 这个 可以"
