评分,comments
5,侗族 美食 桂北 地区 民间 传统 食物 。 如今 柳州 融安 三江侗族自治县 一带 ， 仍然 保留 着 腌制 酸 鱼酸肉 传统 。 簸箕 宴是 侗族 传统 特色 ， 以其 咸中 带鲜 、 酸辣 带甜 独具特色 ， 家家户户 必备 一道 美食 。
5,桂林 很多 古寨 ， 龙潭 古寨 ， 侗族 村寨 ， 村寨 并不大 ， 寨里 特别 热情 ， 漫步 其中 ， 听听 他们 讲述 习俗 ， 看看 他们 世界 ， 挺 好
4,落锁 大门 见证 侗 家人 信仰 — — 萨 崇拜 ： 侗族 家人 不许 偷 ； 枯井 ， 古香古色 石板 小巷 ， 灰白 青砖 墙 诉说着 侗族 历史 ， 侗族 文化 ， 让 走进 他们 家里 做客 ， 真正 了解 侗族 这个 少数民族 民族 文化 ， 感受 村民 古老 、 恬静 、 悠慢 生活 。
4,观光 村 （ 约 50 分钟 ） ， 落锁 大门 见证 侗 家人 信仰 — — 萨 崇拜 ： 侗族 家人 不许 偷 ； 枯井 ， 古香古色 石板 小巷 ， 灰白 青砖 墙 诉说着 侗族 历史 ， 侗族 文化 ， 让 走进 他们 家里 做客 ， 真正 了解 侗族 这个 少数民族 民族 文化 ， 感受 村民 古老 、 恬静 、 悠慢 生活
5,靳导 热情接待 ， 线路 安排 合理 ， 服务 很 周到 ， 谢谢 ！
2,如果 给 这里 所有 项目 排名 的话 ， 倒数 第一 非他莫属 。 这里 就是 个 银器 推销 点 。 古寨 ？ 齐刷刷 新木 房子 ， 说 刚 从 山里 迁出来 ， 但 除了 给 游客 们 讲解 年轻 “ 侗族 导游 ” 外 ， 老人 小孩 没 见到 ， 给 讲解 侗族 习俗 核心 就是 最后 领 “ 合作社 ” 。 说 神奇 银器 配合 下 养生 治病 偏方 刚 开始 还 想 试试 ， 但 回过 神后 推销员 的话 能行 吗 ？
5,物品 偏贵 ， 景色 没有 ， 民俗 风 不错 ！
1,卖银 窝点 ， 推销 技术 太 差 ， 天气 太热 ， 景区 里 跟 撒哈拉沙漠 差不多 ， 民俗风情 很 好 ， 热狗 很 好吃 ， 新型 销售 中心 ， 创意 很 好 ， 很少 ， 空旷 ， 适合 闲着 无聊 瞎 几把 逛 ， 垃圾 战斗机
1,行程 里 说 “ 少数民族 观光 寨 ” ， 跟 之前 网友 点评 一样 ， 就是 推销 银器 ， 说 银 水杯 对 身体 好 ， 银 梳子 刮痧 ， 还 说 单价 便宜 ， 990 - 999 成分 ， 18 - 28 元 等 。 但是 桂林 机场 990 只有 17.8 元 / 克 ， 市区 商店 更 便宜 。 还有 非常 严重 问题 ， 寨子 里 东西 一口价 ， 连 分量 秤 标注 价牌 表上 。 这样 对比 ， 显然 贵 很多 。 旅行社 还 说 无 购物 环节 ， 这个 景区 自营 ， 但是 只有 那天 导游 每人 发 吊牌 ， 标有 号码 导游 名字 ， 购买 时要 登记 。
1,非常 值得 ， 就是 个 推销 银器 地方 ， 他们 全是 搬迁 出来 ， 没有 原来 古寨 味道 ， 天气 又 热 ， 出来 路 卖东西 ， 兜兜 转转 ， 逛 心烦 ， 如果 真心 人文 的话 ， 建议 老 寨子 ， 安静
1,真的 不敢恭维 ， 网上 说 免费 坐车去 ， 之后 收费 50 元 半折 25 。 拍张 照片 ， 果断 返回 ！
1,卖 银器 地方 ， 让 购物 。 时间 太 长 ， 建议
1,就是 银器 推销 窝点 ， 没有 什么 好 ， 比较 坑
1,什么 银器 什么 ， 千万别 信 ， 很 无聊
1,个 坑人 地方 ， 就是 为了 让 买 东西 ， 看到 旅友 ， 谨慎 避坑
