评分,comments
5.0,“一山一幅画，一水一段情”，在千古情景区身临其境的体验一场桂林文化盛宴，一场震撼的沉浸式视觉盛宴~!这里不仅仅是一场表演，这里是一个集演出、商圈、景点于一身的综合园区。这里所展现“阳朔烟火味”异常浓烈，不愧是“一生必看的演出”。千古情是室内演出不太受天气影响，并且除了主秀演出外，里面有不少特色街区、儿童玩乐区食，很适合带小朋友游玩。阳朔古村、奇妙街、3号秘境、4号港湾互动表演、儿童戏水池、非遗文化遗产体验、民族快闪表演，各种换装民族服装、汉服等等，更显广西民族特色。真正做到老少皆宜，晴雨皆宜。 收起へ
5.0,桂林千古情景区真的太棒了！从精彩绝伦的演出到充满民族风情的建筑，每一处都让人陶醉。演出场面宏大，演员们的表演精湛，将桂林的历史与文化展现得淋漓尽致。景区内的美食街也让人回味无穷，特色小吃应有尽有。这里是了解桂林的绝佳之地，强烈推荐！
5.0,阳朔除了看山看水，还有一个景区也值得推荐，这就是桂林千古情。虽然不少城市有千古情景区，但都有属于自己的特色。桂林千古情景区位于桂林市阳朔县千古情大道，是一个集演艺、文化、娱乐、购物等于一体的综合性旅游景区。该景区由宋城演艺和桂林旅股联合打造，旨在再现桂林的历史文化与民族风情，适合所有年龄段游客，无论是家庭出游、朋友聚会还是情侣约会都是一个不错的选择 此外，还有许多免费娱乐设施和拍照打卡点，如巨型歌仙造像、风雨廊等，为游客提供了一个舒适的环境。
5.0,景区可太好玩了！很适合打卡拍照，有好看的民族小哥哥小姐姐在这里一起玩，可以和他们合影哦！我们看的是晚上的场次，^_^看到了水上飞人表演和打铁花，气氛很好很舒服，就是外面有点热，但是景区里面有几个场馆是有空调的，有一个美食广场、鬼屋和虚拟空间，剧场也是有空调。千古情演出很好看，上天入地，舞台上还能划船🚣‍♀️
5.0,到了阳朔酒店老板推荐的抱着试试看心态来到了千古情，门口大大的雕像大气磅礴感觉不枉此行 桂林千古情是一座集自然景观和人文景观于一体的旅游胜地。还有丰富多样的民俗文化，不仅有精彩绝伦的内场演出可以看，还有各种各样具有民族特色的外场表演，主秀千古情更震撼灯光威亚水👍👍👍真是一生必看的演出。
5.0,在桂林千古情玩了一天了，就来说说游玩的感受吧，首先很喜欢里面的氛围，既宁静，又热闹，有千古情演出的时候，剧院外都是比较安静的，可以散散步，吃吃阳朔古村里面的小美食，也可以到湖边看看风景，聊聊天，也可以在沙滩上躺上一会，一到了晚上，特别是演出散场的时候，里面就像是唐朝的闹市中心一样繁华，又犹如一场灯光秀， 同一个地方像是不同的世界，真的是绝绝子！
5.0,桂林山水甲天下，一场由宋城演艺和桂林旅股共同打造的千古情景区，来到这里能够体验到民族风情特色。无论是灯光特效还是演艺效果，都非常出色。相聚即是缘，阳朔古街的民族盛装和快闪秀，都能让游客共同参与互动。一场歌舞演出，更让大家感动惊喜。走进园区，氛围一下红火起来，虚拟空间处的长龙队伍，更是能给大家带来完美的体验感。紧张又刺激的鬼屋环境，大家纷纷赞美，来到这里，吃上一碗桂林米粉，诠释了米粉传情的故乡。许愿长廊的点滴留言，更是表明大家对美好生活的向往和对爱情完美的归宿。
5.0,桂林千古情景区是一个大型演艺公园，门口的巨型歌仙造像气势宏伟，与桂林山水融为一体，是八桂大地真善美儿女的化身这里位于阳朔千古情大道，从最热闹的西街坐车过来大概五分钟即可抵达，进入景区便会发现这里包含了吃喝玩乐所有的项目，小孩子能玩的也特别多演出也非常震撼很赞!
5.0,桂林千古情推荐! !来桂林，这么好山好水的地方，除了闲逛当然还要深度体验一下文化内涵啊~桂林千古情居然成了我对阳朔旅游的惊喜点，演出很震撼、景区内容也很丰富，除了剧院里面的舞台大秀，建议大家关注桂林千古情公众号跟着里面的景区节目单看看其他的表演时间，互动感很强哦!有一说一，桂林的演员可真是好看，山水养人啊~
5.0,千古情 来桂林应该来看看玩玩特别有意义.剧情运用了生.光.电.等高科技手段和舞台机械.唱响八桂大地穿越时空的真善美传奇.讲隐藏在漓江山水下的八桂文化带进大家的视野.再现一段三生三世的桂林绝恋.演出非常精彩.演出有《远古的呼唤》.《大地飞歌》.《米粉传情》.《靖江王府》.《刘三姐》等等.看完演出后景区还有很多小吃.拍照打卡点.外场非常丰富.看了非遗打铁花.最后还参加了泼水狂欢.一票玩到景区闭园非常值得.真的是应了那句广告词.给我一天.还你千年
5.0,带着孩子来阳朔，经朋友推荐来看了千古情，大型千古情演出是在室内的，早晚都不会影响演出，整场演出都很震撼，在舞台上可以看到瀑布。阿牛哥和刘三姐坐乘着竹笺在水中唱山歌。看完演出，带着孩子去3号秘境玩娃娃机。里面还有孩子们喜欢吃的各种美食。总之，来千古情不会让你失望。
