评分,comments
5.0,"先说不好的，三星四星定的人很多很翘，要想坐大船必须提前定，而且不给定时间，先到先得出船时间。要求早上九点前到达，我们一行12人，8:20就到了，却已经轮到9:30了。第二，我想说的，如果不是我出船前天打电话问客服，也不知道要几点到达，反正我没收到短信，问客服要了电话，联系旅游团导游才告知到码头后找谁。第三，8.22坐船拿票的时候，旅行团给票到三个女的正在吵架，还有一个男的，态度不好，直接把票扔在桌上，好像欠她似得。 好的方面，船上服务员比较客气，有个导游专业船上拍照九年了，有套路，会说话，我们四户人家都主动拍照，一本相册八张七寸照片，一百元。然后前二个小时都在二层和三层甲板上等拍照，被晒黑晒红了。一会儿全家拍，一会儿男士拍，小孩拍，反正忙的不亦乐乎，都忘了看风景。服务员介绍两边风景，也不太听的清楚。船上卖小碟菜，漓江虾，螺丝，35一盘，古镇才10元，贵的要死。中午的航空餐，左边玉米，右边甜豆牛肉粒骚，二个肉圆，还有一点辣酱，米还不错，把饭和肉圆辣酱吃了，其他不好吃。9:30出发，到阳朔1:30,到岸上等相册，还是套路，怕你偷藏照片，说要付钱消磁，没有消过磁的出去会嘀滴叫。结果相册加照片足有三四十张，还好我定力强，怎么减也还是留下了15张，付了170元。结果四户亲戚相册，有一张集体照，就我家的居然相册里没有？ 不过，桂林山水，漓江风景的确漂亮，山峰连绵。"
5.0,"还不错～～上船之前可以买小吃，花生鸡蛋红薯板栗还有水果那些，价格还算合理，可以带上船吃。船上东西挺贵，没买，照片一册八张一百块，觉得没必要。船上干净，座位舒服，有茶喝，比较随意，可上二三层看风景。景色不错,空气清新，今天天气好好！很幸运。难得来一趟坐坐船还是值得！"
5.0,来到桂林不游漓江不算来过。果然名不虚传，群山环抱，绿水相拥。各种各样的奇山异水惹人陶醉，我们订的是豪华仓二楼，还可以上三楼观看和拍照。太空餐也还可以，小孩子很喜欢！
5.0,桂林最有意思的景点，全程4.5小时，讲解细致，服务也可以。风景很美丽，船上设施也比较高档，坐着很舒服。票统一在导游手里，想要二楼的多加50元，其实楼上楼下价格一样，但是游戏规则就是这样，没办法。不过楼上多了50元还是很值得。尤其有小孩的。可以享受私家甲板，要不然其他的甲板人太多了，拍照都找不到位置。船餐也可以。值得一游。
5.0,游船挺好.看到的漓江很美.景色怡人.船也很舒服.船上的泡茶美女很专业.人也很好.很热情.游船安静.舒服.全程空调.不错真不错
5.0,四年前去漓江选择了四星游船，用官方小程序i游漓江选的上舱票含餐，获得了很好的体验。疫情后暂时只支持线下购票且磨盘山公交专线也没在运行，因此借用旅行社大巴加船票套餐是必要的选择。本产品价格实惠，三星游船比四星人稍微多一点不含餐，但是由于行程足够长，顶部甲板足够大，容得下船上100人轮流上顶板。性价比其实比四星船高很多，乘坐体验差不了多少。毕竟四星以前是对外宾的定价偏高。本产品的价格和官方船票价格相似，基本上就等于送了一个市区到码头的大巴送站。出发时间在8点左右时间合适。车上有导游会介绍，包括阳朔旅游要点，这就跟听老师讲课一样，如果做过攻略会发现导游介绍的很对。车上有轻微推销，不买也没关系，但其实价格并不贵。另外旅行社可能会赚一个升级上舱的差价，上舱比较小坐30人，下舱坐70人。船开了一刻钟下舱就有80%的人都去顶板了。其实大可不必，再美的景色也会审美疲劳，等船里导游说第一段风景来了再上去即可。第二段风景自己拿百度地图看着点，过了杨堤，以及九马画山黄布倒影兴坪那一段在上面多站一段时间最佳。有些人前2小时舍不得下来，海风吹着到后来站累了，匆匆地错过了兴坪那一段。
5.0,研究了半天决定在网上买的票，早上7点多旅游社车来接，一路接别的游客，导游服务很好，最后快到码头开始卖产品，买了一套罗汉果一百，价格都差不多。淘宝也有。导游忽悠要升仓位到二楼50一个人。大部分都是带老人孩子的都买了。我们两个人没买。到了码头，导游让我们两个买便宜给我们25一个人升仓。我们闲的没事去窗口问了一下，二楼票价，和一楼一样245。售票言，价格一样，买到什么算什么，最后都到三楼观景。想想那一车，导游拿了有2000.3000千块钱。总而言之，网上买的票就不要升仓。自由行的完全可以自己打车或者做公交车去码头自己买票，都来得及，我们是十一黄金周出发，早上7点出发，来到这买的10点的船票，还要等半个小时，大家自己决定吧。很少写评论，这次觉得这个很有用，特意写出来~希望大家玩的开心。
5.0,我已经是第三次游漓江了，不过前二次都是精华游，这次是全程。早晨7:00车到桂林北站附近酒店，然后一路接客后去磨盘山。10:30登船开始畅游漓江。给几点建议吧:1.不建议听导游忽悠办理50元/人升舱！因为途中大多数时间大家都会在船顶拍照，升舱意义不大；2.不建议从导游手中买桂林特产！价格翻倍不说，桂林满大街都是特产店，上哪儿买不行啊？当然不差钱和愿意一路背着石头上山者不在此列；3.如果自己摄影技术和器材不够精良，建议请船上摄影师拍照。虽说小贵，150元一本10张!但留下一段永恒的纪念，还是值得的！4.不建议游漓江后，跟随导游继续游银子岩，加120实在不值；5.如果时间充裕，在阳朔留一夜，领略一下西街风情，应该不虚此行；6.如果准备第二天游龙脊，那就先回桂林；7.游龙脊建议包黑车游，普通五菱宏光也就400元，可以去7个人，相当于自驾游了！人多算下来比跟团便宜很多!关键是省心，方便，不堵车想去哪去哪；8.桂林山水已被一条完整的利益链捆绑，如果是要算经济帐的旅行者，请一定要在家多看攻略，做好准备再出行，省钱省心省力省时间；9.能够看到这里的，都是我的亲人，祝你们旅途愉快欢声笑语开开心心。
4.0,携程订的，330元，两岸漓江风景很美，天气太热了，午餐吃的是像航空餐一样，牛肉和鸡肉的，味道还可以，船上服务员态度好，做事负责，总之这次比较满意吧！
5.0,携程上订的漓江三星游轮，从桂林到阳朔。起了个大早，大巴来接我们时是六点五十，车上才只有几个游客，然后，车就载着我们在桂林市里兜兜转转，接上一波又一波游客，这个环节大概用了一个小时。去往码头的路上，导游各种推销，各种blablabla~~~到达码头是不到九点。导游取票，发放船票，居然每户人家票上的乘船时间是各异的。我家分到的票是10:30的，站内相当嘈杂，站在人山人海，找个角落默默坐着等呗。 这时觉得没必要买此产品，如果另外想办法找车从酒店到码头，时间上肯定要节约很多，而车钱未必会贵多少。 三星游轮不错呢，空间宽敞，有空调、窗帘。沙发挺舒服。午餐的盒饭虽说简单，米饭品质不错，菜也不至于不能下咽。 想上到二楼三楼夹板去看景拍照，随时可以。想休息了就回到座位～～ 一路上看水波粼粼，凤尾竹摇曳，山峰变幻无穷，听工作人员介绍～～也不觉得四个多小时的航程很漫长。
5.0,11月游漓江，如诗如画般的风景，像是在画廊中漂流，美不胜收。似影似现的群山，如俊马如倩女如仙童如神笔，让思绪随美景奔流，亦真亦假。期待着下一次重游这人间仙景。
5.0,广西的漓江是桂林景色重要组成部分，乘船航行在漓江之上，满眼绿水青山的景色让人目不暇接，感叹大自然很大的造化和人们对美无限的想象力和暇想。
3.0,说实话景色确实不错，从头到尾都不想座在船舱，在甲班看风景真的很舒服。但这个船推销完吃的，推销照相的，推销香水，真的很吵，从头吵到尾。那些个照相的带着人上蹿下跳，拍照地就把人赶走给那些人照相。虽然照相确实很便宜只要100元，但是真的很吵很乱，全程就是听他们喊着嗓子叫人拍照。如果能去掉拍照的，让大家安安静静欣赏景色，就好了。反正我下次来绝对不坐船了，做个车去阳朔后在遇龙河租个电动车走走停停好好拍照真的非常安逸，风景真的美，比船上的景色好看。桂林景色确实好，但是由于只有旅游业，想着法子赚旅客钱，这样只会导致没有回头客，是得不偿失的。 ps:前面4张在船上拍的，后面都是在遇龙河随便拍的。
5.0,可以在公众号漓江售票处上购票，出发前一天还可以选座，船上盒饭可选可不选，有免费茶水，市区去码头打车方便些，上船一开始会推销漓江鱼套餐和拍照套餐，行船过程中要到景点会广播通知提醒，风景是真的很好，也省去了单独去兴坪古镇
5.0,非常适合拖家带口去从桂林去阳朔！三星级游船性价比超高！船体宽敞有空调，大窗适合观景，座位宽敞舒适，有卫生间和盥洗设施，船上服务周到，有免费茶水，另有餐食小吃可购买，价格适中。一楼和二楼区别不大，因二楼的甲板可供所有乘客观景。 关于购票，非常感谢各位达人分享经验！如果要选择靠近中午的时段，比如10:00/10:20/11:30班船，可直接在微信公众号“漓江售票处”订票。如果是2位及以上同游，可直接从酒店打车去码头，车程45分钟(堵车可能60分钟)，乘接驳车太浪费时间了！另外，如果已提前购票，提前20分钟到码头即可。
5.0,这个票好值啊 枯水期船比较慢 大概行驶了5个小时。座舱是比较豪华的 中午的午餐也还不错 最主要的是船舱内出售零食和饮品 有喝下午茶习惯的朋友就方便很多了 漓江全段游 我正好赶上下小雨 真的是烟雨漓江 外加甲板上人比较少 江中吹风真的好爽
5.0,2017年9月21-26日在携程网购买了《桂林+阳朔6日自由行·悠闲自得·细细品味 赠接机》套餐，游玩了桂林阳朔两地。23日，在携程网购买了《漓江三星游船一日游【2号车+20元人民币背景图+游船观光】》；“桂林山水甲天下”——畅游漓江，两岸山峰伟岸挺拔，形态万千。舒适的游船，美味的午餐，休闲的畅游，值得称赞：漓江我爱你！
4.0,三星级船比四星级船票便宜不少，差别在于舒适性和餐食。其实三星级船舒适度也很高，都是沙发椅，吃的也很不错，盒饭的口味很好量很足。两种船走的路线都一样，景色方面没有差别。四星船数量少，票不好订，三星船比较多，票容易订到。
5.0,来桂林漓江必游，个人觉得只游杨堤到兴坪就可以了，全程花钱多，意境差不多。我们游得从桂林到阳朔，全程四个小时，船舒适，餐也不错，没其它网友说得那么难吃
5.0,游漓江还是坐漓江游船的好，带着行李也比较方便，三星船就很干净舒适了，皮质软座椅，免费茶水，挺棒的。 精华游的竹筏是电动的，而且旺季的话，筏与筏离得很近，基本没发拍照，游船高视野好，拍照很出片，而且还有免费讲解，物超所值
5.0,携程网，游船245元，包送码头 桂林市区到码头要一个小时车程，路上一路接人。 游船上大概4小时，尽览漓江两岸风光。 阳朔上船后可游览周边景点。 如果要返程回桂林的，回程车时间不固定，上车站点不固定。或者，只能自己包车回桂林。
5.0,【山美、水美、人更美】 好山好水不多说了，特别感谢一下游船团队。 拖家带口一行人乘坐游船顺江而下，景色美不胜收，一切堪称完美。 唯一美中不足是自己下船时，不慎把婴儿推车遗忘在了船上。没有了这车子，带娃出去逛就不那么方便了，难免有些沮丧。 抱着试一试的心理，到宾馆后拨打船票上的服务投诉电话，客服人员很客气地登记好信息，并表示联系一下游船后给我反馈。 不久后我们乘坐游船的工作人员电话过来了，说我们一下船他们就发现了落下的婴儿车，还到岸上等了一会也没见我们返回寻找，目前东西已随船会桂林了。简单商量了一下，他决定明天给其他的船再从桂林给我捎到阳朔来，并发了一条短信告诉我们新船的陈姓船长电话。 及时联系了陈船长电话，依旧就很热情，和我确定了第二天的交接时间和地点。船比预定时间晚到了半个小时左右，期间船长还及时告知我晚点信息。有个游轮停靠完毕后，船长亲自把小车交给了我，并嘱咐了一句“出门请多小心”。 他实在太忙了，一船游客的安全都当在他的身上责任很重，我只是简单地表达一下谢意，然后远远的拍了两张他忙碌的身影。一腔谢意，只能化作在携程订单中的一段好评了…… 在此，也对游船团队（包括后台客服系统和前后两条游船）的服务表示感谢，你们是桂林旅游的名片！山美、水美，人更美！
5.0,如果不是冬季的枯水期，该船可直接开至阳朔。一路上能看到许多形态各异的山峰，第一次见到喀斯特地貌的人应该会很惊奇吧。在碧绿的漓江上荡漾，享受着沁人心脾的山风，此次旅行别有一番风味。另外，船上的午餐感觉还不错，菜品种类蛮多的。总之，这个游船是很有必要坐一次的，毕竟20元人民币背面就是这条漓江上的美景
5.0,今天刚游玩完，第一次带父母来桂林玩，游了漓江精华游，值得庆幸是在携程提前预定了票，服务真是太好了，今天安排司机来酒店接送码头的，去了以后，有漓江工作人员给取票，安排好，登船就可以了，而且，我们直接上的二楼，没有办理升舱呢，太幸运了，三星游船高大上，工作人员服务好。爸妈玩的很开心，棒棒哒！
