评分,comments
5.0,芦笛岩景区位于桂林市西北的桃花江畔，距离市中心大约5公里，是漓江风景名胜区的重要组成部分。它在1982年11月被国务院公布为第一批国家重点风景名胜区，并且在2000年被评为国家首批AAAA级景区。 芦笛岩以其壮丽的钟乳石、石笋、石柱、石幔和石花而闻名，这些天然的地质奇观形成了如“狮岭朝霞”、“高峡飞瀑”、“原始森林”、“水晶宫”等多个景点，被誉为“大自然的艺术之宫”。洞内保存有自唐贞元八年（792年）以来的壁书70余则，显示了其悠久的游览历史。 景区特色包括： 洞内天然形成的钟乳石，线条丰富流畅，配合灯光效果，创造出各种意境。 4D奢华视觉秀，利用洞内穹顶天面，为游客打造从冰川世纪到海底世界的奇幻场景。 高端商务路线，包括观光电梯、VIP接待室，提供远眺芦笛景区的美景和茶艺体验。 芦笛·天籁之音酒会，集音乐灯光美景美食于一体，适合企业公司、单位、旅行社的客户答谢和奖励旅游。 芦笛岩的开放时间是09:00-17:00，门票价格为成人票90元。游客可以乘坐市内公交3路、213路直达景区，或者自驾前往，景区地址是桂林市秀峰区芦笛路1号。 游览芦笛岩时，游客可以享受免费的中文导游讲解服务。由于洞内阶梯较多，地面可能湿滑，建议游客穿着适宜的旅游鞋，并注意安全。
5.0,门票通过网上购买会便宜一些 但是一定要提前一个小时买好 否则不能马上入园 停车场下来走进园区大概10分钟 旁边有小火车可以直接坐到景区 35一位 小朋友觉得好玩可以坐一下 别的真没必要 景点风光很漂亮 全程有导游讲解 需要一些想象力 值得一游的景点。
5.0,桂林芦笛岩景区商场强买天价药材，打粉后重量也变得增加！找景区投诉，商场里悬挂负责人是商场老板， 与景区互相勾结投诉无果。望买药材的朋友去桂林七星公园后面灵剑路看看绝对一毛一毛样！或许货更好！他们都是去那批发！包装推销就翻千百倍的卖给游客！真给桂林旅游抹黑！ 有类似经历的朋友希望一起投诉举报！芦笛岩景区的投诉电话也是串通一气！估计市里的也是打好过关系！希望广大爱好旅游朋友不要上当受骗！
5.0,旅游日记 8月15日，大雨滂沱。 用过早餐，驱车两刻钟许，即到了桃花江畔的芦笛岩。 桂林拥有五张享誉中外的旅游名片：即一江（漓江），一山（象鼻山），一峰（独秀峰），一洞（芦笛岩溶洞），一塔（日月双塔）。今日要游览的就是桂林的一洞——芦笛岩。 芦笛岩的入洞口在山的高处。我们停好车，便沿着蜿蜒的山路拾级而上。 芦笛岩溶洞的入口很小，仅有几个平方。但进得洞来，却忽然开朗，别有洞天。跟随解说员的脚步，看到溶洞千姿百态的景象，突然彻悟了什么叫鬼斧神工。整个溶洞，就像大自然向人们展开的一扇扇精美绝伦的画屏：这里是群猴戏山，惟妙惟肖；那里是狮吼朝阳，威猛雄强；左边是皑皑雪原，茫茫林海；右边是农家秋院，稼穑盈庭；这厢比似富家雅居，床幔垂苏，圆帐空悬；那厢酷肖峰高水远，云烟千里，关山万重……游到半程一处所在，似乎十分眼熟，但一时又想不出一个计较来。听讲解员一说，恍然大悟，原来这里就是电视剧西游记中著名洞景的拍摄地。据考证，此处的钟乳石，速度快的，一百年能生长20多厘米，速度慢的，一百年仅能生长零点几毫米。 芦笛岩溶洞的奇绝壮美，瑰丽阔大，非语言所能描绘。因洞内条件所限，拍摄效果很差。只有身临其境，才能享受视觉的、感觉的、心灵的震撼！
5.0,很棒值得一去，里面又凉快，看得我眼花缭乱，照片体现不出它的美，对了里面有个附属的小洞说是看乌龟，五块钱，可以不去，不建议去因为真的没什么可看的，把巴西龟和一些热带龟放在那么冷的水里也是够了，想圈钱想疯了，还有进去的时候会有卖明信片的，15块钱3张，不要买，因为出去的时候后门有卖15块3套的我就被坑了。
5.0,非常好的景点，关键是导游讲解的非常好，每个关键景点都讲解的非常清楚，导游口齿也非常清晰，不愧是接待外宾的溶洞景区，光导游费我觉得都挺值的，比市区内随便围一座山就收费不知好多少倍，不过小火车完全没必要坐。
5.0,坐三路车到市中心，15站，但是每一站都非常短，15站半小时左右即可到达景区门口！徒步上山，十分钟，二楼换票，一分钟换完！集够20几人即可跟导游入洞游览！导游讲解很细，中间许多内容都有典故。中途还放了4D影片，形象生动！景区主要两处景点有免费拍照制作钥匙扣！放大的七寸照片20元一张，自愿选购！还有一处可以与1300多岁的乌龟喂食合影，每人收费十元，但自愿进行！导游还两次献唱山歌！ 芦笛岩，不愧为国宾岩！景色美，导游素质高！满分好评！！
5.0,芦笛岩里面的景观很漂亮和奇幻，导游会发挥强大的讲解力让你充分想象，建议一定要跟好导游，否则就只能看到漆黑的一片，什么意思都没了。里面还会有一场讲述地球的小电影看。我去的时候还有学地质方面的学生在里面学习考察，听他们讨论也很是有趣。最搞笑的是我在这看到了中国名人的到此一游
5.0,20230311下午： 1、“芦笛岩”是国内著名的喀斯特溶洞，洞内仙宫秘境和洞外山水田园，让人能同时身临其境得感受到桂林山水的里里外外，被誉为“大自然艺术之宮”，景区历史悠久，自唐代起便有文人墨客探洞，留有自唐贞元八年（792年）以来的历代壁画70多幅。近代开发的时间较早，是老版《西游记》电视剧中的“东海龙宫”和17集里的“芭蕉洞”、“摩云洞”的取景地，曾接待过美国前总统尼克松、卡特等诸多外宾，又称“国宾洞”。芦笛岩因洞口古时生长有一种可制作笛子的芦荻草而得名。 ①地址：桂林市秀峰区芦笛路1号。 ②交通：公交直达，开车也很好停。 ③旺季：无，但夏季去可避暑。 ④用时：2小时。 ⑤注意事项：洞内无信号，但有免费WiFi可连。 2、从停车场到洞口的路上，途经直升飞机场、“光明楼”（仿古阁楼，翻修中，以前是餐饮商铺）、“榕抱石”（一棵巨大的古榕树树根缠绕着巨石，也叫“兴兴向榕”，是很壮观的拍照点）、赵观文雕塑（赵观文是唐乾宁二年，即895年状元，官至翰林院侍讲，桂林籍）、各种花卉植物石景、景区山门（门口的虎、兔卡通玩偶很可爱，是拍照点）、灯笼石道后到达洞口，洞口外的新春布景还没移走，可与翠峦秀山的背景同框。栈道一侧的登山路已被封闭，另一侧会有轻轨徐徐驶过，乘坐丛林小火车到景区也别有一番风情，车票30元。 3、溶洞入口和出口离得很近，入口是天然形成的，出口是人口开凿的，游客好像是每30分钟一批，由景区免费讲解导游带领进入洞内，她手上有灯光开关，每个景观讲解完后会熄灯，以便让游客跟紧，如果没来得及拍照，可以等半小时蹭下一个团的。 4、洞内石笋、石乳、石柱、石幔、石花等景观造型奇特，每一幕以其独特的形状姿态命名，效果主要靠灯光和想象，石柱据说每50-100年才能长1cm，因此溶洞大都是有几万年历史，不过桂林已连续四、五个月没下雨，溶洞洞顶已好久没有滴水了。途经“狮岭朝霞”、“蘑菇山”、“雪人”、“瓜菜丰收”、“鸟语花香”后到达《西游记》里的“东海龙宫”，目前成为景区免费拍照平台，但是只会免费赠送一张很小的照片，大照片要花钱买。 5、第二个景区拍照平台是不远处的“水晶宫”，这里是溶洞内最大的空间广场，是《西游记》里的龙宫，身旁和头顶的钟乳石犹如一盏盏天然宫灯，一侧的小湖可呈现倒影拍照很美，把相机镜头压低接近水面会拍出最清晰的倒影… 字数超限，在最后一张图片里继续。
5.0,由各种各样奇形怪状的钟乳石而形成的巨大溶洞，也是喀斯特地貌的特有产物。有300多位领导人曾经来过这里，因此也自称「国宾洞」。除去独秀峰和象鼻山外，芦笛岩也还算值得一来。毕竟这样的溶洞是喀斯特地貌的特有产物，而相比于其他溶洞这里还算是最好最大的，毕竟很多领导人都来过这里。芦笛岩的钟乳石感觉还是不错的，灯光效果是一方面，另外还借助石壁开发了4D动画短片，在岩洞里观看还是别有一番滋味的。
4.0,我觉得桂林不错的景点之一，它不象七星岩要交2遍门票，远离城市喧嚣，景区也有免费导游，自费项目也不多，4d秀非常好看，就是进公园的火车太坑，时间短，也没有什么特别的风景，门票还要35元，走上去也不要多久，千万不要去坐...
4.0,在桂林市区的西北部，距离有点远，而且前往的路比较窄，坐公交要近1个小时。相比喧嚣的城区，这里的环境特别优美，周边的石灰岩山峰秀丽巍峨，犹如世外桃源。门票现场买有点小贵，我们那时还有多景点的套票，现在只能在携程提前预定会便宜三十了。岩洞内部不算大，但在淡季都是一批一批游客由讲解员带着进去，人走远了灯会熄灭，还是不能慢慢畅玩。石钟乳的款式以及洞内的形象没有银子岩那么丰富，不过灯光效果倒是蛮符合我口味，幽蓝的主色调很凉快，也颇能营造出神秘的氛围。或许是领导人常来的“明星洞穴”，这里的导游妹子会较其他岩洞更靓丽有气质，也算是另外一道风景线了。
