评分,comments
5.0,地点：位于桂林市荔浦市马岭镇荔桂公路东侧，321国道旁，距世界旅游明珠桂林市中心85公里，距中国旅游名县阳朔县界3公里，占地面积1500亩。 特点：1999年初对外开放，是国家AAAA级景区、首批“桂林市文明旅游风景区示范点”，是桂林旅游圈新出现的一颗璀璨明珠，也是桂林现最大的岩洞。 特色：现已开发游程2000米，分为下洞、大厅、上洞三个部分洞内绚丽、幽美的景点28处，奇特的自然景观堪称鬼斧神工，色彩缤纷而且形象各异的钟乳石石柱、石塔、石幔、石瀑，构成了世界岩溶艺术万般奇景，被世人美誉为“世界溶洞奇观”。
5.0,真不错，我都想不到什么词能形容了，很绝.景色很美，游了银子岩，一世不缺钱！里面配有三个拍照的地方，工作人员热心帮忙拍照，照片自由选择消费的，摄影工作人员服务很好，照片拍的不错！
5.0,"银子岩景区有田园风光，绝壁攀岩，湖光山色，美不胜收，有“诗境家园典范”之美称，也是自驾车车友的首选必游圣地。阳朔银子岩属层楼式溶洞，贯穿十二座山峰，以雄、奇、幽、美独领风骚，有着“世界岩溶艺术宝库”之称。溶洞内幽幽森森、迂回曲折，汇集了不同地质年代发育生长的各种类型的钟乳石，在灯光的照射下，宛如夜空的银河倾斜而下，闪烁像银子一般的光芒，被岩溶专家誉为“世界溶洞奇观”。特色景点数十个，以音乐石屏、广寒深宫、雪山飞瀑""三绝""和佛祖论经、独柱擎天、混元珍珠伞""三宝""等景点为代表，栩栩如生，形象逼真，堪称鬼斧神工。坊间流传的“游了银子岩，一世不缺钱”的说法，也吸引了不少游客前去一探究竟。"
5.0,溶洞看过不少，但银子岩是最值得观赏的溶洞。 银子岩是典型的喀斯特地貌，贯穿十二座山峰，属楼层式溶洞。洞内汇集了不同地质年代发育生长的钟乳石。它们晶莹剔透、洁白无瑕，形态如经过精心的设计和仔细雕琢。 银子岩景区从外面看去就是郁郁葱葱的碧绿山峦。进入溶洞，里面非常宽阔、空旷。 🎯特色体验： 特色景点很多，很多要凭借强大的想象力。三绝：音乐石屏、瑶池仙境、雪山飞瀑；三宝：佛祖论经、独柱擎天、混元珍珠伞最有代表性。 🎯推荐理由： 银子岩是世界级溶洞奇观。 🎯tips： ▶️门票80元。 ▶️在溶洞中，游览过程中要注意安全。 ▶️拍照比较难，光线太暗。游人较多，三脚架也不方便。 ▶️银子岩景区属于荔浦镇，荔浦芋头不能错过。 🎯交通： 📌桂林到银子岩可到桂林汽车站，有中巴车。 📌阳朔到银子岩可乘桂林至荔浦中巴车。阳朔每天还有开往景区的专线车。
5.0,银子岩风景区是4A级风景区，属于典型的喀斯特地貌，以前桂林著名的溶洞景区是七星岩，后来游人众多，二氧化碳气体将洁白的石钟乳熏成黑色，失去了观赏的价值。而银子岩相对来讲属于新的景区，观赏的效果要比七星岩好多了，景区贯穿十二座山峰，属层楼式溶洞，洞内汇集了不同地质年代发育生长的钟乳石，晶莹剔透，洁白无瑕。宛如夜空的银河倾斜而下，闪烁出像银子、似钻石的光芒、混元珍珠伞、独柱擎天。大自然的鬼斧神工在这里被展示得淋漓尽致，故被誉为“世界溶洞奇观”。在灯光的掩映下，色彩十分艳丽，目前的数码设备包括手机拍摄出来的效果不错。
5.0,桂林山水甲天下，银子岩是桂林旅游的一个必去的地方。千姿百态的钟乳石是经过一定时间才能形成的。晶莹剔透，洁白无瑕，宛如夜空的银河倾斜而下，闪烁出像银子、似钻石的光芒、混元珍珠伞、独柱擎天。大自然的鬼斧神工在这里被展示得淋漓尽致。
5.0,桂林银子岩景点是极具大自然地理特色的喀斯特溶洞钟乳石景观，是大自然留给人类无价且不可再生的非物质文化遗产，洞中空间巨大，人工修筑的栈道蜿蜒宛转，将洞内的鬼斧天工之景点全部囊括在内，人工修饰的灯光的效果给奇形怪状的钟乳石增添了神秘的色彩，仿佛栩栩如生！值得观赏游览的景点之一。
5.0,银子岩溶洞是典型的喀斯特地貌，贯穿十二座山峰，整个岩洞走下来要1个小时左右，仿佛在洞里翻山越岭。洞内气温21摄氏度左右，恒温，但是由于游玩的人太多，某些地方氧气不足，会有点头晕的感觉。 进洞前，管理员就会给大家一个耳机的仪器，挂在脖子上，这个仪器有GPS导航，走到哪里，就会给游客介绍各种钟乳石，而且有多国语言可供选择，设计非常贴心。 洞内就是千姿百态的钟乳石，其实更多的是要靠自己的想象才能发现其中的美，正所谓“三分像，七分靠想象”。所以，游玩时竟管发挥自己的想象力吧！
5.0,来到银子岩，瞬间就被溶洞给震撼到了，这一切真的是大自然的鬼斧神工。银子岩是桂林最新开发的溶洞景观，因其结晶特別丰富，岩石如银子般耀眼闪烁而得名。景区环境优美，宛如一个巨大的天然盆景，四周群山环抱，洞内钟乳石高达数十米，晶莹剔透。含有石英石、方解石微粒的钟乳石在灯光的照射下折射出银子般的光芒，故称为“银子岩”，被誉为“世界溶洞奇观”。虽然大家都知道这是灯花打造的效果，但视觉效果确实无以伦比，造物主的魔力在这里体现的淋漓尽致。进去的时候一人发一个牌子，是感应的，人走到哪儿，牌子就开始根据你的位置介绍。这个比较好，有了这个就不用导游了。但是洞内的空气质量不好，空气不流通，也比较潮湿，地也很滑。
5.0,据说游了银子岩，一世不缺钱，哈哈为了这个好彩头怎么也要来玩一次吧。银子岩的游玩大概1个小时左右（门票65，网上有优惠）， 可以说去阳朔必去之地了，溶洞很大，里面湿气挺重的，比桂林市内七星岩大多了，并且也更自然。银子岩里有把像伞一样的东西，是镇洞之宝，克林顿来旅游时就看上了这个石头，但是政府没送给他，可想而知它的珍贵。洞内时间大概一小时，洞内光线暗，地面湿滑，老人孩子一定要注意安全，都是石头，摔伤了就不好了。
5.0,节前已做好出行订票酒店计划，2月9日早上4点45分从中山出发，10点左右就到银子岩景点，然后去5号窗领票进入观光，领悟大自然的鬼夫神功，很神奇，确定值得观看，游览将近一个小时就完毕，出来后买点特产吃点地道美食就出发桂林/待续
5.0,银子岩真的非常美，大家到阳朔一定要去的地方那里真的是个传奇！整个旅途都很愉快就是被门口卖小吃的啊姨弄的心情不爽！尽然拿烂的板栗坑我们游客！亲们看最后张图去的时候一定要注意一下小吃要不影响心情就不好了
5.0,银子岩是桂林最出名的风景区之一，这里离阳朔不远，可以在阳朔期间顺便游玩。银子岩是看的地下溶洞，这里的钟乳石千奇百怪，形状各异，非常值得看看。再加上灯光效果，更是美轮美奂。非常推荐的一个景点
5.0,这里的钟乳石，晶莹剔透，洁白无瑕，宛如夜空的银河倾斜而下，闪烁出像银子、似钻石的光芒、混元珍珠伞、独柱擎天。大自然的鬼斧神工在这里被展示得淋漓尽致，“世界溶洞奇观”。
4.0,在阳朔汽车总站处有银子岩的专线车直接到景点，很方便。但不好的是，汽车站管理不完善，没有明确分清具体班次，任由乘客随意上车，坐满才出发，这个对于不熟悉的游客来讲，感觉比较混乱。银子岩是值得一游的溶洞，岩石在灯光下闪闪发光，故而得名。
5.0,在酒店报团去的银子岩，去银子岩的大巴会路过十里画廊，整个车程差不多40来分钟吧。到了银子岩，车上的导游吧，会给我们景点门票，带上门票下车一直往下坡有，走到一个大铜钱的门那就是景点人口了，上面写着招财进宝四个大字。进去后是一段台阶的上坡，然后就到了检票的地方，这时候工作人员会给我们一人一个语音导览器，插上耳塞，进到溶洞入口就能听见音乐在耳边响起，第一个景点记得是荔浦芋王，很大一个石头状的芋头，在洞里随处观察都能看到惊奇的景观，只要想象力够丰富。让我记忆深刻的还是那个水镜，可以看下图的第二张，当时我还以为下面是空的呢！网上说银子岩有三绝：雪山飞瀑、音乐石屏、瑶池仙境，其中银子岩得名于雪山飞瀑上的点点银光，看上去像银子般。总的来说银子岩还是很不错的，对得起门票价格，全程溶洞里走下来差不多40分钟，有空的朋友可以去游玩一下啊！
