景区名称,景区链接,地址,点评数,评分
桂林两江四湖景区,https://you.ctrip.com/sight/guilin28/5925.html?scene=online,广西壮族自治区桂林市象山区滨江路5号,13171.0,4.5
象鼻山景区,https://you.ctrip.com/sight/guilin28/107505.html?scene=online,广西壮族自治区桂林市象山区民主路1号,20176.0,4.3
独秀峰王城景区,https://you.ctrip.com/sight/guilin28/107501.html?scene=online,桂林市秀峰区王城路一号,18435.0,4.7
漓江风景名胜区,https://you.ctrip.com/sight/lingchuan3064/2888.html?scene=online,广西壮族自治区桂林市灵川县X092(桂磨路),13207.0,4.6
龙脊梯田,https://you.ctrip.com/sight/longsheng1445120/14892.html?scene=online,桂林市龙胜各族自治县和平乡平安村,4956.0,4.5
漓江三星游船,https://you.ctrip.com/sight/lingchuan3064/1478560.html?scene=online,广西壮族自治区桂林市灵川县磨盘山码头,3787.0,4.5
《印象刘三姐》山水实景演出,https://you.ctrip.com/sight/yangshuo702/22077.html?scene=online,桂林市阳朔县田园路1号中国漓江山水剧场,12380.0,4.2
桂林千古情,https://you.ctrip.com/sight/yangshuo702/4734370.html?scene=online,桂林市阳朔县阳朔镇千古情大道,3000.0,4.6
遇龙河景区,https://you.ctrip.com/sight/yangshuo702/22081.html?scene=online,广西壮族自治区桂林市阳朔县白沙镇遇龙村,5169.0,4.5
遇龙河漂流,https://you.ctrip.com/sight/yangshuo702/137485.html?scene=online,桂林市阳朔县遇龙河景区(近朝阳码头),5083.0,4.4
漓江竹筏游,https://you.ctrip.com/sight/yangshuo702/1508972.html?scene=online,桂林市阳朔县阳朔漓江景区兴坪东游客中心,1391.0,4.2
漓江四星游船,https://you.ctrip.com/sight/guilin28/1478723.html?scene=online,广西壮族自治区桂林市阳朔县竹江码头,1544.0,4.5
芦笛岩,https://you.ctrip.com/sight/guilin28/2880.html?scene=online,广西壮族自治区桂林市秀峰区芦笛路1号,10143.0,4.6
芦笛景区,https://you.ctrip.com/sight/guilin28/70368412.html?scene=online,广西壮族自治区桂林市秀峰区芦笛路1号,5.0,4.4
世外桃源,https://you.ctrip.com/sight/yangshuo702/140484.html?scene=online,广西壮族自治区桂林市阳朔县白沙镇五里店村,6556.0,4.5
七星景区,https://you.ctrip.com/sight/guilin28/2882.html?scene=online,广西壮族自治区桂林市七星区七星路1号,5123.0,4.5
相公山,https://you.ctrip.com/sight/yangshuo702/1417461.html?scene=online,广西壮族自治区桂林市阳朔县相公山风景区,432.0,4.5
兴坪古镇,https://you.ctrip.com/sight/yangshuo702/26887.html?scene=online,广西壮族自治区桂林市阳朔县,834.0,4.1
阳朔骑行,https://you.ctrip.com/sight/yangshuo702/0.html?poiId=148483141,错误,1538.0,错误
独秀峰,https://you.ctrip.com/sight/guilin28/2886.html?scene=online,桂林市秀峰区王府东路靖江王府,2471.0,4.8
日月双塔,https://you.ctrip.com/sight/guilin28/50487.html?scene=online,桂林市象山区滨江路2号两江四湖内,1793.0,4.5
十里画廊,https://you.ctrip.com/sight/yangshuo702/52551.html?scene=online,桂林市阳朔县321国道十里画廊,1740.0,4.2
叠彩山,https://you.ctrip.com/sight/guilin28/2879.html?scene=online,桂林市叠彩区滨江路27号,2834.0,4.6
桂海晴岚,https://you.ctrip.com/sight/guilin28/5718112.html?scene=online,广西壮族自治区桂林市七星区航天路22号信昌桂海晴岚,151.0,4.4
如意峰索道景区,https://you.ctrip.com/sight/yangshuo702/5706026.html?scene=online,广西壮族自治区桂林市阳朔县G321(广成线),977.0,4.6
西街,https://you.ctrip.com/sight/yangshuo702/22079.html?scene=online,广西壮族自治区桂林市阳朔县,4911.0,4.4
阳朔旅拍,https://you.ctrip.com/sight/yangshuo702/0.html?poiId=148487234,错误,1538.0,错误
九马画山,https://you.ctrip.com/sight/yangshuo702/52594.html?scene=online,广西壮族自治区桂林市阳朔县兴坪镇漓江边,397.0,4.4
桂林看日落,https://you.ctrip.com/sight/guilin28/0.html?poiId=148892931,错误,84.0,错误
东西巷,https://you.ctrip.com/sight/guilin28/1932650.html?scene=online,广西壮族自治区桂林市秀峰区解放东路18号,281.0,4.4
银子岩,https://you.ctrip.com/sight/lipu2020/18147.html?scene=online,广西壮族自治区桂林市荔浦市马岭镇沿321国道向北10公里,4835.0,4.4
漓江古东景区,https://you.ctrip.com/sight/lingchuan3064/1412528.html?scene=online,广西壮族自治区桂林市灵川县大圩古镇,629.0,4.6
桂林融创国际旅游度假区,https://you.ctrip.com/sight/guilin28/118091268.html?scene=online,广西壮族自治区桂林市雁山区大雁路398号,755.0,4.7
龙颈河漂流,https://you.ctrip.com/sight/yangshuo702/141510.html?scene=online,广西壮族自治区桂林市兴坪大源林场龙颈河景区内,652.0,4.7
冠岩,https://you.ctrip.com/sight/guilin28/6030.html?scene=online,广西壮族自治区桂林市雁山区草坪回族自治乡桂林漓江冠岩景区,860.0,4.3
阳朔漂流,https://you.ctrip.com/sight/yangshuo702/0.html?poiId=148473891,错误,109.0,错误
伏波山,https://you.ctrip.com/sight/guilin28/2883.html?scene=online,广西壮族自治区桂林市叠彩区滨江路27号(风北路口),547.0,4.3
正阳步行街,https://you.ctrip.com/sight/guilin28/108721.html?scene=online,桂林市秀峰区正阳步行街西5栋1-02门面(钟楼旁),407.0,4.3
桂林猫儿山,https://you.ctrip.com/sight/xingancounty722/18142.html?scene=online,广西壮族自治区桂林市兴安县华江乡高寨村,521.0,4.6
漓江五星游船,https://you.ctrip.com/sight/guilin28/134786346.html?scene=online,广西壮族自治区桂林市竹江码头,16.0,4.9
龙脊梯田风景名胜区-金坑梯田,https://you.ctrip.com/sight/longsheng1445120/110465.html?scene=online,龙脊梯田金坑大寨,365.0,4.6
大榕树,https://you.ctrip.com/sight/yangshuo702/22083.html?scene=online,广西壮族自治区桂林市阳朔县321国道,2611.0,
七星岩,https://you.ctrip.com/sight/guilin28/131503.html?scene=online,桂林市七星区七星路1号七星景区内,371.0,4.4
刘三姐大观园,https://you.ctrip.com/sight/guilin28/50478.html?scene=online,广西壮族自治区桂林市秀峰区桃花江路1号,711.0,3.9
阳朔月亮山风景区,https://you.ctrip.com/sight/yangshuo702/22084.html?scene=online,桂林市阳朔县桂荔公路西侧高田乡凤楼村,767.0,4.2
木龙湖景区,https://you.ctrip.com/sight/guilin28/140482.html?scene=online,桂林市叠彩区中山北路30号,353.0,4.1
天籁·蝴蝶泉,https://you.ctrip.com/sight/yangshuo702/48898.html?scene=online,广西壮族自治区桂林市阳朔县十里画廊内,1220.0,4.1
桂花公社,https://you.ctrip.com/sight/guilin28/117918946.html?scene=online,广西壮族自治区桂林市秀峰区阳江路18号景区,92.0,4.8
金龙桥,https://you.ctrip.com/sight/yangshuo702/2495354.html?scene=online,广西壮族自治区桂林市阳朔县,69.0,4.2
遇龙河竹筏漂流(金龙桥—旧县店),https://you.ctrip.com/sight/yangshuo702/145710463.html?scene=online,桂林市阳朔县白沙镇X099道遇龙河金龙桥码头内,1.0,
二十元人民币背景图,https://you.ctrip.com/sight/yangshuo702/69546182.html?scene=online,广西壮族自治区桂林市阳朔县兴坪镇,22.0,4.4
富里桥,https://you.ctrip.com/sight/yangshuo702/52541.html?scene=online,桂林市阳朔县白沙镇观桥村东侧,63.0,4.3
黄洛红瑶寨,https://you.ctrip.com/sight/longsheng1445120/50289.html?scene=online,广西壮族自治区桂林市龙胜各族自治县龙脊梯田风景区内,97.0,4.3
灵渠,https://you.ctrip.com/sight/xingancounty722/2884.html?scene=online,桂林市兴安县双灵路998号,526.0,4.4
东漓古村,https://you.ctrip.com/sight/lingchuan3064/5537376.html?scene=online,广西壮族自治区桂林市灵川县大圩镇袁家村,31.0,4.8
大榕树景区-山水甲天下,https://you.ctrip.com/sight/yangshuo702/126934642.html?scene=online,桂林市阳朔县穿岩村大榕树景区内,5.0,
龙脊峡漂流,https://you.ctrip.com/sight/longsheng1445120/131717.html?scene=online,桂林市龙胜各族自治县和大线龙脊梯田风景名胜区,71.0,4.6
桂林西山景区,https://you.ctrip.com/sight/guilin28/141374.html?scene=online,桂林市秀峰区西山路2号,375.0,4.3
南溪山景区,https://you.ctrip.com/sight/guilin28/50286.html?scene=online,广西壮族自治区桂林市象山区中山南路2号(近将军路),300.0,4.3
平安壮寨,https://you.ctrip.com/sight/longsheng1445120/107503.html?scene=online,桂林市龙胜各族县和平乡平安村龙脊梯田景区内（近平安壮族梯田）,87.0,4.6
阳朔攀岩,https://you.ctrip.com/sight/yangshuo702/0.html?poiId=148485250,错误,1538.0,错误
聚龙潭,https://you.ctrip.com/sight/yangshuo702/48899.html?scene=online,桂林市阳朔县十里画廊内,263.0,
靖江王府-承运门,https://you.ctrip.com/sight/guilin28/5066548.html?scene=online,王城路1号(近正阳路)独秀峰·王城景区内,4.0,4.8
漓江源大峡谷,https://you.ctrip.com/sight/xingancounty722/131652.html?scene=online,华江瑶族乡高寨村,170.0,4.7
桂林融创海世界,https://you.ctrip.com/sight/guilin28/5715373.html?scene=online,广西壮族自治区桂林市雁山区大雁路398号,139.0,4.6
富里桥竹筏漂流,https://you.ctrip.com/sight/yangshuo702/4048864.html?scene=online,广西壮族自治区桂林市阳朔县白沙镇正方村富里桥码头,31.0,4.2
相公山观景台,https://you.ctrip.com/sight/yangshuo702/134715804.html?scene=online,桂林市阳朔县九马画山峡谷漂流景区,3.0,
老寨山公园,https://you.ctrip.com/sight/yangshuo702/1417363.html?scene=online,广西壮族自治区桂林市阳朔县兴坪古镇兴坪码头旁,102.0,4.6
桂林融创水世界,https://you.ctrip.com/sight/guilin28/5715383.html?scene=online,桂林雁山区大雁路399号,84.0,4.3
穿山景区,https://you.ctrip.com/sight/guilin28/50457.html?scene=online,广西壮族自治区桂林市七星区穿山小街55号,151.0,4.4
阳朔燕莎航空运动营地,https://you.ctrip.com/sight/yangshuo702/2015797.html?scene=online,桂林市阳朔县山水大道新村旁,194.0,3.9
大圩古镇,https://you.ctrip.com/sight/lingchuan3064/26740.html?scene=online,广西壮族自治区桂林市灵川县万寿路,177.0,4.2
